director_name,num_critic_for_reviews,actor_2_name,gross,actor_1_name,movie_title,actor_3_name,num_user_for_reviews,country,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Gerard Johnstone,166,Bruce Hopkins,,Morgana O'Reilly,Housebound ,Cameron Rhodes,83,New Zealand,46,6.8,2.35,10000
Robert Greenwald,56,Jon Hunter,,Lee Scott,Wal-Mart: The High Cost of Low Price ,Matt Hunter,70,USA,0,6.8,1.85,0
David Ray,16,Sarah Lind,,Nicole Muñoz,Fetching Cody ,Kyla Wise,10,Canada,134,6.8,,193
Dave Rodriguez,9,Michael Rapaport,,Chazz Palminteri,Once Upon a Time in Queens ,Paul Sorvino,7,USA,975,6.3,1.89,283
Nae Caranfil,18,Joe Armstrong,,Monica Barladeanu,Closer to the Moon ,Martin Hancock,13,Romania,98,7.1,2.35,0
David Winning,4,Amber Marshall,,Ashanti,Mutant World ,John DeSantis,10,Canada,265,2.8,,236
Frank Lotito,,Jake Busey,,Brighton Sharbino,Growing Up Smith ,Tim Guinee,1,USA,660,8.2,1.85,232
Timothy Woodward Jr.,6,Johnny Messner,,Katrina Law,Checkmate ,Michael Paré,18,USA,522,3.1,2.35,402
Christopher McQuarrie,387,Robert Duvall,80033643,Tom Cruise,Jack Reacher ,David Oyelowo,448,USA,3000,7.0,2.35,38000
Tara Subkoff,35,Balthazar Getty,,Timothy Hutton,#Horror ,Lydia Hearst,42,USA,418,3.3,,750
Russell Friedenberg,27,Glen Powell,,Rudy Youngblood,Wind Walkers ,Kiowa Gordon,2,USA,571,3.6,,135
William Cottrell,145,Billy Gilbert,184925485,Adriana Caselotti,Snow White and the Seven Dwarfs ,Lucille La Verne,204,USA,47,7.7,1.37,0
Lucrecia Martel,78,Mercedes Morán,304124,Mía Maestro,The Holy Girl ,María Alche,37,Argentina,5,6.7,1.85,57
Edward Dmytryk,10,Woody Strode,,Brigitte Bardot,Shalako ,Honor Blackman,41,UK,423,5.5,2.35,209
Zak Penn,60,Gabriel Beristain,36830,Zak Penn,Incident at Loch Ness ,John Bailey,63,UK,70,6.6,1.85,400
Alex Ranarivelo,9,Christina Moore,,Lea Thompson,The Dog Lover ,Cullen Douglas,8,USA,301,4.8,2.35,724
Jon Knautz,63,Adam DiMarco,,Camren Bicondova,Girl House ,Chasty Ballesteros,33,Canada,382,5.5,2.35,969
Mathieu Amalric,92,Léa Drucker,231186,Mathieu Amalric,The Blue Room ,Laurent Poitrenaux,16,France,4,6.3,1.33,389
David Worth,4,Jonathan Mangum,,Jessica Szohr,House at the End of the Drive ,Angela Jones,6,USA,147,6.9,,223
