num_critic_for_reviews,duration,actor_1_facebook_likes,genres,movie_title,cast_total_facebook_likes,movie_imdb_link,language,budget,imdb_score,aspect_ratio
287,110,3000,Action|Horror|Thriller,Dawn of the Dead ,10438,http://www.imdb.com/title/tt0363547/?ref_=fn_tt_tt_1,English,26000000,7.4,2.35
108,103,11000,Comedy|Romance,The Wedding Planner ,17533,http://www.imdb.com/title/tt0209475/?ref_=fn_tt_tt_1,English,35000000,5.2,2.35
62,115,173,Adventure|Animation|Sci-Fi,Harlock: Space Pirate ,386,http://www.imdb.com/title/tt2668134/?ref_=fn_tt_tt_1,Japanese,30000000,6.5,2.35
220,110,13000,Comedy|Drama,The Royal Tenenbaums ,14609,http://www.imdb.com/title/tt0265666/?ref_=fn_tt_tt_1,English,21000000,7.6,2.35
136,91,1000,Mystery|Thriller,Identity ,3969,http://www.imdb.com/title/tt0309698/?ref_=fn_tt_tt_1,English,30000000,7.3,2.35
222,105,22000,Comedy|Romance,Last Vegas ,35694,http://www.imdb.com/title/tt1204975/?ref_=fn_tt_tt_1,English,28000000,6.6,2.35
112,127,844,Action|Adventure|Thriller,For Your Eyes Only ,2118,http://www.imdb.com/title/tt0082398/?ref_=fn_tt_tt_1,English,28000000,6.8,2.35
122,82,11,Comedy|Romance,Serendipity ,37,http://www.imdb.com/title/tt0240890/?ref_=fn_tt_tt_1,English,28000000,6.9,1.85
62,99,664,Action|Crime|Sci-Fi|Thriller,Timecop ,2010,http://www.imdb.com/title/tt0111438/?ref_=fn_tt_tt_1,English,27000000,5.8,2.35
135,90,14000,Comedy,Zoolander ,34565,http://www.imdb.com/title/tt0196229/?ref_=fn_tt_tt_1,English,28000000,6.6,2.35
184,115,576,Drama|Romance|Thriller,Safe Haven ,1554,http://www.imdb.com/title/tt1702439/?ref_=fn_tt_tt_1,English,28000000,6.7,2.35
36,96,580,Comedy|Family|Fantasy,Hocus Pocus ,1275,http://www.imdb.com/title/tt0107120/?ref_=fn_tt_tt_1,English,28000000,6.7,1.85
171,104,943,Comedy|Drama|Romance,No Reservations ,3497,http://www.imdb.com/title/tt0481141/?ref_=fn_tt_tt_1,English,28000000,6.3,2.35
447,117,553,Action|Comedy,Kick-Ass ,2357,http://www.imdb.com/title/tt1250777/?ref_=fn_tt_tt_1,English,30000000,7.7,2.35
220,83,731,Action|Comedy|Crime,30 Minutes or Less ,1987,http://www.imdb.com/title/tt1622547/?ref_=fn_tt_tt_1,English,28000000,6.1,2.35
122,99,18000,Action|Fantasy|Horror|Thriller,Dracula 2000 ,23344,http://www.imdb.com/title/tt0219653/?ref_=fn_tt_tt_1,English,28000000,4.9,2.35
119,81,35000,Comedy|Family,"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",47677,http://www.imdb.com/title/tt1698641/?ref_=fn_tt_tt_1,English,28000000,6.2,2.39
177,135,422,Drama|Romance,Pride & Prejudice ,1083,http://www.imdb.com/title/tt0414387/?ref_=fn_tt_tt_1,English,28000000,7.8,2.35
302,117,11000,Sci-Fi|Thriller,Blade Runner ,13877,http://www.imdb.com/title/tt0083658/?ref_=fn_tt_tt_1,English,28000000,8.2,2.35
44,139,14000,Adventure|Biography,Rob Roy ,16125,http://www.imdb.com/title/tt0114287/?ref_=fn_tt_tt_1,English,28000000,6.9,2.35
211,123,933,Action|Drama|Thriller,3 Days to Kill ,1286,http://www.imdb.com/title/tt2172934/?ref_=fn_tt_tt_1,English,28000000,6.2,2.35
222,117,3000,Crime|Drama|Thriller,We Own the Night ,3681,http://www.imdb.com/title/tt0498399/?ref_=fn_tt_tt_1,English,21000000,6.9,1.85
100,97,497,Drama|Horror|Thriller,Lost Souls ,1805,http://www.imdb.com/title/tt0160484/?ref_=fn_tt_tt_1,English,28000000,4.8,2.35
100,81,63,Documentary,Winged Migration ,66,http://www.imdb.com/title/tt0301727/?ref_=fn_tt_tt_1,English,160000000,8.0,1.85
98,103,806,Comedy|Fantasy|Romance,Just My Luck ,3211,http://www.imdb.com/title/tt0397078/?ref_=fn_tt_tt_1,English,28000000,5.3,1.85
74,119,738,Comedy|Drama|Sport,"Mystery, Alaska ",2171,http://www.imdb.com/title/tt0134618/?ref_=fn_tt_tt_1,English,28000000,6.7,2.35
97,94,1000,Action|Comedy|Family,The Spy Next Door ,3436,http://www.imdb.com/title/tt1273678/?ref_=fn_tt_tt_1,English,28000000,5.4,1.85
21,89,1000,Comedy|Family|Fantasy,A Simple Wish ,5535,http://www.imdb.com/title/tt0120133/?ref_=fn_tt_tt_1,English,28000000,5.4,1.85
156,98,26000,Action|Horror|Sci-Fi,Ghosts of Mars ,28867,http://www.imdb.com/title/tt0228333/?ref_=fn_tt_tt_1,English,28000000,4.9,2.35
125,107,1000,Comedy|Drama,Our Brand Is Crisis ,3944,http://www.imdb.com/title/tt1018765/?ref_=fn_tt_tt_1,English,28000000,6.1,1.85
225,108,2000,Action|Horror|Romance,Pride and Prejudice and Zombies ,4710,http://www.imdb.com/title/tt1374989/?ref_=fn_tt_tt_1,English,28000000,5.8,2.35
85,134,2,Biography|Drama|History|War,Kundun ,4,http://www.imdb.com/title/tt0119485/?ref_=fn_tt_tt_1,English,28000000,7.0,2.35
135,110,480,Comedy|Drama|Romance,How to Lose Friends & Alienate People ,858,http://www.imdb.com/title/tt0455538/?ref_=fn_tt_tt_1,English,27000000,6.5,1.85
350,103,17000,Action|Comedy|Crime,Kick-Ass 2 ,19168,http://www.imdb.com/title/tt1650554/?ref_=fn_tt_tt_1,English,28000000,6.6,2.35
31,145,10000,Adventure|Drama|History|Romance|Thriller|War,Captain Alatriste: The Spanish Musketeer ,11669,http://www.imdb.com/title/tt0395119/?ref_=fn_tt_tt_1,Spanish,24000000,6.1,1.85
177,100,23000,Action|Crime|Drama|Thriller,Brick Mansions ,25387,http://www.imdb.com/title/tt1430612/?ref_=fn_tt_tt_1,English,28000000,5.7,2.35
106,131,594,Action|Adventure|Thriller,Octopussy ,1898,http://www.imdb.com/title/tt0086034/?ref_=fn_tt_tt_1,English,27500000,6.6,2.35
251,133,11000,Comedy|Romance,Knocked Up ,12874,http://www.imdb.com/title/tt0478311/?ref_=fn_tt_tt_1,English,30000000,7.0,1.85
148,109,673,Drama,My Sister's Keeper ,1775,http://www.imdb.com/title/tt1078588/?ref_=fn_tt_tt_1,English,30000000,7.4,2.35
76,114,940,Comedy|Drama|Romance,"Welcome Home, Roscoe Jenkins ",3565,http://www.imdb.com/title/tt0494652/?ref_=fn_tt_tt_1,English,35000000,5.3,1.85
52,164,358,Adventure|Drama|History,A Passage to India ,1334,http://www.imdb.com/title/tt0087892/?ref_=fn_tt_tt_1,English,16000000,7.4,1.85
220,92,386,Crime|Drama|Romance|Thriller,Notes on a Scandal ,646,http://www.imdb.com/title/tt0465551/?ref_=fn_tt_tt_1,English,15000000,7.4,1.85
131,122,24000,Drama|Thriller,Rendition ,50950,http://www.imdb.com/title/tt0804522/?ref_=fn_tt_tt_1,English,27500000,6.8,2.35
7,42,766,Crime|Drama|Sci-Fi|Thriller,Limitless             ,2707,http://www.imdb.com/title/tt4422836/?ref_=fn_tt_tt_1,English,,7.9,16.0
112,110,12000,Action|Adventure|Sci-Fi|Thriller,Star Trek VI: The Undiscovered Country ,16230,http://www.imdb.com/title/tt0102975/?ref_=fn_tt_tt_1,English,30000000,7.2,2.35
93,116,1000,Drama,Divine Secrets of the Ya-Ya Sisterhood ,3845,http://www.imdb.com/title/tt0279778/?ref_=fn_tt_tt_1,English,27000000,6.0,2.35
370,106,19000,Adventure|Drama|Family|Fantasy,The Jungle Book ,32921,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,English,175000000,7.8,1.85
83,115,11000,Crime|Drama|Mystery|Thriller,Kiss the Girls ,14322,http://www.imdb.com/title/tt0119468/?ref_=fn_tt_tt_1,English,27000000,6.6,2.35
125,148,1000,Action|Comedy|Crime|Music,The Blues Brothers ,2566,http://www.imdb.com/title/tt0080455/?ref_=fn_tt_tt_1,English,27000000,7.9,1.85
