director_name,num_critic_for_reviews,actor_2_name,gross,actor_1_name,movie_title,facenumber_in_poster,plot_keywords,movie_imdb_link,content_rating,budget,actor_2_facebook_likes,aspect_ratio
Katsuhiro Ôtomo,105,Robin Atkin Downes,410388,William Hootkins,Steamboy ,1,19th century|ball|boy|inventor|steam,http://www.imdb.com/title/tt0348121/?ref_=fn_tt_tt_1,PG-13,2127519898,336,1.85
David Anspaugh,21,Costas Mandylor,375474,Gerard Butler,The Game of Their Lives ,0,1950s|brazil|soccer|soccer movie|world cup,http://www.imdb.com/title/tt0354595/?ref_=fn_tt_tt_1,PG,20000000,723,2.35
Andrew Jarecki,140,Kirsten Dunst,578382,Ryan Gosling,All Good Things ,2,family business|friend|murder|new york city|trial,http://www.imdb.com/title/tt1175709/?ref_=fn_tt_tt_1,R,,4000,1.85
Kevin Reynolds,9,Jason Scott Lee,305070,Esai Morales,Rapa Nui ,1,easter island|location in title|statue|topless female nudity|two word title,http://www.imdb.com/title/tt0110944/?ref_=fn_tt_tt_1,R,20000000,533,2.35
Stephen Chow,83,Yuqi Zhang,206678,Jiao Xu,CJ7 ,1,father son relationship|miracle|school|ufo|written and directed by cast member,http://www.imdb.com/title/tt0940709/?ref_=fn_tt_tt_1,PG,,33,2.35
Jean-Marie Poiré,8,Philippe Nahon,146072,Christian Clavier,Les couloirs du temps: Les visiteurs II ,0,jewel|knight|magical potion|sequel|time travel comedy,http://www.imdb.com/title/tt0120882/?ref_=fn_tt_tt_1,,140000000,56,2.35
Kevin Munroe,138,Laura Spencer,1183354,Marco St. John,Dylan Dog: Dead of Night ,1,close up of eyes|monster|quirkiness|supernatural|vomiting,http://www.imdb.com/title/tt1013860/?ref_=fn_tt_tt_1,PG-13,20000000,368,2.35
Daniel Algrant,42,Richard Schiff,121972,Al Pacino,People I Know ,3,actor|client|new york|protection|scandal,http://www.imdb.com/title/tt0274711/?ref_=fn_tt_tt_1,R,22000000,506,1.85
,,George Coulouris,,Peter Vaughan,The Doombolt Chase             ,4,,http://www.imdb.com/title/tt0166038/?ref_=fn_tt_tt_1,,,11,
Julie Taymor,92,Reeve Carney,263365,Djimon Hounsou,The Tempest ,2,banishment|sorcery|spirit|staff|storm at sea,http://www.imdb.com/title/tt1274300/?ref_=fn_tt_tt_1,PG-13,20000000,602,2.35
Alejandro Amenábar,140,Aaron Ashmore,54734,Emma Watson,Regression ,1,inspired by true events|memory|minnesota|police|year 1990,http://www.imdb.com/title/tt3319920/?ref_=fn_tt_tt_1,R,,750,2.35
Jane Clark,,Traci Dinwiddie,,Necar Zadegan,The Touch ,0,lesbian|paris france|period piece|poem|poetess,http://www.imdb.com/title/tt1128219/?ref_=fn_tt_tt_1,,13000,281,1.85
Daniel Lee,29,Sammo Kam-Bo Hung,,Andy Lau,Three Kingdoms: Resurrection of the Dragon ,3,art of war|china|civil war|female warrior|musician,http://www.imdb.com/title/tt0882978/?ref_=fn_tt_tt_1,R,25000000,472,2.35
Mike Barker,29,Nicholas Lea,,Gerard Butler,Shattered ,1,daughter|gun|nanny|sociopath|suburb,http://www.imdb.com/title/tt0489664/?ref_=fn_tt_tt_1,R,20000000,867,2.35
Wayne Thornley,39,Phil LaMarr,,Leonard Nimoy,Zambezia ,0,bird|city name in title|falcon|one word title|place name in title,http://www.imdb.com/title/tt1488181/?ref_=fn_tt_tt_1,G,20000000,857,1.78
Gnana Rajasekaran,2,Michael Lieber,,Mani Bharathi,Ramanujan ,0,ramanujan,http://www.imdb.com/title/tt3037162/?ref_=fn_tt_tt_1,,,36,2.35
Tom Walsh,2,Maggie Wheeler,,Joey D. Vieira,Dwegons and Leprechauns ,4,dwegons,http://www.imdb.com/title/tt1134666/?ref_=fn_tt_tt_1,PG,20000000,282,
Jonathan Jakubowicz,,Jurnee Smollett-Bell,,Robert De Niro,Hands of Stone ,0,boxer|boxing|three word title,http://www.imdb.com/title/tt1781827/?ref_=fn_tt_tt_1,R,20000000,2000,
James McTeigue,64,Roger Rees,,Milla Jovovich,Survivor ,2,cigarette lighter|death|fire|on the run|terrorist,http://www.imdb.com/title/tt3247714/?ref_=fn_tt_tt_1,PG-13,20000000,1000,2.35
Scott Walker,120,Radha Mitchell,,Nicolas Cage,The Frozen Ground ,3,anchorage alaska|based on true story|pole dancer|serial killer|strip club,http://www.imdb.com/title/tt2005374/?ref_=fn_tt_tt_1,R,27220000,991,2.35
John Curran,143,Sally Hawkins,8047690,Toby Jones,The Painted Veil ,0,china|cholera|epidemic|love|marriage,http://www.imdb.com/title/tt0446755/?ref_=fn_tt_tt_1,PG-13,19400000,594,2.35
Uli Edel,160,Alexandra Maria Lara,476270,Moritz Bleibtreu,The Baader Meinhof Complex ,2,bonn germany|failed kidnapping|handcuffs|projectile|terrorist,http://www.imdb.com/title/tt0765432/?ref_=fn_tt_tt_1,R,20000000,471,1.85
Kevin Costner,92,Michael Spears,184208848,Mary McDonnell,Dances with Wolves ,1,friendship|frontier|honor|outpost|soldier,http://www.imdb.com/title/tt0099348/?ref_=fn_tt_tt_1,PG-13,22000000,839,2.35
Jake Kasdan,286,John Michael Higgins,100292856,Justin Timberlake,Bad Teacher ,0,boob job|breast enlargement|breast surgery|cheating on a test|ejaculation,http://www.imdb.com/title/tt1284575/?ref_=fn_tt_tt_1,R,20000000,957,1.85
Harold Becker,43,Michael O'Neill,58571513,Al Pacino,Sea of Love ,1,detective|love|single|suspect|title from song,http://www.imdb.com/title/tt0098273/?ref_=fn_tt_tt_1,R,19000000,599,1.85
Mark Rosman,69,Lin Shaye,51431160,Dan Byrd,A Cinderella Story ,2,cinderella story|correspondence|evil step mother|female protagonist|teenage girl,http://www.imdb.com/title/tt0356470/?ref_=fn_tt_tt_1,PG,20000000,852,1.85
Wes Craven,242,W. Earl Brown,103001286,David Arquette,Scream ,0,mask|mystery killer|slasher|teenage girl|telephone,http://www.imdb.com/title/tt0117571/?ref_=fn_tt_tt_1,R,15000000,422,2.35
Steve Beck,149,Embeth Davidtz,41867960,Shannon Elizabeth,Thir13en Ghosts ,0,collector|ghost|ghost hunter|glass house|machine,http://www.imdb.com/title/tt0245674/?ref_=fn_tt_tt_1,R,20000000,795,1.33
Stanley Kubrick,253,Shelley Duvall,,Scatman Crothers,The Shining ,0,breaking down a door|haunted hotel|identical twins|labyrinth|twin sisters,http://www.imdb.com/title/tt0081505/?ref_=fn_tt_tt_1,R,19000000,629,1.37
Robert Zemeckis,198,Thomas F. Wilson,210609762,Lea Thompson,Back to the Future ,0,clock tower|delorean|future|time travel|time travel comedy,http://www.imdb.com/title/tt0088763/?ref_=fn_tt_tt_1,PG,19000000,690,1.18
William Malone,147,Peter Gallagher,40846082,Jeffrey Combs,House on Haunted Hill ,0,billionaire|corpse|eccentric|haunted hospital|haunted house,http://www.imdb.com/title/tt0185371/?ref_=fn_tt_tt_1,R,19000000,828,1.37
Tyler Perry,36,Mary J. Blige,51697449,Eric Mendenhall,I Can Do Bad All by Myself ,6,aunt|immigrant|looting|love|nightclub singer,http://www.imdb.com/title/tt1385912/?ref_=fn_tt_tt_1,PG-13,13000000,269,1.85
Rob Hawk,6,Erin O'Brien,,Kari J. Kramer,Fight Valley ,4,,http://www.imdb.com/title/tt4280822/?ref_=fn_tt_tt_1,,27000000,634,
Josh Gordon,181,Scott Elrod,27758465,Caroline Dhavernas,The Switch ,2,artificial insemination|best friend|new york city|sperm|sperm donor,http://www.imdb.com/title/tt0889573/?ref_=fn_tt_tt_1,PG-13,19000000,449,2.35
Shawn Levy,97,David Agranov,56127162,Taran Killam,Just Married ,2,fall|honeymoon|love|marriage|newlywed,http://www.imdb.com/title/tt0305711/?ref_=fn_tt_tt_1,PG-13,18000000,308,1.85
Lee Tamahori,167,Dominic Cooper,1357042,Mem Ferda,The Devil's Double ,1,betrayal|debauchery|lust|palace|saddam hussein,http://www.imdb.com/title/tt1270262/?ref_=fn_tt_tt_1,R,15000000,3000,2.35
,,Jenni 'Jwoww' Farley,,Nicole 'Snooki' Polizzi,"Gone, Baby, Gone             ",1,lifestyle,http://www.imdb.com/title/tt1697237/?ref_=fn_tt_tt_1,TV-14,,230,1.33
Britt Allcroft,47,Colm Feore,15911333,Mara Wilson,Thomas and the Magic Railroad ,1,locomotive|magic|mountain|railroad|steam locomotive,http://www.imdb.com/title/tt0205461/?ref_=fn_tt_tt_1,G,19000000,539,1.85
Breck Eisner,308,Glenn Morshower,39103378,Radha Mitchell,The Crazies ,0,deputy|iowa|rural setting|sheriff|survival,http://www.imdb.com/title/tt0455407/?ref_=fn_tt_tt_1,R,20000000,894,2.35
Hayao Miyazaki,246,Ryûnosuke Kamiki,10049886,Bunta Sugawara,Spirited Away ,0,anime|bathhouse|pig|spirit|work,http://www.imdb.com/title/tt0245429/?ref_=fn_tt_tt_1,PG,19000000,10,1.85
Alan Yuen,23,Michael Wong,,Andy Lau,Firestorm ,1,die hard scenario|gunfight|hong kong police|police escort attacked|shootout,http://www.imdb.com/title/tt3341072/?ref_=fn_tt_tt_1,,,91,2.35
Roger Donaldson,29,Anthony Hopkins,8600000,Liam Neeson,The Bounty ,2,lieutenant|lifeboat|mutiny|sailing ship|ship,http://www.imdb.com/title/tt0086993/?ref_=fn_tt_tt_1,PG,25000000,12000,2.35
Brian Percival,252,Sophie Nélisse,21483154,Emily Watson,The Book Thief ,1,basement|book|girl|library|track,http://www.imdb.com/title/tt0816442/?ref_=fn_tt_tt_1,PG-13,19000000,526,2.35
Sean Anders,102,Michael Cudlitz,8396942,Katrina Bowden,Sex Drive ,1,amish|friend|friendship|high school|virgin,http://www.imdb.com/title/tt1135985/?ref_=fn_tt_tt_1,R,19000000,822,1.85
Anand Tucker,134,Kaitlin Olson,12561,Adam Scott,Leap Year ,2,ireland|irish|journey|tradition|travel,http://www.imdb.com/title/tt1216492/?ref_=fn_tt_tt_1,PG,19000000,547,2.35
