director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,content_rating,title_year,imdb_score
Nicholaus Goossen,61,90,4,Joel David Moore,2000,Comedy,Linda Cardellini,Grandma's Boy ,5202,0,co worker|game tester|loss of virginity|roommate|snack,202,USA,R,2006,7.0
Tamara Jenkins,60,91,84,Kevin Corrigan,1000,Comedy|Drama,Natasha Lyonne,Slums of Beverly Hills ,2691,0,flatulence|menstrual blood|nomad|nursing school|title directed by female,79,USA,R,1998,6.6
Sergio Leone,164,145,0,Woody Strode,973,Western,Claudia Cardinale,Once Upon a Time in the West ,2589,1,gang|gun|harmonica|killing|woman in bathtub,565,Italy,PG-13,1968,8.6
Jon Favreau,81,95,4000,Faizon Love,4000,Comedy|Crime|Drama|Thriller,Jon Favreau,Made ,5245,2,friendship|loudmouth|money laundering|new york city|stripper,165,USA,R,2001,6.4
Duncan Jones,415,97,0,Matt Berry,18000,Drama|Mystery|Sci-Fi,Kevin Spacey,Moon ,19404,0,computer|contract|earth|moon|solitude,485,UK,R,2009,7.9
Scott Marshall,43,90,7,Jami Gertz,2000,Comedy,Miranda Cosgrove,Keeping Up with the Steins ,5900,0,bar mitzvah|carried in a chair|hebrew|party|rite of passage,41,USA,PG-13,2006,5.4
Ronan Chapalain,7,41,0,Guillaume Denaiffe,55,Documentary,Norbert Ferrer,Sea Rex 3D: Journey to a Prehistoric World ,55,0,3d|imax|plesiosaur|sea|water,4,UK,,2010,6.9
Atom Egoyan,120,112,460,Sarah Polley,990,Drama,Bruce Greenwood,The Sweet Hereafter ,2820,0,anger|bus|child|lawyer|school,196,Canada,R,1997,7.7
Xavier Beauvois,195,122,22,Michael Lonsdale,186,Drama,Lambert Wilson,Of Gods and Men ,416,0,catholic church|community|monastery|monk|terrorist,89,France,PG-13,2010,7.2
Randall Miller,109,110,19,Freddy Rodríguez,25000,Comedy|Drama,Alan Rickman,Bottle Shock ,25676,0,airport|california|flat tire|overalls|wine,89,USA,PG-13,2008,6.8
Jerry Belson,21,87,3,Tim Thomerson,922,Comedy|Music|Sci-Fi,Cassandra Peterson,Jekyll and Hyde... Together Again ,1324,0,breasts growing|coors light|drugs|hospital|spinning in grave,32,USA,R,1982,6.2
Peter Jackson,93,108,0,Jed Brophy,14000,Biography|Crime|Drama|Romance|Thriller,Kate Winslet,Heavenly Creatures ,14574,2,fantasy life|friend|friendship|love|teenage crush,265,New Zealand,R,1994,7.4
Michael Polish,12,121,35,Bobby Batson,4000,Drama,Hayden Christensen,90 Minutes in Heaven ,6617,0,heaven|hospital|praying|pronounced dead|recovery,29,USA,PG-13,2015,4.6
Dan Rush,155,97,7,Scott Takeda,8000,Comedy|Drama,Will Ferrell,Everything Must Go ,10517,1,alcoholic|beer|bicycle|new neighbor|yard sale,86,USA,R,2010,6.4
Jake Kasdan,81,116,52,Ryan O'Neal,624,Comedy|Crime|Drama|Mystery|Thriller,Kim Dickens,Zero Effect ,1209,2,blackmail|client|private detective|private investigator|tycoon,151,USA,R,1998,7.0
Brad Anderson,204,94,122,Jennifer Jason Leigh,23000,Drama|Thriller,Christian Bale,The Machinist ,24994,0,alienation|conscience|insomnia|paranoia|urban gothic,458,Spain,R,2004,7.7
Paul Schrader,19,103,261,Jane Adams,722,Crime|Drama,Dana Delany,Light Sleeper ,1201,0,bare breasts|drugs|existentialism|new york city|redemption,39,USA,R,1992,6.8
Michael Cuesta,163,112,52,Paz Vega,10000,Biography|Crime|Drama|Mystery|Thriller,Jeremy Renner,Kill the Messenger ,12897,1,based on true story|cia|cocaine|journalist|smear campaign,99,USA,R,2014,7.0
John Cameron Mitchell,248,91,263,Jon Tenney,967,Drama,Dianne Wiest,Rabbit Hole ,1582,0,car|comic book|comic book artist|iphone|memory,144,USA,PG-13,2010,7.0
Fenton Bailey,39,98,13,Mia Kirshner,3000,Biography|Crime|Drama|Thriller,Macaulay Culkin,Party Monster ,5185,1,drug dealer|drugs|gay|homosexual|party,158,USA,R,2003,6.3
Jeremy Saulnier,322,95,57,Mark Webber,727,Crime|Horror|Music|Thriller,Alia Shawkat,Green Room ,1836,0,murder|neo nazi|punk band|skinhead|suspense,125,USA,R,2015,7.1
Billy Kent,50,88,0,Tim Russ,740,Comedy|Drama|Romance,Liza Minnelli,The Oh in Ohio ,1665,0,marriage|orgasm|school|sex|swimming,56,USA,R,2006,5.6
James Manera,12,99,0,Greg Germann,578,Drama|Mystery|Sci-Fi,Joaquim de Almeida,Atlas Shrugged: Who Is John Galt? ,3382,0,box office flop|critically bashed|economy|individual versus society|rescue,56,USA,PG-13,2014,4.4
Wes Anderson,83,91,0,Darryl Cox,387,Comedy|Crime|Drama,Andrew Wilson,Bottle Rocket ,648,0,caper|escapade|motel|robbery|texas,184,USA,R,1996,7.1
Kevin Spacey,37,97,18000,Joe Mantegna,10000,Crime|Drama|Thriller,Viggo Mortensen,Albino Alligator ,13718,3,bar|box office flop|hostage|new orleans louisiana|police,69,USA,R,1996,6.1
Feroz Abbas Khan,16,136,0,Bhoomika Chawla,75,Biography|Drama|History,Akshaye Khanna,"Gandhi, My Father ",172,0,africa|hindu|india|muslim|south africa,25,India,,2007,7.4
Errol Morris,121,118,239,Megan Ambuhl Graner,6,Crime|Documentary|War,Jeffrey Frost,Standard Operating Procedure ,6,0,abu ghraib|abuse|prison|slow motion|torture,22,USA,R,2008,7.5
Dennis Hopper,24,94,0,Don Gordon,311,Drama,Raymond Burr,Out of the Blue ,498,1,explosion|hitchhiking|punk|trauma|truck driver,27,Canada,R,1980,7.2
Eli Craig,324,89,27,Tyler Labine,948,Comedy|Horror,Katrina Bowden,Tucker and Dale vs Evil ,2958,1,cabin|chainsaw|college kid|hillbilly|vacation,200,Canada,R,2010,7.6
Nicholas Fackler,27,90,6,Ellen Burstyn,3000,Drama|Romance,Adam Scott,"Lovely, Still ",4987,0,christmas|fable|old man,15,USA,PG,2008,7.3
