director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,gross,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
John Landis,82,83,644,Barry Dennen,,The Kentucky Fried Movie ,190,Tara Strohmeier,0,fake commercial|fake newscast|fake trailer|parody|spoof,650000,1977,29,6.5,0
Jon Gunn,15,106,16,David A.R. White,171988,Mercy Streets ,1281,Cynthia Watros,1,church|cigarette smoking|deacon|twin brother|twins,600000,2000,266,5.6,12
Gene Teigland,,103,0,Matthew Feeney,23616,Arnolds Park ,85,Tac Fitzgerald,4,,600000,2007,20,5.6,11
Scott Ziehl,18,90,4,Jason London,13493,Broken Vessels ,2288,Brent David Fraser,0,independent film|katana sword|los angeles storm drain,600000,1998,711,6.6,51
Richard Montoya,,88,12,Angela Nordeng,79043,Water & Power ,2241,Exie Booker,0,,,2013,371,6.3,358
Johanna Schwartz,22,105,0,Garba Touré,,They Will Have to Kill Us First ,0,Khaira Arby,3,,400000,2015,0,7.7,34
William Gazecki,15,115,3,Colin Andrews,,Crop Circles: Quest for Truth ,0,Francine Blake,0,crop circle|intelligence|paranormal|phenomenon|universe,750000,2002,0,7.0,32
Lance McDaniel,,90,0,Steven Michael Quezada,,Light from the Darkroom ,1754,Lymari Nadal,0,china|faith|panama|photography|suspense,600000,2014,412,8.0,9
Thomas Lilti,18,102,12,Félix Moati,,Irreplaceable ,553,Marianne Denicourt,2,doctor|hospital|mayor|no opening credits|title at the end,,2016,8,7.2,36
Michael Walker,8,98,5,Annabella Sciorra,,The Maid's Room ,1707,John Brodsky,0,,600000,2013,448,4.5,128
Richard Lester,105,87,44,Ringo Starr,515005,A Hard Day's Night ,2538,George Harrison,1,boy|concert|drummer|manager|television,560000,1964,725,7.7,0
U. Roberto Romano,3,80,6,,2245,The Harvest/La Cosecha ,0,,0,child labor|education|hispanic|labor|migration,560000,2011,,7.2,88
Amy Holden Jones,4,88,11,Sally Kirkland,,Love Letters ,2996,Amy Madigan,1,1980s|affair|female protagonist|radio|woman wearing only a man's shirt,550000,1983,433,6.1,7
Blaz Zavrsnik,2,83,0,Spela Colja,,Julija in alfa Romeo ,0,Andrej Nahtigal,6,,500000,2015,0,6.4,18
Alex Kendrick,50,122,589,Ken Bevel,33451479,Fireproof ,1164,Erin Bethea,0,christian film|dare|firefighter|internet pornography|marriage,500000,2008,153,6.5,0
Pan Nalin,19,115,95,Pant Shirt Baba,,Faith Connections ,0,Shriman Umeshanad Brahmachari,1,faith|ganja|kumbh mela|little boy|orphan,550000,2013,0,7.0,126
Joe Camp,5,86,24,Peter Breck,39552600,Benji ,1090,Edgar Buchanan,0,animal abuse|cat|dog|dog movie|tween girl,500000,1974,189,6.1,816
Chris Kentis,235,79,9,Saul Stein,30500882,Open Water ,67,Daniel Travis,1,bare chested male|female full frontal nudity|hairy chest|male full frontal nudity|nude with glasses,500000,2003,10,5.7,0
Matt Walsh,8,87,490,Matt Jones,,High Road ,2295,Abby Elliott,6,,,2011,523,5.4,244
John 'Bud' Cardos,95,97,8,Hoke Howell,17000000,Kingdom of the Spiders ,516,Tiffany Bolling,0,death|farm|hotel|spider|tarantula,500000,1977,23,5.9,0
Marilyn Agrelo,84,105,2,Eva Carrozza,8044906,Mad Hot Ballroom ,0,Paul Daggett,2,ballroom dancing|new york city|poise|self confidence|teacher,,2005,0,7.5,588
Tom McCarthy,154,89,310,Joe Lo Truglio,5739376,The Station Agent ,24419,Paula Garcés,0,abandoned|depot|dwarf|newfoundland new jersey|train,500000,2003,833,7.7,0
Brian Baugh,20,120,3,Sean Michael Afable,3773863,To Save a Life ,2563,D. David Morin,1,basketball|beer pong|childhood friend|christian|suicide,1000000,2009,801,7.1,0
Patrick Creadon,88,94,3,Bill Clinton,3117666,Wordplay ,382,Bob Dole,0,comedian|crossword puzzle|editor|new york times|puzzle,,2006,184,7.4,694
Barry W. Blaustein,70,108,6,Vince McMahon,2047570,Beyond the Mat ,194,Mick Foley,3,championship|drugs|three word title|wrestler|wrestling,500000,1999,44,7.6,491
Kurt Hale,5,102,0,Lincoln Hoppe,1250798,The Singles Ward ,161,Daryn Tufts,0,church|love|marriage|mormon|single,500000,2002,24,6.4,43
Siddiq Barmak,105,83,6,Zubaida Sahar,1127331,Osama ,30,Mohamad Haref Harati,1,boy|girl|hair|school|taliban,46000,2003,0,7.4,0
Joseph Dorman,29,93,0,Peter Riegert,906666,Sholem Aleichem: Laughing in the Darkness ,660,Jason Kravits,1,jewish identity,500000,2011,169,6.8,287
Greg Harrison,46,86,7,Ari Gold,1114943,Groove ,407,Denny Kirkwood,0,dj|ecstasy the drug|rave|raver|warehouse,500000,2000,27,6.5,0
Kurt Hale,3,101,0,Big Budah,1111615,The R.M. ,155,Curt Doussett,0,latter day saints|missionary|pickup truck|police|video camera,500000,2003,34,6.0,44
Michael Polish,54,111,35,William Katt,985341,Twin Falls Idaho ,3166,Jon Gries,0,conjoined twins|independent film|low budget film|separation|twin,500000,1999,505,7.3,180
Jacob Aaron Estes,126,90,9,Scott Mechlowicz,603943,Mean Creek ,2655,Trevor Morgan,0,boat|bully|dare|friend|river,500000,2004,634,7.3,1000
Morgan J. Freeman,17,86,204,Heather Matarazzo,334041,Hurricane Streets ,2322,Lynn Cohen,3,gang|new mexico|prison|smuggling|theft,500000,1997,529,6.5,51
Eric Schaeffer,25,98,71,Bill Duke,295468,Never Again ,24382,Michael McKean,1,bar|gay bar|love|mother son relationship|new york,500000,2001,1000,6.0,139
Neema Barnette,11,91,21,LisaRaye McCoy,243347,Civil Brand ,2555,Clifton Powell,3,abuse of power|friendship|prison|prison guard|title directed by female,500000,2002,485,5.3,86
Steve Buscemi,81,91,12000,Seymour Cassel,154077,Lonesome Jim ,1440,Mary Kay Place,0,bail|coma|dart board|indiana|ladder factory,500000,2005,327,6.6,238
Joe Swanberg,155,90,217,Anna Kendrick,342936,Drinking Buddies ,20480,Ti West,5,brewery|co worker|male female friendship|u haul truck|woman wearing a string bikini,,2013,10000,6.1,0
Molly Bernstein,39,88,0,Ricky Jay,151389,Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,483,Dick Cavett,0,stage magician,500000,2012,79,7.1,590
Akira Kurosawa,153,202,0,Minoru Chiaki,269061,Seven Samurai ,338,Kamatari Fujiwara,6,16th century|battle|japan|practice|samurai,2000000,1954,8,8.7,11000
Marius A. Markevicius,26,89,6,Greg Speirs,133778,The Other Dream Team ,44,Mickey Hart,1,basketball|basketball team|grateful dead|lithuanian|olympics,500000,2012,9,8.4,0
Tom DiCillo,10,97,32,Tina Louise,,Johnny Suede ,11839,Nick Cave,0,idol|musician|vomiting|watching television|wyoming,500000,1991,422,5.8,344
Justin Lin,35,84,681,Jake Sandvig,52850,Finishing the Game: The Search for a New Bruce Lee ,734,Joe McQueen,0,bruce lee|jeet kune do|karate|satire|spoof,500000,2007,172,6.2,155
Quentin Dupieux,230,82,248,Jack Plotnick,98017,Rubber ,1498,Cecelia Antoinette,0,desert|dump|show|spectator|tire,500000,2010,248,5.8,46000
Tim Johnson,165,94,12,Matt Jones,177343675,Home ,17883,April Winchell,0,alien friendship|alien invasion|australia|flying car|mother daughter relationship,135000000,2015,523,6.7,26000
C. Jay Cox,9,100,6,Amber Benson,31937,Kiss the Bride ,2310,Garrett M. Brown,3,best friend|high school|love|secret|wedding,500000,2007,326,5.7,60
Alex Smith,17,112,12,Clea DuVall,13134,The Slaughter Rule ,35294,Eddie Spears,2,cheerleader|father son relationship|football coach|loss of father|mother son relationship,500000,2002,1000,6.1,183
Gareth Edwards,344,94,380,Whitney Able,237301,Monsters ,1118,Ricky Catter,0,alien|alien invasion|destroyed building|destruction|mexico,500000,2010,280,6.4,19000
Jonathan Parker,2,87,0,Joanne Whalley,,The Californians ,1924,Illeana Douglas,3,based on novel,,2005,507,5.0,29
Sol Tryon,28,91,0,Ann Dowd,12055,The Living Wake ,1047,Matthew Cowles,2,artist|black comedy,500000,2007,185,6.5,339
Alex Craig Mann,29,87,38,Christa B. Allen,1332,Detention of the Dead ,2251,Max Adler,6,based on play|blood|independent film|teenager|zombie,500000,2012,533,4.6,898
Hao Ning,11,98,0,Zheng Xu,,Crazy Stone ,8,Zhonghua Chen,1,bankruptcy|crystal|father son relationship|heist|shower,3000000,2006,4,7.7,23
Stephen Kijak,48,95,3,Jacques Brel,,Scott Walker: 30 Century Man ,119,Damon Albarn,0,avant garde|british pop|character name in title|musician|number in title,500000,2006,27,7.3,808
Marc Forster,24,87,395,Alan Ruck,,Everything Put Together ,3309,Megan Mullally,0,group of friends|mental breakdown|mental instability|morgue|sudden infant death syndrome,100000,2000,946,6.6,22
Andrew Niccol,166,102,487,Zoë Kravitz,316842,Good Kill ,2099,Stafford Douglas,0,cigarette butt|drone|funeral procession|nellis air force base|taliban,,2014,943,6.4,0
Daston Kalili,,127,2,Rai Alexandra,,Insomnia Manica ,2,Chin-Chien Chang,0,,500000,2005,0,5.8,0
William Gazecki,9,96,3,Bruce Vilanch,,The Outrageous Sophie Tucker ,1235,Tony Bennett,1,,500000,2014,244,7.2,16
Ol Parker,48,103,21,Olivia Williams,,Now Is Good ,26999,Paddy Considine,3,death|dying|leukemia|teenage girl|terminal illness,,2012,766,7.2,0
Michael Hoffman Jr.,64,104,32,John McGlothlin,,Girls Gone Dead ,2102,Al Sapienza,2,mini skirt|party|spring break|voyeur|war hammer,500000,2012,492,3.5,0
Patrick Gilles,,90,0,Dylan Baker,,America Is Still the Place ,3359,Mike Colter,0,,,2015,812,7.5,337
Georgia Hilton,1,122,406,Tim Abell,,Subconscious ,1038,Tom Stedham,0,military|submarine|suspense|time travel|world war two,,2015,317,2.2,353
Tamra Davis,111,93,33,Katherine Boecher,37188667,Crossroads ,1531,Dave Allen,1,audition|friendship|graduation|high school graduation|love,12000000,2002,188,3.3,0
Jack Heller,26,90,0,Katherine Waterston,,Enter Nowhere ,630,Christopher Denham,3,cabin|going in circles|pac man|stranger|woods,500000,2011,178,6.6,701
Fernando Baez Mella,1,101,0,Christian Alvarez,,The King of Najayo ,206,Claudette Lalí,1,,500000,2012,15,6.9,126
Warren Sheppard,3,94,0,Randy Jay Burrell,,Fight to the Finish ,2091,Vincent De Paul,0,fighting|karate,150000,2016,402,4.0,381
Darren Lynn Bousman,10,97,163,Barry Bostwick,,Alleluia! The Devil's Carnival ,2438,Terrance Zdunich,5,carnival|devil|redemption|reference to god,500000,2016,456,7.4,707
Justin Paul Miller,1,90,0,Jennifer Landa,,The Sound and the Shadow ,254,Felix Avitia,0,,,2014,41,8.3,70
Joel Paul Reisig,1,108,431,Joel Paul Reisig,,Rodeo Girl ,1628,Yassie Hawkes,2,,500000,2016,431,5.7,0
Catherine Gund,10,82,0,Sarah Callan,21199,Born to Fly: Elizabeth Streb vs. Gravity ,0,Laura Flanders,1,three word title,500000,2014,0,6.8,44
Luke Dye,1,84,0,Jeff Delaney,,The Little Ponderosa Zoo ,683,Jamison Stalsworth,2,,500000,2016,169,5.2,9
Sam Raimi,525,130,0,Mila Kunis,234903076,Oz the Great and Powerful ,73441,James Franco,4,circus|magic|magician|oz|witch,215000000,2013,15000,6.4,60000
Michael Herz,96,91,6,Mark Torgl,,The Toxic Avenger ,553,Pat Ryan,0,boy|health club|superhero|toxic waste|troma,475000,1984,11,6.2,0
Matty Rich,8,91,10,George T. Odom,2712293,Straight Out of Brooklyn ,380,Matty Rich,4,domestic violence|housing project|new york city|poverty|racism,450000,1991,12,5.9,123
Paul Greengrass,92,107,521,Nicholas Farrell,768045,Bloody Sunday ,976,Tim Pigott-Smith,0,civil rights|irish|march|northern ireland|protest march,2000000,2002,89,7.7,0
Alec Asten,1,82,5,Dennis L.A. White,,Diamond Ruff ,1752,Fredro Starr,6,prison|prisoner|reverend|terminal illness|two word title,500000,2015,251,4.3,62
Hans Canosa,365,84,3,Thomas Lennon,379122,Conversations with Other Women ,12496,Nora Zehetner,0,female frontal nudity|filming a wedding|lingerie slip|memory|wedding,450000,2005,651,7.1,0
Lloyd Kaufman,88,103,365,Lloyd Kaufman,23000,Poultrygeist: Night of the Chicken Dead ,1411,Kate Graham,0,castration|chicken|fast food|indian burial ground|protest,500000,2006,365,6.2,0
Matthew Watts,3,86,0,Cheyenne Jackson,,Mutual Friends ,2830,Michael Stahl-David,1,bromance|manhattan new york city|new york city|photograph|surprise,450000,2013,469,6.8,31
Lloyd Bacon,65,89,24,Dick Powell,2300000,42nd Street ,995,George Brent,2,chorus girl|chorus line|director|gala premiere|song,439000,1933,105,7.7,439
Joe Kenemore,,52,0,Jack Canfield,,Rise of the Entrepreneur: The Search for a Better Way ,10,Eric Worre,0,business|entrepreneur|network marketing,450000,2014,2,8.2,460
Whit Stillman,71,98,89,Taylor Nichols,2938208,Metropolitan ,173,Ellia Thompson,1,apartment|dancing|debutante|new york|upper class,225000,1990,74,7.5,865
Kay Pollak,34,133,10,Frida Hallgren,9910,As It Is in Heaven ,774,Nils-Anders Vallgårda,15,amazing grace the hymn|choir|heart attack|hometown|skidding truck,25000000,2004,24,7.6,0
Eric England,15,81,15,Ace Marrero,,Roadside ,1151,Alan Pietruszewski,0,dog|gun|hostage|husband wife relationship|jealousy,,2013,94,4.1,61
Jared Hess,220,92,100,Diedrich Bader,44540956,Napoleon Dynamite ,3950,Jon Gries,0,class president|family relationships|friend|high school|jock,400000,2004,759,6.9,0
Jeremy Saulnier,279,90,57,Eve Plumb,258113,Blue Ruin ,1528,Amy Hargreaves,0,blood splatter|car|neo noir|vengeance|vomiting,1066167,2013,235,7.1,0
Oren Peli,409,84,110,Ashley Palmer,107917283,Paranormal Activity ,330,Amber Armstrong,0,dark force|entity|evil force|found footage|paranormal phenomenon,15000,2007,109,6.3,12000
Stacy Peralta,86,91,147,Jay Adams,1293295,Dogtown and Z-Boys ,54,Jeff Ament,0,california|drought|playground|skateboarding|surfer,,2001,20,7.7,0
Terry Gilliam,131,91,0,Michael Palin,1229197,Monty Python and the Holy Grail ,2158,Terry Jones,0,camelot|holy grail|king arthur|knight|lancelot,229575,1975,561,8.3,14000
Richard Glatzer,69,90,25,Jesse Garcia,1689999,Quinceañera ,771,Alicia Sixtos,1,15th birthday|birthday|gay|party|security guard,400000,2006,200,7.1,426
Sue Corcoran,8,96,14,Sue Corcoran,11798,Gory Gory Hallelujah ,387,David Frederick White,2,conspiracy|feminist|hippie|motorcycle|slapstick comedy,100000,2003,14,4.7,39
,75,60,,Masi Oka,,Heroes             ,4908,Greg Grunberg,4,father daughter relationship|serial killer|superhero|supernatural power|vision of the future,,,923,7.7,0
Jonathan Caouette,72,88,20,Jonathan Caouette,592014,Tarnation ,78,Renee Leblanc,3,answering machine|home movie|lithium|schizophrenic|video diary,218,2003,20,7.2,754
Ray Griggs,4,92,4,Chris Cox,425899,I Want Your Money ,168,Mike Huckabee,0,,400000,2010,31,5.1,638
Matt Jackson,9,97,0,Paul Elia,,Love in the Time of Monsters ,2350,Alex Sanborn,3,bigfoot|love|monster|sasquatch|tourist,500000,2014,709,5.4,194
Lucio Fulci,203,82,385,David Warbeck,126387,The Beyond ,123,Al Cliver,0,doctor|hell|hotel|painter|plumber,400000,1981,22,6.9,2000
,11,22,,Ron Lynch,,Home Movies             ,81,Melissa Bardin Galsky,0,coach|friend|school|series|tv series,,,11,8.2,526
Tom Vaughan,148,101,12,Andrew Daly,80276912,What Happens in Vegas ,1026,Michelle Krusiec,2,casino|father son relationship|jackpot|judge|wedding,35000000,2008,171,6.1,0
Paul Fox,80,80,3,Jeff Seymour,,The Dark Hours ,272,Gordon Currie,0,brain tumor|champagne|game|psychiatrist|weekend,500000,2005,64,6.1,166
Stephen Frears,46,97,350,Roshan Seth,,My Beautiful Laundrette ,260,Garry Cooper,1,england|mistress|pakistani|politics|thatcher,650000,1985,61,6.9,0
Ari Kirschenbaum,8,84,0,Adam LeFevre,25918,Fabled ,312,Desmond Askew,0,,,2002,80,5.8,7
Cassandra Nicolaou,10,97,0,Michelle Nolden,,Show Me ,1163,Gabriel Hogan,0,bathtub|implied incest|lesbian|squeegee|tied to a chair,900000,2004,100,6.0,12
Ingmar Bergman,76,91,0,Ingrid Thulin,,Cries & Whispers ,809,Erland Josephson,0,dying|love|mansion|selfishness|turn of the century,400000,1972,132,8.2,0
D.W. Griffith,69,123,204,Mae Marsh,,Intolerance: Love's Struggle Throughout the Ages ,481,Walter Long,1,huguenot|intolerance|medicis|protestant|wedding,385907,1916,22,8.0,691
Roger Nygard,43,86,3,DeForest Kelley,617172,Trekkies ,2864,James Doohan,1,autograph|dentist|outer space|star trek|telephone call,375000,1997,606,7.0,672
Harry Beaumont,36,100,4,Bessie Love,2808000,The Broadway Melody ,109,Charles King,8,sibling rivalry|singer|sister act|whistling|wisecrack humor,379000,1929,28,6.3,167
Sam Raimi,304,96,0,Betsy Baker,,The Evil Dead ,813,Ellen Sandweiss,0,cult director|cult film|evil dead|necronomicon|psychotronic film,375000,1981,66,7.6,12000
Franck Khalfoun,279,89,33,Nora Arnezeder,12843,Maniac ,1233,Liane Balaban,0,exhibition|mannequin|obsession|oral sex|photographer,6000000,2012,378,6.1,0
Mor Loushy,23,84,0,,34151,Censored Voices ,3,,0,,450000,2015,,7.2,111
Henry Alex Rubin,110,88,30,Joe Bishop,1523883,Murderball ,15,Andy Cohn,1,paralympics|quad rugby|rugby|team|wheelchair,1750211,2005,0,7.8,0
Sam Firstenberg,40,90,44,Steve James,4000000,American Ninja 2: The Confrontation ,872,Larry Poindexter,0,blood splatter|island|motorboat|ninja|sequel to cult film,350000,1987,96,4.7,583
Doug Block,45,90,0,Ellen Block,84689,51 Birch Street ,0,Mike Block,2,address as title|number in title|parents,,2005,0,7.5,70
,23,43,,Tracy Spiridakos,,Revolution             ,5052,David Lyons,6,2020s|near future|one word series title|post apocalypse|year 2027,,,821,6.7,17000
Chad Kapper,4,98,0,Natalie Welch,,Rotor DR1 ,199,Christian Kapper,2,drone|playing with gun|post apocalypse|road trip|working class family,350000,2015,3,3.4,240
John Carpenter,318,101,0,Donald Pleasence,47000000,Halloween ,4400,P.J. Soles,0,halloween|masked killer|michael myers|slasher|trick or treat,300000,1978,742,7.9,12000
Sidney Lumet,177,96,0,Lee J. Cobb,,12 Angry Men ,1433,John Fiedler,1,courtroom|dialogue driven|dialogue driven storyline|jury|murder,350000,1957,259,8.9,40000
Paul Fierlinger,51,83,3,Peter Gerety,246574,My Dog Tulip ,1370,Lynn Redgrave,0,autobiography|dog movie|german shepherd|memoir|old man,,2009,277,6.9,675
Frank Capra,124,65,964,Alan Hale,,It Happened One Night ,540,Walter Connolly,1,bus|detective|love|money|reporter,325000,1934,114,8.2,0
Yorgos Lanthimos,211,94,252,Mary Tsoni,110197,Dogtooth ,126,Sissy Petropoulou,0,fellatio|isolated house|overprotective father|social isolation|unsimulated sex,,2009,37,7.3,13000
Lauren Lazin,26,112,2,Gary Coleman,7707563,Tupac: Resurrection ,2638,Todd Bridges,0,hip hop|name in title|rap star|rapper|reference to tupac shakur,,2003,633,8.0,0
Gavin O'Connor,64,102,149,Janet McTeer,1281176,Tumbleweeds ,1986,Lois Smith,1,boss|fight|reference to william shakespeare|white trash|written and directed by cast member,312000,1999,277,6.7,121
Gregory Widen,56,98,10,Adam Goldberg,16115878,The Prophecy ,13433,Virginia Madsen,0,angel|corpse|girl|heaven|soul,8000000,1995,1000,6.6,0
Cédric Klapisch,29,91,82,Zinedine Soualem,1652472,When the Cat's Away ,102,Jane Bradbury,7,cat|homosexual sex|male homosexuality|neighborhood|noisy neighbor,300000,1996,9,6.9,166
Peter Hedges,131,80,54,Adrian Martinez,2360184,Pieces of April ,3010,Derek Luke,3,apartment|oven|stove|thanksgiving|thanksgiving dinner,300000,2003,806,7.1,0
