director_name,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,num_user_for_reviews,budget
Peter Medak,34,541,Michael Wincott,3275585,Action|Crime|Drama|Thriller,Gary Oldman,Romeo Is Bleeding ,13160,1,detective|police|protection|russian|sergeant,88,11500000
Steven Soderbergh,0,132,Lesley Ann Warren,3193102,Crime|Drama|Mystery|Thriller,Peter Fonda,The Limey ,1335,0,daughter|englishman|ex con|revenge|young woman,240,9000000
Paul Haggis,549,911,Loretta Devine,54557348,Crime|Drama|Thriller,Don Cheadle,Crash ,5732,0,race relations|racism|racist|social problem|stereotype,1624,6500000
Terence Davies,25,553,Anthony LaPaglia,3041803,Drama|Romance,Eric Stoltz,The House of Mirth ,2735,0,high society|love|money|reputation|wealth,181,10000000
Harley Cokeliss,4,311,Tracey Walter,3060858,Action|Drama|Thriller,Cliff Robertson,Malone ,1891,4,assassin|box office flop|cia|farmer|power,37,10000000
Victor Salva,108,400,Tim DeKay,1055654,Drama|Romance|Sport,Scott Mechlowicz,Peaceful Warrior ,2673,1,college|college athlete|comeback|gymnast|olympics,175,10000000
Tom Brady,105,269,Kevin Nealon,2331318,Comedy,Don Johnson,Bucky Larson: Born to Be a Star ,2603,1,diner|eating a banana|masturbation|porn star|shooting a pornographic movie,64,10000000
Spike Lee,0,851,Michael Rapaport,2185266,Comedy|Drama|Music,Gillian White,Bamboozled ,4266,0,actor|minstrel show|protest|success|writer,186,10000000
Jason Zada,4,4,Stephanie Vogt,26583369,Horror|Mystery|Thriller,Eoin Macken,The Forest ,578,1,forest|japan|suicide|suicide forest|supernatural,127,10000000
Franklin J. Schaffner,76,249,William Hootkins,800000,Adventure|Mystery|Thriller,Frank Langella,Sphinx ,2079,0,bat|curse|egyptologist|mummy|murder,21,14000000
Noah Baumbach,387,64,Maria Dizzia,7574066,Comedy|Drama,Naomi Watts,While We're Young ,6322,2,documentary filmmaker|documentary filmmaking|father in law|generation z|hipster,96,10000000
Chris Weitz,129,221,Eddie 'Piolin' Sotelo,1754319,Drama|Romance,Demián Bichir,A Better Life ,2214,0,gang|gardener|money|police|truck,81,10000000
David Cronenberg,0,258,John Neville,1641788,Drama|Mystery|Thriller,Miranda Richardson,Spider ,1381,0,halfway house|key|reality|schizophrenia|spider,213,8000000
Eric Blakeney,3,826,Oliver Platt,1631839,Comedy|Crime|Romance,Liam Neeson,Gun Shy ,17665,0,colombian|enema|group therapy|murder|nurse,91,10000000
Douglas McGrath,41,1000,Anne Hathaway,1309849,Drama|Romance,Charlie Hunnam,Nicholas Nickleby ,29177,1,boy|boys' school|death|friend|orphan,103,10000000
Ariel Vromen,34,683,James Franco,1939441,Biography|Crime|Drama,Chris Evans,The Iceman ,23187,1,based on true story|contract killer|crime family|murder of a girl|serial murderer,144,10000000
,,2,Olaf Lubaszenko,447093,Drama,Krystyna Janda,Dekalog             ,25,0,meaning of life|moral challenge|morality|search for meaning|ten commandments,37,
Rakesh Roshan,53,45,Rekha,,Action|Adventure|Romance|Sci-Fi,Naseeruddin Shah,Krrish ,616,0,breaking the fourth wall|breaking the fourth wall by talking to the audience|computer|mask|singapore,110,10000000
John Waters,0,503,Melanie Griffith,1276984,Comedy|Crime|Thriller,Alicia Witt,Cecil B. DeMented ,3059,2,actress|drive in|female protagonist|movie star|woman shot in the forehead,150,10000000
William Friedkin,607,251,Scott A. Martin,1987762,Crime|Drama|Romance|Thriller,Matthew McConaughey,Killer Joe ,11853,0,female nudity|female pubic hair|lingerie|neo noir|pubic hair,216,11000000
Derrick Borte,17,688,Gary Cole,1474508,Comedy|Drama,Demi Moore,The Joneses ,4607,4,envy|fake family|gadget|materialism|unhappy marriage,88,5000000
Richard Kwietniowski,23,232,Minnie Driver,1011054,Crime|Drama|Thriller,Philip Seymour Hoffman,Owning Mahowny ,23513,1,bank|bank fraud|bank manager|gambling|toronto,83,10000000
Bob Odenkirk,0,622,Lee Majors,900926,Comedy,Jenna Fischer,The Brothers Solomon ,3307,2,antarctica|coma|neighbor|phd|pregnancy,46,10000000
Kar-Wai Wong,0,20,Norah Jones,866778,Drama|Romance,Natalie Portman,My Blueberry Nights ,20364,3,blueberry pie|diner|nevada|new york city|pie,117,10000000
John Turturro,0,54,Ben Gazzara,836641,Drama,Beverly D'Angelo,Illuminata ,1585,0,critic|new york|new york city|playwright|theater critic,40,
Guy Ritchie,0,119,Jeanne Tripplehorn,598645,Comedy|Romance,Bruce Greenwood,Swept Away ,2006,0,island|sailor|storm|stranded|vacation,215,10000000
Joshua Seftel,0,91,Sergej Trifunovic,578527,Action|Comedy|Thriller,Bashar Rahal,"War, Inc. ",988,3,assassin|corporation|pop star|reporter|satire,112,10000000
Stephen Chow,0,51,Karen Mok,488872,Action|Comedy|Sport,Wei Zhao,Shaolin Soccer ,700,2,cult film|kung fu|martial arts|shaolin|soccer,243,10000000
Vincent Gallo,787,0,Cheryl Tiegs,365734,Drama,Vincent Gallo,The Brown Bunny ,883,0,boyfriend girlfriend relationship|erection|female frontal nudity|gang rape|prostitute,226,10000000
Claude Chabrol,324,28,François Cluzet,231417,Comedy|Crime|Thriller,Isabelle Huppert,The Swindle ,1256,0,con|con artist|money|scam|sils maria,21,60000000
Jon Stewart,593,241,Claire Foy,3093491,Biography|Drama,Numan Acar,Rosewater ,1283,0,based on true story|hijab|journalism|prison|reference to mahmoud ahmedinejad,37,5000000
Bigas Luna,163,34,Aitana Sánchez-Gijón,244465,Drama|Romance,Olivier Martinez,The Chambermaid on the Titanic ,1019,1,foundry|foundry worker|french|friend|titanic,14,
Ralph Fiennes,0,131,Ashraf Barhom,756452,Drama|Thriller|War,Gerard Butler,Coriolanus ,18652,0,modern day adaptation|reference to william shakespeare|shakespeare in modern dress|shakespeare play|shakespeare's coriolanus,118,
Dan Harris,24,83,Ryan Donowho,228524,Comedy|Drama,Kip Pardue,Imaginary Heroes ,768,2,cat|christmas song|lawn mowing|leave of absence|medication,56,4000000
Mel Smith,302,428,Danny Dyer,226792,Action|Comedy|Drama,Minnie Driver,High Heels and Low Lifes ,3049,2,attempted murder|blackmail|diver's watch|nurse|satire,44,10000000
Bobcat Goldthwait,800,334,Daryl Sabara,221210,Comedy|Drama,Robin Williams,World's Greatest Dad ,50542,1,black comedy|fictional talk show|high school teacher|phony suicide note|teacher,129,
Christopher Smith,76,345,Toby Stephens,136432,Comedy|Horror|Thriller,Danny Dyer,Severance ,2217,0,blood splatter|eastern europe|female nudity|pine forest|team building,194,5000000
Stuart Gordon,216,885,Dulé Hill,131617,Drama|Thriller,Joe Mantegna,Edmond ,5761,1,bipolar disorder|sodomy|stabbing|street life|violence,119,10000000
Jake Scott,26,146,Ally Sheedy,152857,Drama,Kristen Stewart,Welcome to the Rileys ,18236,3,businessman|prostitute|street|stripper|travel,56,
Alan Metter,3,421,Michael Winslow,126247,Comedy|Crime,Christopher Lee,Police Academy: Mission to Moscow ,17469,0,captain|commandant|mafia|russian mafia|security system,103,6200000
Jeb Stuart,11,553,Nate Parker,82739,Drama,Ricky Schroder,Blood Done Sign My Name ,4579,0,based on autobiography|based on novel|based on true story|murder|racism,3,
Rafa Lara,21,36,Andrés Montiel,169379,Drama|History|War,Jorge Luis Moreno,"Cinco de Mayo, La Batalla ",221,1,,3,10000000
Michael Radford,53,499,Jared Gilman,,Comedy|Drama|Romance,Chris Noth,Elsa & Fred ,3465,0,apartment|death of protagonist|follow that car|la dolce vita|love,18,10000000
Arthur Hiller,71,385,Harvey Weinstein,15447,Comedy,Eric Idle,An Alan Smithee Film: Burn Hollywood Burn ,2655,0,box office flop|critically bashed|director|hollywood|mockumentary,85,10000000
Michael Meredith,7,875,Justin Timberlake,19348,Comedy|Drama,Jeff Bridges,The Open Road ,16118,2,american south|baseball|farmland|motel|road trip,11,10000000
Julio DePietro,0,617,Scott Porter,100503,Comedy|Romance,Adrian Martinez,The Good Guy ,3124,2,book club|cheating boyfriend|job promotion|manhattan new york city|new york city,20,8000000
Katherine Dieckmann,8,495,Minnie Driver,92900,Comedy|Drama,Stephanie Szostak,Motherhood ,3146,1,birthday|birthday party|delivery man|mother|neighbor,23,5000000
William Dear,50,422,Corbin Bleu,140987,Drama,Madison Pettis,Free Style ,2519,3,,4,
Kim Farrant,93,51,Reef Ireland,,Drama|Mystery|Thriller,Nicholas Hamilton,Strangerland ,285,0,australian|desert|mother daughter relationship|mother son relationship|promiscuity,57,10000000
Marcus Raboy,7,240,Tamala Jones,,Comedy|Crime|Music,Mike Epps,The Janky Promoters ,1936,2,bigger dreams|concert promoter|hotel maid|pep talk|rap concert,10,
Scott Marshall,7,611,Drew Waters,5561,Comedy|Romance,Drew Fuller,Blonde Ambition ,4725,1,boss|business|career|confidence|female protagonist,34,10000000
Álex de la Iglesia,275,102,Leonor Watling,3607,Crime|Mystery|Thriller,Jim Carter,The Oxford Murders ,940,4,landlady|lecture|murder|oxford university|symbol,94,10000000
Andrew Traucki,10,72,Gyton Grantley,,Horror|Thriller,Damian Walshe-Howling,The Reef ,375,0,boat|great white shark|killing an animal|shark|underwater,89,
Michael Clancy,0,742,Rip Torn,70527,Comedy|Drama,Zooey Deschanel,Eulogy ,14656,6,dysfunctional family|family relationships|family reunion|funeral|twin,68,6500000
Patrick Lussier,71,126,Craig Fairbrass,,Drama|Fantasy|Horror|Thriller,Teryl Rothery,White Noise 2: The Light ,934,0,angry spirit|aura|electronic voice phenomena|electronics|near death experience,82,10000000
Robert Adetuyi,8,111,Mishael Morgan,,Drama|Music,Shane Pollard,You Got Served: Beat the World ,964,0,,11,10000000
Kari Skogland,13,415,Kevin Zegers,,Drama|Thriller,Jim Sturgess,Fifty Dead Men Walking ,7637,1,1980s|ira|near death experience|title directed by female|what happened to epilogue,38,6000000
Taedong Park,0,196,Tom Arnold,,Adventure|Animation,Drake Bell,Jungle Shuffle ,2259,0,,2,10000000
Paul Schrader,261,520,Ayelet Zurer,,Drama|War,Veronica Ferres,Adam Resurrected ,31325,2,circus|dog|entertainer|holocaust|patient,31,10000000
Benedikt Erlingsson,4,5,Charlotte Bøving,11835,Comedy|Drama|Romance,Ingvar Eggert Sigurðsson,Of Horses and Men ,81,0,barbed wire|barbed wire fence|horse|nature|snowstorm,7,10000000
Gurinder Chadha,98,95,Mark Addy,,Comedy|Drama|Horror|Romance,Sendhil Ramamurthy,It's a Wonderful Afterlife ,2227,1,afterlife|indian|murder|overweight woman|police,16,10000000
Jason Connery,110,711,Henry Rollins,,Action|Horror|Sci-Fi,Ray Winstone,The Devil's Tomb ,3937,4,desert|mercenary|priest|scientist|war veteran,60,10000000
Vic Sarin,24,46,Jesse Moss,,Drama|Romance,Jimi Mistry,Partition ,428,2,india|love|muslim|pakistan|sikh,27,10000000
Jim Issa,5,482,Luke Perry,,Comedy,Elaine Hendrix,Good Intentions ,2739,5,,3,10000000
Jee-woon Kim,419,7,Woo-sung Jung,128486,Action|Adventure|Comedy|Western,Kang-ho Song,"The Good, the Bad, the Weird ",569,0,bounty hunter|manchuria|map|train|treasure,74,10000000
Douglas Aarniokoski,36,899,Katrina Bowden,,Horror|Thriller,Boris Kodjoe,Nurse 3D ,4686,0,carnage|female nudity|purple panties|sexual attraction|shaved labia,75,10000000
William Phillips,3,499,Callum Rennie,,Action|Comedy|Drama|Western,Tyler Mane,Gunless ,2876,1,blacksmith|bounty hunter|duel|gunslinger|wild west,27,10000000
Greg Mottola,99,452,Martin Starr,16025394,Comedy|Drama|Romance,Kristen Stewart,Adventureland ,18983,6,amusement park|strong female character|summer job|teen movie|teenager,220,
Andy Garcia,0,195,Victor Rivers,2483955,Drama|Romance,Danny Pino,The Lost City ,1674,0,1950s|cuba|cuban flag|fidel castro|havana cuba,165,9600000
Steve Carr,41,525,Mike Epps,57176582,Comedy,John Witherspoon,Next Friday ,3939,1,african american|flashback|marijuana joint|porn magazine|suburb,84,9500000
Sarik Andreasyan,9,262,Jordana Brewster,,Action|Crime|Drama|Thriller,Hayden Christensen,American Heist ,9432,1,bank|critically bashed|heist|mechanic|prison,42,10000000
Lewis Gilbert,43,244,Burt Kwouk,43100000,Action|Adventure|Thriller,Donald Pleasence,You Only Live Twice ,2127,0,faked death|japan|japanese|poison|secret headquarters,267,9500000
Julian Gilbey,7,1000,Alfie Allen,,Action|Comedy|Crime|Drama,Mem Ferda,Plastic ,35634,7,credit card fraud|lesbian kiss|miami,12,10000000
Michael Haneke,0,319,Emmanuelle Riva,225377,Drama|Romance,Isabelle Huppert,Amour ,1557,1,aging|daughter|old couple|old love|stroke,190,8900000
Gary Sherman,17,770,Heather O'Rourke,14114488,Horror|Thriller,Tom Skerritt,Poltergeist III ,3827,0,aunt niece relationship|brother sister relationship|building|father daughter relationship|mirror,114,10500000
Valeri Milev,6,200,Roger Cross,,Action|Horror,Daniella Alonso,Re-Kill ,1702,0,after dark|after dark horrorfest|fictional tv news show|outbreak,26,9500000
Stanley Kramer,176,760,Sid Caesar,46300000,Action|Adventure|Comedy|Crime,Jonathan Winters,"It's a Mad, Mad, Mad, Mad World ",4109,0,california|desert|dying words|money|race,344,9400000
Pedro Almodóvar,0,82,Lola Dueñas,12899702,Comedy|Crime|Drama|Mystery,Carmen Maura,Volver ,448,1,abusive father|child abuse|death|rape|secret,228,
Gerald Potterton,0,123,Joe Flaherty,,Adventure|Animation|Fantasy|Horror|Sci-Fi,John Vernon,Heavy Metal ,646,0,anthology|girl|heavy metal|secretary|segments,147,9300000
Jared Hess,100,327,Michael Angarano,113155,Adventure|Comedy|Sci-Fi,Jizelle Jade,Gentlemen Broncos ,34398,7,amateur film|sexual harassment|sexual innuendo|small town|struggling parent,54,
Richard Loncraine,12,1000,Jim Broadbent,2600000,Drama|War,Robert Downey Jr.,Richard III ,23962,3,1930s|abuse of power|england|king|murder,88,6000000
David Hackl,43,129,Michaela McManus,,Action|Horror|Thriller,Scott Glenn,Into the Grizzly Maze ,1586,4,bear|breasts|female nudity|grizzly|wilderness,38,10000000
Anurag Basu,116,303,Steven Michael Quezada,1602466,Action|Drama|Romance|Thriller,Bárbara Mori,Kites ,1836,0,casino|desert|love|suicide|tragic event,106,600000000
Lars von Trier,3000,844,Kirsten Dunst,3029870,Drama|Sci-Fi,Alexander Skarsgård,Melancholia ,15835,1,art director|breasts|depression|outdoor sex|riding a horse,551,7400000
Kriv Stenders,25,110,Keisha Castle-Hughes,,Biography|Comedy|Drama|Family|Romance,Noah Taylor,Red Dog ,1248,0,australian|based on true events|dog|love|search,80,8500000
Yash Chopra,147,1000,Katrina Kaif,3047539,Drama|Romance,Shah Rukh Khan,Jab Tak Hai Jaan ,13762,4,accident|army|bomb|indian army|love,286,7217600
Ridley Scott,0,513,Yaphet Kotto,78900000,Horror|Sci-Fi,Tom Skerritt,Alien ,2524,0,alien|creature|future|outer space|spaceship,1110,11000000
Tobe Hooper,365,177,Edwin Neal,30859000,Horror|Thriller,Gunnar Hansen,The Texas Chain Saw Massacre ,1094,0,cannibal|chainsaw|hitchhiker|independent film|leatherface,826,83532
Floria Sigismondi,50,741,Scout Taylor-Compton,3571735,Biography|Drama|Music,Kristen Stewart,The Runaways ,21711,2,band|box office flop|critically bashed|historically inaccurate|revisionist history,129,10000000
Norman Jewison,278,51,Paul Michael Glaser,50000000,Drama|Family|Musical|Romance,Topol,Fiddler on the Roof ,934,0,immigration|jewish|pogrom|tradition|tradition versus modernity,150,9000000
Terence Young,92,177,Earl Cameron,63600000,Action|Adventure|Thriller,Desmond Llewelyn,Thunderball ,1164,1,domino|fiery redhead|nassau|official james bond series|underwater battle,275,9000000
Joseph Kahn,33,123,Shanley Caswell,,Comedy|Horror|Sci-Fi,Josh Hutcherson,Detention ,15014,2,blood splatter|detention|high school|overalls|reference to c. thomas howell,76,10000000
Ferzan Ozpetek,798,16,Alessandro Preziosi,,Comedy|Drama|Romance,Riccardo Scamarcio,Loose Cannons ,662,9,gay|gay friend|grandmother grandson relationship|heart attack|mother son relationship,29,
F. Gary Gray,473,685,Jada Pinkett Smith,36049108,Action|Crime|Drama|Romance|Thriller,Vivica A. Fox,Set It Off ,3661,4,bank|black comedy|main characters killed off|money|robbery,70,9000000
Malcolm D. Lee,92,862,Sanaa Lathan,34074895,Comedy|Drama,Harold Perrineau,The Best Man ,5420,6,african american|bachelor party|brooklyn bridge|family relationships|stripper,79,9000000
Tom Holland,85,118,Alex Vincent,33244684,Fantasy|Horror,Catherine Hicks,Child's Play ,760,0,birthday|doll|murder|serial killer|voodoo,281,9000000
Michael Moore,909,184,Tucker Albrizzi,24530513,Documentary|Drama,Michael Moore,Sicko ,1633,1,canada|cuba|france|guantanamo|hmo,429,9000000
James DeMonaco,65,908,Zach Gilford,71519230,Action|Horror|Sci-Fi|Thriller,Noel Gugliemi,The Purge: Anarchy ,6807,0,held at gunpoint|machete|masked man|sequel|violence,244,9000000
Kris Isacsson,0,407,Lauren German,20035310,Comedy|Drama|Romance,Rosario Dawson,Down to You ,4409,1,artist|cake|college|new york city|student,173,9000000
Danny Leiner,8,587,Fred Willard,18225165,Adventure|Comedy,Ethan Embry,Harold & Kumar Go to White Castle ,3114,2,marijuana|police|road trip|stoner|white castle,316,9000000
Rod Lurie,37,883,Gary Oldman,17804273,Drama|Thriller,Jeff Bridges,The Contender ,25660,0,bridge|governor|political thriller|president|vice president,370,20000000
Ben Younger,46,701,Nia Long,16938179,Crime|Drama|Thriller,Vin Diesel,Boiler Room ,17336,3,career|casino|judge|stock|stock broker,246,8000000
John Landis,644,199,Denholm Elliott,90400000,Comedy,Don Ameche,Trading Places ,845,2,interracial relationship|poverty|prostitute|scam|stock market,159,
Glen Morgan,17,179,Crystal Lowe,16235293,Horror,Oliver Hudson,Black Christmas ,1611,0,attic|christmas|house|incest|sorority,278,9000000
Daniel Taplitz,2,127,Tate Taylor,11827301,Comedy|Romance,Jennifer Esposito,Breakin' All the Rules ,1345,1,female to male foot in crotch|lingerie slip|love|mistaken identity|writer,26,
Kenneth Branagh,0,130,Derek Jacobi,10161099,Action|Biography|Drama|History|Romance|War,Brian Blessed,Henry V ,1341,1,battle|battle of agincourt|king|shakespeare play|sword and shield,108,9000000
Tamara Jenkins,84,338,David Zayas,6610326,Comedy|Drama,Philip Seymour Hoffman,The Savages ,23770,0,arizona|dementia|married man|sun city arizona|writing,127,
Linda Mendoza,17,571,Freddy Rodríguez,6126237,Comedy|Romance,Carlos Ponce,Chasing Papi ,2851,3,beauty pageant|bilingual|dating|latino|three women,41,
Christopher McQuarrie,188,35,Nicky Katt,6047856,Action|Crime|Drama|Thriller,Kristin Lehman,The Way of the Gun ,358,4,criminal|drifter|gangster|money|surrogate mother,327,8500000
Burr Steers,23,471,Rory Culkin,4681503,Comedy|Drama,Kieran Culkin,Igby Goes Down ,2478,1,boy|mistress|money|schizophrenic|school,238,9000000
Hart Bochner,157,219,Matt Ross,4350774,Comedy,Jon Favreau,PCU ,4908,3,college|high school senior|meat|protest|university,52,8000000
Michael O. Sajbel,6,633,Drew Fuller,3420871,Drama|Family|Romance,Bill Cobbs,The Ultimate Gift ,3824,2,billionaire|grandfather|playboy|trust fund baby|wealth,81,
,,140,Katherine Kelly Lang,,Drama|Romance,Ronn Moss,The Bold and the Beautiful             ,639,0,beverly hills california|family relationships|los angeles california|soap opera,54,
Stewart Raffill,12,297,John Carradine,,Action|Adventure|Comedy|Romance|Sci-Fi,Anjelica Huston,The Ice Pirates ,1991,4,bar fight|cult film|ice|psychotronic|sword fight,56,9000000
Davis Guggenheim,49,261,John Doman,2955039,Biography|Drama|Sport,Emma Bell,Gracie ,2007,1,boy|girl|soccer|south orange new jersey|teenager,27,9000000
Bart Freundlich,38,316,Garry Shandling,1530535,Comedy|Drama|Romance,Billy Crudup,Trust the Man ,1721,3,actress|lesbianism|manhattan new york city|urination|watching pornography,63,9000000
Andrew Fleming,26,611,Amy Poehler,4881867,Comedy|Music,Steve Coogan,Hamlet 2 ,3767,1,gang banger|sequel|shakespeare's hamlet|student|time machine,76,9000000
Todd Haynes,162,277,Eddie Izzard,1043487,Drama|Music,Christian Bale,Velvet Goldmine ,24102,3,1970s|glitter|political cover up|reference to katharine hepburn|reference to spencer tracy,314,
Hong-jin Na,43,0,Jun Kunimura,770629,Fantasy|Horror|Mystery|Thriller,Jung-min Hwang,The Wailing ,50,0,policeman|stranger|supernatural|village|vomiting,24,
Kevin Tancharoen,64,748,Heather Morris,11860839,Documentary|Music,Lea Michele,Glee: The 3D Concert Movie ,4617,0,concert|live in concert recording|live performance,21,9000000
Chatrichalerm Yukol,6,6,Chatchai Plengpanich,454255,Action|Adventure|Drama|History|War,Sarunyu Wongkrachang,The Legend of Suriyothai ,32,3,16th century|burmese|invasion|queen|thailand,47,400000000
Dario Argento,930,433,Adrienne Barbeau,349618,Horror,John Amos,Two Evil Eyes ,2942,1,black cat|cat|evil|photographer|undead,45,9000000
Eric Lavaine,0,5,Julie Engelbrecht,,Comedy,Lambert Wilson,Barbecue ,253,1,,1,
Mike Leigh,608,25,Ruth Sheen,112935,Drama,Lesley Manville,All or Nothing ,251,0,love|neighbor|single parent|supermarket|working class,94,9000000
Marc Forby,3,204,Will Patton,883887,Drama,Q'orianka Kilcher,Princess Kaiulani ,1426,3,hawaii|hawaiian|historically inaccurate|princess|tearing up a letter,14,9000000
Peter Cattaneo,11,18,Vince Colosimo,13751,Drama|Family,Jacqueline McKenzie,Opal Dream ,299,0,friend|girl|imaginary friend|outback|town,6,11400000
Scott Mann,8,558,Joshua Mikel,,Action|Crime|Thriller,Robert De Niro,Heist ,24154,1,bus|die hard scenario,57,19000000
Ole Christian Madsen,28,104,Thure Lindhardt,145109,Drama|History|Thriller|War,Lars Mikkelsen,Flame and Citron ,1098,1,danish|double agent|nazi|nazi occupation|resistance,44,45000000
Meiert Avis,0,230,Kip Pardue,1046166,Comedy|Music|Romance,Fisher Stevens,Undiscovered ,1835,4,bare chested male|box office flop|diner|german shepherd|one word title,45,9000000
Julian Jarrold,11,35,Warren Clarke,,Crime|Drama|Mystery|Thriller,Andrew Garfield,Red Riding: In the Year of Our Lord 1974 ,10369,0,ejected from a moving vehicle|gun held to head|handcuffs|shot multiple times|strangulation,44,
André Téchiné,25,98,Ronit Elkabetz,2874,Drama,Catherine Deneuve,The Girl on the Train ,1375,1,bar mitzvah|lawyer|train|wealth|wrestler,14,
Emily Young,6,664,Erika Christensen,,Drama|Romance,Sarah Michelle Gellar,Veronika Decides to Die ,6426,1,boyfriend girlfriend relationship|female protagonist|letter of resignation|mental hospital|sex,42,9000000
Peter Faiman,4,93,Linda Kozlowski,174635000,Adventure|Comedy,Paul Hogan,Crocodile Dundee ,822,1,australian outback|crocodile|female reporter|journalist|new york city,93,8800000
Martyn Pick,4,151,Steven Waddington,,Action|Animation|Fantasy|Horror|Mystery|Sci-Fi|Thriller,Sean Pertwee,"Ultramarines: A Warhammer 40,000 Movie ",1254,0,grimdark|mutilated corpse|space marine|ultramarines|warhammer 40k,64,
Roland Suso Richter,3,327,Sarah Polley,,Mystery|Sci-Fi|Thriller,Stephen Graham,The I Inside ,2310,2,2000s|hospital|man in a wheelchair|year 2000|year 2002,57,8800000
Jeremy Sims,8,59,Gyton Grantley,,Drama|History|War,Harrison Gilbertson,Beneath Hill 60 ,498,12,blue clay|diversion|ends with biographical notes|ends with historical notes|tunnel,39,9000000
Maïwenn,236,68,Maïwenn,171320,Crime|Drama,Riccardo Scamarcio,Polisse ,1129,1,abusive parent|child molester|child protection|photographer|police,33,
Joby Harold,8,896,Fisher Stevens,14373825,Crime|Mystery|Thriller,Hayden Christensen,Awake ,6954,0,anesthetic|anesthetic awareness|heart|heart surgery|surgery,196,8600000
,,265,James Arnold Taylor,,Action|Adventure|Animation|Drama|Fantasy|Sci-Fi,Dee Bradley Baker,Star Wars: The Clone Wars             ,1484,0,begins with narration|female warrior|inbetwequel|jedi knight|war against machines,73,
Ekachai Uekrongtham,3,305,Mike Dopud,162,Action|Crime|Thriller,Michael Jai White,Skin Trade ,2802,5,bangkok thailand|detective|human trafficking|revenge|sex slavery,38,9000000
Joel Schumacher,541,673,Jami Gertz,32222567,Comedy|Fantasy|Horror,Dianne Wiest,The Lost Boys ,4458,3,1980s|california|death|small town|vampire,339,
Scott Cooper,108,175,Beth Grant,39462438,Drama|Music|Romance,Jeff Bridges,Crazy Heart ,13172,0,country music|country western singer|journalist|musician|singer,226,7000000
Mark Rydell,43,122,Frederic Forrest,29200000,Drama|Music|Romance,David Keith,The Rose ,1097,0,awol|demand|driver|drugs|roses,52,8500000
David E. Talbert,68,1000,Christina Milian,21564616,Comedy,Djimon Hounsou,Baggage Claim ,8097,9,woman wearing only a man's shirt,41,8500000
Roger Vadim,35,170,David Hemmings,,Adventure|Comedy|Fantasy|Sci-Fi,Jane Fonda,Barbarella ,1510,2,41st century|angel|future|laser gun|space opera,186,9000000
Nils Gaup,8,3,Louisa Milwood-Haigh,,Adventure|Family,Bjørn Sundquist,Shipwrecked ,47,2,boy|island|pirate|ship|treasure,14,60000000
Alexander Payne,729,133,Chris Klein,14879556,Comedy|Drama,Matthew Broderick,Election ,3516,0,female protagonist|high school|self destructiveness|student council president|student government,441,8000000
Mira Nair,300,341,Brooke Smith,13569248,Drama,Jacinda Barrett,The Namesake ,1637,1,bengali|india|reference to gogol|train|train crash,117,
Ari Sandel,17,429,Romany Malco,34017854,Comedy,Bella Thorne,The DUFF ,36892,4,cartoon on tv|generation y|high school|overalls|strong female character,116,8500000
Vondie Curtis-Hall,170,202,Max Beesley,4273372,Drama|Music|Romance,Mariah Carey,Glitter ,1854,1,cult film|disc jockey|female protagonist|music business|one word title,308,22000000
Tom Elkins,14,559,Cicely Tyson,,Drama|Horror|Mystery|Thriller,Abigail Spencer,The Haunting in Connecticut 2: Ghosts of Georgia ,3164,0,daughter|georgia|mother|slave|trailer,57,9000000
Woo-Suk Kang,0,13,Sung-kee Ahn,,Action|Drama,Yu-mi Jeong,Silmido ,97,0,based on book|based on true story|rape|title spoken by character,17,8000000
Jane Campion,319,179,Paul Schneider,4440055,Biography|Drama|Romance,Abbie Cornish,Bright Star ,3279,0,19th century|friend|john keats|passion|poet,110,8500000
Karan Johar,160,81,Jimmy Shergill,4018695,Adventure|Drama|Thriller,Shah Rukh Khan,My Name Is Khan ,8532,2,airport|asperger's syndrome|autism|muslim|racial profiling,235,12000000
Herbert Ross,71,304,Chris Penn,80000000,Drama|Music|Romance,Dianne Wiest,Footloose ,1962,0,church|cowboy boots|dancing|high school dance|teenager,113,8200000
J.C. Chandor,78,,,6262942,Action|Adventure|Drama,Robert Redford,All Is Lost ,0,0,boat|container|sea|shipping container|storm,312,9000000
John Sayles,407,39,Casey Siemaszko,1997807,Adventure|Drama|Thriller,Mary Elizabeth Mastrantonio,Limbo ,823,0,alaska|island|motorboat|singer|wilderness,140,8000000
Vipul Amrutlal Shah,11,119,Clive Standen,1207007,Comedy|Drama|Romance,Katrina Kaif,Namastey London ,4004,2,india|london england|marriage|stereotype|sugarcane,47,
Ken Loach,644,6,Orla Fitzgerald,1829142,Drama|War,Padraic Delaney,The Wind That Shakes the Barley ,128,1,civil war|colonialism|hatred|independence|rural ireland,222,
Ayan Mukerji,0,417,Madhuri Dixit,3827466,Comedy|Drama|Musical|Romance,Ranbir Kapoor,Yeh Jawaani Hai Deewani ,2350,2,jealousy|jumping into sea|love|swimming pool|wet clothes,102,
John G. Avildsen,80,225,William Zabka,90800000,Action|Drama|Family|Sport,Martin Kove,The Karate Kid ,2004,0,apartment|bully|fight|karate|master,235,8000000
Mervyn LeRoy,54,346,Deborah Kerr,,Biography|Drama|History|Romance,Peter Ustinov,Quo Vadis ,1373,0,christian|emperor|general|hostage|nero,90,7623000
