director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,gross,genres,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,content_rating,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Ted Post,78,57,158,,Action|Adventure|Sci-Fi,Beneath the Planet of the Apes ,1186,Victor Buono,0,ape|astronaut|mission|planet|rescue,http://www.imdb.com/title/tt0065462/?ref_=fn_tt_tt_1,150,G,1970,162,6.1,0
Charles Martin Smith,35,188,693,24629916,Comedy|Drama|Family|Sport,Air Bud ,4277,Michael Jeter,0,basketball|boy|dog|dog movie|golden retriever,http://www.imdb.com/title/tt0118570/?ref_=fn_tt_tt_1,34,PG,1997,970,5.1,902
Kunihiko Yuyama,39,8,49,,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,Pokémon 3: The Movie ,373,Lisa Ortiz,0,ash|father|mother|pokemon|professor,http://www.imdb.com/title/tt0235679/?ref_=fn_tt_tt_1,55,G,2000,82,5.6,38
Tom McLoughlin,158,41,155,19472057,Horror|Thriller,Jason Lives: Friday the 13th Part VI ,1862,Vincent Guastaferro,0,actual animal killed|death|jason voorhees|slasher flick|teen horror,http://www.imdb.com/title/tt0091080/?ref_=fn_tt_tt_1,307,R,1986,316,5.9,0
David Lean,122,767,87,27200000,Adventure|Drama|War,The Bridge on the River Kwai ,1035,Jack Hawkins,2,allies|bridge|construction|jungle|sabotage,http://www.imdb.com/title/tt0050212/?ref_=fn_tt_tt_1,273,PG,1957,119,8.2,0
Patrick Read Johnson,16,32,175,15369573,Adventure|Comedy|Sci-Fi,Spaced Invaders ,1441,Tonya Lee Williams,1,alien|halloween|killer robot|outer space|wrestler costume,http://www.imdb.com/title/tt0100666/?ref_=fn_tt_tt_1,54,PG,1990,232,5.3,710
Alfred Hitchcock,67,13000,416,,Comedy|Thriller,Family Plot ,2811,William Devane,1,actor|diamond|heir|kidnapping|ransom,http://www.imdb.com/title/tt0074512/?ref_=fn_tt_tt_1,111,PG,1976,844,6.8,609
Billy Wilder,183,0,180,,Comedy|Drama|Romance,The Apartment ,1328,David White,2,apartment|elevator|elevator girl|love|mistress,http://www.imdb.com/title/tt0053604/?ref_=fn_tt_tt_1,241,Approved,1960,417,8.3,0
Adam Marcus,112,18,307,15935068,Fantasy|Horror|Thriller,Jason Goes to Hell: The Final Friday ,2899,Erin Gray,0,brutality|evil|jason voorhees|paranormal phenomena|terror,http://www.imdb.com/title/tt0107254/?ref_=fn_tt_tt_1,317,R,1993,805,4.3,949
Alfred Hitchcock,64,13000,14,,Thriller,Torn Curtain ,70,David Opatoshu,1,defection|east germany|germany|iron curtain|scientist,http://www.imdb.com/title/tt0061107/?ref_=fn_tt_tt_1,137,Approved,1966,16,6.7,933
Michel Gondry,114,1000,220,11694528,Comedy|Documentary|Music,Dave Chappelle's Block Party ,2165,Lauryn Hill,0,block party|marching band|neighborhood|new york city|tyrannosaurus rex,http://www.imdb.com/title/tt0425598/?ref_=fn_tt_tt_1,72,R,2005,744,7.2,635
John Maclean,246,85,748,229094,Western,Slow West ,14696,Ben Mendelsohn,2,american west|bounty hunter|frontier|horse riding|outlaw,http://www.imdb.com/title/tt3205376/?ref_=fn_tt_tt_1,88,R,2015,884,6.9,0
Michael Schultz,7,78,77,,Comedy|Drama|Music,Krush Groove ,1163,Bobby Brown,0,actress shares first name with character|bar|car wash|city|d.j.,http://www.imdb.com/title/tt0089444/?ref_=fn_tt_tt_1,16,R,1985,178,6.6,889
Benny Boom,49,23,706,10017041,Action|Comedy|Crime,Next Day Air ,4815,Mike Epps,3,cocaine|package|slow motion scene|topless female nudity|wrong address,http://www.imdb.com/title/tt1097013/?ref_=fn_tt_tt_1,20,R,2009,927,5.9,545
Richard Brooks,42,174,125,,Drama,Elmer Gantry ,1444,Edward Andrews,1,1920s|evangelist|preacher|revival|traveling salesman,http://www.imdb.com/title/tt0053793/?ref_=fn_tt_tt_1,81,Approved,1960,422,7.9,808
Stanley Kramer,73,176,760,,Drama|War,Judgment at Nuremberg ,3847,Spencer Tracy,0,judge|law|nazi|nuremberg|war crime,http://www.imdb.com/title/tt0055031/?ref_=fn_tt_tt_1,176,Not Rated,1961,862,8.3,0
David Raynr,16,9,200,9016377,Comedy,Trippin' ,1936,Countess Vaughn,3,apostrophe in title|bare breasts|female nudity|nude black woman|prom,http://www.imdb.com/title/tt0160298/?ref_=fn_tt_tt_1,8,R,1999,209,5.2,143
,38,,0,,Animation|Comedy,Robot Chicken             ,11,Breckin Meyer,0,celebrity|robot|satire|sketch comedy|stop motion animation,http://www.imdb.com/title/tt0437745/?ref_=fn_tt_tt_1,75,TV-MA,,0,7.8,1000
Howard Hawks,91,393,281,,Action|Adventure|Romance|Western,Red River ,2269,Harry Carey Jr.,0,cattle|cattle drive|cowboy|kansas|texas,http://www.imdb.com/title/tt0040724/?ref_=fn_tt_tt_1,162,Approved,1948,376,7.8,0
Nnegest Likké,37,18,233,7059537,Comedy,Phat Girlz ,2321,Joyful Drake,0,female protagonist|size positive|thin|title directed by female|wet dream,http://www.imdb.com/title/tt0490196/?ref_=fn_tt_tt_1,101,PG-13,2006,407,3.0,837
Richard Linklater,405,0,48,8114507,Drama|Romance,Before Midnight ,328,Athina Rachel Tsangari,1,friend|greece|greek|hotel room|twin,http://www.imdb.com/title/tt2209418/?ref_=fn_tt_tt_1,270,R,2013,63,7.9,62000
Christopher Leitch,29,4,152,7888703,Comedy|Fantasy,Teen Wolf Too ,1389,Kim Darby,1,falling in love|glowing eyes|insult|teenager|three word title,http://www.imdb.com/title/tt0094118/?ref_=fn_tt_tt_1,65,PG,1987,168,3.2,491
Don Coscarelli,81,152,135,7282851,Action|Fantasy|Horror|Sci-Fi|Thriller,Phantasm II ,1395,James Le Gros,1,cemetery|female nudity|mortuary|sphere|tall man,http://www.imdb.com/title/tt0095863/?ref_=fn_tt_tt_1,100,R,1988,174,6.5,812
Michael Schultz,17,78,469,6879730,Drama,Woman Thou Art Loosed ,3049,Clifton Powell,0,abuse|bishop|death|flashback|poverty,http://www.imdb.com/title/tt0399901/?ref_=fn_tt_tt_1,23,R,2004,637,6.9,187
Patricia Cardoso,75,15,453,5844929,Comedy|Drama,Real Women Have Curves ,2510,George Lopez,1,education|factory|high school|mexican american|religious icon,http://www.imdb.com/title/tt0296166/?ref_=fn_tt_tt_1,109,PG-13,2002,625,7.0,595
,,,110,,Drama|War,Deadline Gallipoli             ,1400,Luke Ford,0,gallipoli|tv mini series|world war one,http://www.imdb.com/title/tt3458030/?ref_=fn_tt_tt_1,1,,,476,7.4,367
Deepa Mehta,91,375,31,3222857,Drama|Romance,Water ,1394,Seema Biswas,0,ashram|india|love|tradition|widow,http://www.imdb.com/title/tt0240200/?ref_=fn_tt_tt_1,147,PG-13,2005,329,7.8,0
Damien O'Donnell,82,70,163,4170647,Comedy|Drama,East Is East ,1616,Om Puri,0,england|marriage|muslim|pakistani|salford,http://www.imdb.com/title/tt0166175/?ref_=fn_tt_tt_1,161,R,1999,183,6.9,1000
Peter M. Cohen,48,0,51,4142507,Comedy|Romance,Whipped ,858,David Heyman,1,dating|diner|masturbation|urination|washington square manhattan new york city,http://www.imdb.com/title/tt0174336/?ref_=fn_tt_tt_1,81,R,2000,324,4.4,131
Mira Nair,33,300,200,4109095,Crime|Drama|History|Romance,Kama Sutra: A Tale of Love ,1292,Rekha,0,courtesan|friend|kama sutra|seduction|wedding,http://www.imdb.com/title/tt0116743/?ref_=fn_tt_tt_1,92,R,1996,257,6.0,0
Nicole Holofcener,133,132,547,4033268,Comedy|Drama,Please Give ,3692,Ann Morgan Guilbert,0,apartment|first date|neighbor|new york|new york city,http://www.imdb.com/title/tt0878835/?ref_=fn_tt_tt_1,53,R,2010,864,6.6,0
Mel Stuart,104,21,124,,Family|Fantasy|Musical,Willy Wonka & the Chocolate Factory ,1011,Julie Dawn Cole,1,candy|chocolate|factory|miniaturization|sudden change in size,http://www.imdb.com/title/tt0067992/?ref_=fn_tt_tt_1,349,G,1971,177,7.8,0
Anthony Hickox,22,16,222,3902679,Fantasy|Horror,Warlock: The Armageddon ,1806,Paula Marshall,0,druid|eclipse|rune|scalping|warlock,http://www.imdb.com/title/tt0108517/?ref_=fn_tt_tt_1,49,R,1993,233,5.3,217
Tom Schulman,30,45,267,3559990,Comedy|Crime,8 Heads in a Duffel Bag ,1363,Dyan Cannon,0,camera shot of feet|female stockinged feet|female stockinged soles|nude pantyhose|pantyhose,http://www.imdb.com/title/tt0118541/?ref_=fn_tt_tt_1,49,R,1997,341,5.3,417
Terrence Malick,112,0,180,,Drama|Romance,Days of Heaven ,1618,Richard Libertini,0,farm|farm worker|grasshopper|harvest|wealth,http://www.imdb.com/title/tt0077405/?ref_=fn_tt_tt_1,181,PG,1978,350,8.0,0
Jill Sprecher,79,11,194,3287435,Drama,Thirteen Conversations About One Thing ,12250,Amy Irving,2,attorney|happiness|house cleaner|physics|professor,http://www.imdb.com/title/tt0268690/?ref_=fn_tt_tt_1,115,R,2001,813,7.1,430
Darren Stein,49,18,844,3071947,Comedy|Crime|Thriller,Jawbreaker ,9555,Jeff Conaway,3,best friend|bitch|friend|popular girl|prom,http://www.imdb.com/title/tt0155776/?ref_=fn_tt_tt_1,183,R,1999,2000,5.4,0
Julian Schnabel,42,232,353,2961991,Biography|Drama,Basquiat ,11459,Courtney Love,4,andy warhol|art|artist|friendship|street artist,http://www.imdb.com/title/tt0115632/?ref_=fn_tt_tt_1,78,R,1996,721,6.9,0
Noah Baumbach,345,387,270,4063238,Comedy|Drama|Romance,Frances Ha ,2260,Vanessa Ray,0,best friend|black and white|father daughter relationship|female protagonist|mother daughter relationship,http://www.imdb.com/title/tt2347569/?ref_=fn_tt_tt_1,139,R,2012,481,7.4,11000
Gavin Hood,152,151,29,2912363,Crime|Drama,Tsotsi ,278,Rapulana Seiphemo,1,baby|bathing a baby|criminal|slum|vomiting,http://www.imdb.com/title/tt0468565/?ref_=fn_tt_tt_1,177,R,2005,64,7.3,0
Todd Solondz,148,377,812,3000000,Comedy|Drama,Happiness ,36859,Dylan Baker,9,ensemble cast|episodic structure|satire|social satire|suburb,http://www.imdb.com/title/tt0147612/?ref_=fn_tt_tt_1,499,,1998,11000,7.8,0
George Gallo,23,269,24,2223990,Comedy|Documentary,DysFunktional Family ,539,Robert Noble,1,african american|family relationships|stand up comedian|stand up comedy,http://www.imdb.com/title/tt0337996/?ref_=fn_tt_tt_1,14,R,2003,26,6.6,26
Kevin Smith,254,0,387,1821983,Comedy|Drama|Horror,Tusk ,43810,Michael Parks,0,canada|human becoming an animal|mad scientist|part of trilogy|walrus,http://www.imdb.com/title/tt3099498/?ref_=fn_tt_tt_1,261,R,2014,3000,5.4,20000
Chan-wook Park,305,0,38,2181290,Drama|Mystery|Thriller,Oldboy ,852,Hye-jeong Kang,0,brother sister relationship|hypnosis|imprisonment|love|revenge,http://www.imdb.com/title/tt0364569/?ref_=fn_tt_tt_1,809,R,2003,78,8.4,43000
David Nixon,19,13,221,2848578,Drama|Family,Letters to God ,1567,Christopher Schmidt,0,cancer|faith|hope|letter|prayer,http://www.imdb.com/title/tt1462054/?ref_=fn_tt_tt_1,65,PG,2010,399,6.3,0
Jason Eisener,272,59,104,703002,Action|Comedy|Thriller,Hobo with a Shotgun ,1249,Molly Dunsworth,4,hobo|pedophile|rampage|shotgun|vigilante,http://www.imdb.com/title/tt1640459/?ref_=fn_tt_tt_1,230,Not Rated,2011,324,6.1,37000
Enrique Begne,5,0,165,3105269,Action|Comedy,Compadres ,1335,Erick Elias,2,,http://www.imdb.com/title/tt3367294/?ref_=fn_tt_tt_1,8,R,2016,327,5.0,174
Matthew Bright,65,9,221,,Comedy|Crime|Drama|Thriller,Freeway ,1663,Robert Peters,1,freeway|nightmare|police|school|trailer park,http://www.imdb.com/title/tt0116361/?ref_=fn_tt_tt_1,196,R,1996,281,6.9,0
Michael Landon Jr.,5,84,331,252726,Drama|Family|Western,Love's Abiding Joy ,2715,Brianna Brown,0,19th century|faith|mayor|ranch|sheriff,http://www.imdb.com/title/tt0785025/?ref_=fn_tt_tt_1,18,PG,2006,366,7.2,76
Andrea Arnold,248,121,168,373060,Drama,Fish Tank ,13636,Jason Maza,0,15 year old|dancing|essex|little sister|suburb,http://www.imdb.com/title/tt1232776/?ref_=fn_tt_tt_1,112,Not Rated,2009,260,7.3,0
Whit Stillman,152,89,322,1007535,Comedy|Drama|Romance,Damsels in Distress ,2452,Zach Woods,5,college|college campus|dance craze|depression|fraternity,http://www.imdb.com/title/tt1667307/?ref_=fn_tt_tt_1,54,PG-13,2011,476,5.7,0
,10,,476,,Horror|Sci-Fi|Thriller,Creature             ,3149,Megalyn Echikunwoke,3,author cameo|family relationships|island|monster|two part tv movie,http://www.imdb.com/title/tt0156205/?ref_=fn_tt_tt_1,33,,,539,5.0,518
Leslye Headland,156,21,416,418268,Comedy|Romance,Bachelorette ,8353,Andrew Rannells,3,bachelorette party|drug use|high school|overdose|wedding dress,http://www.imdb.com/title/tt1920849/?ref_=fn_tt_tt_1,129,R,2012,3000,5.3,0
,7,,246,,Comedy|Drama|Horror|Sci-Fi|Thriller,BrainDead             ,1551,Zach Grenier,0,brains|exploding head|politician|swarm behavior|washington d.c.,http://www.imdb.com/title/tt4877736/?ref_=fn_tt_tt_1,28,,,341,7.9,3000
Bobby Roth,1,40,249,,Drama|Family|Music,Brave New Girl ,2330,Lindsey Haun,2,based on a book|based on a novel|made for tv movie|music school|support,http://www.imdb.com/title/tt0403118/?ref_=fn_tt_tt_1,27,PG-13,2004,750,5.0,47
Tim Heidecker,82,78,197,200803,Comedy,Tim and Eric's Billion Dollar Movie ,1467,Bob Ross,3,film in film|man with glasses|reference to steven spielberg|self referential|shopping mall,http://www.imdb.com/title/tt1855401/?ref_=fn_tt_tt_1,71,R,2012,317,5.3,0
Rupert Wyatt,175,81,81,33631221,Crime|Drama|Thriller,The Gambler ,3784,Griffin Cleveland,1,dog|gambler|gambling|gangster|professor,http://www.imdb.com/title/tt2039393/?ref_=fn_tt_tt_1,145,R,2014,571,6.0,0
,4,,23,,Drama,The Grand             ,158,Tim Healy,0,concierge|front desk|hotel|maid|prostitute,http://www.imdb.com/title/tt0118327/?ref_=fn_tt_tt_1,20,,,37,7.6,450
Marco Kreuzpaintner,40,7,17,95016,Comedy|Drama|Romance|Sport,Summer Storm ,362,Robert Stadlober,0,friend|friendship|rowing|storm|summer camp,http://www.imdb.com/title/tt0420206/?ref_=fn_tt_tt_1,56,R,2004,38,7.4,442
Kate Connor,8,27,847,73678,Drama|History|War,Fort McCoy ,4374,Brendan Fehr,1,,http://www.imdb.com/title/tt1282046/?ref_=fn_tt_tt_1,8,R,2011,902,5.9,348
Deon Taylor,63,26,236,143000,Horror|Thriller,Chain Letter ,1495,Noah Segan,0,blood splatter|chain|murder|mysterious killer|warning,http://www.imdb.com/title/tt1148200/?ref_=fn_tt_tt_1,48,R,2009,298,4.1,0
Jason Alexander,20,700,56,39852,Comedy|Drama,Just Looking ,1030,Peter Onorati,1,1955 chevrolet|nurse|peeping tom|reference to brooklyn dodgers|spying,http://www.imdb.com/title/tt0162236/?ref_=fn_tt_tt_1,25,R,1999,325,6.7,117
Xavier Gens,174,87,605,22000,Drama|Sci-Fi|Thriller,The Divide ,4920,Rosanna Arquette,4,doggystyle sex|rough sex|sodomy|torture|violent sex,http://www.imdb.com/title/tt1535616/?ref_=fn_tt_tt_1,226,R,2011,683,5.8,0
Conor McPherson,90,0,77,128937,Drama|Horror|Romance,The Eclipse ,975,Jim Norton,0,ghost|irish|kissing|novelist|widower,http://www.imdb.com/title/tt1346961/?ref_=fn_tt_tt_1,31,R,2009,122,6.2,580
Will Canon,58,8,617,,Horror|Thriller,Demonic ,4756,Aaron Yoo,1,death|detective|house|missing|supernatural,http://www.imdb.com/title/tt1841642/?ref_=fn_tt_tt_1,39,R,2015,634,5.3,0
Philip Zlotorynski,14,0,19,,Comedy,My Big Fat Independent Movie ,313,David Douglas,1,independent film|spoof,http://www.imdb.com/title/tt0385890/?ref_=fn_tt_tt_1,24,R,2005,27,3.3,48
Tim Burton,451,13000,11000,334185206,Adventure|Family|Fantasy,Alice in Wonderland ,79957,Anne Hathaway,0,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736,PG,2010,25000,6.5,24000
Lance Kawas,,66,452,,Comedy,The Deported ,3882,Talia Shire,1,actor|italian american|mexico|orphan|usa,http://www.imdb.com/title/tt1390404/?ref_=fn_tt_tt_1,1,PG-13,2009,975,6.2,54
Francesca Gregorini,21,15,357,5005,Drama,Tanner Hall ,1929,Chris Kattan,2,boarding school|coming of age|female friendship|lesbian|new england,http://www.imdb.com/title/tt1151410/?ref_=fn_tt_tt_1,14,R,2009,396,5.9,448
Marcio Garcia,9,74,47,,Action|Drama|Thriller,Open Road ,844,Emily Nelson,3,dealer|drugs|killer|police,http://www.imdb.com/title/tt1922679/?ref_=fn_tt_tt_1,9,,2013,124,5.5,433
David Wain,98,136,975,,Comedy,They Came Together ,7191,Jack McBrayer,2,halloween party|new york city|racism|romcom|spoof,http://www.imdb.com/title/tt2398249/?ref_=fn_tt_tt_1,85,R,2014,1000,5.5,0
Craig Moss,29,19,73,,Comedy,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo ,845,Olivia Alexander,0,exorcism|female nudity|haunted house|lesbian kiss|masturbation,http://www.imdb.com/title/tt2417650/?ref_=fn_tt_tt_1,13,R,2013,302,2.6,2000
