director_name,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,actor_1_name,cast_total_facebook_likes,actor_3_name,plot_keywords,language,budget,title_year,imdb_score,aspect_ratio
Paul McGuigan,118,40,Christopher Cousins,Drama|Mystery|Romance|Thriller,Jessica Paré,679,Mark Camacho,flashback|flashback within a flashback|multiple perspectives|obsession|split screen,English,30000000,2004,7.0,2.35
Craig Gillespie,44,133,Reid Ewing,Comedy|Horror,Grace Phipps,1393,Sandra Vergara,neighbor|remake|suburb|teenager|vampire,English,30000000,2011,6.4,1.85
Terrence Malick,0,855,Michael Greyeyes,Biography|Drama|History|Romance,Christian Bale,27829,Wes Studi,captain|fort|love|native american|trade,English,30000000,2005,6.7,2.35
Chris Roberts,38,362,David Suchet,Action|Adventure|Sci-Fi,Saffron Burrows,2497,Jürgen Prochnow,27th century|fighter pilot|orchestral music score|outer space|space opera,English,30000000,1999,4.1,2.35
Neil Jordan,277,210,Aidan Quinn,Drama|Fantasy|Thriller,Robert Downey Jr.,22006,Paul Guilfoyle,dream|mental institution|padded cell|serial killer|suicide attempt,English,30000000,1999,5.5,1.85
James Wong,70,99,Texas Battle,Action|Adventure|Fantasy|Sci-Fi|Thriller,Ian Whyte,1100,Randall Duk Kim,bad|dragon|grandfather|orb|warrior,English,45000000,2009,2.7,2.35
Jee-woon Kim,419,165,James Burnett,Action|Crime|Thriller,Zach Gilford,1643,Christiana Leucas,deputy|escape|fbi|modern western|sheriff,English,45000000,2013,6.4,2.35
Nick Hamm,6,353,Cameron Bright,Drama|Horror|Sci-Fi|Thriller,Robert De Niro,23352,Munro Chambers,birthday|boy|clone|cloning|doctor,English,25000000,2004,4.8,2.35
Andy Cadiff,3,120,Stark Sands,Comedy|Romance,Annabella Sciorra,842,Terence Maynard,first daughter|photographer|prague|president|secret service agent,English,23000000,2004,6.1,2.35
Mike Disa,6,843,Phil LaMarr,Animation|Comedy|Family,Amy Poehler,5393,Cheech Marin,3 dimensional|box office flop|critically bashed|red riding hood|wolf,English,30000000,2011,4.8,1.85
Lasse Hallström,529,83,Camryn Manheim,Drama,Morgan Freeman,11519,Lynda Boyd,abusive boyfriend|bear|car accident|ranch|wyoming,English,30000000,2005,7.0,2.35
Terry Gilliam,0,645,Lily Cole,Adventure|Fantasy|Mystery,Andrew Garfield,11769,Verne Troyer,birthday|bridge|midget|rescue|sideshow,English,40000000,2009,6.8,1.85
Richard J. Lewis,12,329,Atom Egoyan,Comedy|Drama,Mark Addy,1873,Paul Gross,ex wife|guest|marriage|memory|montreal,English,,2010,7.3,2.35
,,51,Ingvar Eggert Sigurðsson,Crime|Drama|Thriller,Ólafur Darri Ólafsson,307,Björn Hlynur Haraldsson,coastal town|iceland|police|snowstorm|winter storm,Icelandic,,,8.2,16.0
Brad Furman,65,681,John Heard,Crime|Thriller,Justin Timberlake,5706,David Costabile,costa rica|fbi agent|gambling|money|online gambling,English,30000000,2013,5.6,2.35
Peter Howitt,29,91,Richard Roundtree,Action|Crime|Drama|Thriller,Tyler Labine,1297,Ned Bellamy,boss|communications|computer|genius|job,English,30000000,2001,6.1,2.35
Edward Zwick,380,2000,Morgan Freeman,Drama|History|War,Denzel Washington,32930,Matthew Broderick,army|black soldier|military uniform|prejudice|u.s. civil war,English,18000000,1989,7.9,1.85
Sergio Leone,0,642,Burt Young,Crime|Drama,Robert De Niro,24719,Treat Williams,1920s|ambiguity|childhood friend|new york|speakeasy,English,30000000,1984,8.4,1.85
Niels Arden Oplev,76,174,Isabelle Huppert,Action|Crime|Drama|Thriller,Dominic Cooper,4253,James Biberi,crime lord|dead body|dead body in a freezer|new york city|truck explosion,English,30000000,2013,6.5,2.35
Michael Radford,53,548,Mackenzie Crook,Drama|Romance,Al Pacino,16252,Kris Marshall,debt|jew|loan|merchant|pound of flesh,English,18000000,2004,7.1,2.35
Neil Jordan,277,345,Saïd Taghmaoui,Action|Crime|Drama|Romance|Thriller,Emir Kusturica,2759,Tchéky Karyo,casino|french riviera|gambler|heist|partner,English,25000000,2002,6.6,1.85
Steve Boyum,9,826,Mike Vogel,Action|Drama|Romance|Sport,Channing Tatum,21519,Steve Howey,one word title|paddock|supercross|swimming pool|winning,English,,2005,4.0,1.85
Chris Noonan,108,135,Bill Paterson,Biography|Drama|Romance,Emily Watson,1518,Lucy Boynton,book|children|friend|illustrator|letter,English,30000000,2006,7.0,2.35
Kaige Chen,45,107,Toby Leonard Moore,Action|Drama|Fantasy,Dong-gun Jang,949,Nicholas Tse,armor|general|king|princess|slave,Mandarin,60000000,2005,5.6,2.35
Corey Yuen,23,748,Holly Valance,Action|Adventure,Steve Howey,4473,Sarah Carter,female fighter|island|martial arts|parachute|tournament,English,21000000,2006,4.8,2.35
Andrew Dominik,181,820,Jeremy Renner,Biography|Crime|Drama|History|Western,Brad Pitt,22516,Sam Shepard,long title|outlaw|robbery|train|train robbery,English,30000000,2007,7.5,2.35
Li Zhang,0,187,Joan Chen,Action|Adventure|Drama|History|War,Bingbing Li,1887,Jaycee Chan,china|disarming someone|qing dynasty|stabbed with a bayonet|war violence,Mandarin,18000000,2011,6.0,2.35
Laurent Tirard,2,55,Sandrine Kiberlain,Comedy|Family,Louise Bourgoin,545,Kad Merad,baby|dinner|family relationships|school|three word title,French,,2009,7.2,1.85
Simon West,165,700,Michael Angarano,Action|Crime|Drama|Thriller,Jason Statham,29773,Jason Alexander,bodyguard|criminal|gambling|mob boss|thug,English,30000000,2015,5.6,2.35
Marc Forster,395,313,Madeline Carroll,Action|Biography|Crime|Drama,Gerard Butler,19620,Kathy Baker,africa|biker|church|orphanage|preacher,English,30000000,2011,6.8,2.35
Reinhard Klooss,7,480,Vanessa Redgrave,Animation|Comedy|Family,Jim Broadbent,3095,James Corden,animal|crane the bird|dam|hoover dam|shark,German,,2010,4.9,2.39
Bille August,55,11,Patrick Lyster,Biography|Drama|History,Terry Pheto,143,Tyrone Keogh,african national congress|father daughter relationship|film starts with text|nelson mandela|violence,English,30000000,2007,7.1,2.35
Frédéric Auburtin,18,432,Thomas Kretschmann,Drama|History|Sport,Fisher Stevens,2725,Jemima West,20th century|association|fifa|football|world cup,English,24000000,2014,2.0,2.35
Olivier Dahan,61,520,Frank Langella,Biography|Drama|Romance,Paz Vega,2806,Derek Jacobi,1960s|grace kelly|hollywood star|monaco|prince,English,30000000,2014,5.7,2.35
Maksim Fadeev,0,21,Fedor Bondarchuk,Adventure|Animation|Fantasy,Konstantin Khabenskiy,229,Sergey Garmash,battle|creature|hyena|monkey|village,Russian,30000000,2015,4.1,
Liliana Cavani,59,24,Dougray Scott,Crime|Drama|Mystery|Thriller,Ray Winstone,1831,Chiara Caselli,art forgery|concert|dying|picture framer|villa,English,30000000,2002,6.7,1.85
Greg Tiernan,5,365,Salma Hayek,Adventure|Animation|Comedy|Fantasy,James Franco,15795,Anders Holm,bread|coarse language|f word|sausage|tricked into lesbian sex,English,19000000,2016,7.5,1.85
Elizabeth Banks,0,751,Birgitte Hjort Sørensen,Comedy|Music,Anna Kendrick,13159,Hana Mae Lee,2010s|a cappella|box office hit|second part|sequel,English,29000000,2015,6.5,1.85
James Mangold,446,154,Dallas Roberts,Biography|Drama|Music|Romance,Sandra Ellis Lafferty,1383,Tyler Hilton,1960s|accident|concert|guitar|prison,English,28000000,2005,7.9,2.39
,,442,Kirk Acevedo,Adventure|Drama|Mystery|Sci-Fi|Thriller,Amanda Schull,3309,Tom Noonan,epidemic|mission|paradox|plague|virus,English,,,7.6,16.0
Edward Norton,0,754,Milos Forman,Comedy|Drama|Romance,Lisa Edelstein,5404,Anne Bancroft,celibacy|jewish|priest|rabbi|synagogue,English,30000000,2000,6.4,1.85
Peter Hewitt,12,373,Bradley Pierce,Adventure|Comedy|Family|Fantasy,Jim Broadbent,2056,Mark Williams,child's point of view|house|lawyer|real estate|washing machine,English,29000000,1997,5.8,1.85
Ron Howard,2000,1000,Clint Howard,Drama,Toby Jones,6161,Oliver Platt,american president|political drama|scandal|u.s. president|washington post the newspaper,English,35000000,2008,7.7,2.35
George Clooney,0,89,David Julian Hirsh,Biography|Comedy|Crime|Drama|Romance|Thriller,Dick Clark,810,Jennifer Hall,broken nose|kgb|marriage proposal|playboy mansion|sistine chapel,English,29000000,2002,7.1,2.35
Reginald Hudlin,71,584,Jerry Stiller,Comedy|Romance,Matthew Perry,4169,Vincent Pastore,divorce|divorce papers|new york|process server|texas,English,29000000,2002,5.3,1.85
Ben Falcone,265,265,Tyler Labine,Comedy,Peter Dinklage,23562,Ben Falcone,business|girl scouts|orphanage|overweight woman|quitting a job,English,29000000,2016,5.3,1.85
Richard Attenborough,0,400,Kevin McNally,Biography|Drama|History,Denzel Washington,18855,Penelope Wilton,activist|editor|journalist|newspaper|south africa,English,29000000,1987,7.5,2.35
Lawrence Kasdan,759,933,Alfre Woodard,Comedy|Drama,Zooey Deschanel,17873,Mary McDonnell,college|drugs|patient|psychologist|secret,English,28000000,1999,6.9,2.35
Don Mancini,64,363,Billy Boyd,Comedy|Fantasy|Horror|Thriller,Jason Flemyng,2567,Hannah Spearritt,actress|killer doll|murder|vixen|vomiting,English,12000000,2004,4.9,1.85
John Maybury,11,566,Jason Lewis,Drama|Mystery|Sci-Fi|Thriller,Jennifer Jason Leigh,5085,Angel Coulby,gulf war veteran|morgue|shot in the head|vermont|veteran,English,29000000,2005,7.1,2.35
Ron Clements,63,631,Frank Welker,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Robin Williams,52970,Scott Weinger,arab|genie|magic|princess|reference to a thousand and one nights,English,28000000,1992,8.0,1.33
F. Gary Gray,473,303,Neil Brown Jr.,Biography|Crime|Drama|History|Music,Aldis Hodge,2702,R. Marcos Taylor,concert|gangsta rap|hip hop|nwa|rap music,English,28000000,2015,7.9,2.35
Steven Spielberg,14000,237,Amrish Puri,Action|Adventure,Harrison Ford,11898,Kate Capshaw,children|studio logo segues into film|temple|village|white dinner jacket,English,28000000,1984,7.6,2.35
Igor Kovalyov,5,368,Cree Summer,Adventure|Animation|Comedy|Drama|Family|Musical,Elizabeth Daily,3438,Christine Cavanaugh,baby|home|hospital|lost|newborn baby,English,24000000,1998,5.9,1.85
Lee Tamahori,93,878,Billy Burke,Crime|Drama|Thriller,Morgan Freeman,17109,Monica Potter,kidnapping|partner|ransom|school|secret service,English,60000000,2001,6.3,2.35
Stephen Frears,350,83,Nina Arianda,Biography|Comedy|Drama|Music|Romance,Meryl Streep,11534,John Sessions,heiress|opera singer|platonic marriage|singer|singing,English,29000000,2016,7.1,2.35
Robert Rodriguez,0,876,Salma Hayek,Action|Crime|Thriller,Johnny Depp,46186,Enrique Iglesias,agent|cia|mariachi|mexican|president,English,29000000,2003,6.4,1.78
John McTiernan,323,541,Bruce Willis,Action|Thriller,Alan Rickman,40585,Reginald VelJohnson,christmas|christmas eve|christmas party|held at gunpoint|hostage,English,28000000,1988,8.2,2.35
David Wain,136,526,Ken Marino,Comedy,Joe Lo Truglio,3400,Bobb'e J. Thompson,absent father|big brother|community service|live action role playing|peter pan syndrome,English,28000000,2008,6.9,1.85
Adam McKay,285,767,Christian Bale,Biography|Comedy|Drama|History,Ryan Gosling,57308,Charlie Talbert,bank|banking|finance|fraud|mortgage,English,28000000,2015,7.8,2.35
Ang Lee,0,210,Kevin Chamberlin,Comedy|Drama|Music,Imelda Staunton,1500,Demetri Martin,female full frontal nudity|female nudity|male frontal nudity|male full frontal nudity|male nudity,English,30000000,2009,6.7,1.85
Gavin O'Connor,149,250,Noah Emmerich,Biography|Drama|History|Sport,Eddie Cahill,1845,Kenneth Mitchell,1980s|hockey|ice hockey|olympics|soviet union,English,28000000,2004,7.5,2.4
Zack Snyder,0,1000,Kevin Zegers,Action|Horror|Thriller,Ty Burrell,10438,Mekhi Phifer,mall|mayhem|nurse|rear entry sex|survival horror,English,26000000,2004,7.4,2.35
Adam Shankman,163,968,Judy Greer,Comedy|Romance,Matthew McConaughey,17533,Alex Rocco,chick flick|doctor|horseback riding|wedding|wedding planner,English,35000000,2001,5.2,2.35
Shinji Aramaki,21,47,Yû Aoi,Adventure|Animation|Sci-Fi,Shun Oguri,386,Haruma Miura,liberty|space adventure|space opera|time travel|undercover agent,Japanese,30000000,2013,6.5,2.35
Wes Anderson,0,327,Anjelica Huston,Comedy|Drama,Bill Murray,14609,Seymour Cassel,brother brother relationship|family relationships|father daughter relationship|genius|thrown through a window,English,21000000,2001,7.6,2.35
James Mangold,446,660,Rebecca De Mornay,Mystery|Thriller,Clea DuVall,3969,Jake Busey,dissociative identity disorder|motel room key|murder|storm|stranded,English,30000000,2003,7.3,2.35
Jon Turteltaub,226,966,Morgan Freeman,Comedy|Romance,Robert De Niro,35694,Romany Malco,bachelor party|bloody mary the drink|bouncer|brooklyn new york city|vegas,English,28000000,2013,6.6,2.35
John Glen,46,244,Topol,Action|Adventure|Thriller,Julian Glover,2118,Desmond Llewelyn,agent|british|ice skater|ship|spy,English,28000000,1981,6.8,2.35
Peter Chelsom,23,6,David Sparrow,Comedy|Romance,Lilli Lavine,37,Ann Talman,christmas|destiny|fate|love|serendipity,English,28000000,2001,6.9,1.85
Peter Hyams,0,186,Bruce McGill,Action|Crime|Sci-Fi|Thriller,Mia Sara,2010,Gloria Reuben,cop|corrupt politician|future|senator|time travel,English,27000000,1994,5.8,2.35
Ben Stiller,0,8000,Alexander Skarsgård,Comedy,Milla Jovovich,34565,Will Ferrell,fashion|malaysia|male model|reporter|rival,English,28000000,2001,6.6,2.35
Lasse Hallström,529,325,Noah Lomax,Drama|Romance|Thriller,David Lyons,1554,Mimi Kirkland,abusive husband|chick flick|north carolina|secret|widower,English,28000000,2013,6.7,2.35
Kenny Ortega,197,115,Omri Katz,Comedy|Family|Fantasy,Vinessa Shaw,1275,Larry Bagby,candle|cat|halloween|spell|virgin,English,28000000,1993,6.7,1.85
Scott Hicks,96,559,Lily Rabe,Comedy|Drama|Romance,Zoë Kravitz,3497,Bob Balaban,chef|cooking|guardian|kitchen|restaurant,English,28000000,2007,6.3,2.35
Matthew Vaughn,905,385,Deborah Twiss,Action|Comedy,Elizabeth McGovern,2357,Michael Rispoli,comic book|female killer|hit in the crotch|narrated by character|reference to batman,English,30000000,2010,7.7,2.35
Ruben Fleischer,181,459,Dilshad Vadsaria,Action|Comedy|Crime,Bianca Kajlich,1987,Fred Ward,bank heist|bank robbery|heist gone wrong|pizza delivery boy|unlikely criminal,English,28000000,2011,6.1,2.35
Patrick Lussier,71,1000,Danny Masterson,Action|Fantasy|Horror|Thriller,Gerard Butler,23344,Jeri Ryan,dracula|gothic|painting|rescue|van helsing,English,28000000,2000,4.9,2.35
Miguel Arteta,44,3000,Steve Carell,Comedy|Family,Bella Thorne,47677,Jennifer Garner,bad day|based on book|birthday|job interview|long title,English,28000000,2014,6.2,2.39
Joe Wright,456,241,Brenda Blethyn,Drama|Romance,Talulah Riley,1083,Simon Woods,bachelor|england|gentleman|georgian|love,English,28000000,2005,7.8,2.35
Ridley Scott,0,521,Sean Young,Sci-Fi|Thriller,Harrison Ford,13877,M. Emmet Walsh,artificial intelligence|human android relationship|megacorporation|police detective|tech noir,English,28000000,1982,8.2,2.35
Michael Caton-Jones,105,902,Jason Flemyng,Adventure|Biography,Liam Neeson,16125,Eric Stoltz,18th century|highlands|scotland|sexual cruelty|sword fight,English,28000000,1995,6.9,2.35
McG,368,114,Richard Sammel,Action|Drama|Thriller,Connie Nielsen,1286,Tómas Lemarquis,cancer|estranged wife|leather dress|spy|terrorist,English,28000000,2014,6.2,2.35
James Gray,115,97,Oleg Taktarov,Crime|Drama|Thriller,Robert Duvall,3681,Antoni Corone,arrest|drugs|loyalty|raid|violence,English,21000000,2007,6.9,1.85
Janusz Kaminski,710,258,Bob Clendenin,Drama|Horror|Thriller,Philip Baker Hall,1805,Ben Chaplin,faith|mental patient|priest|scheme|teacher,English,28000000,2000,4.8,2.35
Jacques Perrin,63,,Philippe Labro,Documentary,Jacques Perrin,66,,arctic|bad weather|flight|migration|ocean,English,160000000,2001,8.0,1.85
Donald Petrie,80,585,Carlos Ponce,Comedy|Fantasy|Romance,Samaire Armstrong,3211,Faizon Love,bad luck|band|kiss|luck|masquerade,English,28000000,2006,5.3,1.85
Jay Roach,116,385,Mary McCormack,Comedy|Drama|Sport,Scott Grimes,2171,Ron Eldard,alaska|male nudity|nudity|sex|small town,English,28000000,1999,6.7,2.35
Brian Levant,32,453,Amber Valletta,Action|Comedy|Family,Madeline Carroll,3436,George Lopez,chinese|cia|single mother|spy|terrorist,English,28000000,2010,5.4,1.85
Michael Ritchie,23,899,Francis Capra,Comedy|Family|Fantasy,Mara Wilson,5535,Kathleen Turner,8 year old|convention|magic|magic wand|male fairy godmother,English,28000000,1997,5.4,1.85
John Carpenter,0,900,Clea DuVall,Action|Horror|Sci-Fi,Jason Statham,28867,Natasha Henstridge,head on a stake|machine gun|martian|nuclear reactor|outer space,English,28000000,2001,4.9,2.35
David Gordon Green,234,660,Zoe Kazan,Comedy|Drama,Dominic Flores,3944,Scoot McNairy,bolivia|box office flop|inspired by documentary|presidential campaign|year 2002,English,28000000,2015,6.1,1.85
Burr Steers,23,845,Bella Heathcote,Action|Horror|Romance,Matt Smith,4710,Sam Riley,based on novel|damsel in distress|deception|england|zombie,English,28000000,2016,5.8,2.35
Martin Scorsese,17000,0,Tulku Jamyang Kunga Tenzin,Biography|Drama|History|War,Tenzin Thuthob Tsarong,4,Tencho Gyalpo,chinese|dalai lama|lama|tibet|tibetan,English,28000000,1997,7.0,2.35
Robert B. Weide,53,87,Katherine Parkinson,Comedy|Drama|Romance,James Corden,858,Fenella Woolgar,celebrity|party|pig|starlet|writer,English,27000000,2008,6.5,1.85
Jeff Wadlow,65,405,Donald Faison,Action|Comedy|Crime,Chloë Grace Moretz,19168,Augustus Prew,hit in the crotch|kicked in the crotch|punched in the crotch|sparring|superhero,English,28000000,2013,6.6,2.35
Agustín Díaz Yanes,13,278,Elena Anaya,Adventure|Drama|History|Romance|Thriller|War,Viggo Mortensen,11669,Eduardo Noriega,desire|fighting|king|spain|trap,Spanish,24000000,2006,6.1,1.85
Camille Delamarre,11,561,Robert Maillet,Action|Crime|Drama|Thriller,Paul Walker,25387,RZA,bare chested male bondage|crime lord|die hard scenario|two word title|undercover,English,28000000,2014,5.7,2.35
John Glen,46,293,Kabir Bedi,Action|Adventure|Thriller,Louis Jourdan,1898,Steven Berkoff,agent|egg|faberge egg|general|russian,English,27500000,1983,6.6,2.35
Judd Apatow,0,529,Martin Starr,Comedy|Romance,Harold Ramis,12874,Charlyne Yi,one night stand|pregnancy|slacker|unplanned pregnancy|website,English,30000000,2007,7.0,1.85
Nick Cassavetes,415,228,Sofia Vassilieva,Drama,Jason Patric,1775,Jeffrey Markle,hospital|leukemia|oncology|sick child|terminal illness,English,30000000,2009,7.4,2.35
Malcolm D. Lee,92,436,Mike Epps,Comedy|Drama|Romance,Mo'Nique,3565,Cedric the Entertainer,african american protagonist|comma in title|four word title|name in title|talk show host,English,35000000,2008,5.3,1.85
David Lean,767,162,Judy Davis,Adventure|Drama|History,Richard Wilson,1334,Art Malik,doctor|english|india|magistrate|mosque,English,16000000,1984,7.4,1.85
Richard Eyre,14,78,Andrew Simpson,Crime|Drama|Romance|Thriller,Phil Davis,646,Shaun Parkes,age difference|school|student|teacher|writing,English,15000000,2006,7.4,1.85
Gavin Hood,151,11000,Jake Gyllenhaal,Drama|Thriller,J.K. Simmons,50950,Meryl Streep,american|bare chested male bondage|cia|detention|interrogation,English,27500000,2007,6.8,2.35
,,535,Mary Elizabeth Mastrantonio,Crime|Drama|Sci-Fi|Thriller,Colin Salmon,2707,Jake McDorman,brain capacity|fbi|fictional drug|intelligence|taking a pill,English,,,7.9,16.0
Nicholas Meyer,120,664,Kurtwood Smith,Action|Adventure|Sci-Fi|Thriller,Leonard Nimoy,16230,Nichelle Nichols,captain|explosion|klingon|moon|peace,English,30000000,1991,7.2,2.35
Callie Khouri,144,477,Fionnula Flanagan,Drama,Ellen Burstyn,3845,Matthew Settle,flashback|interview|louisiana|playwright|secret society,English,27000000,2002,6.0,2.35
Jon Favreau,4000,591,Bill Murray,Adventure|Drama|Family|Fantasy,Scarlett Johansson,32921,Garry Shandling,fire|jungle|remake|tiger|wolf,English,175000000,2016,7.8,1.85
Gary Fleder,39,685,Tony Goldwyn,Crime|Drama|Mystery|Thriller,Morgan Freeman,14322,Tatyana Ali,detective|kidnapping|punching a heavy bag|serial killer|tied to a tree,English,27000000,1997,6.6,2.35
John Landis,644,326,Aretha Franklin,Action|Comedy|Crime|Music,John Belushi,2566,Ray Charles,band|catholic|money|parolee|prison,English,27000000,1980,7.9,1.85
Sanaa Hamri,43,523,Blythe Danner,Comedy|Drama|Family|Romance,America Ferrera,3525,Michael Rady,actor|drawing|friendship|pregnancy|turkey,English,,2008,6.2,1.85
Todd Graff,650,715,Jeremy Jordan,Comedy|Music,Dolly Parton,3389,Jesse L. Martin,bare chested male|chips|two word title,English,25000000,2012,5.7,2.35
Chris Weitz,129,3,Christopher Webster,Comedy|Drama|Romance,Sharon Small,74,Peter McNicholl,boy|friend|imaginary son|single father|single mother,English,30000000,2002,7.1,2.35
Steve Miner,49,429,Bridget Fonda,Action|Comedy|Horror,Oliver Platt,3313,Ty Olsson,crocodile|eaten alive|lake|maine|sheriff,English,27000000,1999,5.6,2.35
