director_name,actor_2_name,actor_1_facebook_likes,gross,genres,cast_total_facebook_likes,actor_3_name,plot_keywords,num_user_for_reviews,country,budget,actor_2_facebook_likes,imdb_score
Peter Segal,Sylvester Stallone,22000,29802761,Comedy|Sport,36009,Oscar Gale,broke|promoter|retirement|trainer|training,115,USA,40000000,13000,6.4
John Woo,Tony Chiu Wai Leung,755,626809,Action|Adventure|Drama|History|War,2172,Wei Zhao,alliance|battle|china|chinese|strategy,105,China,553632000,643,7.4
Andy Tennant,Mary Lynn Rajskub,982,127214072,Comedy|Romance,4251,Courtney Gains,alabama|divorce|divorce papers|husband wife relationship|new york city,392,USA,38000000,935,6.1
Robert Luketic,John Michael Higgins,18000,88915214,Comedy|Romance,22436,Eric Winter,call in|chick flick|date|hot air balloon|show producer,169,USA,38000000,957,6.5
Jonathan Lynn,Phil Hartman,592,30400000,Comedy,2176,Max Casella,greenland|military|revenge|soldier|u.s. soldier,73,USA,39000000,516,5.7
Robert Rodriguez,Alexa PenaVega,12000,85570368,Action|Adventure|Comedy|Family|Sci-Fi,18291,Emily Osment,island|mad scientist|scientist|sequel|spy,107,USA,38000000,2000,5.1
David Carson,Alan Ruck,1000,75668868,Action|Adventure|Mystery|Sci-Fi|Thriller,6427,Jonathan Frakes,23rd century|bare chested male bondage|enterprise the starship|rescue|sacrifice,249,USA,35000000,946,6.6
Kar-Wai Wong,Hye-kyo Song,643,6594136,Action|Biography|Drama,943,Elvis Tsui,challenge|china|hong kong|martial arts|martial arts master,111,Hong Kong,38600000,290,6.5
Francis Lawrence,Christoph Waltz,21000,58700247,Drama|Romance,36062,James Frain,circus|circus vargas|elephant|fear|train,260,USA,38000000,11000,6.9
,Wayne Knight,23000,,Comedy|Family|Sci-Fi,25160,Kristen Johnston,alien|digit in title|human form|number 3 in title|talking on a rooftop,86,USA,,967,7.8
Yuefeng Song,Bianca Collins,76,,Adventure|Animation|Family|Fantasy,196,Jiao Xu,,18,China,40000000,47,6.4
Norman Jewison,Vincent Pastore,18000,50668906,Biography|Drama|Sport,20516,Deborah Kara Unger,african american|book|boxer|boxing|murder,265,USA,38000000,584,7.6
Michael Apted,Jeff Kober,970,39177215,Crime|Drama|Thriller,3770,Billy Campbell,abusive husband|escape|intimate partner homicide|marriage|woman wearing only a man's shirt,234,USA,38000000,919,5.6
David Mirkin,Anne Bancroft,931,40334024,Comedy|Crime|Romance,2912,Jeffrey Jones,bank|infidelity|millionaire|money|scam,216,USA,35000000,754,6.2
Andy Fickman,Daniella Alonso,598,71038190,Action|Comedy|Crime,3552,Eduardo Verástegui,character name in title|no opening credits|sequel|wilhelm scream,123,USA,30000000,557,4.4
Luis Mandoki,Shirley Knight,308,24044532,Drama|Romance,1440,Kari Matchett,apartment|fate|gun|love|mysterious man,180,USA,38000000,285,5.6
John Pasquin,Ken Marino,854,22770864,Comedy|Drama,2765,Kelly Lynch,bully|co worker|divorce|fight|karate,85,USA,38000000,543,5.5
Roman Polanski,Frank Langella,40000,18653746,Mystery|Thriller,42344,Lena Olin,bare butt|gnosticism|lucifer|rare book|sex,638,Spain,38000000,903,6.7
Michael Apted,Paul Guilfoyle,24000,17305211,Crime|Drama|Mystery|Thriller,24547,Bill Nunn,cartoon on tv|doctor|emergency room|hospital|nudity,75,USA,38000000,210,6.1
Stephen Herek,Dagmara Dominczyk,628,16991902,Drama|Music,1265,Matthew Glave,cover band|fired from a job|heavy metal|rock star|tribute band,191,USA,57000000,316,6.2
Lee Daniels,Gabourey Sidibe,940,47536959,Drama,3277,Mariah Carey,abuse|african american lesbian|lesbian|lesbian couple|school,275,USA,10000000,906,7.3
Ridley Scott,Jason Marsden,12000,10300000,Adventure|Drama,16237,Ethan Embry,acrophobia|jamaica|male bonding|prostitute|tragedy,89,USA,38000000,1000,6.6
John Carpenter,Richard Masur,957,13782838,Horror|Mystery|Sci-Fi,1757,David Clennon,alien creature|alien life form|antarctica|isolation|paranoia,911,USA,15000000,163,8.2
David Twohy,Nolan Gerard Funk,14000,41997790,Action|Sci-Fi|Thriller,17551,Bokeem Woodbine,alien|left for dead|mercenary|survival|vomiting,343,USA,38000000,924,6.4
Jeb Stuart,Claudia Stedelin,37,6482195,Crime|Mystery|Thriller,74,Ted Markland,deputy|fbi agent|knife held to throat|serial killer|sheriff,81,USA,37000000,12,6.4
Steve Miner,Usher Raymond,1000,623374,Action|Adventure|Drama|Thriller|Western,2120,Leonor Varela,army|mexican|orphan|texas|texas ranger,67,USA,38000000,569,5.2
Gil Kenan,Toby Jones,13000,7871693,Adventure|Family|Fantasy|Sci-Fi,15494,Harry Treadaway,box|food|mayor|pipeworks|scientist,102,USA,55000000,2000,6.5
Paul Thomas Anderson,Jeffrey W. Jenkins,378,16377274,Drama,427,Bruce Goodchild,drifter|past life regression|psychological testing|right hand man|scientology,405,USA,32000000,18,7.1
David Leland,Ryan Cartwright,4000,,Adventure|Comedy|History|Romance,4900,David Walliams,breasts|nude nun|plague|russian nobleman|two word title,28,Italy,38000000,476,4.8
Gary Fleder,Nicole Beharie,2000,9589875,Biography|Drama|Sport,5162,Charles S. Dutton,african american|coach|football movie|nonlinear timeline|syracuse university,45,USA,40000000,898,7.3
J Blakeson,Maggie Siff,17000,34912982,Action|Adventure|Sci-Fi|Thriller,19974,Nick Robinson,alien|attack|based on novel|based on young adult novel|fear,266,USA,38000000,1000,5.2
Ryan Coogler,Phylicia Rashad,13000,109712885,Drama|Sport,15106,Graham McTavish,boxing|boxing match|fight|montage|philadelphia,362,USA,35000000,597,7.7
Ben Affleck,Jon Hamm,10000,92173235,Crime|Drama|Thriller,14296,Owen Burke,bank manager|bank robbery|criminal gang|heist|prison,420,USA,37000000,4000,7.6
Kirk Jones,Dennis Quaid,10000,41102171,Comedy|Drama|Romance,13396,Thomas Lennon,baby|expecting twins|hawaiian shirt|photographer|pregnancy,89,USA,40000000,2000,5.7
Ethan Coen,Brad Pitt,24000,60338891,Comedy|Drama,36093,Kevin Sussman,cia|divorce|embassy|gym|memoir,545,USA,37000000,11000,7.0
Jennifer Flackett,Anthony Simcoe,18000,48006503,Adventure|Comedy|Family|Fantasy,18178,Christopher James Baker,author|girl|island|reading|scientist,110,USA,37000000,82,6.0
Ron Howard,Olivia Wilde,26000,26903709,Action|Biography|Drama|Sport,37206,Alexandra Maria Lara,1970s|female rear nudity|formula 1|rivalry|sex with a nurse,475,UK,38000000,10000,8.1
Paul Thomas Anderson,Neil Flynn,786,22450975,Drama,1906,Jim Meskimen,abusive father|coincidence|fictional game show|fictional quiz show|multiple storyline,1437,USA,37000000,625,8.0
Kevin Smith,Tracy Morgan,13000,44867349,Action|Comedy|Crime,14483,Kevin Pollak,baseball card|detective|partner|thief|wedding,176,USA,37000000,642,5.6
Christian Ditter,Damon Wayans Jr.,2000,46813366,Comedy|Romance,4882,Nicholas Braun,motor scooter|new york city|newborn baby|scooter|single,83,USA,38000000,756,6.1
Charles Martin Smith,Michael Roark,11000,72279690,Drama|Family,14209,Harry Connick Jr.,boy|dolphin|prosthetics|tail|trap,86,USA,37000000,680,6.9
Catherine Hardwicke,Taylor Lautner,17000,191449475,Drama|Fantasy|Romance,44060,Anna Kendrick,blood|high school|love|school|vampire,1535,USA,37000000,12000,5.2
Nick Cassavetes,Laura Harring,18000,71026631,Crime|Drama|Thriller,20970,Anne Heche,health care|heart transplant|hospital|hostage|insurance,394,USA,36000000,669,7.0
Les Mayfield,Dave Chappelle,789,68208190,Action|Comedy|Crime|Thriller,2986,Tamala Jones,detective|diamond|jewel|police|thief,144,USA,65000000,744,6.3
Rawson Marshall Thurber,Molly C. Quinn,740,150368971,Comedy|Crime,3425,Thomas Lennon,fake family|male frontal nudity|marijuana|mexico|stripper,301,USA,37000000,707,7.0
Fedor Bondarchuk,Fedor Bondarchuk,463,,Action|Adventure|Sci-Fi,599,Aleksey Serebryakov,22nd century|first part|friend|guard|space opera,21,Russia,29500000,35,5.3
Jonathan Mostow,M.C. Gainey,551,50129186,Action|Crime|Drama|Mystery|Thriller,1874,J.T. Walsh,car breakdown|diner|jeep|paranoia|violence,218,USA,36000000,284,6.9
Irvin Kershner,Klaus Maria Brandauer,180,55500000,Action|Adventure|Thriller,762,Barbara Carrera,british|character says now that you're on the case i hope we're going to have some gratuitous sex and violence|cruise missile|missile|nuclear warhead,214,UK,36000000,172,6.2
Steve Pink,Collette Wolfe,496,50213619,Comedy|Sci-Fi,1272,Crystal Lowe,cheating wife|drug reference|maintenance man|male vomiting|promiscuous woman,243,USA,36000000,390,6.4
Charles Martin Smith,Taylor Blackwell,11000,42019483,Drama|Family,13904,Harry Connick Jr.,dolphin|latex gloves|medical scrubs|purple gloves|turtle,33,USA,36000000,641,6.4
John Frankenheimer,James Frain,9000,23360779,Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,10838,Clarence Williams III,casino|christmas|christmas season|girlfriend|release from prison,212,USA,34000000,1000,5.7
F. Gary Gray,Jeff Kober,14000,26183197,Action|Crime|Drama|Thriller,16611,Larenz Tate,bust|dea|drug cartel|justice|tragic hero,135,USA,36000000,919,6.1
Cameron Crowe,Bradley Cooper,15000,20991497,Comedy|Drama|Romance,44037,Bill Murray,box office flop|critically bashed|hawaii|one word title|written by director,172,USA,37000000,14000,5.4
Rob Reiner,Virginia Madsen,2000,13052741,Drama|History,3968,Craig T. Nelson,activist|assassin|civil rights|trial|widow,57,USA,36000000,912,6.7
Scott Hicks,Reeve Carney,746,14378353,Drama|Mystery|Romance|Thriller,2393,Daniel von Bargen,fisherman|japanese|love|trial|washington state,194,USA,36000000,602,6.8
Mikael Håfström,Colin O'Donoghue,12000,33037754,Drama|Horror|Mystery|Thriller,19904,Toby Jones,demon|exorcism|exorcist|faith|seminary,197,USA,37000000,3000,6.0
Andrew Niccol,Xander Berkeley,685,12339633,Drama|Sci-Fi|Thriller,1942,Mason Gamble,accident|future|genetics|mission|police,641,USA,36000000,485,7.8
Andrew Bergman,Nathan Lane,944,2954405,Biography|Comedy|Romance,2928,John Larroquette,autistic son|cancer|female protagonist|new york city|son,64,USA,36000000,886,5.3
Kirk De Micco,Kenan Thompson,541,30105968,Adventure|Animation|Comedy|Family|Sci-Fi,2268,Omid Abtahi,astronaut|attacked by a plant|planet|senator|space travel,45,USA,37000000,521,4.5
Chris Rock,Dylan Baker,1000,37788228,Comedy,4537,Tracy Morgan,alderman|party|president|presidential candidate|washington d.c.,80,USA,35200000,812,5.4
Todd Phillips,Rob Riggle,14000,277313371,Comedy,17623,Mike Epps,drunkenness|female nudity|hangover|hedonism|morning after,626,USA,35000000,839,7.8
Wilson Yip,Lynn Hung,461,2126511,Action|Biography|Drama|History,615,Kwok-Kwan Chan,1950s|cancer|hong kong|martial arts school|wing chun,45,Hong Kong,36000000,79,7.2
Jay Roach,Verne Troyer,45000,205399422,Action|Adventure|Comedy|Crime,47203,Robert Wagner,penis joke|phallic image|sexy agent|spy|volcano hideout,784,USA,33000000,645,6.6
Tim Burton,Jack Palance,920,251188924,Action|Adventure,2725,William Hootkins,city|dc comics|gotham|pantyhose|police,817,USA,35000000,549,7.6
Roland Joffé,Dougray Scott,877,1068392,Biography|Drama|War,3497,Lily Cole,dying|forgiveness|saint|spanish civil war|starts with narration,53,Spain,36000000,794,5.9
Richard Donner,Nick Chinlund,808,144731527,Action|Crime|Thriller,1446,Stuart Wilson,gangster|gun|internal affairs|police|police officer,136,USA,35000000,277,6.7
John Lee Hancock,Quinton Aaron,768,255950375,Biography|Drama|Sport,3389,Kim Dickens,american football|based on true story|football star|high school football|left tackle,420,USA,29000000,734,7.7
,Aimee Garcia,778,,Action|Comedy|Crime,2255,Wendie Malick,,30,USA,,618,5.8
Robert Rodriguez,Cheech Marin,2000,112692062,Action|Adventure|Comedy|Family|Sci-Fi,4499,Daryl Sabara,brother sister relationship|espionage|rescue|secret agent|spy,205,USA,35000000,843,5.4
Seth Gordon,Lindsay Sloane,18000,117528646,Comedy|Crime,18669,Reginald Ballard,black comedy|boss|chemical company|dental assistant|murder,387,USA,35000000,464,6.9
Ethan Coen,Jeff Bridges,13000,171031347,Adventure|Drama|Western,25964,Bruce Green,arkansas|murder|sheriff|texas ranger|u.s. marshal,724,USA,38000000,12000,7.7
David Frankel,Anne Hathaway,11000,124732962,Comedy|Drama|Romance,23923,Rebecca Mader,fashion|fashion industry|magazine|new york city|publishing,631,USA,35000000,11000,6.8
Robert Wise,Nichelle Nichols,12000,82300000,Adventure|Mystery|Sci-Fi,16007,Walter Koenig,alien|space|space station|spacecraft|warp speed,405,USA,35000000,664,6.4
Seth Gordon,Eric Stonestreet,4000,134455175,Comedy|Crime,5826,T.I.,bounty hunter|credit card|cross country|identity|police,232,USA,35000000,904,5.7
Martin Scorsese,Robert Mitchum,22000,79100000,Crime|Thriller,24006,Joe Don Baker,lawyer|neo noir|prison|rapist|southern gothic,261,USA,35000000,1000,7.3
Robert Luketic,Jim Sturgess,18000,81159365,Crime|Drama|Thriller,25661,Josh Gad,based on true story|blackjack|card counting|gambling|massachusetts institute of technology,278,USA,35000000,5000,6.8
Judd Apatow,Randall Park,492,110008260,Comedy|Romance,1450,Josh Segarra,actress playing herself|actress shares first name with character|fired from a job|male nudity|written by star,309,Japan,35000000,392,6.3
Kevin Rodney Sullivan,Nicole Sullivan,1000,67962333,Comedy|Romance,2689,Sherri Shepherd,argument|engagement|family relationships|love|undressing,160,USA,35000000,358,5.9
Anthony Minghella,Kristin Scott Thomas,14000,78651430,Drama|Romance|War,15912,Jürgen Prochnow,church|english|flashback|nurse|patient,457,USA,27000000,1000,7.4
Curtis Hanson,Matt McCoy,18000,64604977,Crime|Drama|Mystery|Thriller,19129,Paul Guilfoyle,1950s|call girl|corruption|murder|police detective,625,USA,35000000,398,8.3
Mike Mitchell,Kelly Preston,947,63939454,Adventure|Comedy|Family|Sci-Fi,2968,Nicholas Braun,coming of age|friend|high school|sidekick|superpower,217,USA,35000000,742,6.2
Frank Oz,Wilford Brimley,19000,63826569,Comedy,23504,Lauren Ambrose,academy award|gay|high school|reporter|teacher,138,USA,35000000,957,6.3
Roger Donaldson,Marg Helgenberger,900,60054449,Action|Horror|Sci-Fi|Thriller,1715,Jordan Lund,alien|interspecies sex|scientist|sexual attraction|train,140,USA,35000000,759,5.8
Wes Craven,Lin Shaye,40000,26505000,Horror,42918,Amanda Wyss,freddy krueger|lucid dream|serial killer|slasher|sleep deprivation,668,USA,1800000,852,7.5
Tarsem Singh,Jake Weber,812,61280963,Horror|Sci-Fi|Thriller,2474,James Gammon,coma|fbi|race against time|serial killer|strong female lead,677,USA,33000000,551,6.3
Randall Wallace,Anne Parillaud,29000,56876365,Action|Adventure,29265,Judith Godrèche,france|musketeer|three musketeers|twin|twin brother,244,USA,35000000,130,6.4
Randall Wallace,Kevin Connolly,826,59699513,Biography|Drama|Family|History|Sport,2259,Dylan Walsh,eccentric|horse racing|newspaper clipping|stallion|triple crown,136,USA,35000000,638,7.2
Kevin Munroe,Sarah Michelle Gellar,11000,54132596,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,16571,Mako,martial arts master|monster|new york city|turtle|warrior,211,Hong Kong,34000000,4000,6.3
Michael Tollin,Riley Smith,1000,52277485,Biography|Drama|Sport,4231,Debra Winger,coach|football|football coach|high school|radio,196,USA,35000000,762,6.9
