director_name,actor_1_name,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,content_rating,title_year,imdb_score,aspect_ratio,movie_facebook_likes
Rodrigo García,Mia Wasikowska,Albert Nobbs ,19616,Mark Williams,3,http://www.imdb.com/title/tt1602098/?ref_=fn_tt_tt_1,98,R,2011,6.7,2.35,0
Jeta Amata,Akon,Black November ,385,Razaaq Adoti,3,http://www.imdb.com/title/tt2147225/?ref_=fn_tt_tt_1,4,,2012,5.6,,389
Siddharth Anand,Saif Ali Khan,Ta Ra Rum Pum ,2909,Vic Aviles,3,http://www.imdb.com/title/tt0833553/?ref_=fn_tt_tt_1,37,,2007,5.4,,108
Vincent Paronnaud,Catherine Deneuve,Persepolis ,70194,Danielle Darrieux,0,http://www.imdb.com/title/tt0808417/?ref_=fn_tt_tt_1,158,PG-13,2007,8.0,1.85,14000
Joe Dante,Bruce Dern,The Hole ,19157,Haley Bennett,2,http://www.imdb.com/title/tt1085779/?ref_=fn_tt_tt_1,69,PG-13,2009,5.7,1.85,0
Dennis Gansel,Max Riemelt,The Wave ,80639,Jennifer Ulrich,0,http://www.imdb.com/title/tt1063669/?ref_=fn_tt_tt_1,96,,2008,7.6,2.35,25000
Nicolas Winding Refn,Keanu Reeves,The Neon Demon ,9866,Charles Baker,2,http://www.imdb.com/title/tt1974419/?ref_=fn_tt_tt_1,73,R,2016,7.0,2.35,0
Daniel Barber,Joseph Gilgun,Harry Brown ,74435,Sean Harris,1,http://www.imdb.com/title/tt1289406/?ref_=fn_tt_tt_1,224,R,2009,7.2,2.35,0
Sam Raimi,J.K. Simmons,Spider-Man 3 ,383071,Kirsten Dunst,0,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1902,PG-13,2007,6.2,2.35,0
Robert Marcarelli,George Coe,The Omega Code ,4682,Ayla Kell,0,http://www.imdb.com/title/tt0203408/?ref_=fn_tt_tt_1,206,PG-13,1999,3.5,1.37,129
Jason Reitman,J.K. Simmons,Juno ,414335,Rainn Wilson,0,http://www.imdb.com/title/tt0467406/?ref_=fn_tt_tt_1,881,PG-13,2007,7.5,1.85,10000
Ernie Barbarash,Darren Shahlavi,Pound of Flesh ,4099,Brahim Achabbakhe,0,http://www.imdb.com/title/tt3488328/?ref_=fn_tt_tt_1,29,R,2015,5.1,1.85,0
Guy Hamilton,Desmond Llewelyn,Diamonds Are Forever ,74249,Jill St. John,2,http://www.imdb.com/title/tt0066995/?ref_=fn_tt_tt_1,276,GP,1971,6.7,2.35,0
Francis Ford Coppola,Al Pacino,The Godfather ,1155770,Robert Duvall,1,http://www.imdb.com/title/tt0068646/?ref_=fn_tt_tt_1,2238,R,1972,9.2,1.85,43000
Adrian Lyne,Michael Nouri,Flashdance ,35172,Lee Ving,0,http://www.imdb.com/title/tt0085549/?ref_=fn_tt_tt_1,128,R,1983,6.1,1.85,0
Marc Webb,Joseph Gordon-Levitt,500 Days of Summer ,376600,Zooey Deschanel,43,http://www.imdb.com/title/tt1022603/?ref_=fn_tt_tt_1,494,PG-13,2009,7.7,2.35,40000
Jane Campion,Holly Hunter,The Piano ,63931,Geneviève Lemon,1,http://www.imdb.com/title/tt0107822/?ref_=fn_tt_tt_1,241,R,1993,7.6,1.85,0
Steven Soderbergh,Channing Tatum,Magic Mike ,108843,Matthew McConaughey,1,http://www.imdb.com/title/tt1915581/?ref_=fn_tt_tt_1,281,R,2012,6.1,2.35,54000
Jonathan Liebesman,Sullivan Stapleton,Darkness Falls ,25870,Angus Sampson,0,http://www.imdb.com/title/tt0282209/?ref_=fn_tt_tt_1,369,PG-13,2003,4.9,2.35,2000
Guy Hamilton,Yaphet Kotto,Live and Let Die ,74957,Clifton James,3,http://www.imdb.com/title/tt0070328/?ref_=fn_tt_tt_1,251,PG,1973,6.8,1.66,0
Jay Russell,Clint Howard,My Dog Skip ,16651,Cody Linley,0,http://www.imdb.com/title/tt0156812/?ref_=fn_tt_tt_1,149,PG,2000,7.0,1.37,0
Adam Brooks,Ryan Reynolds,Definitely, Maybe ,127760,Paulina Gerzon,5,http://www.imdb.com/title/tt0832266/?ref_=fn_tt_tt_1,168,PG-13,2008,7.2,2.35,0
Salim Akil,Gary Dourdan,Jumping the Broom ,7973,Laz Alonso,8,http://www.imdb.com/title/tt1640484/?ref_=fn_tt_tt_1,59,PG-13,2011,5.7,1.85,0
Baz Luhrmann,Leonardo DiCaprio,The Great Gatsby ,362933,Steve Bisley,4,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,753,PG-13,2013,7.3,2.35,115000
George Clooney,Robert Downey Jr.,Good Night, and Good Luck. ,84070,Alex Borstein,0,http://www.imdb.com/title/tt0433383/?ref_=fn_tt_tt_1,526,PG,2005,7.5,1.85,0
Bennett Miller,Philip Seymour Hoffman,Capote ,100571,Kwesi Ameyaw,1,http://www.imdb.com/title/tt0379725/?ref_=fn_tt_tt_1,416,R,2005,7.4,2.35,0
Robert Rodriguez,Quentin Tarantino,Desperado ,138707,Salma Hayek,0,http://www.imdb.com/title/tt0112851/?ref_=fn_tt_tt_1,202,R,1995,7.2,1.85,0
Michael Winterbottom,Milla Jovovich,The Claim ,5254,Shirley Henderson,4,http://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1,92,R,2000,6.5,2.35,141
,Kirsten Dunst,Fargo             ,170055,Oliver Platt,0,http://www.imdb.com/title/tt2802850/?ref_=fn_tt_tt_1,173,TV-MA,,9.0,1.78,61000
Michael Anderson,Farrah Fawcett,Logan's Run ,39847,Peter Ustinov,1,http://www.imdb.com/title/tt0074812/?ref_=fn_tt_tt_1,242,PG,1976,6.8,2.35,0
Guy Hamilton,Christopher Lee,The Man with the Golden Gun ,73950,Desmond Llewelyn,3,http://www.imdb.com/title/tt0071807/?ref_=fn_tt_tt_1,258,PG,1974,6.8,1.66,2000
Craig R. Baxley,Bill Duke,Action Jackson ,7569,Carl Weathers,2,http://www.imdb.com/title/tt0094612/?ref_=fn_tt_tt_1,65,R,1988,5.2,1.85,978
Neil Marshall,MyAnna Buring,The Descent ,154938,Craig Conway,0,http://www.imdb.com/title/tt0435625/?ref_=fn_tt_tt_1,1100,R,2005,7.2,2.35,10000
Don Kempf,Bill Murray,Michael Jordan to the Max ,1723,Bob Costas,0,http://www.imdb.com/title/tt0245280/?ref_=fn_tt_tt_1,13,,2000,7.5,1.44,407
Matt Bettinelli-Olpin,Zach Gilford,Devil's Due ,13913,Vanessa Ray,0,http://www.imdb.com/title/tt2752758/?ref_=fn_tt_tt_1,120,R,2014,4.0,1.85,0
David O. Russell,Lily Tomlin,Flirting with Disaster ,15088,David Patrick Kelly,3,http://www.imdb.com/title/tt0116324/?ref_=fn_tt_tt_1,105,R,1996,6.8,1.85,824
Rob Zombie,Sid Haig,The Devil's Rejects ,76267,Lew Temple,0,http://www.imdb.com/title/tt0395584/?ref_=fn_tt_tt_1,687,R,2005,6.9,1.85,0
,Sarah Michelle Gellar,Buffy the Vampire Slayer             ,101902,Emma Caulfield,0,http://www.imdb.com/title/tt0118276/?ref_=fn_tt_tt_1,665,TV-14,,8.2,1.33,6000
Rick Famuyiwa,Kimberly Elise,Dope ,56605,Kiersey Clemons,3,http://www.imdb.com/title/tt3850214/?ref_=fn_tt_tt_1,89,R,2015,7.3,2.35,23000
Michael Rymer,LL Cool J,In Too Deep ,4598,Nia Long,1,http://www.imdb.com/title/tt0160401/?ref_=fn_tt_tt_1,29,R,1999,6.1,2.35,375
Sam Mendes,Albert Finney,Skyfall ,522048,Rory Kinnear,0,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,1498,PG-13,2012,7.8,2.35,80000
Rob Zombie,Sid Haig,House of 1000 Corpses ,60709,Erin Daniels,0,http://www.imdb.com/title/tt0251736/?ref_=fn_tt_tt_1,922,R,2003,6.0,1.85,0
Sharron Miller,Bernard Fox,Alien Zone ,440,Charles Aidman,0,http://www.imdb.com/title/tt0072626/?ref_=fn_tt_tt_1,21,PG,1978,4.1,,44
Ethan Coen,Michael Stuhlbarg,A Serious Man ,102125,Peter Breitmayer,1,http://www.imdb.com/title/tt1019452/?ref_=fn_tt_tt_1,324,R,2009,7.0,1.85,10000
Aaron Schneider,Bill Murray,Get Low ,19147,Bill Cobbs,1,http://www.imdb.com/title/tt1194263/?ref_=fn_tt_tt_1,97,PG-13,2009,7.1,2.35,0
Steve Miner,Julian Sands,Warlock ,11668,Lori Singer,0,http://www.imdb.com/title/tt0098622/?ref_=fn_tt_tt_1,79,R,1989,6.2,1.85,0
Gina Prince-Bythewood,Minnie Driver,Beyond the Lights ,11191,Darryl Stephens,1,http://www.imdb.com/title/tt3125324/?ref_=fn_tt_tt_1,37,PG-13,2014,6.9,,0
Tom Ford,Colin Firth,A Single Man ,83182,Keri Lynn Pratt,2,http://www.imdb.com/title/tt1315981/?ref_=fn_tt_tt_1,247,R,2009,7.6,2.35,16000
Martin Scorsese,Irvin Kershner,The Last Temptation of Christ ,39680,Roberts Blossom,0,http://www.imdb.com/title/tt0095497/?ref_=fn_tt_tt_1,308,R,1988,7.6,1.85,0
Michael Corrente,Jonathan Brandis,Outside Providence ,7736,Shawn Hatosy,3,http://www.imdb.com/title/tt0125971/?ref_=fn_tt_tt_1,100,R,1999,6.4,1.85,0
Gurinder Chadha,Indira Varma,Bride & Prejudice ,17436,Anupam Kher,1,http://www.imdb.com/title/tt0361411/?ref_=fn_tt_tt_1,276,PG-13,2004,6.2,2.35,0
Phillip Noyce,Roy Billing,Rabbit-Proof Fence ,23486,Deborah Mailman,1,http://www.imdb.com/title/tt0252444/?ref_=fn_tt_tt_1,249,PG,2002,7.5,2.35,0
Don Michael Paul,Jeffrey Jones,Who's Your Caddy? ,13815,Lil' Wayne,0,http://www.imdb.com/title/tt0785077/?ref_=fn_tt_tt_1,46,PG-13,2007,2.0,1.85,446
Tony Maylam,Michael J. Pollard,Split Second ,8391,Alastair Duncan,0,http://www.imdb.com/title/tt0105459/?ref_=fn_tt_tt_1,75,R,1992,6.2,1.85,0
,Melinda Clarke,Nikita             ,42402,Aaron Stanford,1,http://www.imdb.com/title/tt1592154/?ref_=fn_tt_tt_1,83,,,7.7,16.0,0
Mitch Davis,Anne Hathaway,The Other Side of Heaven ,3203,Miriama Smith,2,http://www.imdb.com/title/tt0250371/?ref_=fn_tt_tt_1,85,PG,2001,6.5,1.85,650
,Jensen Ackles,Dark Angel             ,25329,John Savage,1,http://www.imdb.com/title/tt0204993/?ref_=fn_tt_tt_1,160,TV-14,,7.4,1.33,0
Yash Chopra,Shah Rukh Khan,Veer-Zaara ,34449,Anupam Kher,0,http://www.imdb.com/title/tt0420332/?ref_=fn_tt_tt_1,119,,2004,7.9,2.35,2000
David Mamet,Alice Braga,Redbelt ,18561,Jose Pablo Cantillo,0,http://www.imdb.com/title/tt1012804/?ref_=fn_tt_tt_1,119,R,2008,6.8,2.35,0
Jay Duplass,Matt Walsh,Cyrus ,29967,Katie Aselton,2,http://www.imdb.com/title/tt1336617/?ref_=fn_tt_tt_1,126,R,2010,6.3,1.85,0
Kevin Brodie,Bruce McGill,A Dog of Flanders ,781,Jack Warden,0,http://www.imdb.com/title/tt0160216/?ref_=fn_tt_tt_1,20,PG,1999,6.3,1.85,157
Paul Schrader,Ed Begley Jr.,Auto Focus ,11387,Kurt Fuller,3,http://www.imdb.com/title/tt0298744/?ref_=fn_tt_tt_1,147,R,2002,6.6,1.85,357
George Hickenlooper,Hayden Christensen,Factory Girl ,18355,Beth Grant,0,http://www.imdb.com/title/tt0432402/?ref_=fn_tt_tt_1,106,R,2006,6.4,1.85,3000
Lynne Ramsay,Ezra Miller,We Need to Talk About Kevin ,95529,Ashley Gerasimovich,0,http://www.imdb.com/title/tt1242460/?ref_=fn_tt_tt_1,301,R,2011,7.5,2.35,38000
John Stephenson,Samantha Barks,The Christmas Candle ,844,Lesley Manville,0,http://www.imdb.com/title/tt2739338/?ref_=fn_tt_tt_1,34,PG,2013,5.8,,962
Tim Chambers,Ellen Burstyn,The Mighty Macs ,1119,Jennifer Butler,2,http://www.imdb.com/title/tt1034324/?ref_=fn_tt_tt_1,12,G,2009,6.5,2.35,797
Curtis Hanson,Tom Cruise,Losin' It ,3114,Rick Rossovich,0,http://www.imdb.com/title/tt0085868/?ref_=fn_tt_tt_1,16,R,1983,4.8,,168
Rodrigo García,Naomi Watts,Mother and Child ,9727,Carla Gallo,6,http://www.imdb.com/title/tt1121977/?ref_=fn_tt_tt_1,65,R,2009,7.2,2.35,0
Dick Richards,Catherine Deneuve,March or Die ,2215,Jack O'Halloran,1,http://www.imdb.com/title/tt0076175/?ref_=fn_tt_tt_1,26,PG,1977,6.3,1.85,122
Jean-Marie Poiré,Christian Clavier,Les visiteurs ,24438,Valérie Lemercier,1,http://www.imdb.com/title/tt0108500/?ref_=fn_tt_tt_1,78,R,1993,7.0,2.35,0
Sofia Coppola,Nathalie Fay,Somewhere ,35848,Erin Wasson,0,http://www.imdb.com/title/tt1421051/?ref_=fn_tt_tt_1,198,R,2010,6.3,1.85,0
Bob Gosse,Geoff Stults,I Hope They Serve Beer in Hell ,7412,Derek Wayne Johnson,1,http://www.imdb.com/title/tt1220628/?ref_=fn_tt_tt_1,72,R,2009,5.3,2.35,0
Alex Zamm,Taylor Negron,Chairman of the Board ,5143,Larry Miller,1,http://www.imdb.com/title/tt0118836/?ref_=fn_tt_tt_1,62,PG-13,1998,2.3,1.85,724
Spencer Susser,Joseph Gordon-Levitt,Hesher ,43965,Rainn Wilson,0,http://www.imdb.com/title/tt1403177/?ref_=fn_tt_tt_1,99,R,2010,7.1,2.35,19000
Richard Shepard,Richard E. Grant,Dom Hemingway ,21243,Richard Graham,2,http://www.imdb.com/title/tt2402105/?ref_=fn_tt_tt_1,66,R,2013,6.2,2.35,0
Gus Van Sant,Matt Damon,Gerry ,15104,,0,http://www.imdb.com/title/tt0302674/?ref_=fn_tt_tt_1,290,R,2002,6.2,2.35,0
Thaddeus O'Sullivan,Olivia Williams,The Heart of Me ,1966,Eleanor Bron,3,http://www.imdb.com/title/tt0301390/?ref_=fn_tt_tt_1,25,R,2002,6.7,1.85,97
Peter Sollett,Steve Carell,Freeheld ,5863,Luke Grimes,0,http://www.imdb.com/title/tt1658801/?ref_=fn_tt_tt_1,25,PG-13,2015,6.5,1.85,0
Shari Springer Berman,Lynn Cohen,The Extra Man ,4124,Dan Hedaya,4,http://www.imdb.com/title/tt1361313/?ref_=fn_tt_tt_1,29,R,2010,5.9,2.35,916
Aleksey German,Leonid Yarmolnik,Hard to Be a God ,2518,Valentin Golubenko,0,http://www.imdb.com/title/tt2328813/?ref_=fn_tt_tt_1,28,Not Rated,2013,6.7,1.66,1000
Stephen Milburn Anderson,Chris Hemsworth,Ca$h ,7663,Paul Sanchez,2,http://www.imdb.com/title/tt1106860/?ref_=fn_tt_tt_1,38,R,2010,6.0,1.85,694
Richard E. Grant,Emily Watson,Wah-Wah ,2670,Miranda Richardson,3,http://www.imdb.com/title/tt0419256/?ref_=fn_tt_tt_1,50,R,2005,6.9,2.35,311
Troy Duffy,Norman Reedus,The Boondock Saints ,197845,Bob Marley,2,http://www.imdb.com/title/tt0144117/?ref_=fn_tt_tt_1,876,R,1999,7.9,2.35,16000
David Lam,Michael Wong,Z Storm ,383,Stephen Au,1,http://www.imdb.com/title/tt3469440/?ref_=fn_tt_tt_1,1,,2014,5.3,2.35,55
Francis Ford Coppola,Alden Ehrenreich,Twixt ,8589,Joanne Whalley,0,http://www.imdb.com/title/tt1756851/?ref_=fn_tt_tt_1,70,R,2011,4.8,1.85,0
Vladlen Barbe,Erin Fitzgerald,Snow Queen ,1159,Ivan Okhlobystin,1,http://www.imdb.com/title/tt2243621/?ref_=fn_tt_tt_1,9,PG,2012,5.3,,453
Richard Rich,Debi Derryberry,Alpha and Omega 4: The Legend of the Saw Toothed Cave ,192,Cindy Robinson,0,http://www.imdb.com/title/tt4061848/?ref_=fn_tt_tt_1,6,,2014,6.0,,41
Clint Eastwood,Clint Eastwood,Pale Rider ,39451,Sydney Penny,0,http://www.imdb.com/title/tt0089767/?ref_=fn_tt_tt_1,138,R,1985,7.3,2.35,0
Robert C. Cooper,Ben Browder,Stargate: The Ark of Truth ,15862,Julian Sands,5,http://www.imdb.com/title/tt0942903/?ref_=fn_tt_tt_1,42,,2008,7.4,1.78,389
Richard Linklater,Milla Jovovich,Dazed and Confused ,120036,Cole Hauser,1,http://www.imdb.com/title/tt0106677/?ref_=fn_tt_tt_1,408,R,1993,7.7,1.85,10000
Kenny Ortega,Lucas Grabeel,High School Musical 2 ,39786,Olesya Rulin,5,http://www.imdb.com/title/tt0810900/?ref_=fn_tt_tt_1,162,TV-G,2007,4.8,1.78,586
Kim Nguyen,Gordon Pinsent,Two Lovers and a Bear ,33,John Ralston,0,http://www.imdb.com/title/tt4412528/?ref_=fn_tt_tt_1,6,,2016,7.2,2.35,187
Jackie Earle Haley,Rex Baker,Criminal Activities ,5255,Travis Aaron Wade,3,http://www.imdb.com/title/tt3687310/?ref_=fn_tt_tt_1,38,,2015,5.8,2.35,0
Max Färberböck,Heike Makatsch,Aimee & Jaguar ,5153,Maria Schrader,1,http://www.imdb.com/title/tt0130444/?ref_=fn_tt_tt_1,51,,1999,7.3,1.85,687
Arie Posin,Rory Culkin,The Chumscrubber ,16299,Tim DeKay,1,http://www.imdb.com/title/tt0406650/?ref_=fn_tt_tt_1,129,R,2005,7.0,2.35,1000
Damian Nieman,Glenn Plummer,Shade ,10771,Mark De Alessandro,8,http://www.imdb.com/title/tt0323939/?ref_=fn_tt_tt_1,65,R,2003,6.4,2.35,413
Mark Tonderai,Jennifer Lawrence,House at the End of the Street ,58366,Gil Bellows,1,http://www.imdb.com/title/tt1582507/?ref_=fn_tt_tt_1,160,PG-13,2012,5.6,2.35,10000
Denis Villeneuve,Lubna Azabal,Incendies ,80429,Ahmad Massad,0,http://www.imdb.com/title/tt1255953/?ref_=fn_tt_tt_1,156,R,2010,8.2,1.85,37000
Gabriele Muccino,Laura Morante,Remember Me, My Love ,3548,Giulia Michelini,1,http://www.imdb.com/title/tt0323807/?ref_=fn_tt_tt_1,21,R,2003,6.5,2.35,282
Ian Fitzgibbon,Jim Broadbent,Perrier's Bounty ,5133,Michael McElhatton,8,http://www.imdb.com/title/tt1003034/?ref_=fn_tt_tt_1,31,R,2009,6.4,2.35,663
José Padilha,Wagner Moura,Elite Squad ,81644,André Ramiro,1,http://www.imdb.com/title/tt0861739/?ref_=fn_tt_tt_1,107,R,2007,8.1,1.85,11000
John R. Leonetti,Alfre Woodard,Annabelle ,81699,Gabriel Bateman,0,http://www.imdb.com/title/tt3322940/?ref_=fn_tt_tt_1,291,R,2014,5.4,2.35,45000
Rachel Perkins,Deborah Mailman,Bran Nue Dae ,1388,Jessica Mauboy,7,http://www.imdb.com/title/tt1148165/?ref_=fn_tt_tt_1,31,PG-13,2009,6.3,2.35,479
John Singleton,John Cothran,Boyz n the Hood ,94139,Na'Blonka Durden,2,http://www.imdb.com/title/tt0101507/?ref_=fn_tt_tt_1,183,R,1991,7.8,1.85,0
Luis Valdez,Esai Morales,La Bamba ,21409,Danielle von Zerneck,1,http://www.imdb.com/title/tt0093378/?ref_=fn_tt_tt_1,63,PG-13,1987,6.8,1.85,0
Alan Alda,Rita Moreno,The Four Seasons ,3157,Sandy Dennis,2,http://www.imdb.com/title/tt0082405/?ref_=fn_tt_tt_1,33,PG,1981,7.2,1.85,337
Brian De Palma,Angie Dickinson,Dressed to Kill ,23986,Nancy Allen,0,http://www.imdb.com/title/tt0080661/?ref_=fn_tt_tt_1,201,X,1980,7.1,2.35,0
Stephen Sommers,Curtis Armstrong,The Adventures of Huck Finn ,6384,Anne Heche,0,http://www.imdb.com/title/tt0106223/?ref_=fn_tt_tt_1,54,PG,1993,6.2,1.85,391
Doug Liman,Sarah Polley,Go ,59474,Scott Wolf,3,http://www.imdb.com/title/tt0139239/?ref_=fn_tt_tt_1,418,R,1999,7.3,2.35,0
Nicole Holofcener,Greg Germann,Friends with Money ,19715,Jake Cherry,2,http://www.imdb.com/title/tt0436331/?ref_=fn_tt_tt_1,166,R,2006,5.9,2.35,515
Robert Wise,David Wayne,The Andromeda Strain ,25857,Eric Christmas,0,http://www.imdb.com/title/tt0066769/?ref_=fn_tt_tt_1,171,G,1971,7.2,2.35,0
Louis Morneau,Leon,Bats ,8294,Ned Bellamy,0,http://www.imdb.com/title/tt0200469/?ref_=fn_tt_tt_1,160,PG-13,1999,3.6,2.35,342
Caroline Link,Merab Ninidze,Nowhere in Africa ,10672,Matthias Habich,0,http://www.imdb.com/title/tt0161860/?ref_=fn_tt_tt_1,84,R,2001,7.7,2.35,802
Steve McQueen,Michael Fassbender,Shame ,145395,James Badge Dale,0,http://www.imdb.com/title/tt1723811/?ref_=fn_tt_tt_1,375,NC-17,2011,7.3,2.35,23000
Matthew Vaughn,Tom Hardy,Layer Cake ,134070,Jamie Foreman,1,http://www.imdb.com/title/tt0375912/?ref_=fn_tt_tt_1,263,R,2004,7.4,2.35,0
Sterling Van Wagenen,Emily Podleski,The Work and the Glory II: American Zion ,564,Brenda Strong,2,http://www.imdb.com/title/tt0457530/?ref_=fn_tt_tt_1,21,PG-13,2005,6.6,2.35,19
Zal Batmanglij,Alexander Skarsgård,The East ,41856,Jason Ritter,4,http://www.imdb.com/title/tt1869716/?ref_=fn_tt_tt_1,119,PG-13,2013,6.9,2.35,12000
Michael Mayer,Robin Wright,A Home at the End of the World ,12049,Sissy Spacek,2,http://www.imdb.com/title/tt0359423/?ref_=fn_tt_tt_1,135,R,2004,6.8,2.35,1000
Hans Petter Moland,Charlotte Rampling,Aberdeen ,2601,Stellan Skarsgård,0,http://www.imdb.com/title/tt0168446/?ref_=fn_tt_tt_1,35,,2000,7.3,1.85,260
Oren Moverman,Steve Buscemi,The Messenger ,29608,Eamonn Walker,0,http://www.imdb.com/title/tt0790712/?ref_=fn_tt_tt_1,92,R,2009,7.2,2.35,0
Ian Sharp,Ray Winstone,Tracker ,2892,Temuera Morrison,0,http://www.imdb.com/title/tt1414378/?ref_=fn_tt_tt_1,18,R,2010,6.5,2.35,830
Anton Corbijn,Sam Riley,Control ,51353,Alexandra Maria Lara,1,http://www.imdb.com/title/tt0421082/?ref_=fn_tt_tt_1,143,R,2007,7.7,2.35,13000
James Cameron,Michael Biehn,The Terminator ,600266,Paul Winfield,1,http://www.imdb.com/title/tt0088247/?ref_=fn_tt_tt_1,692,R,1984,8.1,1.85,13000
Wolfgang Becker,Florian Lukas,Good Bye Lenin! ,114407,Burghart Klaußner,2,http://www.imdb.com/title/tt0301357/?ref_=fn_tt_tt_1,225,R,2003,7.7,1.85,11000
Tom Hooper,Stephen Graham,The Damned United ,32307,Maurice Roëves,2,http://www.imdb.com/title/tt1226271/?ref_=fn_tt_tt_1,75,R,2009,7.6,1.85,0
Dan O'Bannon,Linnea Quigley,The Return of the Living Dead ,39856,Beverly Randolph,0,http://www.imdb.com/title/tt0089907/?ref_=fn_tt_tt_1,300,R,1985,7.3,1.85,0
,Maria Pia Calzone,Gomorrah             ,9638,Marco D'Amore,5,http://www.imdb.com/title/tt2049116/?ref_=fn_tt_tt_1,25,TV-MA,,8.7,1.85,0
Kevin Smith,Ethan Suplee,Mallrats ,99033,Joey Lauren Adams,6,http://www.imdb.com/title/tt0113749/?ref_=fn_tt_tt_1,434,R,1995,7.2,1.85,0
Randal Kleiser,Olivia Newton-John,Grease ,170027,Sid Caesar,2,http://www.imdb.com/title/tt0077631/?ref_=fn_tt_tt_1,350,PG-13,1978,7.2,2.35,13000
Oliver Stone,Johnny Depp,Platoon ,291603,Kevin Dillon,0,http://www.imdb.com/title/tt0091763/?ref_=fn_tt_tt_1,505,R,1986,8.1,1.85,9000
Michael Moore,Osama bin Laden,Fahrenheit 9/11 ,113152,Ricky Martin,0,http://www.imdb.com/title/tt0361596/?ref_=fn_tt_tt_1,1416,R,2004,7.5,1.85,0
George Roy Hill,Katharine Ross,Butch Cassidy and the Sundance Kid ,152089,Kenneth Mars,1,http://www.imdb.com/title/tt0064115/?ref_=fn_tt_tt_1,309,M,1969,8.1,2.35,0
Robert Stevenson,Ed Wynn,Mary Poppins ,107408,Elsa Lanchester,2,http://www.imdb.com/title/tt0058331/?ref_=fn_tt_tt_1,259,Approved,1964,7.8,1.66,0
Robert Redford,Adam Baldwin,Ordinary People ,35130,Judd Hirsch,3,http://www.imdb.com/title/tt0081283/?ref_=fn_tt_tt_1,283,R,1980,7.8,1.85,0
Frank Coraci,Jim Broadbent,Around the World in 80 Days ,68722,Cécile De France,0,http://www.imdb.com/title/tt0327437/?ref_=fn_tt_tt_1,191,PG,2004,5.8,2.35,0
Jerome Robbins,Rita Moreno,West Side Story ,71919,Richard Beymer,0,http://www.imdb.com/title/tt0055614/?ref_=fn_tt_tt_1,316,Unrated,1961,7.6,2.2,0
Harold Ramis,Bill Murray,Caddyshack ,81599,Brian Doyle-Murray,3,http://www.imdb.com/title/tt0080487/?ref_=fn_tt_tt_1,250,R,1980,7.4,1.85,0
Gary Hardwick,Julie Benz,The Brothers ,3198,Jenifer Lewis,4,http://www.imdb.com/title/tt0250274/?ref_=fn_tt_tt_1,43,R,2001,6.3,1.85,478
Rick Famuyiwa,Omar Epps,The Wood ,6585,Richard T. Jones,0,http://www.imdb.com/title/tt0161100/?ref_=fn_tt_tt_1,50,R,1999,6.9,1.85,990
Bryan Singer,Kevin Spacey,The Usual Suspects ,740918,Kevin Pollak,4,http://www.imdb.com/title/tt0114814/?ref_=fn_tt_tt_1,1182,R,1995,8.6,2.35,28000
Stephen Hopkins,Lisa Wilcox,A Nightmare on Elm Street 5: The Dream Child ,29659,Matthew Borlenghi,0,http://www.imdb.com/title/tt0097981/?ref_=fn_tt_tt_1,227,X,1989,5.1,1.85,1000
Walt Becker,Ryan Reynolds,Van Wilder: Party Liaison ,89128,Erik Estrada,0,http://www.imdb.com/title/tt0283111/?ref_=fn_tt_tt_1,258,R,2002,6.4,1.85,0
Darren Aronofsky,Mark Margolis,The Wrestler ,251349,Ajay Naidu,0,http://www.imdb.com/title/tt1125849/?ref_=fn_tt_tt_1,547,R,2008,7.9,2.35,10000
King Vidor,Joseph Cotten,Duel in the Sun ,6304,Jennifer Jones,0,http://www.imdb.com/title/tt0038499/?ref_=fn_tt_tt_1,87,Unrated,1946,6.9,1.37,403
Christopher Guest,John Michael Higgins,Best in Show ,45859,Michael McKean,9,http://www.imdb.com/title/tt0218839/?ref_=fn_tt_tt_1,340,PG-13,2000,7.5,1.85,0
John Carpenter,Donald Pleasence,Escape from New York ,91017,Tom Atkins,1,http://www.imdb.com/title/tt0082340/?ref_=fn_tt_tt_1,284,R,1981,7.2,2.35,0
Spike Lee,Tisha Campbell-Martin,School Daze ,4756,Bill Nunn,4,http://www.imdb.com/title/tt0096054/?ref_=fn_tt_tt_1,38,R,1988,5.8,1.85,624
Fred Savage,Lochlyn Munro,Daddy Day Camp ,12339,Tamala Jones,2,http://www.imdb.com/title/tt0462244/?ref_=fn_tt_tt_1,32,PG,2007,2.9,1.85,256
Sammo Kam-Bo Hung,Sammo Kam-Bo Hung,Mr. Nice Guy ,19774,Rachel Blakely,1,http://www.imdb.com/title/tt0117786/?ref_=fn_tt_tt_1,70,PG-13,1997,6.2,2.35,355
Christopher Guest,Michael McKean,A Mighty Wind ,22408,Laura Harris,0,http://www.imdb.com/title/tt0310281/?ref_=fn_tt_tt_1,272,PG-13,2003,7.3,1.85,0
Donald Petrie,Julia Roberts,Mystic Pizza ,18286,Conchata Ferrell,4,http://www.imdb.com/title/tt0095690/?ref_=fn_tt_tt_1,73,R,1988,6.2,1.85,0
