director_name,num_critic_for_reviews,duration,gross,movie_title,cast_total_facebook_likes,facenumber_in_poster,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
Brian Robbins,51,107,12372410,Ready to Rumble ,4971,1,English,USA,PG-13,24000000,2000,5.3,1.85,650
Ron Shelton,73,124,8427204,Play It to the Bone ,1523,0,English,USA,R,24000000,1999,5.4,2.35,153
Douglas McGrath,169,89,9639242,I Don't Know How She Does It ,5470,0,English,USA,PG-13,24000000,2011,4.9,1.85,0
Alexandre Aja,365,88,25003072,Piranha 3D ,5737,0,English,USA,R,24000000,2010,5.5,2.35,13000
Kevin Spacey,113,118,6144806,Beyond the Sea ,23689,1,English,USA,PG-13,23000000,2004,6.7,2.35,0
Steve Boyum,18,93,4308981,Meet the Deedles ,24436,2,English,USA,PG,24000000,1998,3.9,,839
Richard Williams,10,80,669276,The Princess and the Cobbler ,1088,0,English,UK,G,28000000,1993,7.2,2.35,408
Mary McGuckian,16,120,42880,The Bridge of San Luis Rey ,23769,3,English,UK,PG,24000000,2004,5.1,1.85,181
George Tillman Jr.,196,98,23225911,Faster ,14699,1,English,USA,R,24000000,2010,6.5,2.35,12000
Hayao Miyazaki,212,119,4710455,Howl's Moving Castle ,24263,0,Japanese,Japan,PG,24000000,2004,8.2,1.85,13000
Ruben Fleischer,445,88,75590286,Zombieland ,28011,4,English,USA,R,23600000,2009,7.7,2.35,26000
Peter Jackson,446,201,218051260,King Kong ,7122,0,English,New Zealand,PG-13,207000000,2005,7.2,2.35,0
Frank Coraci,108,90,161487252,The Waterboy ,13823,0,English,USA,PG-13,20000000,1998,6.1,1.85,0
Irvin Kershner,223,127,290158751,Star Wars: Episode V - The Empire Strikes Back ,12643,0,English,USA,PG,18000000,1980,8.8,2.35,17000
Michael Bay,63,119,65807024,Bad Boys ,11013,0,English,USA,R,19000000,1995,6.8,1.85,0
David Zucker,43,85,86930411,The Naked Gun 2½: The Smell of Fear ,3847,6,English,USA,PG-13,23000000,1991,6.8,1.85,0
James Wong,211,98,53302314,Final Destination ,3345,1,English,USA,R,23000000,2000,6.7,1.85,0
George Clooney,421,101,40962534,The Ides of March ,57077,1,English,USA,R,12500000,2011,7.1,2.35,22000
David Twohy,214,112,39235088,Pitch Black ,16196,0,English,USA,R,23000000,2000,7.1,2.35,5000
Tony Goldwyn,92,97,27338033,Someone Like You... ,20798,3,English,USA,PG-13,23000000,2001,6.1,1.85,0
Spike Jonze,574,126,25556065,Her ,19359,1,English,USA,R,23000000,2013,8.0,1.85,148000
Dexter Fletcher,216,106,15785632,Eddie the Eagle ,21195,3,English,UK,PG-13,23000000,2016,7.5,2.35,15000
John Dahl,140,97,21973182,Joy Ride ,23242,2,English,USA,R,23000000,2001,6.6,2.35,0
Jonathan Newman,28,100,4756,The Adventurer: The Curse of the Midas Box ,2450,4,English,UK,PG,25000000,2013,5.4,2.35,0
Wayne Wang,36,114,18653615,Anywhere But Here ,22040,2,English,USA,PG-13,23000000,1999,6.1,2.35,638
Andy Cadiff,65,101,12189514,Chasing Liberty ,829,0,English,USA,PG-13,23000000,2004,6.1,2.35,0
Michael Dinner,53,88,13019253,The Crew ,1509,4,English,USA,PG-13,23000000,2000,5.6,1.85,153
Steven Soderbergh,394,93,18934858,Haywire ,31187,5,English,Ireland,R,23000000,2011,5.8,2.35,0
Joseph Sargent,80,92,20763013,Jaws: The Revenge ,2355,0,English,USA,PG-13,23000000,1987,2.8,2.35,0
Jerry Zaks,45,98,12782508,Marvin's Room ,63194,2,English,USA,PG-13,23000000,1996,6.7,1.85,1000
Fred Durst,47,94,11508423,The Longshots ,2453,2,English,USA,PG,23000000,2008,5.1,2.35,376
Neil Jordan,90,102,10660147,The End of the Affair ,672,0,English,UK,R,23000000,1999,7.2,1.85,0
Simon Wincer,30,98,7434726,Harley Davidson and the Marlboro Man ,3671,2,English,USA,R,23000000,1991,6.0,1.85,0
Paul Haggis,232,121,6777589,In the Valley of Elah ,24248,2,English,USA,R,,2007,7.2,2.35,0
Anne Fontaine,165,111,6109075,Coco Before Chanel ,735,1,French,France,PG-13,19430000,2009,6.7,2.35,0
Jon Cassar,45,90,,Forsaken ,4142,1,English,Canada,R,11000000,2015,6.3,2.35,0
Stephen Frears,155,100,2708188,Chéri ,365,1,English,UK,R,23000000,2009,6.2,2.35,0
,6,50,,Rogue             ,3276,0,English,USA,,,,6.8,,532
Mira Nair,118,141,16123851,Vanity Fair ,1618,2,English,USA,PG-13,23000000,2004,6.2,2.35,767
Teddy Chan,55,139,,Bodyguards and Assassins ,1059,0,Mandarin,China,,23000000,2009,6.9,2.35,765
Mikael Håfström,314,114,71975611,1408 ,214,0,English,USA,PG-13,25000000,2007,6.8,2.35,11000
Mel Brooks,103,96,38119483,Spaceballs ,2936,2,English,USA,PG,22700000,1987,7.1,1.85,13000
Russell Crowe,183,111,4190530,The Water Diviner ,1795,0,English,Australia,R,22500000,2014,7.1,2.35,18000
Jerry Zucker,77,127,217631306,Ghost ,3100,0,English,USA,PG-13,22000000,1990,7.0,1.85,0
Bobby Farrelly,171,107,176483808,There's Something About Mary ,4664,1,English,USA,R,23000000,1998,7.1,1.85,0
John Pasquin,64,97,144833357,The Santa Clause ,2790,0,English,USA,PG,22000000,1994,6.4,1.85,0
John Lee Hancock,92,127,75597042,The Rookie ,6657,0,English,USA,G,20000000,2002,7.0,2.35,0
Andy Fickman,112,110,90636983,The Game Plan ,15170,0,English,USA,PG,22000000,2007,6.2,2.35,0
Clint Eastwood,69,135,70960517,The Bridges of Madison County ,27237,0,English,USA,PG-13,35000000,1995,7.5,1.85,0
Luke Greenfield,75,84,55762229,The Animal ,1203,1,English,USA,PG-13,22000000,2001,4.8,1.85,1000
Richard Attenborough,95,240,,Gandhi ,1943,0,English,UK,PG,22000000,1982,8.1,2.35,12000
Lasse Hallström,180,122,54235441,The Hundred-Foot Journey ,1484,3,English,USA,PG,22000000,2014,7.3,2.35,55000
Irwin Winkler,53,114,50728000,The Net ,1725,0,English,USA,PG-13,22000000,1995,5.8,1.85,0
Jessie Nelson,129,132,40270895,I Am Sam ,3152,0,English,USA,PG-13,22000000,2001,7.6,1.85,15000
Christopher Spencer,61,170,59696176,Son of God ,775,1,English,USA,PG-13,22000000,2014,5.6,2.35,15000
Len Wiseman,226,133,51483949,Underworld ,1777,0,English,UK,R,22000000,2003,7.0,2.35,0
Mikael Håfström,116,112,36020063,Derailed ,2019,2,English,USA,R,22000000,2005,6.6,2.35,0
Steven Soderbergh,248,108,33313582,The Informant! ,16031,1,English,USA,R,21000000,2009,6.5,1.85,0
Richard Attenborough,23,115,25842000,Shadowlands ,13619,0,English,UK,PG,22000000,1993,7.4,2.35,2000
Mike Bigelow,98,83,22264487,Deuce Bigalow: European Gigolo ,1729,0,English,USA,R,22000000,2005,4.6,1.85,887
Ken Scott,168,105,30659817,Delivery Man ,1006,10,English,USA,PG-13,26000000,2013,6.4,2.35,0
Paul McGuigan,159,110,5773519,Victor Frankenstein ,12876,2,English,USA,PG-13,40000000,2015,6.0,2.35,11000
Susanna White,134,108,3108216,Our Kind of Traitor ,540,2,English,UK,R,,2016,6.4,2.35,0
Dennis Dugan,97,96,19351569,Saving Silverman ,664,1,English,USA,PG-13,22000000,2001,5.9,1.85,739
David Bowers,88,94,49002815,Diary of a Wimpy Kid: Dog Days ,3153,2,English,USA,PG,22000000,2012,6.4,2.35,0
Spike Lee,85,142,19283782,Summer of Sam ,5386,0,English,USA,R,22000000,1999,6.6,1.85,0
Kevin Smith,181,104,30059386,Jay and Silent Bob Strike Back ,11632,5,English,USA,R,22000000,2001,6.9,2.35,0
Michael Bay,257,136,35799026,The Island ,34838,1,English,USA,PG-13,126000000,2005,6.9,2.35,0
Daniel Sackheim,95,106,17951431,The Glass House ,4239,1,English,USA,PG-13,30000000,2001,5.8,2.35,804
Ethan Coen,423,106,29997095,Hail, Caesar! ,38494,5,English,UK,PG-13,22000000,2016,6.4,1.85,23000
Harry Elfont,93,98,14252830,Josie and the Pussycats ,3769,0,English,Canada,PG-13,22000000,2001,5.3,1.85,0
Gary Fleder,203,100,19783777,Homefront ,39989,1,English,USA,R,22000000,2013,6.5,2.35,15000
Uli Edel,38,95,13555988,The Little Vampire ,2216,1,English,Germany,PG,22000000,2000,5.7,1.85,0
David O. Russell,183,107,12784713,I Heart Huckabees ,8094,11,English,USA,R,22000000,2004,6.7,2.35,0
Fred Dekker,75,104,10696210,RoboCop 3 ,3148,0,English,USA,PG-13,23500000,1993,3.9,1.85,716
Brian Trenchard-Smith,18,104,5974653,Megiddo: The Omega Code 2 ,4221,0,English,USA,PG-13,22000000,2001,4.1,1.85,158
Blake Edwards,22,143,5000000,Darling Lili ,788,2,English,USA,G,25000000,1970,6.2,2.35,104
Hugh Wilson,41,77,9694105,Dudley Do-Right ,5568,0,English,USA,PG,22000000,1999,3.8,2.35,272
Camille Delamarre,148,96,16027866,The Transporter Refueled ,1411,0,English,France,PG-13,25000000,2015,5.1,2.35,0
Laurence Dunmore,111,114,4829497,The Libertine ,42484,1,English,UK,R,,2004,6.4,2.35,0
Paul Verhoeven,231,145,4398392,Black Book ,2590,1,Dutch,Netherlands,R,21000000,2006,7.8,2.35,0
Christian Carion,115,116,1050445,Joyeux Noel ,773,0,French,France,PG-13,22000000,2005,7.8,2.35,11000
David Palmer,176,100,13746550,Hit and Run ,15922,5,English,USA,R,2000000,2012,6.1,2.35,0
Callie Khouri,98,104,20668843,Mad Money ,2453,3,English,USA,PG-13,22000000,2008,5.8,2.35,687
Rowan Joffe,149,92,2963012,Before I Go to Sleep ,14617,1,English,UK,R,22000000,2014,6.3,2.35,11000
William Friedkin,84,92,,Sorcerer ,1011,0,English,USA,PG,12000000,1977,7.7,1.85,0
John Curran,138,105,1796024,Stone ,37766,1,English,USA,R,22000000,2010,5.4,2.35,0
Laurent Tirard,78,120,634277,Molière ,1651,1,French,France,PG-13,16000000,2007,7.3,2.35,815
