director_name,duration,director_facebook_likes,actor_1_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,content_rating,budget,actor_2_facebook_likes,imdb_score
Todd Field,138,143,1000,Karen Allen,doctor|maine|only son|school choir|summer,http://www.imdb.com/title/tt0247425/?ref_=fn_tt_tt_1,510,R,1700000,874,7.5
Steven R. Monroe,105,68,635,Daniel Franzese,horror movie remake|rape|rape and revenge|rape victim|revenge,http://www.imdb.com/title/tt1242432/?ref_=fn_tt_tt_1,209,R,2000000,445,6.3
Mark Illsley,98,3,349,Jeremy Northam,banker|beauty pageant|escaped convict|gay|pageant,http://www.imdb.com/title/tt0162360/?ref_=fn_tt_tt_1,122,PG-13,1700000,347,6.3
Pawel Pawlikowski,86,84,680,Dean Andrews,female frontal nudity|lesbian relationship|summer|voyeurism|yorkshire,http://www.imdb.com/title/tt0382189/?ref_=fn_tt_tt_1,103,R,1700000,46,6.8
Ritesh Batra,104,25,638,Lillete Dubey,delivery|delivery to wrong address|lunchbox|open ended|unconventional romance,http://www.imdb.com/title/tt2350496/?ref_=fn_tt_tt_1,162,PG,1000000,85,7.8
Sally Potter,100,87,887,Stephanie Leonidas,beach|lebanese|loss|muslim|restaurant,http://www.imdb.com/title/tt0381717/?ref_=fn_tt_tt_1,48,R,1000000,805,6.9
Frank Capra,126,964,319,Lionel Barrymore,eccentric|friend|house|monopoly|stenographer,http://www.imdb.com/title/tt0030993/?ref_=fn_tt_tt_1,133,Approved,1644736,302,8.0
Fred Zinnemann,118,160,862,Deborah Kerr,boxing|captain|hawaii|love|sergeant,http://www.imdb.com/title/tt0045793/?ref_=fn_tt_tt_1,150,Not Rated,1650000,488,7.8
John Ford,103,673,281,Victor McLaglen,captain|cavalry|fort|retirement|yellow ribbon,http://www.imdb.com/title/tt0041866/?ref_=fn_tt_tt_1,90,Unrated,1600000,230,7.4
Brad J. Silverman,102,11,651,Anthony Reynolds,christianity|love|reference to justin bieber|reference to taylor swift|worship,http://www.imdb.com/title/tt2349460/?ref_=fn_tt_tt_1,21,PG,,611,6.1
Dave Meyers,84,11,489,Marla Gibbs,accidental killing|drug humor|profanity|sexual humor|stand up comedy,http://www.imdb.com/title/tt0166195/?ref_=fn_tt_tt_1,13,R,2000000,469,4.3
David M. Matthews,,8,713,Tempestt Bledsoe,betrayal|family relationships|insecurity|murder|passive aggression,http://www.imdb.com/title/tt1289419/?ref_=fn_tt_tt_1,15,R,,607,3.5
Nadine Labaki,95,0,227,Nadine Labaki,caramel|friendship|police|secret|suitor,http://www.imdb.com/title/tt0825236/?ref_=fn_tt_tt_1,66,PG,1300000,4,7.2
Lluís Quílez,92,0,327,Alejandro Furth,haunted house,http://www.imdb.com/title/tt2872724/?ref_=fn_tt_tt_1,18,R,,51,4.7
Eytan Fox,90,21,53,Yousef 'Joe' Sweid,gay|hairy chest|homosexual|israel|male nudity,http://www.imdb.com/title/tt0476643/?ref_=fn_tt_tt_1,23,Unrated,1500000,30,7.3
Francis Ford Coppola,113,0,11000,Cindy Williams,corruption|neo noir|recording|saxophone|surveillance,http://www.imdb.com/title/tt0071360/?ref_=fn_tt_tt_1,313,PG,1600000,481,7.9
Romesh Sharma,,0,421,Bhoomika Chawla,,http://www.imdb.com/title/tt0442764/?ref_=fn_tt_tt_1,4,,70000000,96,5.1
François Truffaut,123,0,963,Michel Bouquet,antibes|hotel|island|reunion|reunion island,http://www.imdb.com/title/tt0064990/?ref_=fn_tt_tt_1,26,R,1600000,710,7.2
Adam Goldberg,111,1000,2000,Nicky Katt,film student|marriage|mental breakdown|movie star|obsession,http://www.imdb.com/title/tt0322700/?ref_=fn_tt_tt_1,40,R,1650000,163,5.4
Travis Zariwny,99,4,427,Samuel Davis,female rear nudity|flesh eating virus|horror movie remake|remake|topless female nudity,http://www.imdb.com/title/tt3832096/?ref_=fn_tt_tt_1,40,Not Rated,,253,3.7
Zack Snyder,110,0,3000,Mekhi Phifer,mall|mayhem|nurse|rear entry sex|survival horror,http://www.imdb.com/title/tt0363547/?ref_=fn_tt_tt_1,1057,R,26000000,2000,7.4
Adrienne Shelly,108,191,597,Eddie Jemison,domestic violence|pregnancy|unhappy marriage|unwanted pregnancy|waitress,http://www.imdb.com/title/tt0473308/?ref_=fn_tt_tt_1,204,PG-13,2000000,541,7.1
Newt Arnold,92,15,633,Ken Siu,hand to hand combat|hong kong|kumite|martial arts|tournament,http://www.imdb.com/title/tt0092675/?ref_=fn_tt_tt_1,210,R,1100000,403,6.8
Frank Capra,120,964,607,Thomas Mitchell,camp|corruption|governor|senate|u.s. senate,http://www.imdb.com/title/tt0031679/?ref_=fn_tt_tt_1,245,Not Rated,1500000,319,8.2
Larry Clark,91,184,3000,Justin Pierce,coming of age|marijuana|rape|virgin|weed,http://www.imdb.com/title/tt0113540/?ref_=fn_tt_tt_1,408,,1500000,202,7.0
Noah Baumbach,88,387,436,Owen Kline,boy|divorce|tennis|tennis coach|writer,http://www.imdb.com/title/tt0367089/?ref_=fn_tt_tt_1,232,R,1500000,25,7.4
Charles Herman-Wurmfeld,97,0,378,Brian Stepanek,friend|friendship|journalist|new york city|personal ad,http://www.imdb.com/title/tt0264761/?ref_=fn_tt_tt_1,190,R,1000000,321,6.7
Yimou Zhang,95,611,9,Dahong Ni,betrayal|husband wife relationship|murder|noodles|salary,http://www.imdb.com/title/tt1428556/?ref_=fn_tt_tt_1,20,R,,4,5.7
John Stockwell,90,134,260000,Sam Medina,,http://www.imdb.com/title/tt3082898/?ref_=fn_tt_tt_1,1,,17000000,454,9.1
Alfred Hitchcock,95,13000,472,Leo G. Carroll,amnesia|dream analysis|dream sequence|guilt complex|post traumatic stress disorder,http://www.imdb.com/title/tt0038109/?ref_=fn_tt_tt_1,161,Unrated,1696377,239,7.6
Atom Egoyan,103,460,991,Sarah Polley,bird|cult film|egg|nightclub|toronto,http://www.imdb.com/title/tt0109759/?ref_=fn_tt_tt_1,83,R,2000000,971,7.2
Vincent Gallo,110,787,1000,Jan-Michael Vincent,shower|stripper|tap dancing|underwear|undressing,http://www.imdb.com/title/tt0118789/?ref_=fn_tt_tt_1,318,R,1500000,787,7.5
James Wan,103,0,852,Philip Friedman,baby|boy|coma|demon|house,http://www.imdb.com/title/tt1591095/?ref_=fn_tt_tt_1,752,PG-13,1500000,618,6.8
Alex Cox,92,92,752,Miguel Sandoval,punk|punk rocker|repossession|televangelist|ufo,http://www.imdb.com/title/tt0087995/?ref_=fn_tt_tt_1,148,R,1500000,324,6.9
Fabián Bielinsky,114,44,827,Leticia Brédice,con artist|hotel|partner|scam|stamp,http://www.imdb.com/title/tt0247586/?ref_=fn_tt_tt_1,125,R,1500000,22,7.9
Dror Moreh,101,4,0,Yaakov Peri,interview|jerusalem|jewish|terrorism|terrorist bombing,http://www.imdb.com/title/tt2309788/?ref_=fn_tt_tt_1,33,PG-13,,0,7.6
Rebecca Miller,112,58,552,Ryan McDonald,commune|defecation|environmentalism|fellatio|island,http://www.imdb.com/title/tt0357110/?ref_=fn_tt_tt_1,68,R,1500000,265,6.7
Maggie Carey,104,38,801,Scott Porter,feces in a swimming pool|female vomiting|high school|lifeguard|male objectification,http://www.imdb.com/title/tt1758795/?ref_=fn_tt_tt_1,79,R,1500000,727,5.8
Roger Avary,99,675,902,Jean-Hugues Anglade,bank|bastille day|call girl|childhood friend|drugs,http://www.imdb.com/title/tt0110265/?ref_=fn_tt_tt_1,93,R,1500000,424,6.5
Henry Bean,98,21,33000,Summer Phoenix,jew|jewish nazi|nazism|racism|skinhead,http://www.imdb.com/title/tt0247199/?ref_=fn_tt_tt_1,159,R,1500000,243,7.2
David Gordon Green,107,234,947,Tom Noonan,flashback|football game|school|small town|snow,http://www.imdb.com/title/tt0453548/?ref_=fn_tt_tt_1,57,R,,530,6.9
Simeon Rice,93,6,393,Malone Thomas,,http://www.imdb.com/title/tt3139764/?ref_=fn_tt_tt_1,3,R,1500000,191,5.5
Brad Anderson,100,122,210,Larry Fessenden,abandoned asylum|abandoned hospital|asbestos|lobotomy|multiple personality,http://www.imdb.com/title/tt0261983/?ref_=fn_tt_tt_1,481,R,1500000,148,6.5
Jeff Garlin,80,522,813,Joey Slotnick,cheese|city|ice cream|school|second city,http://www.imdb.com/title/tt0391229/?ref_=fn_tt_tt_1,28,R,1500000,522,6.2
Qasim Basir,94,13,1000,Evan Ross,one word title,http://www.imdb.com/title/tt1450328/?ref_=fn_tt_tt_1,14,PG-13,,826,6.7
Adam Green,93,134,936,Joel Murray,bayou|boat|louisiana|swamp|tour,http://www.imdb.com/title/tt0422401/?ref_=fn_tt_tt_1,235,R,1500000,935,5.7
Charles Chaplin,87,0,309,Fred Malatesta,actor director writer|invention|machine|music score composed by director|tramp,http://www.imdb.com/title/tt0027977/?ref_=fn_tt_tt_1,211,G,1500000,8,8.6
Pete Jones,91,18,954,Bonnie Hunt,catholic|catholicism|rabbi|school|summer,http://www.imdb.com/title/tt0286162/?ref_=fn_tt_tt_1,55,PG,1500000,767,6.5
Bruce Campbell,84,0,634,Timothy Patrick Quill,b movie|birthday|chinese|demon|small town,http://www.imdb.com/title/tt0489235/?ref_=fn_tt_tt_1,88,R,1500000,328,6.3
Mark Brown,90,7,890,Garrett Morris,,http://www.imdb.com/title/tt0436742/?ref_=fn_tt_tt_1,5,PG-13,1500000,597,4.3
Adam Carolla,98,102,563,David Alan Grier,girl in panties|panties|red panties|stand up comedy,http://www.imdb.com/title/tt3110770/?ref_=fn_tt_tt_1,11,,1500000,485,6.1
Ira Sachs,108,60,826,Darren E. Burrows,love|music producer|previous marriage|rock 'n' roll|russian,http://www.imdb.com/title/tt0395543/?ref_=fn_tt_tt_1,26,R,1500000,189,6.0
John Sayles,124,407,38,Ronnie Lazaro,american|filipino|friendship|guerrilla army|village,http://www.imdb.com/title/tt1562847/?ref_=fn_tt_tt_1,8,R,1700000,8,5.8
Bruce McDonald,95,49,413,Boyd Banks,blood splatter|talk radio|virus|vomiting blood|zombie apocalypse,http://www.imdb.com/title/tt1226681/?ref_=fn_tt_tt_1,142,Not Rated,1500000,98,6.7
James Mottern,90,7,87000,Matthew Lawrence,cancer|cigarette smoking|hospital|one night stand|trucker,http://www.imdb.com/title/tt1087527/?ref_=fn_tt_tt_1,22,R,2000000,781,6.7
Jaime Zevallos,93,228,310,Michael Elian,,http://www.imdb.com/title/tt2265431/?ref_=fn_tt_tt_1,,,1500000,228,7.6
Rob Zombie,101,0,1000,Michael Berryman,blood|flashback|radio dj|radio station|vinyl,http://www.imdb.com/title/tt1731697/?ref_=fn_tt_tt_1,166,R,2500000,725,5.1
Gerard Johnstone,107,3,61,Cameron Rhodes,bloody violence|exploding head|haunted house|plot twist|slapstick,http://www.imdb.com/title/tt3504048/?ref_=fn_tt_tt_1,83,Not Rated,350000,46,6.8
Robert Greenwald,20,21,0,Matt Hunter,greed|pollution|slave labor|truth|wal mart,http://www.imdb.com/title/tt0473107/?ref_=fn_tt_tt_1,70,Not Rated,1500000,0,6.8
David Ray,87,0,199,Kyla Wise,death|high school|prostitute|suicide|time travel,http://www.imdb.com/title/tt0475271/?ref_=fn_tt_tt_1,10,,1500000,134,6.8
Dave Rodriguez,98,11,979,Paul Sorvino,,http://www.imdb.com/title/tt1639397/?ref_=fn_tt_tt_1,7,R,1500000,975,6.3
Nae Caranfil,112,34,129,Martin Hancock,,http://www.imdb.com/title/tt2017486/?ref_=fn_tt_tt_1,13,Not Rated,5000000,98,7.1
David Winning,82,65,341,John DeSantis,,http://www.imdb.com/title/tt3626436/?ref_=fn_tt_tt_1,10,,1500000,265,2.8
Frank Lotito,102,5,3000,Tim Guinee,adolescence|girl next door|growing vegetables|high standards|sent away,http://www.imdb.com/title/tt1105355/?ref_=fn_tt_tt_1,1,PG-13,2000000,660,8.2
Timothy Woodward Jr.,97,764,835,Michael Paré,,http://www.imdb.com/title/tt3781616/?ref_=fn_tt_tt_1,18,,1500000,522,3.1
Christopher McQuarrie,130,188,10000,David Oyelowo,coma|mysterious villain|police chase|shooting range|sniper,http://www.imdb.com/title/tt0790724/?ref_=fn_tt_tt_1,448,PG-13,60000000,3000,7.0
Tara Subkoff,101,37,501,Lydia Hearst,bullying|cyberbullying|girl|internet|throat slitting,http://www.imdb.com/title/tt3526286/?ref_=fn_tt_tt_1,42,Not Rated,1500000,418,3.3
Russell Friedenberg,93,9,708,Kiowa Gordon,after dark horrorfest,http://www.imdb.com/title/tt1236254/?ref_=fn_tt_tt_1,2,R,2000000,571,3.6
William Cottrell,83,0,82,Lucille La Verne,dwarf|love|princess|queen|snow white,http://www.imdb.com/title/tt0029583/?ref_=fn_tt_tt_1,204,Approved,2000000,47,7.7
Lucrecia Martel,106,33,341,María Alche,16 year old|doctor|hotel|tinnitus|title directed by female,http://www.imdb.com/title/tt0300270/?ref_=fn_tt_tt_1,37,R,1400000,5,6.7
Edward Dmytryk,113,74,984,Honor Blackman,bare chested male bondage|european|female frontal nudity|topless woman|war paint,http://www.imdb.com/title/tt0063592/?ref_=fn_tt_tt_1,41,PG,1455000,423,5.5
Zak Penn,94,87,87,John Bailey,boat|director|loch ness|loch ness monster|monster,http://www.imdb.com/title/tt0374639/?ref_=fn_tt_tt_1,63,PG-13,1400000,70,6.6
Alex Ranarivelo,101,20,1000,Cullen Douglas,,http://www.imdb.com/title/tt4063178/?ref_=fn_tt_tt_1,8,PG,2000000,301,4.8
Jon Knautz,99,10,756,Chasty Ballesteros,college student|disfigured face|house|suicide|website,http://www.imdb.com/title/tt2577172/?ref_=fn_tt_tt_1,33,,3150000,382,5.5
Mathieu Amalric,76,412,412,Laurent Poitrenaux,male pubic hair|manipulative personality|murder of wife|neglected wife|pubic hair,http://www.imdb.com/title/tt3230082/?ref_=fn_tt_tt_1,16,R,,4,6.3
David Worth,91,58,847,Angela Jones,ghost story|manson family|paranormal|real life event|reference to sharon tate,http://www.imdb.com/title/tt0464054/?ref_=fn_tt_tt_1,6,R,1400000,147,6.9
Leslie H. Martinson,105,7,1000,Burt Ward,black cat|catwoman|dc comics|penguin|riddler,http://www.imdb.com/title/tt0060153/?ref_=fn_tt_tt_1,155,Approved,1377800,370,6.5
Guy Ritchie,120,0,26000,Dexter Fletcher,antique|cockney accent|hatchet|money|shotgun,http://www.imdb.com/title/tt0120735/?ref_=fn_tt_tt_1,523,R,960000,1000,8.2
Robert M. Young,105,0,883,Ned Beatty,,http://www.imdb.com/title/tt3551840/?ref_=fn_tt_tt_1,2,,1250000,655,7.1
,120,,416,,city name in series title|homicide|older man younger man relationship|place in series title|police partner,http://www.imdb.com/title/tt0068135/?ref_=fn_tt_tt_1,13,,,0,7.3
Thomas Vinterberg,105,346,280,Trine Dyrholm,dogme 95|family secret|haunted by the past|secret|speech,http://www.imdb.com/title/tt0154420/?ref_=fn_tt_tt_1,258,R,1300000,278,8.1
Steve Buscemi,95,12000,12000,Carol Kane,alcoholic drink|bar|drink|drinking|drunk,http://www.imdb.com/title/tt0117958/?ref_=fn_tt_tt_1,65,R,1300000,680,7.2
Ham Tran,135,5,51,Cat Ly,1970s|1980s|nonlinear timeline|rescue|vietnam war,http://www.imdb.com/title/tt0433398/?ref_=fn_tt_tt_1,19,R,1592000,24,7.4
Rich Cowan,105,7,2000,Peter Coyote,basketball|german immigrant|opera|two word title|war orphan,http://www.imdb.com/title/tt0190255/?ref_=fn_tt_tt_1,38,PG,1300000,783,6.5
Boris Rodriguez,83,5,413,Georgina Reilly,art teacher|cannibal|inspiration|painter|sleepwalking,http://www.imdb.com/title/tt1480658/?ref_=fn_tt_tt_1,10,Not Rated,1500000,197,5.7
Harold Becker,111,17,13000,Carrie Preston,autistic child|boy|child in danger|fbi|nsa,http://www.imdb.com/title/tt0120749/?ref_=fn_tt_tt_1,127,R,60000000,969,6.1
,60,,210,Kristen Cloke,alien|born in vitro|in vitro fertilization|marine|outer space,http://www.imdb.com/title/tt0112173/?ref_=fn_tt_tt_1,79,,5000000,121,7.7
Sadyk Sher-Niyaz,135,135,0,Mirlan Abdulayev,19th century|central asia|mother son relationship|ruler|russian empire,http://www.imdb.com/title/tt2640460/?ref_=fn_tt_tt_1,24,PG-13,1400000,0,8.7
Paul Donovan,88,4,232,Tim Choate,canuxploitation|independent film|post apocalypse|remake|survival,http://www.imdb.com/title/tt0087130/?ref_=fn_tt_tt_1,46,R,1750000,23,4.3
Jonathan Kesselman,87,4,2000,Tony Cox,blaxploitation|hanukkah|jewish|kwanzaa|santa claus,http://www.imdb.com/title/tt0317640/?ref_=fn_tt_tt_1,53,R,1000000,1000,6.2
Arjun Sablok,97,0,374,Samantha McLeod,interrupted sex|kiss|love|mistaken sex scene|sex in car,http://www.imdb.com/title/tt0470869/?ref_=fn_tt_tt_1,24,,1500000,145,3.3
Craig Moss,82,19,700,Matt Crabtree,masturbation|porn actor in mainstream movie|sex|spoof|virginity,http://www.imdb.com/title/tt1498870/?ref_=fn_tt_tt_1,42,R,1300000,460,2.7
Tyler Oliver,103,0,35000,Christopher Atkins,,http://www.imdb.com/title/tt1147684/?ref_=fn_tt_tt_1,38,R,1300000,516,5.2
Alfred Hitchcock,130,13000,1000,George Sanders,death|estate|housekeeper|love|monte carlo,http://www.imdb.com/title/tt0032976/?ref_=fn_tt_tt_1,276,Not Rated,1288000,991,8.2
Steve Miner,87,49,309,Amy Steel,ice pick|jason voorhees|lake|pitchfork|shack,http://www.imdb.com/title/tt0082418/?ref_=fn_tt_tt_1,394,R,1250000,121,6.1
Billy Wilder,101,0,287,Frank Faylen,addiction|alcoholic|alcoholism|paranoia|suicidal thoughts,http://www.imdb.com/title/tt0037884/?ref_=fn_tt_tt_1,136,Not Rated,1250000,160,8.0
Douglas Cheek,96,4,796,Sam McMurray,bum|city|mutant|new york city|street,http://www.imdb.com/title/tt0087015/?ref_=fn_tt_tt_1,88,R,1250000,697,5.5
Youssef Delara,80,8,2000,Jorge Diaz,,http://www.imdb.com/title/tt1869425/?ref_=fn_tt_tt_1,11,R,427000,245,5.7
Deryck Broom,87,11,578,Anupam Kher,animal|donkey|lamb|pig|rooster,http://www.imdb.com/title/tt1212022/?ref_=fn_tt_tt_1,3,PG,15000000,418,3.7
Henry Hathaway,92,83,469,Will Wright,hitchcockian|husband murders wife|murder|niagara falls|overhead shot,http://www.imdb.com/title/tt0046126/?ref_=fn_tt_tt_1,116,Approved,1250000,79,7.1
John Ford,118,673,595,Barry Fitzgerald,coal mine|girl|school|village|wales,http://www.imdb.com/title/tt0033729/?ref_=fn_tt_tt_1,124,Approved,1250000,176,7.8
,27,,934,Paul Sparks,escort|female nudity|friendship|money|sex scene,http://www.imdb.com/title/tt3846642/?ref_=fn_tt_tt_1,17,TV-MA,,691,7.3
Spike Lee,123,0,3000,Felicia Pearson,horror movie remake|remake|undead|undead sex|undead sexuality,http://www.imdb.com/title/tt3104930/?ref_=fn_tt_tt_1,9,,1420000,372,4.1
Steven Soderbergh,100,0,828,Steven Brill,affair|interview|marriage|sex|videotape,http://www.imdb.com/title/tt0098724/?ref_=fn_tt_tt_1,95,R,1200000,531,7.2
James Wan,103,0,2000,Shawnee Smith,chained|flashback|killer|serial killer|surprise ending,http://www.imdb.com/title/tt0387564/?ref_=fn_tt_tt_1,1509,R,1200000,878,7.7
Jay Chandrasekhar,100,422,816,Jay Chandrasekhar,drugs|highway|police|state trooper|vermont,http://www.imdb.com/title/tt0247745/?ref_=fn_tt_tt_1,333,R,1200000,577,7.1
Giovanni Zelko,99,4,18000,Ben Youcef,algeria|algerian|los angeles california|muslim,http://www.imdb.com/title/tt1681370/?ref_=fn_tt_tt_1,1,,1300000,748,7.6
Claudia Sainte-Luce,89,0,31,José Manuel Orozco Angulo,actress shares first name with character|appendicitis|hospital|loss of mother|supermarket,http://www.imdb.com/title/tt2414046/?ref_=fn_tt_tt_1,2,,1300000,24,7.0
Scott Derrickson,104,301,18000,Juan Riedinger,alien|earth|giant robot|military|scientist,http://www.imdb.com/title/tt0970416/?ref_=fn_tt_tt_1,698,PG-13,80000000,4000,5.5
Mira Nair,114,300,307,Lillete Dubey,arranged marriage|bride|celebration|marriage|wedding,http://www.imdb.com/title/tt0265343/?ref_=fn_tt_tt_1,214,R,7000000,209,7.4
Kenneth Lonergan,111,50,2000,Gaby Hoffmann,bank|car accident|cheating husband|new york|single mother,http://www.imdb.com/title/tt0203230/?ref_=fn_tt_tt_1,231,R,1200000,710,7.7
Alfred Hitchcock,99,13000,282,Royal Dano,artist|death|hunting|sheriff|vermont,http://www.imdb.com/title/tt0048750/?ref_=fn_tt_tt_1,150,Approved,1200000,255,7.2
Paul McGuigan,110,118,13000,Dorian Missick,coroner|death|gay son|love|mistaken identity,http://www.imdb.com/title/tt0425210/?ref_=fn_tt_tt_1,507,R,27000000,11000,7.8
Jamie Babbit,85,91,1000,Eddie Cibrian,cheerleader|gay|homosexual|lesbian|lesbian relationship,http://www.imdb.com/title/tt0179116/?ref_=fn_tt_tt_1,186,R,1200000,1000,6.6
David Boyd,113,29,890,Scott Elrod,addiction|alcoholic|baseball|car accident|reference to god,http://www.imdb.com/title/tt2051894/?ref_=fn_tt_tt_1,32,PG-13,1200000,848,6.0
Quentin Tarantino,99,16000,16000,Chris Penn,gang|heist|heist gone wrong|nonlinear timeline|robbery,http://www.imdb.com/title/tt0105236/?ref_=fn_tt_tt_1,931,R,1200000,12000,8.4
Walter Lang,83,9,94,Gale Sondergaard,1800s|bird|blue bird of happiness|foreign language adaptation|past,http://www.imdb.com/title/tt0032264/?ref_=fn_tt_tt_1,25,Approved,,62,6.5
Sergio Leone,142,0,16000,Enzo Petito,civil war|hitman|outlaw|shootout|spaghetti western,http://www.imdb.com/title/tt0060196/?ref_=fn_tt_tt_1,780,Approved,1200000,34,8.9
Anna Muylaert,112,9,61,Luis Miranda,brazil|exam|housekeeper|northeast region of brazil|portuguese language,http://www.imdb.com/title/tt3742378/?ref_=fn_tt_tt_1,26,R,4000000,9,7.9
Steve Taylor,108,14,1000,Eric Lange,church|college|color in title|philosophy|texas,http://www.imdb.com/title/tt1758575/?ref_=fn_tt_tt_1,89,PG-13,1200000,330,6.0
Kurt Voss,88,0,268,Zoë Poledouris,female bassist|female drummer|female guitarist|female singer|portland oregon,http://www.imdb.com/title/tt0283323/?ref_=fn_tt_tt_1,4,R,1200000,44,6.1
Léa Pool,97,4,,,breast cancer|comma in title|period in title|punctuation in title|three word title,http://www.imdb.com/title/tt2035599/?ref_=fn_tt_tt_1,10,Not Rated,1200000,,7.4
