director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,gross,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,language,content_rating,budget,imdb_score,aspect_ratio
David Winters,3,89,49,84,,895,Ginger Jensen,6,,http://www.imdb.com/title/tt2598580/?ref_=fn_tt_tt_1,English,PG,12000000,2.8,
Mary Lambert,98,103,52,426,57469179,2987,Denise Crosby,0,cat|cemetery|maine|secret|woods,http://www.imdb.com/title/tt0098084/?ref_=fn_tt_tt_1,English,R,11500000,6.6,1.85
Akira Kurosawa,25,134,0,4,48856,30,Akira Terao,0,air raid|beer|birthday|japan|professor,http://www.imdb.com/title/tt0107474/?ref_=fn_tt_tt_1,Japanese,,11900000,7.5,1.85
Jamie Thraves,35,100,2,388,,1780,Charlotte Sullivan,2,isolated house|promotion|river|small town|stalking,http://www.imdb.com/title/tt1034302/?ref_=fn_tt_tt_1,English,R,11500000,6.0,2.35
Mabel Cheung,6,130,3,2,,244,Hailu Qin,1,,http://www.imdb.com/title/tt3682770/?ref_=fn_tt_tt_1,Chinese,,12000000,6.2,2.35
Joe Dante,183,106,287,233,148170000,2053,Zach Galligan,0,bright light|midnight|pet|small town|water,http://www.imdb.com/title/tt0087363/?ref_=fn_tt_tt_1,English,PG,11000000,7.2,2.2
George Lucas,282,125,0,504,460935665,13485,Kenny Baker,1,death star|empire|galactic war|princess|rebellion,http://www.imdb.com/title/tt0076759/?ref_=fn_tt_tt_1,English,PG,11000000,8.7,2.35
Dan Mazer,158,109,11,411,35537564,24063,Jason Mantzoukas,1,female removes her clothes|fondling|voyeur|voyeurism|white panties,http://www.imdb.com/title/tt1860213/?ref_=fn_tt_tt_1,English,R,11500000,6.0,2.35
David Lean,89,200,767,382,111722000,1966,Geraldine Chaplin,2,bolshevik|poet|poetry|russia|russian revolution,http://www.imdb.com/title/tt0059113/?ref_=fn_tt_tt_1,English,PG-13,11000000,8.0,2.35
Stephen Daldry,101,114,335,14,10230,679,Daniel Zettel,0,bible|key|poverty|slum|wallet,http://www.imdb.com/title/tt1921149/?ref_=fn_tt_tt_1,Portuguese,R,,7.2,2.35
Kenny Ortega,128,112,197,632,90556401,3507,Corbin Bleu,1,basketball|curtain call|graduation|high school|high school senior,http://www.imdb.com/title/tt0962726/?ref_=fn_tt_tt_1,English,G,11000000,4.5,1.85
David O. Russell,410,116,737,141,93571803,23811,Melissa McMeekin,2,boxer|boxing|boxing match|crack cocaine|lowell massachusetts,http://www.imdb.com/title/tt0964517/?ref_=fn_tt_tt_1,English,R,25000000,7.9,2.35
Jeff Tremaine,104,92,79,218,72755517,1853,Chris Pontius,0,blindfold|male frontal nudity|male rear nudity|pubic hair|vomiting,http://www.imdb.com/title/tt0493430/?ref_=fn_tt_tt_1,English,R,,7.1,1.85
Jonathan Lynn,54,120,36,633,52929168,3280,Lane Smith,1,alabama|jail|judicial system|lawyer|trial,http://www.imdb.com/title/tt0104952/?ref_=fn_tt_tt_1,English,R,11000000,7.5,1.85
R.J. Cutler,141,107,15,602,50461335,20466,Stacy Keach,3,car accident|coma|out of body experience|reference to the exploited|teenage girl,http://www.imdb.com/title/tt1355630/?ref_=fn_tt_tt_1,English,PG-13,11000000,6.8,2.35
Brian Trenchard-Smith,30,92,53,32,,179,Christopher Sommers,2,,http://www.imdb.com/title/tt2968804/?ref_=fn_tt_tt_1,English,Not Rated,12000000,4.3,
David S. Ward,57,107,42,808,49797148,3435,Rene Russo,3,cleveland indians|league|manager|owner|team,http://www.imdb.com/title/tt0097815/?ref_=fn_tt_tt_1,English,R,11000000,7.2,1.85
Oliver Parker,56,100,32,621,,3135,Tamsin Egerton,5,2000s|female protagonist|reward|school|st trinian's,http://www.imdb.com/title/tt0964587/?ref_=fn_tt_tt_1,English,PG-13,13500000,5.8,1.85
Joel Schumacher,216,81,541,328,46563158,2562,Richard T. Jones,0,phone booth|publicist|single set production|sniper|sniper rifle,http://www.imdb.com/title/tt0183649/?ref_=fn_tt_tt_1,English,R,13000000,7.1,2.35
Adam Shankman,80,101,163,488,41227069,2436,Paz de la Huerta,1,community service|love|punishment|school|student,http://www.imdb.com/title/tt0281358/?ref_=fn_tt_tt_1,English,PG,11000000,7.4,2.35
Tim Robbins,77,122,0,191,39025000,903,Robert Prosky,0,death|execution|nun|solitary confinement|visit,http://www.imdb.com/title/tt0112818/?ref_=fn_tt_tt_1,English,R,11000000,7.6,1.85
Roger Kumble,101,97,16,637,38201895,6223,Eric Mabius,3,bet|revenge|seduction|virgin|wager,http://www.imdb.com/title/tt0139134/?ref_=fn_tt_tt_1,English,R,10500000,6.9,1.85
Kevin Greutert,156,92,52,647,27669413,3101,George Newbern,0,deception|flash photography|game of death|jigsaw|pig mask,http://www.imdb.com/title/tt1233227/?ref_=fn_tt_tt_1,English,R,11000000,6.0,1.85
Mel Brooks,48,92,0,842,,3931,Dom DeLuise,0,french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor,http://www.imdb.com/title/tt0082517/?ref_=fn_tt_tt_1,English,R,11000000,6.9,2.35
Gina Prince-Bythewood,109,110,107,549,37766350,3376,Jennifer Hudson,5,beekeeping|insect in title|racism|sister|south carolina,http://www.imdb.com/title/tt0416212/?ref_=fn_tt_tt_1,English,PG-13,11000000,7.3,2.35
Rob Pritts,62,86,5,532,23978402,3850,Peter Berg,1,fbi|mafia|mobster|undercover|veterinarian,http://www.imdb.com/title/tt0250310/?ref_=fn_tt_tt_1,English,PG-13,11000000,4.6,1.85
Brian De Palma,33,91,0,298,21370057,1852,Gregg Henry,0,hitchcockian|long tracking shot|psychologist|psychology|wig,http://www.imdb.com/title/tt0105217/?ref_=fn_tt_tt_1,English,R,12000000,6.0,1.85
Norman Jewison,20,145,278,279,,14735,Rod Steiger,2,1930s|driving through a gate|funeral|senator|trade union,http://www.imdb.com/title/tt0077531/?ref_=fn_tt_tt_1,English,PG,11000000,6.4,1.85
Tobe Hooper,52,100,365,225,4884663,1661,William Bassett,0,alien|boy|nurse|school|school nurse,http://www.imdb.com/title/tt0091276/?ref_=fn_tt_tt_1,English,PG,12000000,5.5,2.35
John Crowley,351,111,34,54,38317535,995,Eva Birthistle,1,1950s|immigrant|irish|irish accent|torn between two worlds,http://www.imdb.com/title/tt2381111/?ref_=fn_tt_tt_1,English,PG-13,11000000,7.5,1.85
Stanley Kubrick,124,184,0,111,,1104,Hardy Krüger,0,18th century|england|rise and fall|rural setting|wealth,http://www.imdb.com/title/tt0072684/?ref_=fn_tt_tt_1,English,PG,11000000,8.1,1.66
Brendan Malloy,37,89,2,651,13903262,4291,Thomas Lennon,0,alaska|mountain|ski resort|snowboard|snowboarding,http://www.imdb.com/title/tt0253798/?ref_=fn_tt_tt_1,English,PG-13,11000000,6.3,1.85
Reginald Hudlin,58,84,71,553,13592872,10982,Tim Meadows,1,black pantyhose|female stockinged legs|pantyhose|radio|tattoo,http://www.imdb.com/title/tt0213790/?ref_=fn_tt_tt_1,English,R,11000000,5.1,1.85
Dustin Hoffman,175,98,0,123,18381787,1114,Pauline Collins,4,divorced couple|opera|reference to giuseppe verdi|retirement|senility,http://www.imdb.com/title/tt1441951/?ref_=fn_tt_tt_1,English,PG-13,11000000,6.8,2.35
Gregory Poirier,75,95,5,443,13558739,2729,David Ogden Stiers,0,box office flop|critically bashed|dominatrix|friend|money,http://www.imdb.com/title/tt0246989/?ref_=fn_tt_tt_1,English,R,11000000,5.3,1.85
Bill Paxton,161,100,0,303,13103828,12237,Matt O'Leary,0,demon|fbi|fbi agent|murder|religious fanatic,http://www.imdb.com/title/tt0264616/?ref_=fn_tt_tt_1,English,R,11000000,7.3,1.85
Simon Curtis,203,109,64,553,33305037,17866,Elizabeth McGovern,2,art|jewish|justice|nazi|theft,http://www.imdb.com/title/tt2404425/?ref_=fn_tt_tt_1,English,PG-13,11000000,7.3,2.35
Bill Condon,188,118,386,812,10214647,17490,Dylan Baker,0,professor|research|sex|sexuality|student,http://www.imdb.com/title/tt0362269/?ref_=fn_tt_tt_1,English,R,11000000,7.1,2.35
Sam Raimi,221,88,0,795,11501093,3913,Embeth Davidtz,0,army of the dead|battle|necronomicon|reluctant hero|skeleton soldier,http://www.imdb.com/title/tt0106308/?ref_=fn_tt_tt_1,English,R,13000000,7.6,1.85
Dewey Nicks,66,86,4,424,4814244,2415,Jim Rash,4,blackmail|fall|love|nerd|scam,http://www.imdb.com/title/tt0240900/?ref_=fn_tt_tt_1,English,R,11000000,5.3,1.85
Lasse Hallström,80,118,529,472,9170214,69746,Kevin Tighe,1,apostrophe in title|face slap|four word title|grocery store|police,http://www.imdb.com/title/tt0108550/?ref_=fn_tt_tt_1,English,PG-13,11000000,7.8,1.85
Philip Saville,25,125,10,109,4068087,1281,Scott Handy,1,1st century|based on the bible|miracle|religion|resurrection,http://www.imdb.com/title/tt0377992/?ref_=fn_tt_tt_1,English,PG-13,17000000,7.7,1.85
Mike Leigh,169,125,608,579,3753806,3133,Imelda Staunton,1,1950s|miscarriage|neighbor|pregnancy|tailor,http://www.imdb.com/title/tt0383694/?ref_=fn_tt_tt_1,English,R,11000000,7.7,1.85
Daisy von Scherler Mayer,70,94,18,183,3034181,1559,Jimi Mistry,3,bollywood|illegal immigrant|live television|restaurant|waiter,http://www.imdb.com/title/tt0280720/?ref_=fn_tt_tt_1,English,R,11000000,5.4,1.85
Mira Nair,15,113,300,787,2832826,3072,Vincent Gallo,2,immigration|love|political prisoner|reference to john wayne|title directed by female,http://www.imdb.com/title/tt0114113/?ref_=fn_tt_tt_1,English,R,11000000,6.2,1.85
Ethan Coen,535,104,1000,272,13214255,4082,Alex Karpovsky,1,1960s|car hitting an animal|folk singer|friend|singer,http://www.imdb.com/title/tt2042568/?ref_=fn_tt_tt_1,English,R,11000000,7.4,1.85
Tim Blake Nelson,92,95,596,697,16017403,3300,John Heard,2,basketball|basketball player|boarding school|love|shakespeare's othello,http://www.imdb.com/title/tt0184791/?ref_=fn_tt_tt_1,English,R,5000000,6.2,1.85
William A. Graham,14,102,8,40,2807854,14281,Lisa Pelikan,1,baby|desert island|island|sequel|teenage girl,http://www.imdb.com/title/tt0102782/?ref_=fn_tt_tt_1,English,PG-13,11000000,5.1,1.85
Martin Ritt,13,124,58,104,,800,Samantha Eggar,0,coal|detective|irish|irish immigrant|pennsylvania,http://www.imdb.com/title/tt0066090/?ref_=fn_tt_tt_1,English,PG,11000000,6.9,2.35
John Turturro,87,105,0,776,540085,28004,Eddie Izzard,0,anal sex|death|dream|poem|sex,http://www.imdb.com/title/tt0368222/?ref_=fn_tt_tt_1,English,R,,6.3,2.35
Agnieszka Holland,78,104,238,22,352786,150,Angus Barnett,0,music copyist|music student|musical composition|student|symphony,http://www.imdb.com/title/tt0424908/?ref_=fn_tt_tt_1,English,PG-13,11000000,6.8,2.35
Tobe Hooper,223,120,365,723,76600000,3876,Craig T. Nelson,0,ghost|haunted|haunting|house|paranormal investigator,http://www.imdb.com/title/tt0084516/?ref_=fn_tt_tt_1,English,PG,10700000,7.4,2.35
Rowan Joffe,136,111,17,405,,3117,Geoff Bell,2,brighton|catholic|gang|prayer|waitress,http://www.imdb.com/title/tt1233192/?ref_=fn_tt_tt_1,English,R,12000000,5.7,2.35
David Hackl,160,95,43,357,56729973,5286,Scott Patterson,0,blood splatter|jigsaw|nazi|serial killer|swastika tattoo,http://www.imdb.com/title/tt1132626/?ref_=fn_tt_tt_1,English,R,10800000,5.8,1.85
Giuliano Montaldo,28,96,4,199,,1827,Britt Ekland,0,casino|gang violence|robbery|suicide|violence,http://www.imdb.com/title/tt0065895/?ref_=fn_tt_tt_1,English,GP,,6.2,2.35
Lisa Azuelos,54,97,15,19,,248,Alix Freihage,1,best friend|girl in panties|high school|high school romance|pink panties,http://www.imdb.com/title/tt1592873/?ref_=fn_tt_tt_1,English,PG-13,11000000,4.3,2.35
Ray Lawrence,75,118,10,48,399879,378,Max Cullen,2,camp|fishing|fishing trip|river|town,http://www.imdb.com/title/tt0382765/?ref_=fn_tt_tt_1,English,R,15000000,6.4,2.35
Karan Johar,20,193,160,860,3275443,10822,Preity Zinta,2,extramarital affair|fashion magazine editor|marriage|new york|teacher,http://www.imdb.com/title/tt0449999/?ref_=fn_tt_tt_1,Hindi,R,700000000,6.0,2.35
Oliver Parker,105,97,32,327,18535191,2640,Jeremy Northam,3,bachelor|blackmail|character says i love you|flirting|social satire,http://www.imdb.com/title/tt0122541/?ref_=fn_tt_tt_1,English,PG-13,14000000,6.9,1.85
Ruairi Robinson,120,98,7,507,23838,2271,Tom Cullen,0,alien infection|astronaut|mars|mission|zombie,http://www.imdb.com/title/tt1709143/?ref_=fn_tt_tt_1,English,R,7000000,5.5,2.35
Jaume Balagueró,108,103,57,132,22160085,1228,Francesc Pagès,0,9 year old|blood|gramophone|house|missing children,http://www.imdb.com/title/tt0273517/?ref_=fn_tt_tt_1,English,PG-13,10600000,5.4,2.35
Stanley Kubrick,285,161,0,73,56715371,727,Glenn Beck,0,ancient astronaut|famous line|message from outer space|monolith|star child,http://www.imdb.com/title/tt0062622/?ref_=fn_tt_tt_1,English,G,12000000,8.3,2.2
Steven Spielberg,215,120,14000,548,434949459,2811,Peter Coyote,0,bicyclist|boy|doll|star wars reference|voice impersonation,http://www.imdb.com/title/tt0083866/?ref_=fn_tt_tt_1,English,PG,10500000,7.9,1.85
Jon Kasdan,81,97,21,499,11043445,20312,Dustin Milligan,0,actress|love|michigan|neighbor|writer,http://www.imdb.com/title/tt0419843/?ref_=fn_tt_tt_1,English,PG-13,10000000,6.5,2.35
Léa Pool,17,97,4,194,,1554,Raoul Max Trujillo,1,butterfly|entomologist|morpho butterfly|rain|rain forest,http://www.imdb.com/title/tt0313300/?ref_=fn_tt_tt_1,English,PG,12500000,6.3,1.85
Floyd Mutrux,5,99,11,327,125169,2272,Seymour Cassel,2,high school|love|police|showdown|surfer,http://www.imdb.com/title/tt0108320/?ref_=fn_tt_tt_1,English,R,10500000,6.4,
,3,24,,44,,592,Hannah Britland,3,blond boy|chlamydia|list|male rear nudity|young couple,http://www.imdb.com/title/tt4051832/?ref_=fn_tt_tt_1,English,,,7.9,
Sajid Khan,10,144,0,119,1165104,1121,Riteish Deshmukh,5,bad luck|casino|lie|mix up|stutter,http://www.imdb.com/title/tt1573072/?ref_=fn_tt_tt_1,Hindi,,,5.3,
Christopher Cain,43,111,58,258,1066555,1526,Trent Ford,0,massacre|mormon|settler|utah|wagon train,http://www.imdb.com/title/tt0473700/?ref_=fn_tt_tt_1,,R,11000000,5.8,1.85
Dean Wright,43,145,0,280,5669081,1807,Catalina Sandino Moreno,1,catholic|hanging|mexico|rebellion|soldier,http://www.imdb.com/title/tt1566501/?ref_=fn_tt_tt_1,Spanish,R,10818775,6.6,2.35
Eric Lartigau,94,106,7,24,,175,François Damiens,4,audition|deaf|family relationships|love|singing,http://www.imdb.com/title/tt3547740/?ref_=fn_tt_tt_1,French,,11000000,7.4,1.85
Gus Van Sant,161,126,835,893,138339411,63710,Minnie Driver,2,friend|genius|janitor|loss of wife|professor,http://www.imdb.com/title/tt0119217/?ref_=fn_tt_tt_1,English,R,10000000,8.3,1.85
Shintaro Shimosawa,38,106,29,571,,27660,Glen Powell,3,black panties|lust|sexual attraction|voyeur|voyeurism,http://www.imdb.com/title/tt3658772/?ref_=fn_tt_tt_1,English,R,11000000,5.3,2.35
Darren Lynn Bousman,210,121,163,482,80150343,3189,Leigh Whannell,0,brutality|female full frontal nudity|female nudity|torture|trap,http://www.imdb.com/title/tt0489270/?ref_=fn_tt_tt_1,English,R,10000000,6.2,1.85
Ivan Reitman,52,117,425,901,85300000,27378,Judge Reinhold,1,army|boot camp|breasts|graduation|rescue,http://www.imdb.com/title/tt0083131/?ref_=fn_tt_tt_1,English,R,10000000,6.9,1.85
Peyton Reed,139,98,235,229,68353550,5270,Clare Kramer,1,championship|cheerleading|high school|teen comedy|teenage romance,http://www.imdb.com/title/tt0204946/?ref_=fn_tt_tt_1,English,PG-13,10000000,5.9,1.85
James DeMonaco,165,109,65,393,78845130,2480,Mykelti Williamson,1,cathedral|minister|presidential election|reference to george washington|ritual sacrifice,http://www.imdb.com/title/tt4094724/?ref_=fn_tt_tt_1,English,R,10000000,6.1,2.35
Robert Iscove,96,95,7,1000,63319509,28734,Kieran Culkin,2,bet|friend|high school|prom|prom queen,http://www.imdb.com/title/tt0160862/?ref_=fn_tt_tt_1,English,PG-13,10000000,5.8,1.85
Lee Daniels,323,109,304,736,47536959,3276,Mariah Carey,0,abuse|african american lesbian|lesbian|lesbian couple|school,http://www.imdb.com/title/tt0929632/?ref_=fn_tt_tt_1,English,R,10000000,7.3,1.85
Darren Lynn Bousman,190,96,163,448,63270259,3492,Angus Macfadyen,0,detective|fbi|rape|rapist|serial rapist,http://www.imdb.com/title/tt0890870/?ref_=fn_tt_tt_1,English,R,10000000,5.9,1.85
Geoffrey Sax,173,101,13,368,55865715,2013,Mike Dopud,0,architect|grave|obsession|river|voice,http://www.imdb.com/title/tt0375210/?ref_=fn_tt_tt_1,English,PG-13,10000000,5.5,2.35
Tyler Perry,46,107,0,685,63231524,5264,Blair Underwood,4,cross dressing|family reunion|madea series|reflective|sister sister relationship,http://www.imdb.com/title/tt0455612/?ref_=fn_tt_tt_1,English,PG-13,6000000,5.0,1.85
Martin Scorsese,59,119,17000,638,52293982,11895,Mary Elizabeth Mastrantonio,1,hustler|losing|pool|pool player|tournament,http://www.imdb.com/title/tt0090863/?ref_=fn_tt_tt_1,English,R,13800000,7.0,1.85
Ken Annakin,53,178,19,196,,1554,Eddie Albert,3,allies|d day|invasion|normandy|world war two,http://www.imdb.com/title/tt0056197/?ref_=fn_tt_tt_1,English,G,10000000,7.8,2.35
Stephen Herek,22,100,65,577,50752337,3362,Elden Henson,8,coach|hockey team|lawyer|respect|team,http://www.imdb.com/title/tt0104868/?ref_=fn_tt_tt_1,English,PG,10000000,6.4,1.85
Takashi Shimizu,203,98,70,634,110175871,7461,Ted Raimi,0,american|curse|japan|nurse|rage,http://www.imdb.com/title/tt0391198/?ref_=fn_tt_tt_1,English,PG-13,10000000,5.9,1.85
Dennis Dugan,77,92,221,491,38624000,13162,Frances Bay,1,golf|golf ball|golfer|grandmother's house|tournament,http://www.imdb.com/title/tt0116483/?ref_=fn_tt_tt_1,English,PG-13,12000000,7.0,1.85
Victor Salva,190,90,108,270,37470017,1982,Jonathan Breck,0,demon|gore|record player|tattoo|wings,http://www.imdb.com/title/tt0263488/?ref_=fn_tt_tt_1,English,R,10000000,6.1,1.85
Stephen Herek,81,90,65,730,40485039,20795,Al Leong,6,failing student|high school|payphone|teenager|telephone booth,http://www.imdb.com/title/tt0096928/?ref_=fn_tt_tt_1,English,PG,10000000,6.9,2.35
Carol Reed,56,153,82,139,16800000,1593,Jack Wild,1,abuse|child|orphan|orphanage|pickpocket,http://www.imdb.com/title/tt0063385/?ref_=fn_tt_tt_1,English,G,10000000,7.5,2.35
John Madden,264,124,108,186,46377022,1898,Celia Imrie,3,hotel|india|marigold|retiree|retirement,http://www.imdb.com/title/tt1412386/?ref_=fn_tt_tt_1,English,PG-13,10000000,7.3,2.35
Chuck Sheetz,44,82,6,345,36696761,2197,Dabney Coleman,0,friend|principal|summer|summer camp|summer vacation,http://www.imdb.com/title/tt0265632/?ref_=fn_tt_tt_1,English,G,23000000,6.5,1.85
George Miller,117,107,750,60,36200000,1529,Angelo Rossitto,2,arena|desert|fight|mad max|post apocalypse,http://www.imdb.com/title/tt0089530/?ref_=fn_tt_tt_1,English,PG-13,12305523,6.2,2.35
Mark L. Lester,124,75,73,581,,3192,Rae Dawn Chong,0,body count|dictator|jumping from an airplane|knife fight|one man army,http://www.imdb.com/title/tt0088944/?ref_=fn_tt_tt_1,English,R,10000000,6.7,1.85
William Brent Bell,159,97,19,130,35794166,4687,Stephanie Lemelin,0,animate doll|doll|england|nanny|surprise ending,http://www.imdb.com/title/tt3882082/?ref_=fn_tt_tt_1,English,PG-13,10000000,6.0,2.35
John Erick Dowdle,273,80,66,816,33583175,5628,Geoffrey Arend,0,devil|elevator|hit and run|throat slitting|trapped in an elevator,http://www.imdb.com/title/tt1314655/?ref_=fn_tt_tt_1,English,PG-13,10000000,6.3,2.35
Marcus Raboy,26,85,7,615,32983713,3712,Katt Williams,0,apartment|christmas|christmas present|rent|security guard,http://www.imdb.com/title/tt0293815/?ref_=fn_tt_tt_1,English,R,20000000,5.8,1.85
Leigh Whannell,242,97,482,482,52200504,2426,Leigh Whannell,0,demon|possession|psychic|supernatural|teenager,http://www.imdb.com/title/tt3195644/?ref_=fn_tt_tt_1,English,PG-13,10000000,6.1,2.35
Michael Schultz,55,109,78,619,33000000,3394,Keshia Knight Pulliam,1,cult film|kung fu|kung fu classic|martial arts|title spoken by character,http://www.imdb.com/title/tt0089461/?ref_=fn_tt_tt_1,English,PG-13,10000000,6.9,1.85
Guy Ritchie,151,104,0,1000,30093107,39175,Jason Flemyng,6,boxer|boxing|diamond|fight|gypsy,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,English,R,6000000,8.3,1.85
Brett Leonard,48,140,32,120,32101000,1109,Troy Evans,0,intelligence|science runs amok|scientist|supernatural power|virtual reality,http://www.imdb.com/title/tt0104692/?ref_=fn_tt_tt_1,English,R,10000000,5.4,1.85
Peter Sollett,166,90,6,617,31487293,2807,Aaron Yoo,2,band|gay|gay friend|love|night,http://www.imdb.com/title/tt0981227/?ref_=fn_tt_tt_1,English,PG-13,9000000,6.7,1.85
Kevin Smith,206,130,0,769,30651422,16693,George Carlin,8,abortion|abortion clinic|angel|church|clinic,http://www.imdb.com/title/tt0120655/?ref_=fn_tt_tt_1,English,R,10000000,7.4,2.35
Bob Dolman,92,98,7,73,30306281,1917,Sal Lopez,2,bartender|groupie|lawyer|road trip|writer,http://www.imdb.com/title/tt0280460/?ref_=fn_tt_tt_1,English,R,10000000,5.6,2.35
Joe Dante,78,101,287,257,29500000,1954,Vic Morrow,0,1940s|1960s|bar|kick the can|remake,http://www.imdb.com/title/tt0086491/?ref_=fn_tt_tt_1,English,PG,10000000,6.5,1.85
Rowdy Herrington,83,114,9,466,30050028,2484,Kelly Lynch,1,bikini|cult film|fired from the job|martial arts|violence,http://www.imdb.com/title/tt0098206/?ref_=fn_tt_tt_1,English,R,17000000,6.5,2.35
Keenen Ivory Wayans,8,100,322,534,29392418,3190,Charles S. Dutton,2,drugs|ex cop|gun fu|machismo|shootout,http://www.imdb.com/title/tt0110399/?ref_=fn_tt_tt_1,English,R,10000000,5.8,1.85
John Polson,86,85,21,782,28563926,3819,Jason Ritter,0,high school|hospital|new jersey|stanford university|swimming,http://www.imdb.com/title/tt0283026/?ref_=fn_tt_tt_1,English,PG-13,8500000,5.0,2.35
Greg Coolidge,85,103,27,534,28435406,4441,Jessica Simpson,2,competition|date|employee|laser in eyes|slacker,http://www.imdb.com/title/tt0424993/?ref_=fn_tt_tt_1,English,PG-13,12000000,5.5,1.85
Harry Elfont,76,100,4,678,25339117,4259,Charlie Korsmo,4,graduation|high school|letter|nerd|party,http://www.imdb.com/title/tt0127723/?ref_=fn_tt_tt_1,English,PG-13,10000000,6.5,1.85
Francis Ford Coppola,60,114,0,699,25600000,12097,Tom Waits,0,dysfunctional family|gang|greaser|holding someone's head underwater|rivalry,http://www.imdb.com/title/tt0086066/?ref_=fn_tt_tt_1,English,PG-13,10000000,7.2,2.35
David Lowery,78,102,38,190,,3691,Isiah Whitlock Jr.,0,,http://www.imdb.com/title/tt2788732/?ref_=fn_tt_tt_1,English,PG,65000000,7.3,2.35
David Cronenberg,112,103,0,275,,2013,Anthony Zerbe,0,car accident|coma|evil politician|psychic|vision,http://www.imdb.com/title/tt0085407/?ref_=fn_tt_tt_1,English,R,10000000,7.2,1.85
Ciarán Foy,189,97,11,220,27736779,2403,Jaden Klein,0,deputy|farmhouse|nightmare|private investigator|rural,http://www.imdb.com/title/tt2752772/?ref_=fn_tt_tt_1,English,R,10000000,5.2,2.35
Salim Akil,82,116,70,706,24397469,5804,Mike Epps,7,1960s|death|girl group|nightclub|sister,http://www.imdb.com/title/tt1876451/?ref_=fn_tt_tt_1,English,PG-13,17000000,5.7,2.35
Jamie Blanks,120,96,9,448,20384136,2402,Johnny Whitworth,1,dance|nosebleed|revenge|valentine|valentine's day,http://www.imdb.com/title/tt0242998/?ref_=fn_tt_tt_1,English,R,10000000,4.7,2.35
Olatunde Osunsanmi,183,98,58,242,25464480,15251,Hakeem Kae-Kazim,0,abduction|alaska|alien|owl|patient,http://www.imdb.com/title/tt1220198/?ref_=fn_tt_tt_1,English,PG-13,10000000,5.9,2.35
Robert Altman,211,105,500,718,20338609,12946,Lily Tomlin,8,backstage|country music|cowboy|radio|singing,http://www.imdb.com/title/tt0420087/?ref_=fn_tt_tt_1,English,PG-13,10000000,6.8,2.35
Leon Ichaso,14,123,5,338,18272447,2149,Steve Harris,1,african american|harlem manhattan new york city|manhattan new york city|new york city|urination,http://www.imdb.com/title/tt0107079/?ref_=fn_tt_tt_1,English,R,10000000,5.9,1.85
Joseph Zito,54,107,17,53,,857,Eddie Jones,1,army|nightmare|one man army|rescue|spy,http://www.imdb.com/title/tt0089348/?ref_=fn_tt_tt_1,English,R,10000000,5.3,1.85
Malcolm D. Lee,55,112,92,826,17378977,7552,Shad Moss,0,1970s|boy|competition|roller skates|tubesocks,http://www.imdb.com/title/tt0403455/?ref_=fn_tt_tt_1,English,PG-13,,6.0,2.35
Wes Anderson,179,93,0,766,17096053,15716,Olivia Williams,2,coming of age|friendship|private school|student|teacher,http://www.imdb.com/title/tt0128445/?ref_=fn_tt_tt_1,English,R,9000000,7.7,2.35
Colin Strause,221,97,25,861,21371425,3679,Brittany Daniel,0,apartment|blue light|drawing|group of friends|light,http://www.imdb.com/title/tt1564585/?ref_=fn_tt_tt_1,English,PG-13,10000000,4.4,2.35
John Madden,158,122,108,111,33071558,583,Ronald Pickup,6,sequel,http://www.imdb.com/title/tt2555736/?ref_=fn_tt_tt_1,English,PG,10000000,6.6,2.35
Patricia Rozema,73,101,22,558,17655201,3317,Willow Smith,1,boarding house|girl|great depression|house|ohio,http://www.imdb.com/title/tt0846308/?ref_=fn_tt_tt_1,English,G,10000000,6.7,1.85
Mark Rosman,65,100,15,804,16247775,4789,Vanessa Lengies,3,e mail|moving|perfect man|secret admirer|suitor,http://www.imdb.com/title/tt0380623/?ref_=fn_tt_tt_1,English,PG,25000000,5.5,1.85
Spike Lee,23,129,0,203,16153600,19065,Charlie Murphy,1,comeback|friend|jazz|stage|trumpet,http://www.imdb.com/title/tt0100168/?ref_=fn_tt_tt_1,English,R,10000000,6.5,1.85
Steve Oedekerk,63,81,176,39,16033556,361,Jennifer Tung,1,chosen one|comic violence|intentionally bad|kung fu|stylized violence,http://www.imdb.com/title/tt0240468/?ref_=fn_tt_tt_1,English,PG-13,10000000,6.2,2.35
Ron Underwood,132,96,31,536,16667084,3119,Michael Gross,0,desert|giant worm|monster|pipe bomb|small town,http://www.imdb.com/title/tt0100814/?ref_=fn_tt_tt_1,English,PG-13,11000000,7.1,1.85
Rob Schmidt,191,84,36,648,15417771,3416,Julian Richings,1,forest|mountain|road|stupid victim|west virginia,http://www.imdb.com/title/tt0295700/?ref_=fn_tt_tt_1,English,R,12600000,6.1,1.85
Walter Hill,52,100,394,695,,6296,Randy Quaid,0,bank|breasts|famous score|last man standing|revenge,http://www.imdb.com/title/tt0081071/?ref_=fn_tt_tt_1,English,R,10000000,7.1,1.85
James Foley,91,110,164,45,15156200,571,Kim Chan,2,chinatown|illegal immigrant|new york|police|triad,http://www.imdb.com/title/tt0142192/?ref_=fn_tt_tt_1,English,R,30000000,6.0,2.35
