director_name,num_critic_for_reviews,actor_1_facebook_likes,actor_1_name,cast_total_facebook_likes,actor_3_name,plot_keywords,num_user_for_reviews,country,budget,imdb_score,movie_facebook_likes
David Dobkin,49,1000,Janeane Garofalo,1795,Kevin Rahm,breasts|serial killer|small town|vomiting|widow,109,Germany,8000000,6.6,515
Anna Boden,163,943,Zoë Kravitz,2786,Jim Gaffigan,based on novel|depression|psychiatric ward|suicide attempt|therapy,150,USA,8000000,7.2,20000
Nigel Cole,163,5000,Bob Hoskins,7692,Sally Hawkins,equal pay|machinist|minister|protest|sex,73,UK,7200000,7.2,0
Anand Tucker,90,14000,Colin Firth,15848,Gina McKee,cancer|children|death|terminal cancer|time,34,UK,8000000,6.9,429
Steve James,23,1000,Kurtwood Smith,1610,Amy Locane,long distance runner|olympics|oregon|runner|watching television,37,USA,8000000,6.8,0
Michael Winner,17,977,Faye Dunaway,2413,John Gielgud,female nudity|highwayman|nell gwynne|nudity|whipping,15,UK,8000000,4.0,79
Tomm Moore,118,61,Sean Lennon,75,Evan McGuire,barbarian|fairy|forest|monastery|unfinished book,71,France,6500000,7.7,11000
John Carney,283,480,James Corden,517,Mary Catherine Garrison,manhattan new york city|new york city|record label|singer|song,182,USA,8000000,7.4,43000
David Jacobson,74,2000,Hunter Parrish,3921,Rory Culkin,beach|cowboy|cowboy hat|neo western|valley,110,USA,8000000,6.5,412
Michael Corrente,41,480,Jerry Ferrara,1234,Alexa Havins,1980s|friend|friendship|loyalty|mafia,48,USA,8000000,6.4,226
Edward Hall,17,3000,Rufus Sewell,6343,Charlotte Rampling,espionage|motel|mother son relationship|murder disguised as suicide|shot in the head,12,UK,,7.2,434
Keith Gordon,66,21000,Robert Downey Jr.,41645,Alfre Woodard,detective|detective novel|fantasy sequence|hallucination|writer,79,USA,8000000,5.6,494
David Leland,36,735,Anna Friel,1378,Steven Mackintosh,dorset|farm|friend|love|women's land army,27,UK,,6.3,75
Andrew Currie,140,553,Alexia Fast,786,Kesun Loder,decapitation|neighbor|neighborhood|next door neighbor|zombie,98,Canada,8000000,6.8,0
Andrew Wilson,32,8000,Will Ferrell,9608,Jacob Vargas,directorial debut|fantasy sequence|nurse|old age home|prison,27,USA,8000000,5.5,143
Jonathan Lynn,68,10000,Rupert Grint,11770,Geoff Bell,apprentice|assassin|hitman|kleptomaniac|thief,86,UK,8000000,6.9,0
Marc Schölermann,79,905,John de Lancie,3185,Johnny Whitworth,corpse|dark humor|medical school|murder|pathology,107,USA,8000000,6.0,3000
,9,27000,Tom Hardy,29196,Kevin McNally,abuse|love|moor the landscape|revenge|tv mini series,33,UK,,7.7,0
Robert Moresco,26,954,Brian Dennehy,2512,Dash Mihok,desert storm|fbi|fbi agent|fragmentation grenade|woman kills attacker,34,USA,8000000,6.4,294
Thomas Vinterberg,100,947,Michael Angarano,2572,William Hootkins,gang|gun|loner|love|outcast,58,Italy,50000000,6.6,532
Claudia Llosa,56,144,Ian Tracey,326,William Shimell,,11,Spain,8000000,5.3,675
Katsuhiro Ôtomo,150,6,Mitsuo Iwata,28,Tesshô Genda,based on manga|biker gang|gifted child|post thermonuclear war|science runs amok,430,Japan,1100000000,8.1,0
John Herzfeld,30,23000,Paul Walker,37457,Jason Flemyng,drug lord|on the run|prison|vegan|vegetarian,31,USA,22000000,5.9,0
Charles Binamé,20,413,Stephen McHattie,733,Julie LeBreton,fan|french canadian|hockey|hockey player|machinist,31,Canada,8000000,7.7,520
Keith Parmer,21,31000,Rachel Ann Mullins,33858,Grant Bowler,police officer killed|police officer shot in the chest|police officer shot in the forehead|police officer shot in the head|police shootout,24,USA,8000000,4.6,438
Dennie Gordon,11,163,Leehom Wang,219,Jack Kao,,2,China,,5.1,81
Ol Parker,85,186,Celia Imrie,619,Darren Boyd,florist|friend|friendship|lesbian|love,149,UK,7900000,6.9,0
Bruce Beresford,5,502,Mckenna Grace,1546,Natalie Coughlin,,5,USA,8000000,8.0,205
François Ozon,160,844,Charlotte Rampling,1389,Jean-Claude Lecas,luberon|mystery writer|night|publisher|swimming,288,France,,6.8,0
James Nunn,25,1000,Spencer Wilding,2284,Kacey Clarke,bare breasts|firm|hooliganism|training|west ham supporter,13,UK,,5.4,0
David Webb Peoples,21,848,Delroy Lindo,1526,Anna Katarina,battle|blood splatter|combat|game|showdown,43,Australia,10000000,6.5,999
Michael Winnick,15,981,Scott Takeda,2741,Craig Sheffer,gun|mayor|nightclub|police|vigilantism,14,USA,8000000,4.2,689
Bruce Beresford,61,11000,Morgan Freeman,12619,Patti LuPone,1950s|african american|jewish|old age|widow,134,USA,7500000,7.4,3000
George Tillman Jr.,34,1000,Vanessa Williams,4737,Vivica A. Fox,1990s|family relationships|food in title|sister|unity,30,USA,7500000,6.9,508
Stanley Tong,62,186,Françoise Yip,407,Garvin Cross,fight|gang|greed|street gang|wedding,81,Hong Kong,7500000,6.7,0
David Oelhoffen,102,10000,Viggo Mortensen,10218,Ángela Molina,algerian war|based on short story|hostage|teacher|title at the end,19,France,7700000,7.3,2000
Jason Reitman,239,24000,J.K. Simmons,25092,Todd Louiso,cigarette smoking|lobbyist|political satire|reporter|tobacco industry,323,USA,6500000,7.6,0
Eli Roth,252,1000,Jay Hernandez,4707,Stanislav Ianevski,american|hostel|slovakia|torture|train,384,USA,10000000,5.4,0
Lone Scherfig,278,3000,Dominic Cooper,4198,Ellie Kendrick,1960s|age difference|france|loss of virginity|oxford,237,UK,4500000,7.3,12000
Anand Tucker,124,827,Frances Conroy,1871,Clyde Kusatsu,artist|depression|gloves|photography|slacker,268,USA,,6.4,1000
Tony Richardson,9,584,Joely Richardson,2024,Nastassja Kinski,football|hotel|teenage girl|terrorist|wien,61,UK,7500000,6.0,345
Joe Carnahan,127,673,Jason Patric,1442,Alan Van Sprang,blood splatter|cover up|murder|police shootout|undercover,214,USA,7500000,7.2,1000
Paul Gross,9,611,Molly Parker,1834,Kari Matchett,championship|coach|curling|marriage|rural setting,83,Canada,7500000,6.0,0
Charles Robert Carner,35,834,Ivana Milicevic,4091,Richard Bull,fbi|polo|possum|sheriff|shotgun,20,USA,7500000,3.1,140
Russell Holt,6,373,Eric Johnson,1233,Tiffany Dupont,1830s|baptism|intolerance|mormon church|sibling rivalry,33,USA,7500000,6.9,31
Mike Judge,192,24000,J.K. Simmons,41867,Clifton Collins Jr.,freak accident|gigolo|hit in the crotch|nosy neighbor|on the job injury,106,USA,8000000,6.2,0
Larry Charles,51,12000,Jeff Bridges,15396,Bruce Dern,concert|jail|journalist|revolution|singer,95,USA,,5.5,655
Claude Miller,38,71,Sandrine Kiberlain,262,Roschdy Zem,child|criminal|death|depression|novelist,26,France,50000000,6.9,26
Michael Winterbottom,133,631,Samantha Morton,1176,Natalie Mendoza,genetics|i.d.|love|sphinx|totalitarian,150,UK,7500000,6.3,0
Sacha Bennett,4,5000,Bob Hoskins,7206,Vincent Regan,,3,UK,7500000,4.8,223
Paul Haggis,287,3000,Don Cheadle,5732,Jennifer Esposito,race relations|racism|racist|social problem|stereotype,1624,Germany,6500000,7.9,18000
Rodrigo García,222,3000,Mia Wasikowska,4370,Mark Williams,19th century|hotel|painter|waiter|woman pretending to be a man,98,UK,8000000,6.7,0
Jeta Amata,6,262,Akon,409,Razaaq Adoti,color in title|number in title|two word title,4,Nigeria,7500000,5.6,389
Siddharth Anand,16,532,Saif Ali Khan,902,Vic Aviles,comeback|family relationships|marriage|new york|racer,37,USA,6000000,5.4,108
Vincent Paronnaud,242,963,Catherine Deneuve,1754,Danielle Darrieux,dream|girl|iran|islamic revolution|revolution,158,France,7300000,8.0,14000
Joe Dante,147,844,Bruce Dern,4099,Haley Bennett,basement|family relationships|hole|no opening credits|slow motion scene,69,USA,12000000,5.7,0
Dennis Gansel,93,287,Max Riemelt,635,Jennifer Ulrich,autocracy|based on real events|dictatorship|germany|teacher,96,Germany,5000000,7.6,25000
Nicolas Winding Refn,253,18000,Keanu Reeves,19879,Charles Baker,beauty|cannibalism|fashion|lesbian|model,73,France,7000000,7.0,0
Daniel Barber,224,788,Joseph Gilgun,2486,Sean Harris,bayonet|death|police|self defense|widower,224,UK,7300000,7.2,0
