director_name,actor_3_facebook_likes,actor_1_facebook_likes,gross,movie_title,num_voted_users,movie_imdb_link,language,movie_facebook_likes
,395,443,,M*A*S*H             ,36265,http://www.imdb.com/title/tt0068098/?ref_=fn_tt_tt_1,English,0
John Schlesinger,77,183,,Midnight Cowboy ,76616,http://www.imdb.com/title/tt0064665/?ref_=fn_tt_tt_1,English,0
Peter Cattaneo,121,1000,45857453,The Full Monty ,82232,http://www.imdb.com/title/tt0119164/?ref_=fn_tt_tt_1,English,0
Jim Abrahams,318,628,83400000,Airplane! ,160281,http://www.imdb.com/title/tt0080339/?ref_=fn_tt_tt_1,English,16000
Kevin Carraway,6,2000,,Chain of Command ,801,http://www.imdb.com/title/tt4340720/?ref_=fn_tt_tt_1,English,358
F. Gary Gray,624,826,27900000,Friday ,74626,http://www.imdb.com/title/tt0113118/?ref_=fn_tt_tt_1,English,8000
Albert Hughes,556,851,27900000,Menace II Society ,39508,http://www.imdb.com/title/tt0107554/?ref_=fn_tt_tt_1,English,0
,496,912,,Empire             ,27418,http://www.imdb.com/title/tt3228904/?ref_=fn_tt_tt_1,English,14000
Michael Gornick,178,3000,14000000,Creepshow 2 ,15956,http://www.imdb.com/title/tt0092796/?ref_=fn_tt_tt_1,English,1000
Sam Peckinpah,242,575,,The Ballad of Cable Hogue ,6350,http://www.imdb.com/title/tt0065446/?ref_=fn_tt_tt_1,English,357
Richard Brooks,188,255,,In Cold Blood ,19026,http://www.imdb.com/title/tt0061809/?ref_=fn_tt_tt_1,English,0
Fred Zinnemann,75,157,,The Nun's Story ,7071,http://www.imdb.com/title/tt0053131/?ref_=fn_tt_tt_1,English,930
Jack Smight,367,606,,Harper ,5941,http://www.imdb.com/title/tt0060490/?ref_=fn_tt_tt_1,English,470
Alfred Hitchcock,118,195,,Frenzy ,30982,http://www.imdb.com/title/tt0068611/?ref_=fn_tt_tt_1,English,0
Robert Eggers,159,648,25138292,The Witch ,66483,http://www.imdb.com/title/tt4263482/?ref_=fn_tt_tt_1,English,43000
Michael Martin,78,625,10305534,I Got the Hook Up ,1721,http://www.imdb.com/title/tt0131436/?ref_=fn_tt_tt_1,English,280
Edward Burns,111,385,9449219,She's the One ,13949,http://www.imdb.com/title/tt0117628/?ref_=fn_tt_tt_1,English,453
Bill Condon,248,3000,6390032,Gods and Monsters ,24977,http://www.imdb.com/title/tt0120684/?ref_=fn_tt_tt_1,English,0
Juan José Campanella,50,827,20167424,The Secret in Their Eyes ,131831,http://www.imdb.com/title/tt1305806/?ref_=fn_tt_tt_1,Spanish,33000
George A. Romero,83,1000,,Day of the Dead ,49672,http://www.imdb.com/title/tt0088993/?ref_=fn_tt_tt_1,English,3000
Gideon Raff,108,430,,Train ,4790,http://www.imdb.com/title/tt1015474/?ref_=fn_tt_tt_1,English,804
