director_name,duration,actor_3_facebook_likes,actor_2_name,actor_1_name,movie_title,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,country,title_year,aspect_ratio
David Dobkin,118,634,Olivia Wilde,Ryan Reynolds,The Change-Up ,2,http://www.imdb.com/title/tt1488555/?ref_=fn_tt_tt_1,149,USA,2011,2.35
Milos Forman,118,21,Gerry Becker,Matt Price,Man on the Moon ,1,http://www.imdb.com/title/tt0125664/?ref_=fn_tt_tt_1,549,UK,1999,2.35
Martin Scorsese,178,574,Don Rickles,Robert De Niro,Casino ,2,http://www.imdb.com/title/tt0112641/?ref_=fn_tt_tt_1,533,USA,1995,2.35
Pierre Morel,92,75,Amber Rose Revah,Kasia Smutniak,From Paris with Love ,1,http://www.imdb.com/title/tt1179034/?ref_=fn_tt_tt_1,211,France,2010,2.35
Paul Hunter,104,343,Mako,Jaime King,Bulletproof Monk ,3,http://www.imdb.com/title/tt0245803/?ref_=fn_tt_tt_1,180,USA,2003,2.35
Bobby Farrelly,116,79,Tony Cox,Robert Forster,"Me, Myself & Irene ",1,http://www.imdb.com/title/tt0183505/?ref_=fn_tt_tt_1,481,USA,2000,1.85
Steve Oedekerk,90,523,Wanda Sykes,Rob Paulsen,Barnyard ,1,http://www.imdb.com/title/tt0414853/?ref_=fn_tt_tt_1,155,Germany,2006,1.85
John Whitesell,93,728,Jorge Garcia,Matthew Broderick,Deck the Halls ,0,http://www.imdb.com/title/tt0790604/?ref_=fn_tt_tt_1,110,USA,2006,1.85
Chris Weitz,130,12000,Kristen Stewart,Robert Pattinson,The Twilight Saga: New Moon ,2,http://www.imdb.com/title/tt1259571/?ref_=fn_tt_tt_1,919,USA,2009,2.35
Andrew Adamson,90,21,Chris Miller,Kathleen Freeman,Shrek ,1,http://www.imdb.com/title/tt0126029/?ref_=fn_tt_tt_1,945,USA,2001,1.85
George Nolfi,106,593,Michael Kelly,Matt Damon,The Adjustment Bureau ,2,http://www.imdb.com/title/tt1385826/?ref_=fn_tt_tt_1,407,USA,2011,1.85
Kevin Reynolds,155,720,Morgan Freeman,Alan Rickman,Robin Hood: Prince of Thieves ,0,http://www.imdb.com/title/tt0102798/?ref_=fn_tt_tt_1,322,USA,1991,1.85
Cameron Crowe,139,597,Kelly Preston,Tom Cruise,Jerry Maguire ,0,http://www.imdb.com/title/tt0116695/?ref_=fn_tt_tt_1,318,USA,1996,1.85
Seth MacFarlane,112,1000,Seth MacFarlane,Mila Kunis,Ted ,1,http://www.imdb.com/title/tt1637725/?ref_=fn_tt_tt_1,623,USA,2012,1.85
James L. Brooks,139,285,Yeardley Smith,Lupe Ontiveros,As Good as It Gets ,0,http://www.imdb.com/title/tt0119822/?ref_=fn_tt_tt_1,470,USA,1997,1.85
Tom Shadyac,115,878,Philip Seymour Hoffman,Robin Williams,Patch Adams ,1,http://www.imdb.com/title/tt0129290/?ref_=fn_tt_tt_1,375,USA,1998,2.35
Adam McKay,143,7000,Will Ferrell,Harrison Ford,Anchorman 2: The Legend Continues ,2,http://www.imdb.com/title/tt1229340/?ref_=fn_tt_tt_1,346,USA,2013,2.35
Steven Brill,96,828,Adam Sandler,Steve Buscemi,Mr. Deeds ,1,http://www.imdb.com/title/tt0280590/?ref_=fn_tt_tt_1,309,USA,2002,1.85
J.J. Abrams,112,417,AJ Michalka,Joel Courtney,Super 8 ,0,http://www.imdb.com/title/tt1650062/?ref_=fn_tt_tt_1,849,USA,2011,2.35
Steven Soderbergh,131,658,Albert Finney,Julia Roberts,Erin Brockovich ,0,http://www.imdb.com/title/tt0195685/?ref_=fn_tt_tt_1,498,USA,2000,1.85
Donald Petrie,116,651,Adam Goldberg,Matthew McConaughey,How to Lose a Guy in 10 Days ,2,http://www.imdb.com/title/tt0251127/?ref_=fn_tt_tt_1,357,USA,2003,1.85
Phil Lord,112,584,Craig Roberts,Channing Tatum,22 Jump Street ,2,http://www.imdb.com/title/tt2294449/?ref_=fn_tt_tt_1,322,USA,2014,2.35
Neil Jordan,123,4000,Tom Cruise,Brad Pitt,Interview with the Vampire: The Vampire Chronicles ,0,http://www.imdb.com/title/tt0110148/?ref_=fn_tt_tt_1,406,USA,1994,1.85
Peyton Reed,104,1000,Zooey Deschanel,Bradley Cooper,Yes Man ,1,http://www.imdb.com/title/tt1068680/?ref_=fn_tt_tt_1,243,USA,2008,2.35
Rawson Marshall Thurber,107,569,Thomas Kretschmann,Dwayne Johnson,Central Intelligence ,2,http://www.imdb.com/title/tt1489889/?ref_=fn_tt_tt_1,110,USA,2016,2.35
Chris Columbus,124,701,Liam Aiken,Julia Roberts,Stepmom ,2,http://www.imdb.com/title/tt0120686/?ref_=fn_tt_tt_1,252,USA,1998,2.35
Sean Anders,96,322,Linda Cardellini,Will Ferrell,Daddy's Home ,2,http://www.imdb.com/title/tt1528854/?ref_=fn_tt_tt_1,130,USA,2015,1.85
Rob Marshall,125,10000,Meryl Streep,Johnny Depp,Into the Woods ,1,http://www.imdb.com/title/tt2180411/?ref_=fn_tt_tt_1,779,USA,2014,2.39
Spike Lee,129,277,James Ransone,Denzel Washington,Inside Man ,2,http://www.imdb.com/title/tt0454848/?ref_=fn_tt_tt_1,646,USA,2006,2.35
Brian Helgeland,90,416,Deborah Kara Unger,Bill Duke,Payback ,1,http://www.imdb.com/title/tt0120784/?ref_=fn_tt_tt_1,394,USA,1999,2.35
Frank Marshall,109,293,Joe Don Baker,Dylan Walsh,Congo ,0,http://www.imdb.com/title/tt0112715/?ref_=fn_tt_tt_1,147,USA,1995,1.85
Cameron Crowe,124,1000,Matt Damon,Scarlett Johansson,We Bought a Zoo ,3,http://www.imdb.com/title/tt1389137/?ref_=fn_tt_tt_1,199,USA,2011,1.85
Alex Proyas,121,329,Ben Mendelsohn,Nicolas Cage,Knowing ,0,http://www.imdb.com/title/tt0448011/?ref_=fn_tt_tt_1,791,USA,2009,2.35
Tom Dey,95,11000,Matthew McConaughey,Bradley Cooper,Failure to Launch ,2,http://www.imdb.com/title/tt0427229/?ref_=fn_tt_tt_1,242,USA,2006,2.35
Hideo Nakata,128,874,Gary Cole,Naomi Watts,The Ring Two ,0,http://www.imdb.com/title/tt0377109/?ref_=fn_tt_tt_1,560,USA,2005,1.85
Glenn Ficarra,118,7000,Emma Stone,Ryan Gosling,"Crazy, Stupid, Love. ",7,http://www.imdb.com/title/tt1570728/?ref_=fn_tt_tt_1,292,USA,2011,2.39
Peter Hewitt,80,58,Mark Christopher Lawrence,Bill Murray,Garfield ,0,http://www.imdb.com/title/tt0356634/?ref_=fn_tt_tt_1,232,USA,2004,1.85
Joe Roth,99,660,Cheech Marin,Jamie Lee Curtis,Christmas with the Kranks ,1,http://www.imdb.com/title/tt0388419/?ref_=fn_tt_tt_1,209,USA,2004,2.35
Bennett Miller,133,11000,Robin Wright,Philip Seymour Hoffman,Moneyball ,1,http://www.imdb.com/title/tt1210166/?ref_=fn_tt_tt_1,312,USA,2011,1.85
Wolfgang Petersen,127,808,Morgan Freeman,Kevin Spacey,Outbreak ,3,http://www.imdb.com/title/tt0114069/?ref_=fn_tt_tt_1,130,USA,1995,1.85
Jaume Collet-Serra,106,660,Nate Parker,Liam Neeson,Non-Stop ,0,http://www.imdb.com/title/tt2024469/?ref_=fn_tt_tt_1,384,UK,2014,2.35
Andy Fickman,98,433,Billy Brown,Dwayne Johnson,Race to Witch Mountain ,3,http://www.imdb.com/title/tt1075417/?ref_=fn_tt_tt_1,110,USA,2009,2.35
James McTeigue,132,443,Eddie Marsan,Natalie Portman,V for Vendetta ,1,http://www.imdb.com/title/tt0434409/?ref_=fn_tt_tt_1,2042,USA,2005,2.35
David Dobkin,114,55,Anna-Louise Plowman,Fann Wong,Shanghai Knights ,2,http://www.imdb.com/title/tt0300471/?ref_=fn_tt_tt_1,192,USA,2003,2.35
,45,132,Gemma Jones,Bernard Hill,Unforgotten             ,2,http://www.imdb.com/title/tt4192812/?ref_=fn_tt_tt_1,9,UK,,
Matthew O'Callaghan,78,1000,Frank Welker,Will Ferrell,Curious George ,0,http://www.imdb.com/title/tt0381971/?ref_=fn_tt_tt_1,118,USA,2006,1.85
Angela Robinson,101,541,Thomas Lennon,Scoot McNairy,Herbie Fully Loaded ,1,http://www.imdb.com/title/tt0400497/?ref_=fn_tt_tt_1,168,USA,2005,1.85
Gary Fleder,113,477,Jennifer Esposito,Oliver Platt,Don't Say a Word ,0,http://www.imdb.com/title/tt0260866/?ref_=fn_tt_tt_1,248,USA,2001,2.35
Tommy Wirkola,98,467,Derek Mears,Jeremy Renner,Hansel & Gretel: Witch Hunters ,2,http://www.imdb.com/title/tt1428538/?ref_=fn_tt_tt_1,304,Germany,2013,2.35
Adrian Lyne,124,372,Erik Per Sullivan,Olivier Martinez,Unfaithful ,0,http://www.imdb.com/title/tt0250797/?ref_=fn_tt_tt_1,533,USA,2002,1.85
D.J. Caruso,109,144,Emily Wickersham,Alex Pettyfer,I Am Number Four ,1,http://www.imdb.com/title/tt1464540/?ref_=fn_tt_tt_1,329,USA,2011,1.85
Stephen Gaghan,128,414,Amr Waked,Matt Damon,Syriana ,0,http://www.imdb.com/title/tt0365737/?ref_=fn_tt_tt_1,625,USA,2005,2.35
Michael Bay,144,681,James Badge Dale,Toby Stephens,13 Hours ,0,http://www.imdb.com/title/tt4172430/?ref_=fn_tt_tt_1,219,USA,2016,2.35
Jorge R. Gutiérrez,95,679,Hector Elizondo,Channing Tatum,The Book of Life ,1,http://www.imdb.com/title/tt2262227/?ref_=fn_tt_tt_1,102,USA,2014,2.35
Richard Loncraine,105,935,Harrison Ford,Jimmy Bennett,Firewall ,1,http://www.imdb.com/title/tt0408345/?ref_=fn_tt_tt_1,306,USA,2006,2.35
Clint Eastwood,121,826,Mark Margolis,Clint Eastwood,Absolute Power ,0,http://www.imdb.com/title/tt0118548/?ref_=fn_tt_tt_1,142,USA,1997,2.35
Ridley Scott,125,957,Demi Moore,Viggo Mortensen,G.I. Jane ,1,http://www.imdb.com/title/tt0119173/?ref_=fn_tt_tt_1,142,USA,1997,2.35
David Fincher,129,283,Armin Mueller-Stahl,Deborah Kara Unger,The Game ,1,http://www.imdb.com/title/tt0119174/?ref_=fn_tt_tt_1,506,USA,1997,2.35
Christophe Gans,132,368,Deborah Kara Unger,Radha Mitchell,Silent Hill ,0,http://www.imdb.com/title/tt0384537/?ref_=fn_tt_tt_1,1740,Canada,2006,2.35
