director_name,num_critic_for_reviews,duration,actor_2_name,genres,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,language,content_rating,budget,aspect_ratio
Steven Spielberg,151,128,Chi McBride,Comedy|Drama,The Terminal ,303864,Barry Shabaka Henley,0,airport|construction site|fish out of water|flight attendant|man without a country,English,PG-13,60000000,1.85
,12,43,Matt Ryan,Drama|Fantasy|Horror|Thriller,Constantine             ,36919,Charles Halford,1,based on comic|based on comic book|dc arrowverse|dc comics|supernatural,English,TV-14,,16.0
Thor Freudenthal,107,100,Kevin Dillon,Comedy|Family,Hotel for Dogs ,16271,Yvette Nicole Brown,4,abandoned hotel|dog|foster home|overalls|playing with a dog,English,PG,35000000,1.85
Martin Campbell,134,124,Scott Glenn,Action|Adventure|Drama|Thriller,Vertical Limit ,49536,Ben Mendelsohn,0,death|die hard scenario|k2|rescue|urination,English,PG-13,75000000,1.85
Mike Nichols,269,102,Tom Hanks,Biography|Comedy|Drama|History,Charlie Wilson's War ,88451,Jud Tylor,1,afghanistan|arms dealer|based on true story|cia|texas,English,R,75000000,1.85
Bibo Bergeron,143,90,Martin Scorsese,Adventure|Animation|Comedy|Family,Shark Tale ,132415,Angelina Jolie Pitt,0,anchor|fish|mobster|shark|vegetarian,English,PG,75000000,1.85
Bill Condon,241,130,Jennifer Hudson,Drama|Music|Musical,Dreamgirls ,55901,Anika Noni Rose,0,1960s|fire|pop chart|singer|trio,English,PG-13,70000000,2.35
,12,45,Brent Sexton,Crime|Drama|Mystery,Life             ,29450,Damian Lewis,1,cop|murder|partner|police|protective male,English,,,
F. Gary Gray,161,118,Christina Milian,Comedy|Crime|Music,Be Cool ,59435,Debi Mazar,4,concert|mobster|russian|sequel|widow,English,PG-13,53000000,2.4
Steven Spielberg,298,163,Moritz Bleibtreu,Drama|History|Thriller,Munich ,176936,Mathieu Amalric,0,arab|black september|israel|jew|munich olympics,English,R,70000000,2.35
Antoine Fuqua,89,142,Tom Skerritt,Action|Drama|Thriller|War,Tears of the Sun ,93494,Cole Hauser,1,dictator|doctor|jungle|rebel|refugee,English,R,70000000,2.35
Robert Luketic,140,100,Lisa Ann Walter,Action|Comedy|Romance|Thriller,Killers ,72867,Catherine O'Hara,2,hired killer|marriage|neighbor|on the run|store clerk,English,PG-13,75000000,2.35
Guy Ritchie,362,116,Elizabeth Debicki,Action|Adventure|Comedy,The Man from U.N.C.L.E. ,175960,Christian Berkel,2,box office flop|cia agent|criminal organization|kgb agent|nuclear bomb,English,PG-13,75000000,2.35
James L. Brooks,124,131,Paz Vega,Comedy|Drama|Romance,Spanglish ,65668,Sarah Steele,2,chef|college|housekeeper|letter|mexico,English,PG-13,80000000,1.85
Gil Kenan,190,91,Jon Heder,Animation|Comedy|Family|Fantasy|Mystery,Monster House ,71137,Catherine O'Hara,0,babysitter|halloween|house|neighbor|suburb,English,PG,75000000,2.35
Barry Levinson,132,123,Brían F. O'Byrne,Comedy|Crime|Drama|Romance,Bandits ,57038,Azura Skye,2,bank manager|hypochondriac|love triangle|prison|television,English,PG-13,80000000,2.35
Jerry Zucker,53,134,Ben Cross,Action|Adventure|Romance|Thriller,First Knight ,55350,John Gielgud,3,battle|king|king arthur|knight|marriage,English,PG-13,55000000,1.85
Andy Tennant,91,148,Geoffrey Palmer,Drama|History|Romance,Anna and the King ,31080,Randall Duk Kim,2,1860s|children|king|schoolteacher|siam,English,PG-13,75000000,2.35
Tarsem Singh,284,110,Daniel Sharman,Action|Drama|Fantasy|Romance,Immortals ,138190,Steve Byers,1,burned alive|castration|olympus|torture|torture device,English,R,75000000,1.85
Florent-Emilio Siri,152,113,Bruce Willis,Action|Crime|Drama|Mystery|Thriller,Hostage ,93790,Ransford Doherty,0,california|hostage|hostage negotiator|organized crime|police,English,R,52000000,2.35
Don Bluth,131,94,Janeane Garofalo,Action|Adventure|Animation|Family|Sci-Fi,Titan A.E. ,52244,Nathan Lane,0,alien|captain|escape|pilot|scientist,English,PG,75000000,2.35
Ron Shelton,132,116,Bruce Greenwood,Action|Comedy|Crime|Thriller,Hollywood Homicide ,31293,Lena Olin,2,audition|kissing while having sex|machismo|murder|sex,English,PG-13,75000000,2.35
Paul W.S. Anderson,67,99,Sean Pertwee,Action|Drama|Sci-Fi,Soldier ,44248,Jason Scott Lee,1,crash survivor|planet|sergeant|soldier|survivor,English,R,75000000,2.35
David Pastor,130,84,Kiernan Shipka,Drama|Horror|Sci-Fi|Thriller,Carriers ,35510,Lou Taylor Pucci,0,beach|disease|latex gloves|pandemic|virus,English,PG-13,,2.35
Henry Selick,74,93,Bridget Fonda,Animation|Comedy|Fantasy,Monkeybone ,14280,Megan Mullally,0,carnival|coma|death|monkey|nightmare,English,PG-13,75000000,1.85
John Moore,114,113,Tony Curran,Action|Adventure|Drama|Thriller,Flight of the Phoenix ,45815,Miranda Otto,4,captain|desert|rescue|stranded|survivor,English,PG-13,45000000,2.35
M. Night Shyamalan,294,106,Bruce Willis,Drama|Mystery|Sci-Fi|Thriller,Unbreakable ,245152,Michael Kelly,0,child with gun|comic book|invulnerability|superhero|train crash,English,PG-13,75000000,2.35
Kyle Balda,308,91,Jon Hamm,Action|Animation|Comedy|Family|Sci-Fi,Minions ,142403,Steve Coogan,0,antarctica|minion|queen|super villain|villain,English,PG,74000000,1.85
Zack Snyder,435,128,Abbie Cornish,Action|Fantasy,Sucker Punch ,197584,Scott Glenn,4,alternate reality|escape|girl gang|prostitution|samurai,English,PG-13,82000000,2.35
Brian De Palma,117,98,Mike Starr,Crime|Mystery|Thriller,Snake Eyes ,64121,John Heard,1,assassination|boxing|casino|conspiracy|long take,English,R,69000000,2.35
Barry Levinson,108,134,James Pickens Jr.,Drama|Mystery|Sci-Fi|Thriller,Sphere ,81611,Huey Lewis,3,manifestation|ocean|spacecraft|spaceship|sphere,English,PG-13,75000000,2.35
Clay Kaytis,141,97,Josh Gad,Action|Animation|Comedy|Family,The Angry Birds Movie ,27130,Keegan-Michael Key,0,butt|downward duck|fish|kingfisher|pig,English,PG,73000000,1.85
Andy Tennant,176,112,Ray Winstone,Action|Adventure|Comedy|Romance|Thriller,Fool's Gold ,59352,Alexis Dziena,0,debt|rapper|treasure|treasure hunter|yacht,English,PG-13,70000000,2.35
Judd Apatow,230,153,RZA,Comedy|Drama,Funny People ,100837,Maude Apatow,1,breasts|comedian|craigslist|infidelity|stand up comedian,English,R,75000000,1.85
Peter Berg,234,110,Frances Fisher,Action|Drama|Thriller,The Kingdom ,101386,Tim McGraw,1,al qaeda|bomb making|fbi|saudi arabia|stabbed in the crotch,English,R,70000000,2.35
Adam McKay,164,122,Leslie Bibb,Action|Comedy|Sport,Talladega Nights: The Ballad of Ricky Bobby ,130776,Gary Cole,5,car racing|french|friend|nascar|racing,English,PG-13,73000000,2.35
Steve Carr,91,87,Jeffrey Jones,Comedy|Family|Fantasy,Dr. Dolittle 2 ,33884,Kevin Pollak,0,bear|doctor|false accusation|man with glasses|second part,English,PG,72000000,2.35
Mel Gibson,132,178,Patrick McGoohan,Biography|Drama|History|War,Braveheart ,736638,James Robinson,1,14th century|legend|revolt|scotland|tyranny,English,R,72000000,2.35
Sam Mendes,262,125,Brian Geraghty,Action|Drama|War,Jarhead ,143525,James Morrison,0,american abroad|gulf war|u.s. military|u.s. soldier|usmc,English,R,70000000,2.35
David Silverman,299,87,Yeardley Smith,Adventure|Animation|Comedy,The Simpsons Movie ,259083,Marcia Wallace,0,alaska|dome|lake|pig|the simpsons,English,PG-13,75000000,2.35
Frank Darabont,128,152,Hal Holbrook,Drama|Romance,The Majestic ,45031,Jeffrey DeMunn,1,amnesia|california|communist|small town|writer,English,PG,72000000,1.85
Renny Harlin,109,116,Estella Warren,Action|Drama|Sport,Driven ,34435,Cristián de la Fuente,0,car race|german|race car|race car driver|rookie,English,PG-13,72000000,2.35
Jean-Jacques Annaud,88,109,Jean-Claude Dreyfus,Adventure|Drama|Family,Two Brothers ,11798,Oanh Nguyen,0,circus|death of protagonist|jungle|killing an animal|tiger,English,PG,59660000,2.35
M. Night Shyamalan,261,108,Judy Greer,Drama|Mystery|Romance|Thriller,The Village ,193770,William Hurt,0,creature|pact|plot twist|village|woods,English,PG-13,60000000,1.85
Betty Thomas,73,85,Raven-Symoné,Comedy|Family|Fantasy,Doctor Dolittle ,74343,Peter Boyle,0,box office hit|doctor|dog|first part|tiger,English,PG-13,71500000,1.85
M. Night Shyamalan,208,106,Merritt Wever,Drama|Sci-Fi|Thriller,Signs ,271592,Cherry Jones,0,crop circle|faith|farm|glass of water|loss of faith,English,PG-13,72000000,1.85
Andrew Adamson,205,93,Jennifer Saunders,Adventure|Animation|Comedy|Family|Fantasy|Romance,Shrek 2 ,314630,Conrad Vernon,1,drag queen|physical appearance|princess|queen|sequel,English,PG,150000000,1.85
John Lasseter,256,117,Cheech Marin,Adventure|Animation|Comedy|Family|Sport,Cars ,263853,George Carlin,0,car|desert|route 66|tow truck|truck,English,G,120000000,2.35
Garry Marshall,103,116,Christopher Meloni,Comedy|Romance,Runaway Bride ,74274,Hector Elizondo,2,bride|columnist|journalist|maryland|wedding,English,PG,70000000,2.35
Rob Cohen,191,132,Eve,Action|Adventure|Thriller,xXx ,142569,Leila Arcieri,0,agent|nsa|nsa agent|prague|russian,English,PG-13,70000000,2.35
Paul Tibbitt,147,92,Billy West,Adventure|Animation|Comedy|Family|Fantasy,The SpongeBob Movie: Sponge Out of Water ,34359,Eddie Deezen,0,book|magic|pirate|plankton|time machine,English,PG,74000000,1.85
Ron Howard,79,139,Delroy Lindo,Crime|Thriller,Ransom ,98989,Rene Russo,1,bounty|fbi|millionaire|money|ransom,English,R,80000000,1.85
Quentin Tarantino,486,153,Brad Pitt,Adventure|Drama|War,Inglourious Basterds ,885175,Christoph Waltz,1,france|german|nazis|revenge|scalping,English,R,75000000,2.35
Steven Spielberg,75,142,Julia Roberts,Adventure|Comedy|Family|Fantasy,Hook ,182802,Bob Hoskins,1,1990s|caught in a net|children|duel|hero,English,PG,70000000,2.35
Brett Ratner,245,101,Rufus Sewell,Action|Adventure,Hercules ,115687,Ingrid Bolsø Berdal,0,army|greek mythology|hercules|king|mercenary,English,PG-13,100000000,2.35
Renny Harlin,142,124,John Amos,Action|Thriller,Die Hard 2 ,269858,Franco Nero,0,airport|fuel|plane|police|terrorist,English,R,70000000,2.35
Clark Johnson,144,117,Josh Charles,Action|Adventure|Crime|Thriller,S.W.A.T. ,119807,LL Cool J,1,hostage|police|prison|swat team|training,English,PG-13,80000000,2.35
,39,45,Katia Winter,Adventure|Drama|Fantasy|Mystery|Thriller,Sleepy Hollow             ,49049,Lyndie Greenwood,0,apocalypse|death|husband wife relationship|mother son relationship|murder,English,TV-14,,16.0
Cameron Crowe,153,141,Ivana Milicevic,Fantasy|Mystery|Romance|Sci-Fi|Thriller,Vanilla Sky ,206776,Noah Taylor,1,death|dream|love|lynchian|reality,English,R,68000000,1.85
M. Night Shyamalan,284,110,Freddy Rodríguez,Drama|Fantasy|Mystery|Thriller,Lady in the Water ,78635,Bob Balaban,1,apartment|bedtime story|eagle|stuttering|swimming pool,English,PG-13,70000000,1.85
Paul W.S. Anderson,247,109,Colin Salmon,Action|Horror|Sci-Fi|Thriller,AVP: Alien vs. Predator ,143628,Raoul Bova,0,alien|antarctica|predator|pyramid|satellite,English,PG-13,60000000,2.35
Betty Thomas,107,88,Bridgit Mendler,Animation|Comedy|Family|Fantasy|Music,Alvin and the Chipmunks: The Squeakquel ,31649,Jesse McCartney,0,adidas|chipmunk|hospital|school|waste container,English,PG,75000000,1.85
Randall Wallace,141,124,Marc Blucas,Action|Drama|History|War,We Were Soldiers ,103241,Chris Klein,0,air cavalry|battle|major|soldier|vietnamese,English,R,75000000,2.35
Antoine Fuqua,358,119,Morgan Freeman,Action|Thriller,Olympus Has Fallen ,203154,Radha Mitchell,3,political thriller|politics|president|speaker of the house|u.s. president,English,R,70000000,2.35
Jonathan Frakes,160,103,Jonathan Frakes,Action|Adventure|Sci-Fi|Thriller,Star Trek: Insurrection ,56741,Michael Dorn,0,alien|captain|commander|conspiracy|planet,English,PG,58000000,2.35
Jonathan Liebesman,355,116,Jim Parrack,Action|Sci-Fi,Battle Los Angeles ,154955,Ramon Rodriguez,0,alien|extraterrestrial|invasion|marine|mission,English,PG-13,70000000,2.35
Tim Burton,235,125,Alison Lohman,Adventure|Drama|Fantasy,Big Fish ,350698,Albert Finney,0,dog saved from a fire|flashback|growing up|multiple narrators|traveling salesman,English,PG-13,70000000,1.37
Mike Nichols,59,125,Peter Gerety,Drama|Horror|Romance|Thriller,Wolf ,43559,Ron Rifkin,1,blood|publisher|publishing house|werewolf|wolf,English,R,70000000,1.85
Steven Spielberg,388,146,Benedict Cumberbatch,Drama|War,War Horse ,116159,Eddie Marsan,1,barbed wire|british|cavalry|horse|world war one,English,PG-13,66000000,2.35
George Clooney,371,118,Matt Damon,Drama|War,The Monuments Men ,102248,Bob Balaban,7,art|art expert|nazi stolen art|soldier|world war two,English,PG-13,70000000,2.35
James Cameron,82,171,Todd Graff,Adventure|Drama|Sci-Fi|Thriller,The Abyss ,131217,Mary Elizabeth Mastrantonio,0,alien|estranged couple|ocean|submarine|underwater,English,PG-13,69500000,2.35
Oliver Stone,297,136,Austin Pendleton,Drama,Wall Street: Money Never Sleeps ,84118,John Buffalo Mailer,2,corporate greed|crisis|economy|greed|mentor,English,PG-13,70000000,2.35
Gary Shore,261,92,Sarah Gadon,Action|Drama|Fantasy|Horror|War,Dracula Untold ,138582,Zach McGowan,1,death of wife|dracula|tarantula|turk|vampire,English,PG-13,70000000,2.35
Edward Zwick,120,116,Bruce Willis,Action|Thriller,The Siege ,58023,Mark Valley,0,abduction|martial law|military|new york city|terrorist,English,R,70000000,2.35
Matthew Vaughn,228,127,David Kelly,Adventure|Family|Fantasy|Romance,Stardust ,212085,Nathaniel Parker,8,king|magic|one word title|pirate|village,English,PG-13,70000000,2.35
Jean-Jacques Annaud,76,136,Mako,Adventure|Biography|Drama|History|War,Seven Years in Tibet ,96385,Victor Wong,1,austria|dalai lama|himalaya|mountain|tibet,English,PG-13,70000000,2.35
Ron Howard,185,111,Clint Howard,Comedy|Drama,The Dilemma ,43709,Chelcie Ross,2,best friend|friend|investigation|secret|two word title,English,PG-13,70000000,2.35
Joel Schumacher,128,116,Brooke Smith,Action|Adventure|Comedy|Thriller,Bad Company ,39659,Garcelle Beauvais,2,cia|cia agent|terrorist|twin|twin brother,English,PG-13,70000000,2.35
Andrzej Bartkowiak,237,113,Ben Daniels,Action|Adventure|Horror|Sci-Fi,Doom ,88146,Dexter Fletcher,0,commando unit|extra chromosome|first person shooter|special forces|teleportation,English,R,60000000,2.35
Betty Thomas,105,97,Phill Lewis,Action|Adventure|Comedy|Thriller,I Spy ,41663,Tate Taylor,1,boxer|espionage|spy|stealth|top secret,English,PG-13,70000000,1.37
Måns Mårlind,242,88,Stephen Rea,Action|Fantasy|Horror,Underworld: Awakening ,117096,Sandrine Holt,1,battle|cryogenics|detective|scientist|vampire,English,R,70000000,2.35
