director_name,num_critic_for_reviews,duration,gross,actor_1_name,actor_3_name,plot_keywords,movie_imdb_link,language,content_rating,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
,11,60,,Jensen Ackles,John Savage,cat burglar|female lead|future|mixed martial arts|post apocalypse,http://www.imdb.com/title/tt0204993/?ref_=fn_tt_tt_1,English,TV-14,,794,7.4,0
Yash Chopra,29,192,2921738,Shah Rukh Khan,Anupam Kher,fair|pakistan|prison|rescue|stranded,http://www.imdb.com/title/tt0420332/?ref_=fn_tt_tt_1,Hindi,,2004,860,7.9,2000
David Mamet,158,99,2344847,Alice Braga,Jose Pablo Cantillo,bar|debt|fight|instructor|jujitsu,http://www.imdb.com/title/tt1012804/?ref_=fn_tt_tt_1,English,R,2008,518,6.8,0
Jay Duplass,223,91,7455447,Matt Walsh,Katie Aselton,21 year old|forename as title|musician|party|rearview mirror,http://www.imdb.com/title/tt1336617/?ref_=fn_tt_tt_1,English,R,2010,259,6.3,0
Kevin Brodie,25,100,2148212,Bruce McGill,Jack Warden,artist|box office flop|dog|drawing|flanders,http://www.imdb.com/title/tt0160216/?ref_=fn_tt_tt_1,English,PG,1999,476,6.3,157
Paul Schrader,97,105,2062066,Ed Begley Jr.,Kurt Fuller,friendship|photography|radio|sex addict|video,http://www.imdb.com/title/tt0298744/?ref_=fn_tt_tt_1,English,R,2002,658,6.6,357
George Hickenlooper,117,99,1654367,Hayden Christensen,Beth Grant,andy warhol|female nudity|public nudity|singer|socialite,http://www.imdb.com/title/tt0432402/?ref_=fn_tt_tt_1,English,R,2006,787,6.4,3000
Lynne Ramsay,389,112,1738692,Ezra Miller,Ashley Gerasimovich,archery|defiance|mental illness|psychopath|toilet training,http://www.imdb.com/title/tt1242460/?ref_=fn_tt_tt_1,English,R,2011,294,7.5,38000
John Stephenson,9,100,2209479,Samantha Barks,Lesley Manville,angel|candle|christmas|miracle|village,http://www.imdb.com/title/tt2739338/?ref_=fn_tt_tt_1,English,PG,2013,627,5.8,962
Tim Chambers,34,99,1889522,Ellen Burstyn,Jennifer Butler,basketball|catholic|coach|college|nun,http://www.imdb.com/title/tt1034324/?ref_=fn_tt_tt_1,English,G,2009,690,6.5,797
Curtis Hanson,7,100,,Tom Cruise,Rick Rossovich,apostrophe in title|bare breasts|friendship between men|teen sex comedy|two word title,http://www.imdb.com/title/tt0085868/?ref_=fn_tt_tt_1,English,R,1983,422,4.8,168
Rodrigo García,161,125,1110286,Naomi Watts,Carla Gallo,adoption|baby|girl|lawyer|sex,http://www.imdb.com/title/tt1121977/?ref_=fn_tt_tt_1,English,R,2009,941,7.2,0
Dick Richards,6,107,1000000,Catherine Deneuve,Jack O'Halloran,arab|bare chested male|foreign legion|french foreign legion|morocco,http://www.imdb.com/title/tt0076175/?ref_=fn_tt_tt_1,English,PG,1977,750,6.3,122
Jean-Marie Poiré,16,107,700000,Christian Clavier,Valérie Lemercier,distant past|future time travel|nobleman|squire|trapped in the past,http://www.imdb.com/title/tt0108500/?ref_=fn_tt_tt_1,French,R,1993,54,7.0,0
Sofia Coppola,301,97,1768416,Nathalie Fay,Erin Wasson,actor|boredom|luxury hotel|party|trip,http://www.imdb.com/title/tt1421051/?ref_=fn_tt_tt_1,English,R,2010,218,6.3,0
Bob Gosse,52,105,1425993,Geoff Stults,Derek Wayne Johnson,bachelor party|bare butt|loud sex|sex standing up|topless female nudity,http://www.imdb.com/title/tt1220628/?ref_=fn_tt_tt_1,English,R,2009,216,5.3,0
Alex Zamm,12,95,306715,Taylor Negron,Larry Miller,box office flop|company|invention|roommate|surfer,http://www.imdb.com/title/tt0118836/?ref_=fn_tt_tt_1,English,PG-13,1998,788,2.3,724
Spencer Susser,134,106,382946,Joseph Gordon-Levitt,Rainn Wilson,bully|car|car accident|fire|vomiting,http://www.imdb.com/title/tt1403177/?ref_=fn_tt_tt_1,English,R,2010,20000,7.1,19000
Richard Shepard,151,93,518134,Richard E. Grant,Richard Graham,male frontal nudity|male nudity|male rear nudity|nudity|sex scene,http://www.imdb.com/title/tt2402105/?ref_=fn_tt_tt_1,English,R,2013,524,6.2,0
Gus Van Sant,103,103,236266,Matt Damon,,desert|friend|friendship|minimal dialogue|water,http://www.imdb.com/title/tt0302674/?ref_=fn_tt_tt_1,English,R,2002,0,6.2,0
Thaddeus O'Sullivan,39,96,196067,Olivia Williams,Eleanor Bron,1930s|car accident|hospital|marital rape|painter,http://www.imdb.com/title/tt0301390/?ref_=fn_tt_tt_1,English,R,2002,358,6.7,97
Peter Sollett,133,103,532988,Steve Carell,Luke Grimes,cancer|gay bar|lesbian kiss|partner|public hearing,http://www.imdb.com/title/tt1658801/?ref_=fn_tt_tt_1,English,PG-13,2015,1000,6.5,0
Shari Springer Berman,104,108,453079,Lynn Cohen,Dan Hedaya,co worker|escort|magazine|teacher|writer,http://www.imdb.com/title/tt1361313/?ref_=fn_tt_tt_1,English,R,2010,403,5.9,916
Aleksey German,121,177,,Leonid Yarmolnik,Valentin Golubenko,fictional war|hanging|male full frontal nudity|medieval times|nudity,http://www.imdb.com/title/tt2328813/?ref_=fn_tt_tt_1,Russian,Not Rated,2013,4,6.7,1000
Stephen Milburn Anderson,27,118,46451,Chris Hemsworth,Paul Sanchez,cash|financial problem|heist|land rover|mortgage,http://www.imdb.com/title/tt1106860/?ref_=fn_tt_tt_1,English,R,2010,854,6.0,694
Richard E. Grant,49,97,233103,Emily Watson,Miranda Richardson,alcoholic|alcoholic father|stepmother|swaziland|unfaithful wife,http://www.imdb.com/title/tt0419256/?ref_=fn_tt_tt_1,English,R,2005,838,6.9,311
Troy Duffy,100,102,,Norman Reedus,Bob Marley,fbi|fbi agent|friend|irish|mafia,http://www.imdb.com/title/tt0144117/?ref_=fn_tt_tt_1,English,R,1999,333,7.9,16000
David Lam,12,92,,Michael Wong,Stephen Au,,http://www.imdb.com/title/tt3469440/?ref_=fn_tt_tt_1,Cantonese,,2014,82,5.3,55
Francis Ford Coppola,112,88,,Alden Ehrenreich,Joanne Whalley,ghost|hotel|murder|stake|what happened to epilogue,http://www.imdb.com/title/tt1756851/?ref_=fn_tt_tt_1,English,R,2011,844,4.8,0
Vladlen Barbe,10,80,,Erin Fitzgerald,Ivan Okhlobystin,3d,http://www.imdb.com/title/tt2243621/?ref_=fn_tt_tt_1,Russian,PG,2012,62,5.3,453
Richard Rich,2,45,,Debi Derryberry,Cindy Robinson,blindness|cave|spirit|wolf|wolf cub,http://www.imdb.com/title/tt4061848/?ref_=fn_tt_tt_1,,,2014,35,6.0,41
Clint Eastwood,38,115,41400000,Clint Eastwood,Sydney Penny,gold|miner|preacher|prospector|sheriff,http://www.imdb.com/title/tt0089767/?ref_=fn_tt_tt_1,English,R,1985,455,7.3,0
Robert C. Cooper,18,97,,Ben Browder,Julian Sands,2000s|evil god|space opera|stargate|wormhole,http://www.imdb.com/title/tt0942903/?ref_=fn_tt_tt_1,English,,2008,847,7.4,389
Richard Linklater,152,102,7993039,Milla Jovovich,Cole Hauser,football|hazing|high school|last day of school|pledge,http://www.imdb.com/title/tt0106677/?ref_=fn_tt_tt_1,English,R,1993,1000,7.7,10000
Kenny Ortega,44,111,,Lucas Grabeel,Olesya Rulin,2000s|basketball|country club|lifeguard|talent show,http://www.imdb.com/title/tt0810900/?ref_=fn_tt_tt_1,English,TV-G,2007,632,4.8,586
Kim Nguyen,6,96,,Gordon Pinsent,John Ralston,,http://www.imdb.com/title/tt4412528/?ref_=fn_tt_tt_1,English,,2016,147,7.2,187
Jackie Earle Haley,46,94,,Rex Baker,Travis Aaron Wade,african american gangster|falling to death|in over one's head|murder|surveillance,http://www.imdb.com/title/tt3687310/?ref_=fn_tt_tt_1,English,,2015,725,5.8,0
Max Färberböck,63,125,927107,Heike Makatsch,Maria Schrader,lesbian mother|lesbian parent|lesbian relationship|lesbian romance|lesbianism,http://www.imdb.com/title/tt0130444/?ref_=fn_tt_tt_1,German,,1999,66,7.3,687
Arie Posin,74,108,49526,Rory Culkin,Tim DeKay,chumscrubber|death|friend|pills|school,http://www.imdb.com/title/tt0406650/?ref_=fn_tt_tt_1,English,R,2005,697,7.0,1000
Damian Nieman,25,101,10696,Glenn Plummer,Mark De Alessandro,bar|strip club|stripper|texas hold 'em|thong,http://www.imdb.com/title/tt0323939/?ref_=fn_tt_tt_1,English,R,2003,83,6.4,413
Mark Tonderai,224,101,31607598,Jennifer Lawrence,Gil Bellows,brother sister relationship|death of sister|female protagonist|mother daughter relationship|murder,http://www.imdb.com/title/tt1582507/?ref_=fn_tt_tt_1,English,PG-13,2012,924,5.6,10000
Denis Villeneuve,226,139,6857096,Lubna Azabal,Ahmad Massad,brother sister relationship|family relationships|middle east|mother son relationship|twin brother and sister,http://www.imdb.com/title/tt1255953/?ref_=fn_tt_tt_1,French,R,2010,66,8.2,37000
Gabriele Muccino,36,125,223878,Laura Morante,Giulia Michelini,box office hit|dancer|sex scene|television|underage sex,http://www.imdb.com/title/tt0323807/?ref_=fn_tt_tt_1,Italian,R,2003,29,6.5,282
Ian Fitzgibbon,54,88,828,Jim Broadbent,Michael McElhatton,burglary|estranged father|money|neighbor|thug,http://www.imdb.com/title/tt1003034/?ref_=fn_tt_tt_1,English,R,2009,418,6.4,663
José Padilha,142,115,8060,Wagner Moura,André Ramiro,brazil|military police|police|rio de janeiro brazil|slum,http://www.imdb.com/title/tt0861739/?ref_=fn_tt_tt_1,Portuguese,R,2007,39,8.1,11000
John R. Leonetti,271,99,84263837,Alfre Woodard,Gabriel Bateman,horror movie prequel|murder|paranormal activity|self sacrifice|suicide,http://www.imdb.com/title/tt3322940/?ref_=fn_tt_tt_1,English,R,2014,421,5.4,45000
Rachel Perkins,33,88,110029,Deborah Mailman,Jessica Mauboy,australia|journey|love|priest|traveling,http://www.imdb.com/title/tt1148165/?ref_=fn_tt_tt_1,English,PG-13,2009,46,6.3,479
John Singleton,64,112,57504069,John Cothran,Na'Blonka Durden,drugs|escape|football|friend|violence,http://www.imdb.com/title/tt0101507/?ref_=fn_tt_tt_1,English,R,1991,26,7.8,0
Luis Valdez,18,108,54215416,Esai Morales,Danielle von Zerneck,crash|hispanic|interracial relationship|interracial romance|racism,http://www.imdb.com/title/tt0093378/?ref_=fn_tt_tt_1,English,PG-13,1987,63,6.8,0
Alan Alda,6,107,,Rita Moreno,Sandy Dennis,directed by star|friendship|reference to isaac newton|skinny dipping|written and directed by cast member,http://www.imdb.com/title/tt0082405/?ref_=fn_tt_tt_1,English,PG,1981,167,7.2,337
Brian De Palma,121,104,31899000,Angie Dickinson,Nancy Allen,apartment|elevator|murder|psychiatrist|sunglasses,http://www.imdb.com/title/tt0080661/?ref_=fn_tt_tt_1,English,X,1980,567,7.1,0
Stephen Sommers,14,108,24103594,Curtis Armstrong,Anne Heche,boy|lesson|mississippi river|river|slave,http://www.imdb.com/title/tt0106223/?ref_=fn_tt_tt_1,English,PG,1993,827,6.2,391
Doug Liman,137,102,16842303,Sarah Polley,Scott Wolf,drug deal|drugs|sex|sex on stairs|strip club,http://www.imdb.com/title/tt0139239/?ref_=fn_tt_tt_1,English,R,1999,563,7.3,0
Nicole Holofcener,111,88,13367101,Greg Germann,Jake Cherry,friend|friendship|marital problem|money problems|nervous breakdown,http://www.imdb.com/title/tt0436331/?ref_=fn_tt_tt_1,English,R,2006,230,5.9,515
Robert Wise,57,115,,David Wayne,Eric Christmas,alien|baby|new mexico|satellite|scientist,http://www.imdb.com/title/tt0066769/?ref_=fn_tt_tt_1,English,G,1971,112,7.2,0
Louis Morneau,97,91,10149779,Leon,Ned Bellamy,animal attack|bat|creature feature|experiment|mad scientist,http://www.imdb.com/title/tt0200469/?ref_=fn_tt_tt_1,English,PG-13,1999,461,3.6,342
Caroline Link,73,141,6173485,Merab Ninidze,Matthias Habich,breasts|farm|jew|kenya|tween girl,http://www.imdb.com/title/tt0161860/?ref_=fn_tt_tt_1,English,R,2001,36,7.7,802
Steve McQueen,486,101,4000304,Michael Fassbender,James Badge Dale,female frontal nudity|female nudity|male nudity|sex addict|sex addiction,http://www.imdb.com/title/tt1723811/?ref_=fn_tt_tt_1,English,NC-17,2011,898,7.3,23000
Matthew Vaughn,149,105,2338695,Tom Hardy,Jamie Foreman,cake|cocaine|drugs|pills|serbian,http://www.imdb.com/title/tt0375912/?ref_=fn_tt_tt_1,English,R,2004,594,7.4,0
Sterling Van Wagenen,4,100,2024854,Emily Podleski,Brenda Strong,estrangement|missouri|mormon|mormon church|mormon temple,http://www.imdb.com/title/tt0457530/?ref_=fn_tt_tt_1,English,PG-13,2005,373,6.6,19
Zal Batmanglij,200,116,2268296,Alexander Skarsgård,Jason Ritter,anarchist|corporation|greedy institution|vomiting|watching television,http://www.imdb.com/title/tt1869716/?ref_=fn_tt_tt_1,English,PG-13,2013,918,6.9,12000
Michael Mayer,84,97,1029017,Robin Wright,Sissy Spacek,hand job|hugging|long hair|new york city|two men one woman,http://www.imdb.com/title/tt0359423/?ref_=fn_tt_tt_1,English,R,2004,986,6.8,1000
Hans Petter Moland,28,106,64148,Charlotte Rampling,Stellan Skarsgård,death|ferry|lawyer|norway|vomiting,http://www.imdb.com/title/tt0168446/?ref_=fn_tt_tt_1,English,,2000,2,7.3,260
Oren Moverman,217,105,66637,Steve Buscemi,Eamonn Walker,captain|casualty notification|casualty notification team|sergeant|staff sergeant,http://www.imdb.com/title/tt0790712/?ref_=fn_tt_tt_1,English,R,2009,712,7.2,0
Ian Sharp,12,102,,Ray Winstone,Temuera Morrison,one word title,http://www.imdb.com/title/tt1414378/?ref_=fn_tt_tt_1,English,R,2010,433,6.5,830
Anton Corbijn,183,122,871577,Sam Riley,Alexandra Maria Lara,band|employment agency|singer|stage fright|suicide,http://www.imdb.com/title/tt0421082/?ref_=fn_tt_tt_1,English,R,2007,631,7.7,13000
James Cameron,204,107,38400000,Michael Biehn,Paul Winfield,cyborg|future war|robot|shootout in a police station|urban setting,http://www.imdb.com/title/tt0088247/?ref_=fn_tt_tt_1,English,R,1984,663,8.1,13000
Wolfgang Becker,153,121,4063859,Florian Lukas,Burghart Klaußner,coma|east germany|german democratic republic|germany|heart attack,http://www.imdb.com/title/tt0301357/?ref_=fn_tt_tt_1,German,R,2003,51,7.7,11000
Tom Hooper,145,98,449558,Stephen Graham,Maurice Roëves,cup|derby county|flashback|football|leeds united,http://www.imdb.com/title/tt1226271/?ref_=fn_tt_tt_1,English,R,2009,54,7.6,0
Dan O'Bannon,203,108,,Linnea Quigley,Beverly Randolph,crematorium|female frontal nudity|naked dead woman|paramedic|poison gas,http://www.imdb.com/title/tt0089907/?ref_=fn_tt_tt_1,English,R,1985,426,7.3,0
,10,55,,Maria Pia Calzone,Marco D'Amore,,http://www.imdb.com/title/tt2049116/?ref_=fn_tt_tt_1,Italian,TV-MA,,9,8.7,0
Kevin Smith,93,123,2122561,Ethan Suplee,Joey Lauren Adams,comic|ex girlfriend|jay and silent bob|mall|teenager,http://www.imdb.com/title/tt0113749/?ref_=fn_tt_tt_1,English,R,1995,898,7.2,0
Randal Kleiser,124,110,181360000,Olivia Newton-John,Sid Caesar,automobile racing|boyfriend girlfriend relationship|high school|wrestling|year 1959,http://www.imdb.com/title/tt0077631/?ref_=fn_tt_tt_1,English,PG-13,1978,944,7.2,13000
Oliver Stone,120,120,137963328,Johnny Depp,Kevin Dillon,1960s|famous score|hero|vietnam|vietnam war,http://www.imdb.com/title/tt0091763/?ref_=fn_tt_tt_1,English,R,1986,854,8.1,9000
Michael Moore,288,122,119078393,Osama bin Laden,Ricky Martin,anti war|interview|iraq|paranoia|war on terrorism,http://www.imdb.com/title/tt0361596/?ref_=fn_tt_tt_1,English,R,2004,328,7.5,0
George Roy Hill,130,110,102308900,Katharine Ross,Kenneth Mars,bolivia|gang|outlaw|posse|train,http://www.imdb.com/title/tt0064115/?ref_=fn_tt_tt_1,English,M,1969,566,8.1,0
Robert Stevenson,145,139,102300000,Ed Wynn,Elsa Lanchester,banker|female protagonist|live action and animation|magic|nanny,http://www.imdb.com/title/tt0058331/?ref_=fn_tt_tt_1,English,Approved,1964,279,7.8,0
Robert Redford,62,124,54800000,Adam Baldwin,Judd Hirsch,choir|death|friend|suicide|therapy,http://www.imdb.com/title/tt0081283/?ref_=fn_tt_tt_1,English,R,1980,553,7.8,0
Frank Coraci,188,120,24004159,Jim Broadbent,Cécile De France,19th century|around the world|inventor|martial arts|train,http://www.imdb.com/title/tt0327437/?ref_=fn_tt_tt_1,English,PG,2004,1000,5.8,0
Jerome Robbins,120,152,43650000,Rita Moreno,Richard Beymer,dance|gang|new york city|puerto rican|tragedy,http://www.imdb.com/title/tt0055614/?ref_=fn_tt_tt_1,English,Unrated,1961,271,7.6,0
Harold Ramis,71,98,39800000,Bill Murray,Brian Doyle-Murray,caddy|country club|golf course|gopher|nudity,http://www.imdb.com/title/tt0080487/?ref_=fn_tt_tt_1,English,R,1980,573,7.4,0
Gary Hardwick,52,106,27457409,Julie Benz,Jenifer Lewis,african american|commitment|friend|friendship|playboy,http://www.imdb.com/title/tt0250274/?ref_=fn_tt_tt_1,English,R,2001,685,6.3,478
Rick Famuyiwa,18,106,25047631,Omar Epps,Richard T. Jones,flashback|friendship|public nudity|shower|wedding,http://www.imdb.com/title/tt0161100/?ref_=fn_tt_tt_1,English,R,1999,405,6.9,990
Bryan Singer,162,106,23272306,Kevin Spacey,Kevin Pollak,criminal|dirty cop|flashback|limping|suspect,http://www.imdb.com/title/tt0114814/?ref_=fn_tt_tt_1,English,R,1995,979,8.6,28000
Stephen Hopkins,88,89,22168359,Lisa Wilcox,Matthew Borlenghi,child|comic book|dream|murderer|nightmare,http://www.imdb.com/title/tt0097981/?ref_=fn_tt_tt_1,English,X,1989,101,5.1,1000
Walt Becker,96,94,21005329,Ryan Reynolds,Erik Estrada,college|love|party|reporter|tuition,http://www.imdb.com/title/tt0283111/?ref_=fn_tt_tt_1,English,R,2002,876,6.4,0
Darren Aronofsky,391,109,26236603,Mark Margolis,Ajay Naidu,heart attack|stripper|supermarket|wrestler|wrestling,http://www.imdb.com/title/tt1125849/?ref_=fn_tt_tt_1,English,R,2008,245,7.9,10000
King Vidor,32,144,20400000,Joseph Cotten,Jennifer Jones,box office hit|half breed|infidelity|shooting|texas,http://www.imdb.com/title/tt0038499/?ref_=fn_tt_tt_1,English,Unrated,1946,436,6.9,403
Christopher Guest,119,90,18621249,John Michael Higgins,Michael McKean,dog show|gay|gay character|gay couple|gay interest,http://www.imdb.com/title/tt0218839/?ref_=fn_tt_tt_1,English,PG-13,2000,925,7.5,0
John Carpenter,201,106,25244700,Donald Pleasence,Tom Atkins,1990s|police|prison|rescue|year 1997,http://www.imdb.com/title/tt0082340/?ref_=fn_tt_tt_1,English,R,1981,602,7.2,0
Spike Lee,22,121,14545844,Tisha Campbell-Martin,Bill Nunn,beauty salon|black college|college|fraternity|sorority,http://www.imdb.com/title/tt0096054/?ref_=fn_tt_tt_1,English,R,1988,282,5.8,624
Fred Savage,52,89,13235267,Lochlyn Munro,Tamala Jones,competition|estranged father|skunk|summer camp|wall,http://www.imdb.com/title/tt0462244/?ref_=fn_tt_tt_1,English,PG,2007,484,2.9,256
Sammo Kam-Bo Hung,63,86,12674183,Sammo Kam-Bo Hung,Rachel Blakely,chef|cook|drugs|gang|reporter,http://www.imdb.com/title/tt0117786/?ref_=fn_tt_tt_1,English,PG-13,1997,155,6.2,355
Christopher Guest,97,91,17508936,Michael McKean,Laura Harris,concert|mockumentary|musician|new york city|singer,http://www.imdb.com/title/tt0310281/?ref_=fn_tt_tt_1,English,PG-13,2003,378,7.3,0
Donald Petrie,34,104,12793213,Julia Roberts,Conchata Ferrell,commitment|marriage|pizza|title appears in writing|woman wearing only a man's shirt,http://www.imdb.com/title/tt0095690/?ref_=fn_tt_tt_1,English,R,1988,960,6.2,0
,10,,,Jim Broadbent,Lily James,male frontal nudity|male nudity|tv mini series,http://www.imdb.com/title/tt3910804/?ref_=fn_tt_tt_1,English,TV-14,,888,8.2,11000
Peter Howitt,88,99,11883495,Jeanne Tripplehorn,John Lynch,alternative reality|multiple outcomes|parallel time|serendipity|twist of fate,http://www.imdb.com/title/tt0120148/?ref_=fn_tt_tt_1,English,R,1998,427,6.8,0
Rusty Cundieff,25,98,11797927,Corbin Bernsen,David Alan Grier,child abuse|death|drugs|ku klux klan|police brutality,http://www.imdb.com/title/tt0114609/?ref_=fn_tt_tt_1,English,R,1995,475,6.1,985
Kevin Macdonald,252,121,17605861,David Oyelowo,Abby Mukiibi Nkaaga,1970s|assassination|doctor|scottish|ugandan,http://www.imdb.com/title/tt0455590/?ref_=fn_tt_tt_1,English,R,2006,149,7.7,0
Dominique Othenin-Girard,137,96,11642254,Donald Pleasence,Troy Evans,cat|halloween|kitten|michael myers|psychotronic,http://www.imdb.com/title/tt0097474/?ref_=fn_tt_tt_1,English,X,1989,256,5.2,926
Richard Linklater,231,99,9203192,Matthew McConaughey,Rick Dial,funeral|stockbroker|texas|vacation|widow,http://www.imdb.com/title/tt1704573/?ref_=fn_tt_tt_1,English,PG-13,2011,106,6.8,15000
Jean-Jacques Mantello,9,42,7518876,Charlotte Rampling,,3d in title|animal in title|digit in title|dolphin|manatee,http://www.imdb.com/title/tt0996382/?ref_=fn_tt_tt_1,English,,2008,0,6.5,28
Ed Harris,115,122,8596914,John Heard,Amy Madigan,1940s|artist|drinking|life magazine|painter,http://www.imdb.com/title/tt0183659/?ref_=fn_tt_tt_1,English,R,2000,394,7.0,0
Risa Bramon Garcia,67,101,6851636,Janeane Garofalo,Gaby Hoffmann,bartender|friend|new year's eve|party|punk,http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1,English,R,1999,744,5.9,0
Brian Klugman,216,102,11434867,J.K. Simmons,Olivia Wilde,american in paris|book|love|novel|writer,http://www.imdb.com/title/tt1840417/?ref_=fn_tt_tt_1,English,PG-13,2012,14000,7.1,21000
Matt Piedmont,133,84,5895238,Will Ferrell,Luis E. Carazo,absurd humor|drug lord|mexico|ranch|spaghetti western,http://www.imdb.com/title/tt1702425/?ref_=fn_tt_tt_1,Spanish,R,2012,806,5.5,9000
Raymond De Felitta,149,104,6670712,Ezra Miller,Dominik García-Lorido,anger|family reunion|father son reunion|hugging|movie making,http://www.imdb.com/title/tt1174730/?ref_=fn_tt_tt_1,English,PG-13,2009,591,7.4,0
John Michael McDonagh,261,96,5359774,Don Cheadle,Wale Ojo,boat on fire|drug smuggling|fbi|fbi agent|small town,http://www.imdb.com/title/tt1540133/?ref_=fn_tt_tt_1,English,R,2011,482,7.3,17000
Deb Hagan,42,94,4693919,Drake Bell,Haley Bennett,college|face slap|high school|loss of virginity|pierced nipple,http://www.imdb.com/title/tt0844671/?ref_=fn_tt_tt_1,English,R,2008,1000,4.6,422
Sofia Coppola,152,90,4859475,Kirsten Dunst,Scott Glenn,catholic|five sisters|isolation|school|suicide,http://www.imdb.com/title/tt0159097/?ref_=fn_tt_tt_1,English,R,1999,899,7.2,0
Mark Herman,64,97,4595000,Jim Broadbent,Brenda Blethyn,mother|recluse|shy|singer|talent,http://www.imdb.com/title/tt0147004/?ref_=fn_tt_tt_1,English,R,1998,497,7.0,915
Zach Cregger,76,90,4542775,Hugh M. Hefner,Raquel Alessi,fellatio|hugh hefner|oral sex|playboy centerfold|topless female nudity,http://www.imdb.com/title/tt1151922/?ref_=fn_tt_tt_1,English,R,2009,308,5.1,985
Zach Braff,149,106,3588432,Jim Parsons,Michael Weston,actor|dream sequence|genius recluse|jew|religion,http://www.imdb.com/title/tt2870708/?ref_=fn_tt_tt_1,English,R,2014,1000,6.7,0
Mark Tarlov,35,96,4394936,Sarah Michelle Gellar,Lawrence Gilliard Jr.,chef|female chef|love|magic|restaurant,http://www.imdb.com/title/tt0145893/?ref_=fn_tt_tt_1,English,PG-13,1999,812,5.3,901
,47,44,,Francis Capra,Enrico Colantoni,best friend|high school|private detective|sheriff|student,http://www.imdb.com/title/tt0412253/?ref_=fn_tt_tt_1,English,TV-14,,828,8.4,0
John Cameron Mitchell,108,95,3029081,John Cameron Mitchell,Andrea Martin,band|rock band|sex change|song|transsexual,http://www.imdb.com/title/tt0248845/?ref_=fn_tt_tt_1,English,R,2001,261,7.8,0
Sheldon Lettich,17,99,3273588,Antoni Corone,Todd Susman,capoeira|fight|fighting|martial arts|violence,http://www.imdb.com/title/tt0107750/?ref_=fn_tt_tt_1,English,PG-13,1993,91,6.7,0
Jon Knautz,12,93,,Rachel Alig,Alexis Kendra,female nudity|hallucination|sex scene|strip club|stripper,http://www.imdb.com/title/tt3432552/?ref_=fn_tt_tt_1,English,,2015,77,5.4,84
Billy Ray,129,99,2207975,Hayden Christensen,Cas Anvar,fabricated facts|journalist|stephen glass|the new republic|writer,http://www.imdb.com/title/tt0323944/?ref_=fn_tt_tt_1,English,PG-13,2003,3000,7.2,0
David Atkins,84,95,2025238,Chelcie Ross,Polly Noonan,dentist|drugs|murder|sex|sunflower,http://www.imdb.com/title/tt0234354/?ref_=fn_tt_tt_1,English,R,2001,230,5.8,289
Patrick Stettner,61,84,1028337,Stockard Channing,Frederick Weller,airport|businesswoman|hotel|revenge|vegetarian,http://www.imdb.com/title/tt0270259/?ref_=fn_tt_tt_1,English,R,2001,257,6.4,29
Sam Peckinpah,147,144,,William Holden,L.Q. Jones,friendship|honor|righteous rage|soldier|texas,http://www.imdb.com/title/tt0065214/?ref_=fn_tt_tt_1,English,R,1969,288,8.0,0
Jonathan Levine,147,99,2077046,Mary-Kate Olsen,Method Man,ice cream|marijuana|new york city|summer|therapy,http://www.imdb.com/title/tt1082886/?ref_=fn_tt_tt_1,English,R,2008,617,7.0,0
Michael Crichton,23,110,,Lesley-Anne Down,Pamela Salem,bank|gold|key|safe|train,http://www.imdb.com/title/tt0079240/?ref_=fn_tt_tt_1,English,PG,1979,34,7.0,643
Lynne Ramsay,75,97,267194,Samantha Morton,Paul Popplewell,breasts|cleavage|female rear nudity|girl in panties|public nudity,http://www.imdb.com/title/tt0300214/?ref_=fn_tt_tt_1,English,R,2002,104,6.7,605
Sylvio Tabet,17,107,869325,Michael Berryman,Marc Singer,beast|beastmaster|psychotronic|sword and sorcery|warrior,http://www.imdb.com/title/tt0101412/?ref_=fn_tt_tt_1,English,PG-13,1991,514,3.8,125
Rick Bieber,16,90,399611,Aidan Quinn,Sammy Nagi Njuguna,athletic training|football practice|funeral|gymnasium|man crying,http://www.imdb.com/title/tt1130964/?ref_=fn_tt_tt_1,English,PG,2010,529,5.7,0
Claude Chabrol,60,104,181798,Benoît Magimel,Mélanie Doutey,bordeaux|election|mayor|pamphlet|political thriller,http://www.imdb.com/title/tt0322289/?ref_=fn_tt_tt_1,French,R,2003,67,6.6,52
Shana Feste,63,96,115862,Jennifer Ehle,Cara Seymour,car crash|loss|self help group|teenage mother|title directed by female,http://www.imdb.com/title/tt1226232/?ref_=fn_tt_tt_1,English,R,2009,943,6.7,0
Wayne Wang,56,104,1346503,Bingbing Li,Ji-hyun Jun,car hitting pedestrian|china|fan|nineteenth century|reversal of fortune,http://www.imdb.com/title/tt1541995/?ref_=fn_tt_tt_1,English,PG-13,2011,595,6.1,0
Joey Lauren Adams,36,97,117560,Tim Blake Nelson,Ritchie Montgomery,church|drink|knocking on a door|love|three word title,http://www.imdb.com/title/tt0457308/?ref_=fn_tt_tt_1,English,R,2006,206,6.2,224
Peter Cattaneo,47,107,54606,James Nesbitt,Peter McNamara,escape|prison|prison escape|sadism|solitary confinement,http://www.imdb.com/title/tt0246134/?ref_=fn_tt_tt_1,English,PG-13,2001,766,6.2,30
