director_name,num_critic_for_reviews,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,budget,title_year
Claudia Llosa,56,97,47,Zen McGrath,144,52961,Drama,Aloft ,2103,326,William Shimell,,http://www.imdb.com/title/tt2494384/?ref_=fn_tt_tt_1,11,English,Spain,8000000,2014
Katsuhiro Ôtomo,150,124,4,Takeshi Kusao,6,439162,Action|Animation|Sci-Fi,Akira ,106160,28,Tesshô Genda,based on manga|biker gang|gifted child|post thermonuclear war|science runs amok,http://www.imdb.com/title/tt0094625/?ref_=fn_tt_tt_1,430,Japanese,Japan,1100000000,1988
John Herzfeld,30,97,1000,Olivia Wilde,23000,,Action|Crime|Thriller,The Death and Life of Bobby Z ,12078,37457,Jason Flemyng,drug lord|on the run|prison|vegan|vegetarian,http://www.imdb.com/title/tt0473188/?ref_=fn_tt_tt_1,31,English,USA,22000000,2007
Charles Binamé,20,124,23,Roy Dupuis,413,,Biography|Drama|Sport,The Rocket: The Legend of Rocket Richard ,4412,733,Julie LeBreton,fan|french canadian|hockey|hockey player|machinist,http://www.imdb.com/title/tt0460505/?ref_=fn_tt_tt_1,31,French,Canada,8000000,2005
Keith Parmer,21,96,600,Josh Henderson,31000,,Action|Crime|Drama|Thriller,Swelter ,1965,33858,Grant Bowler,police officer killed|police officer shot in the chest|police officer shot in the forehead|police officer shot in the head|police shootout,http://www.imdb.com/title/tt2112277/?ref_=fn_tt_tt_1,24,English,USA,8000000,2014
Dennie Gordon,11,114,11,Ruby Lin,163,50000,Action|Adventure|Comedy|Romance,My Lucky Star ,322,219,Jack Kao,,http://www.imdb.com/title/tt2102502/?ref_=fn_tt_tt_1,2,Chinese,China,,2013
Ol Parker,85,90,112,Ben Miles,186,671240,Comedy|Drama|Romance,Imagine Me & You ,23023,619,Darren Boyd,florist|friend|friendship|lesbian|love,http://www.imdb.com/title/tt0421994/?ref_=fn_tt_tt_1,149,English,UK,7900000,2005
Bruce Beresford,5,104,189,Lucy Fry,502,,Drama,Mr. Church ,63,1546,Natalie Coughlin,,http://www.imdb.com/title/tt4196848/?ref_=fn_tt_tt_1,5,English,USA,8000000,2016
François Ozon,160,102,15,Ludivine Sagnier,844,10105505,Crime|Drama|Mystery|Thriller,Swimming Pool ,35065,1389,Jean-Claude Lecas,luberon|mystery writer|night|publisher|swimming,http://www.imdb.com/title/tt0324133/?ref_=fn_tt_tt_1,288,English,France,,2003
James Nunn,25,93,376,Mark Wingett,1000,,Action|Drama,Green Street 3: Never Back Down ,3740,2284,Kacey Clarke,bare breasts|firm|hooliganism|training|west ham supporter,http://www.imdb.com/title/tt2628316/?ref_=fn_tt_tt_1,13,English,UK,,2013
David Webb Peoples,21,90,26,Joan Chen,848,882290,Action|Sci-Fi|Sport,The Blood of Heroes ,4792,1526,Anna Katarina,battle|blood splatter|combat|game|showdown,http://www.imdb.com/title/tt0094764/?ref_=fn_tt_tt_1,43,English,Australia,10000000,1989
Michael Winnick,15,106,391,Helena Mattsson,981,,Action,Code of Honor ,662,2741,Craig Sheffer,gun|mayor|nightclub|police|vigilantism,http://www.imdb.com/title/tt4060866/?ref_=fn_tt_tt_1,14,English,USA,8000000,2016
Bruce Beresford,61,99,325,Jessica Tandy,11000,106593296,Comedy|Drama|Family,Driving Miss Daisy ,72324,12619,Patti LuPone,1950s|african american|jewish|old age|widow,http://www.imdb.com/title/tt0097239/?ref_=fn_tt_tt_1,134,English,USA,7500000,1989
George Tillman Jr.,34,115,890,Mekhi Phifer,1000,43490057,Comedy|Drama,Soul Food ,5275,4737,Vivica A. Fox,1990s|family relationships|food in title|sister|unity,http://www.imdb.com/title/tt0120169/?ref_=fn_tt_tt_1,30,English,USA,7500000,1997
Stanley Tong,62,89,36,Anita Mui,186,32333860,Action|Comedy,Rumble in the Bronx ,29843,407,Garvin Cross,fight|gang|greed|street gang|wedding,http://www.imdb.com/title/tt0113326/?ref_=fn_tt_tt_1,81,Cantonese,Hong Kong,7500000,1995
David Oelhoffen,102,101,40,Reda Kateb,10000,,Drama|War|Western,Far from Men ,4035,10218,Ángela Molina,algerian war|based on short story|hostage|teacher|title at the end,http://www.imdb.com/title/tt2936180/?ref_=fn_tt_tt_1,19,French,France,7700000,2014
Jason Reitman,239,92,88,Cameron Bright,24000,24792061,Comedy|Drama,Thank You for Smoking ,191998,25092,Todd Louiso,cigarette smoking|lobbyist|political satire|reporter|tobacco industry,http://www.imdb.com/title/tt0427944/?ref_=fn_tt_tt_1,323,English,USA,6500000,2005
Eli Roth,252,94,658,Lauren German,1000,17544812,Horror,Hostel: Part II ,69989,4707,Stanislav Ianevski,american|hostel|slovakia|torture|train,http://www.imdb.com/title/tt0498353/?ref_=fn_tt_tt_1,384,English,USA,10000000,2007
Lone Scherfig,278,100,221,Olivia Williams,3000,12574715,Drama,An Education ,112138,4198,Ellie Kendrick,1960s|age difference|france|loss of virginity|oxford,http://www.imdb.com/title/tt1174732/?ref_=fn_tt_tt_1,237,English,UK,4500000,2009
Anand Tucker,124,106,161,Bridgette Wilson-Sampras,827,10281585,Drama|Romance,Shopgirl ,21225,1871,Clyde Kusatsu,artist|depression|gloves|photography|slacker,http://www.imdb.com/title/tt0338427/?ref_=fn_tt_tt_1,268,English,USA,,2005
Tony Richardson,9,109,518,Beau Bridges,584,5100000,Comedy|Drama|Romance,The Hotel New Hampshire ,6595,2024,Nastassja Kinski,football|hotel|teenage girl|terrorist|wien,http://www.imdb.com/title/tt0087428/?ref_=fn_tt_tt_1,61,English,UK,7500000,1984
Joe Carnahan,127,105,147,Chi McBride,673,10460089,Crime|Drama|Mystery|Thriller,Narc ,34098,1442,Alan Van Sprang,blood splatter|cover up|murder|police shootout|undercover,http://www.imdb.com/title/tt0272207/?ref_=fn_tt_tt_1,214,English,USA,7500000,2002
Paul Gross,9,102,280,Paul Gross,611,4239767,Comedy|Drama|Romance|Sport,Men with Brooms ,3709,1834,Kari Matchett,championship|coach|curling|marriage|rural setting,http://www.imdb.com/title/tt0263734/?ref_=fn_tt_tt_1,83,English,Canada,7500000,2002
Charles Robert Carner,35,97,742,Jenny McCarthy,834,4131640,Comedy|Crime,Witless Protection ,5463,4091,Richard Bull,fbi|polo|possum|sheriff|shotgun,http://www.imdb.com/title/tt1001562/?ref_=fn_tt_tt_1,20,English,USA,7500000,2008
Russell Holt,6,118,249,Brenda Strong,373,3347439,Drama|Romance,The Work and the Glory ,833,1233,Tiffany Dupont,1830s|baptism|intolerance|mormon church|sibling rivalry,http://www.imdb.com/title/tt0410454/?ref_=fn_tt_tt_1,33,English,USA,7500000,2004
Mike Judge,192,92,968,Mila Kunis,24000,10814185,Comedy|Crime|Romance,Extract ,37530,41867,Clifton Collins Jr.,freak accident|gigolo|hit in the crotch|nosy neighbor|on the job injury,http://www.imdb.com/title/tt1225822/?ref_=fn_tt_tt_1,106,English,USA,8000000,2009
Larry Charles,51,112,844,Cheech Marin,12000,533344,Comedy|Drama|Music,Masked and Anonymous ,3972,15396,Bruce Dern,concert|jail|journalist|revolution|singer,http://www.imdb.com/title/tt0319829/?ref_=fn_tt_tt_1,95,English,USA,,2003
Claude Miller,38,103,59,Edouard Baer,71,206400,Comedy|Crime|Drama|Romance|Thriller,Alias Betty ,1439,262,Roschdy Zem,child|criminal|death|depression|novelist,http://www.imdb.com/title/tt0269329/?ref_=fn_tt_tt_1,26,French,France,50000000,2001
Michael Winterbottom,133,93,158,Om Puri,631,197148,Drama|Romance|Sci-Fi|Thriller,Code 46 ,18109,1176,Natalie Mendoza,genetics|i.d.|love|sphinx|totalitarian,http://www.imdb.com/title/tt0345061/?ref_=fn_tt_tt_1,150,English,UK,7500000,2003
Sacha Bennett,4,101,447,Jenny Agutter,5000,,Comedy,Outside Bet ,243,7206,Vincent Regan,,http://www.imdb.com/title/tt1772422/?ref_=fn_tt_tt_1,3,English,UK,7500000,2012
Paul Haggis,287,115,911,Loretta Devine,3000,54557348,Crime|Drama|Thriller,Crash ,361169,5732,Jennifer Esposito,race relations|racism|racist|social problem|stereotype,http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1,1624,English,Germany,6500000,2004
Rodrigo García,222,113,373,Michael McElhatton,3000,3014541,Drama,Albert Nobbs ,19616,4370,Mark Williams,19th century|hotel|painter|waiter|woman pretending to be a man,http://www.imdb.com/title/tt1602098/?ref_=fn_tt_tt_1,98,English,UK,8000000,2011
Jeta Amata,6,95,36,Nathin Butler,262,,Action|Crime|Drama|Thriller,Black November ,385,409,Razaaq Adoti,color in title|number in title|two word title,http://www.imdb.com/title/tt2147225/?ref_=fn_tt_tt_1,4,English,Nigeria,7500000,2012
Siddharth Anand,16,153,60,Mary Goggin,532,872643,Comedy|Family|Romance,Ta Ra Rum Pum ,2909,902,Vic Aviles,comeback|family relationships|marriage|new york|racer,http://www.imdb.com/title/tt0833553/?ref_=fn_tt_tt_1,37,Hindi,USA,6000000,2007
Vincent Paronnaud,242,89,106,Gena Rowlands,963,4443403,Animation|Biography|Drama|War,Persepolis ,70194,1754,Danielle Darrieux,dream|girl|iran|islamic revolution|revolution,http://www.imdb.com/title/tt0808417/?ref_=fn_tt_tt_1,158,French,France,7300000,2007
Joe Dante,147,92,664,Teri Polo,844,,Adventure|Fantasy|Thriller,The Hole ,19157,4099,Haley Bennett,basement|family relationships|hole|no opening credits|slow motion scene,http://www.imdb.com/title/tt1085779/?ref_=fn_tt_tt_1,69,English,USA,12000000,2009
Dennis Gansel,93,107,93,Elyas M'Barek,287,,Drama|Thriller,The Wave ,80639,635,Jennifer Ulrich,autocracy|based on real events|dictatorship|germany|teacher,http://www.imdb.com/title/tt1063669/?ref_=fn_tt_tt_1,96,German,Germany,5000000,2008
Nicolas Winding Refn,253,118,500,Bella Heathcote,18000,1330827,Horror|Thriller,The Neon Demon ,9866,19879,Charles Baker,beauty|cannibalism|fashion|lesbian|model,http://www.imdb.com/title/tt1974419/?ref_=fn_tt_tt_1,73,English,France,7000000,2016
Daniel Barber,224,97,641,Jack O'Connell,788,1818681,Action|Crime|Drama|Thriller,Harry Brown ,74435,2486,Sean Harris,bayonet|death|police|self defense|widower,http://www.imdb.com/title/tt1289406/?ref_=fn_tt_tt_1,224,English,UK,7300000,2009
Sam Raimi,392,156,4000,James Franco,24000,336530303,Action|Adventure|Romance,Spider-Man 3 ,383071,46055,Kirsten Dunst,sandman|spider man|symbiote|venom|villain,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1902,English,USA,258000000,2007
Robert Marcarelli,39,100,440,William Hootkins,488,12610552,Action|Adventure|Fantasy|Sci-Fi|Thriller,The Omega Code ,4682,2428,Ayla Kell,code|evil|false accusation|megalomaniac|torah,http://www.imdb.com/title/tt0203408/?ref_=fn_tt_tt_1,206,English,USA,7500000,1999
Jason Reitman,387,96,973,Jennifer Garner,24000,143492840,Comedy|Drama|Romance,Juno ,414335,28817,Rainn Wilson,adoption|baby|friend|pregnancy|school,http://www.imdb.com/title/tt0467406/?ref_=fn_tt_tt_1,881,English,USA,7500000,2007
Ernie Barbarash,36,104,96,Aki Aleong,294,,Action|Thriller,Pound of Flesh ,4099,835,Brahim Achabbakhe,fighting|hand to hand combat|jujitsu|kickboxing|organ,http://www.imdb.com/title/tt3488328/?ref_=fn_tt_tt_1,29,English,Canada,7500000,2015
Guy Hamilton,120,120,175,Lois Maxwell,244,43800000,Action|Adventure|Thriller,Diamonds Are Forever ,74249,1105,Jill St. John,cat|diamond|ford mustang|james bond 007|yanked off bikini top,http://www.imdb.com/title/tt0066995/?ref_=fn_tt_tt_1,276,English,UK,7200000,1971
Francis Ford Coppola,208,175,3000,Marlon Brando,14000,134821952,Crime|Drama,The Godfather ,1155770,28122,Robert Duvall,crime family|mafia|organized crime|patriarch|rise to power,http://www.imdb.com/title/tt0068646/?ref_=fn_tt_tt_1,2238,English,USA,6000000,1972
Adrian Lyne,51,95,92,Cynthia Rhodes,225,94900000,Drama|Music|Romance,Flashdance ,35172,791,Lee Ving,ballet school|dance|dancer|overalls|steel worker,http://www.imdb.com/title/tt0085549/?ref_=fn_tt_tt_1,128,English,USA,4000000,1983
Marc Webb,331,95,11000,Chloë Grace Moretz,23000,32391374,Comedy|Drama|Romance,500 Days of Summer ,376600,54075,Zooey Deschanel,friend|greeting card|office|summer|true love,http://www.imdb.com/title/tt1022603/?ref_=fn_tt_tt_1,494,English,USA,7500000,2009
Jane Campion,83,121,11,Ian Mune,1000,40158000,Drama|Music|Romance,The Piano ,63931,1051,Geneviève Lemon,adultery|daughter|male rear nudity|new zealand|piano,http://www.imdb.com/title/tt0107822/?ref_=fn_tt_tt_1,241,English,New Zealand,7000000,1993
Steven Soderbergh,324,110,11000,Alex Pettyfer,17000,113709992,Comedy|Drama,Magic Mike ,108843,46646,Matthew McConaughey,bank|male nudity|male objectification|male stripper|stripper,http://www.imdb.com/title/tt1915581/?ref_=fn_tt_tt_1,281,English,USA,7000000,2012
Jonathan Liebesman,140,96,82,Emma Caulfield,1000,32131483,Horror|Mystery|Thriller,Darkness Falls ,25870,2212,Angus Sampson,boy|darkness|light|tooth|tooth fairy,http://www.imdb.com/title/tt0282209/?ref_=fn_tt_tt_1,369,English,USA,11000000,2003
Guy Hamilton,136,121,189,Geoffrey Holder,581,35400000,Action|Adventure|Thriller,Live and Let Die ,74957,1865,Clifton James,british|cards|heroin|murder|tarot card,http://www.imdb.com/title/tt0070328/?ref_=fn_tt_tt_1,251,English,UK,7000000,1973
Jay Russell,79,95,430,Frankie Muniz,1000,34099640,Drama|Family|Sport,My Dog Skip ,16651,2515,Cody Linley,1940s|dog|mississippi|puppy|veteran,http://www.imdb.com/title/tt0156812/?ref_=fn_tt_tt_1,149,English,USA,5000000,2000
Adam Brooks,160,112,61,Sakina Jaffrey,16000,31973840,Comedy|Drama|Romance,"Definitely, Maybe ",127760,16289,Paulina Gerzon,college|daughter|girl|sex|wisconsin,http://www.imdb.com/title/tt0832266/?ref_=fn_tt_tt_1,168,English,Germany,,2008
Salim Akil,52,112,826,Loretta Devine,1000,37295394,Comedy|Drama,Jumping the Broom ,7973,5959,Laz Alonso,martha's vineyard|mother|older woman younger man relationship|wedding|weekend,http://www.imdb.com/title/tt1640484/?ref_=fn_tt_tt_1,59,English,USA,6600000,2011
Baz Luhrmann,490,143,76,Elizabeth Debicki,29000,144812796,Drama|Romance,The Great Gatsby ,362933,29769,Steve Bisley,ingratitude|mansion|party|title appears in writing|tragedy,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,753,English,Australia,105000000,2013
George Clooney,351,93,566,Tate Donovan,21000,31501218,Biography|Drama|History,"Good Night, and Good Luck. ",84070,22745,Alex Borstein,cbs|expose|fear|paranoia|reporter,http://www.imdb.com/title/tt0433383/?ref_=fn_tt_tt_1,526,English,USA,7500000,2005
Bennett Miller,271,110,27,Michael J. Burg,22000,28747570,Biography|Crime|Drama,Capote ,100571,22140,Kwesi Ameyaw,book|holcomb kansas|kansas|killer|truman capote,http://www.imdb.com/title/tt0379725/?ref_=fn_tt_tt_1,416,English,Canada,7000000,2005
Robert Rodriguez,93,104,4000,Steve Buscemi,16000,25625110,Action|Crime|Thriller,Desperado ,138707,33758,Salma Hayek,crushed by a car|female frontal nudity|female nudity|female rear nudity|one against many,http://www.imdb.com/title/tt0112851/?ref_=fn_tt_tt_1,202,English,USA,7000000,1995
Michael Winterbottom,71,115,887,Sarah Polley,14000,403932,Drama|Romance|Western,The Claim ,5254,17104,Shirley Henderson,gold|gold mine|miner|railroad|surveyor,http://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1,92,English,UK,20000000,2000
,54,53,1000,Adam Goldberg,4000,,Crime|Drama|Thriller,Fargo             ,170055,19949,Oliver Platt,anthology|death|insurance salesman|minnesota|police officer,http://www.imdb.com/title/tt2802850/?ref_=fn_tt_tt_1,173,English,USA,,
Michael Anderson,112,119,440,Jenny Agutter,1000,25000000,Action|Adventure|Sci-Fi,Logan's Run ,39847,2951,Peter Ustinov,cat|computer|cult film|runner|sanctuary,http://www.imdb.com/title/tt0074812/?ref_=fn_tt_tt_1,242,English,USA,9000000,1976
Guy Hamilton,118,125,244,Hervé Villechaize,16000,21000000,Action|Adventure|Thriller,The Man with the Golden Gun ,73950,17611,Desmond Llewelyn,assassin|bikini|girl in a bikini|mission|secret agent,http://www.imdb.com/title/tt0071807/?ref_=fn_tt_tt_1,258,English,UK,13000000,1974
Craig R. Baxley,35,96,794,Vanity,1000,20257000,Action|Comedy|Crime|Thriller,Action Jackson ,7569,5282,Carl Weathers,murder|power|psychotronic|tough cop|union,http://www.imdb.com/title/tt0094612/?ref_=fn_tt_tt_1,65,English,USA,7000000,1988
Neil Marshall,342,100,159,Shauna Macdonald,513,26005908,Adventure|Horror|Thriller,The Descent ,154938,1379,Craig Conway,cave|expedition|friendship between women|group of friends|survival horror,http://www.imdb.com/title/tt0435625/?ref_=fn_tt_tt_1,1100,English,UK,3500000,2005
Don Kempf,14,46,69,Michael Jordan,13000,18642318,Documentary|Sport,Michael Jordan to the Max ,1723,13448,Bob Costas,basketball|basketball player|character name in title|chicago bulls|imax,http://www.imdb.com/title/tt0245280/?ref_=fn_tt_tt_1,13,English,USA,,2000
Matt Bettinelli-Olpin,137,89,270,Allison Miller,971,15818967,Horror|Mystery,Devil's Due ,13913,2517,Vanessa Ray,eiffel tower at night|honeymoon|implied insemination|party|taxi driver,http://www.imdb.com/title/tt2752758/?ref_=fn_tt_tt_1,120,English,USA,7000000,2014
David O. Russell,50,92,380,Mary Tyler Moore,718,14891000,Comedy,Flirting with Disaster ,15088,2240,David Patrick Kelly,adoption|armpit fetish|mistaken identity|new mexico|overalls,http://www.imdb.com/title/tt0116324/?ref_=fn_tt_tt_1,105,English,USA,7000000,1996
Rob Zombie,261,109,597,Ken Foree,1000,16901126,Crime|Horror,The Devil's Rejects ,76267,3544,Lew Temple,escape|police|road trip|sheriff|texas,http://www.imdb.com/title/tt0395584/?ref_=fn_tt_tt_1,687,English,USA,7000000,2005
,96,44,970,Alyson Hannigan,4000,,Action|Drama|Fantasy|Romance,Buffy the Vampire Slayer             ,101902,7970,Emma Caulfield,action heroine|coming of age|destiny|double life|vampire,http://www.imdb.com/title/tt0118276/?ref_=fn_tt_tt_1,665,English,USA,2300000,
Rick Famuyiwa,180,103,190,Rick Fox,637,17474107,Comedy|Crime|Drama,Dope ,56605,1342,Kiersey Clemons,african american|geek|hip hop|party|tomboy,http://www.imdb.com/title/tt3850214/?ref_=fn_tt_tt_1,89,English,USA,7000000,2015
Michael Rymer,28,95,826,Omar Epps,1000,14003141,Crime|Drama|Thriller,In Too Deep ,4598,4837,Nia Long,cunnilingus|oral sex|police|sex scene|undercover,http://www.imdb.com/title/tt0160401/?ref_=fn_tt_tt_1,29,English,USA,7000000,1999
Sam Mendes,750,143,393,Helen McCrory,883,304360277,Action|Adventure|Thriller,Skyfall ,522048,2039,Rory Kinnear,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,1498,English,UK,200000000,2012
Rob Zombie,202,105,303,Matthew McGrory,1000,12583510,Horror,House of 1000 Corpses ,60709,2444,Erin Daniels,actor playing multiple roles|axe|dark comedy|masked man|sadism,http://www.imdb.com/title/tt0251736/?ref_=fn_tt_tt_1,922,English,USA,7000000,2003
Sharron Miller,8,79,23,Elizabeth MacRae,246,,Horror,Alien Zone ,440,345,Charles Aidman,affair|child murderer|mortician|strangulation|supernatural power,http://www.imdb.com/title/tt0072626/?ref_=fn_tt_tt_1,21,English,USA,350000,1978
Ethan Coen,341,106,98,Fred Melamed,816,9190525,Comedy|Drama,A Serious Man ,102125,1120,Peter Breitmayer,bar mitzvah|jewish|marital breakup|nose job|rabbi,http://www.imdb.com/title/tt1019452/?ref_=fn_tt_tt_1,324,English,USA,7000000,2009
Aaron Schneider,160,100,970,Robert Duvall,13000,9176553,Drama|Mystery,Get Low ,19147,19330,Bill Cobbs,funeral|funeral home|hermit|party|secret,http://www.imdb.com/title/tt1194263/?ref_=fn_tt_tt_1,97,English,USA,7500000,2009
Steve Miner,31,103,304,Richard E. Grant,687,9094451,Action|Fantasy|Horror|Thriller,Warlock ,11668,1990,Lori Singer,17th century|book|death|warlock|witch hunter,http://www.imdb.com/title/tt0098622/?ref_=fn_tt_tt_1,79,English,USA,7000000,1989
Gina Prince-Bythewood,71,116,658,Nate Parker,893,14612840,Drama|Music,Beyond the Lights ,11191,3110,Darryl Stephens,domestic abuse|public humiliation|sex symbol|singer|suicide attempt,http://www.imdb.com/title/tt3125324/?ref_=fn_tt_tt_1,37,English,USA,7000000,2014
Tom Ford,281,99,292,Teddy Sears,14000,9166863,Drama|Romance,A Single Man ,83182,14816,Keri Lynn Pratt,car accident|male full back nudity|practicing a suicide|public nudity|suicide contemplation,http://www.imdb.com/title/tt1315981/?ref_=fn_tt_tt_1,247,English,USA,7000000,2009
Martin Scorsese,114,164,159,Barbara Hershey,883,8373585,Drama,The Last Temptation of Christ ,39680,1934,Roberts Blossom,carpenter|exorcism|faith|reference to jesus christ|temptation,http://www.imdb.com/title/tt0095497/?ref_=fn_tt_tt_1,308,English,USA,7000000,1988
Michael Corrente,72,96,407,George Wendt,761,7292175,Comedy|Drama|Romance,Outside Providence ,7736,2018,Shawn Hatosy,class|cornwall connecticut|dog|friend|pawtucket rhode island,http://www.imdb.com/title/tt0125971/?ref_=fn_tt_tt_1,100,English,USA,7000000,1999
