director_name,num_critic_for_reviews,director_facebook_likes,actor_2_name,genres,actor_1_name,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,language,country,budget,title_year,imdb_score,movie_facebook_likes
Steven Soderbergh,394,0,Michael Fassbender,Action|Thriller,Channing Tatum,72646,Michael Angarano,5,die hard scenario|one woman army|rescue|soldier|super soldier,http://www.imdb.com/title/tt1506999/?ref_=fn_tt_tt_1,English,Ireland,23000000,2011,5.8,0
Joseph Sargent,80,114,Mario Van Peebles,Adventure|Horror|Thriller,Judith Barsi,30840,Lynn Whitfield,0,banana boat|boat|christmas|sea|shark,http://www.imdb.com/title/tt0093300/?ref_=fn_tt_tt_1,English,USA,23000000,1987,2.8,0
Jerry Zaks,45,4,Robert De Niro,Drama,Leonardo DiCaprio,20163,Meryl Streep,2,house|leukemia|mental institution|nursing home|transplant,http://www.imdb.com/title/tt0116999/?ref_=fn_tt_tt_1,English,USA,23000000,1996,6.7,1000
Fred Durst,47,258,Dash Mihok,Biography|Comedy|Drama|Family|Sport,Tasha Smith,3174,Garrett Morris,2,absent father|american football|based on true story|middle school,http://www.imdb.com/title/tt1091751/?ref_=fn_tt_tt_1,English,USA,23000000,2008,5.1,376
Neil Jordan,90,277,Ian Hart,Drama|Romance,Stephen Rea,17740,James Bolam,0,breasts|jealousy|obsession|sex scene|spiritual,http://www.imdb.com/title/tt0172396/?ref_=fn_tt_tt_1,English,UK,23000000,1999,7.2,0
Simon Wincer,30,23,Tia Carrere,Action|Crime|Drama|Thriller|Western,Vanessa Williams,14473,Don Johnson,2,bar|biker|cowboy|drugs|marlboro,http://www.imdb.com/title/tt0102005/?ref_=fn_tt_tt_1,English,USA,23000000,1991,6.0,0
Paul Haggis,232,549,Charlize Theron,Crime|Drama|Mystery|Thriller,James Franco,60115,Barry Corbin,2,detective|iraq|military|murder investigation|police,http://www.imdb.com/title/tt0478134/?ref_=fn_tt_tt_1,English,USA,,2007,7.2,0
Anne Fontaine,165,105,Benoît Poelvoorde,Biography|Drama,Alessandro Nivola,32003,Marie Gillain,1,baron|fashion|hat|nickname|orphanage,http://www.imdb.com/title/tt1035736/?ref_=fn_tt_tt_1,French,France,19430000,2009,6.7,0
Jon Cassar,45,78,Landon Liboiron,Drama|Western,Demi Moore,4693,Michael Wincott,1,,http://www.imdb.com/title/tt2271563/?ref_=fn_tt_tt_1,English,Canada,11000000,2015,6.3,0
Stephen Frears,155,350,Iben Hjejle,Comedy|Drama|Romance,Tom Burke,8924,Gaye Brown,1,age difference|courtesan|mansion|marriage|prostitute,http://www.imdb.com/title/tt1179258/?ref_=fn_tt_tt_1,English,UK,23000000,2009,6.2,0
,6,,Sarah Carter,Action|Crime|Drama|Thriller,Cole Hauser,1781,Derek Luke,0,cheating wife|extramarital affair|female lead|undercover|unfaithfulness,http://www.imdb.com/title/tt2397255/?ref_=fn_tt_tt_1,English,USA,,,6.8,532
Mira Nair,118,300,Roger Lloyd Pack,Drama,Romola Garai,17373,Lillete Dubey,2,aristocrat|english|painter|painting|singer,http://www.imdb.com/title/tt0241025/?ref_=fn_tt_tt_1,English,USA,23000000,2004,6.2,767
Teddy Chan,55,3,Simon Yam,Action|Drama|History,Bingbing Fan,6263,Nicholas Tse,0,giant|hong kong|hook and chain|knife fight|martial artist,http://www.imdb.com/title/tt1403130/?ref_=fn_tt_tt_1,Mandarin,China,23000000,2009,6.9,765
Mikael Håfström,314,101,Kim Thomson,Fantasy|Horror,Drew Powell,209396,Alexandra Silber,0,book|debunking|evil|hotel|paranormal phenomena,http://www.imdb.com/title/tt0450385/?ref_=fn_tt_tt_1,English,USA,25000000,2007,6.8,11000
Mel Brooks,103,0,Dick Van Patten,Adventure|Comedy|Sci-Fi,Joan Rivers,136667,Michael Winslow,2,parody|planet enclosed within shield|sci fi spoof|self referential|winnebago,http://www.imdb.com/title/tt0094012/?ref_=fn_tt_tt_1,English,USA,22700000,1987,7.1,13000
Russell Crowe,183,0,Ryan Corr,Drama|War,Cem Yilmaz,53341,Steve Bastoni,0,australian|battle|battle of gallipoli|gallipoli|world war one,http://www.imdb.com/title/tt3007512/?ref_=fn_tt_tt_1,English,Australia,22500000,2014,7.1,18000
Jerry Zucker,77,109,Tony Goldwyn,Drama|Fantasy|Romance|Thriller,Demi Moore,154199,Phil Leeds,0,death|film blanc|invisibility|love|unrequited love,http://www.imdb.com/title/tt0099653/?ref_=fn_tt_tt_1,English,USA,22000000,1990,7.0,0
Bobby Farrelly,171,101,Lin Shaye,Comedy|Romance,Sarah Silverman,247289,Richard Tyson,1,accident|curtain call|dream girl|high school|prom,http://www.imdb.com/title/tt0129387/?ref_=fn_tt_tt_1,English,USA,23000000,1998,7.1,0
John Pasquin,64,11,Eric Lloyd,Comedy|Drama|Family|Fantasy,Judge Reinhold,64742,Peter Boyle,0,1990s|christmas|christmas eve|sleigh|surrealism,http://www.imdb.com/title/tt0111070/?ref_=fn_tt_tt_1,English,USA,22000000,1994,6.4,0
John Lee Hancock,92,102,Jay Hernandez,Drama|Family|Sport,Dennis Quaid,26434,Angus T. Jones,0,baseball|coach|high school|pitching|texas,http://www.imdb.com/title/tt0265662/?ref_=fn_tt_tt_1,English,USA,20000000,2002,7.0,0
Andy Fickman,112,99,Kyra Sedgwick,Comedy|Family|Sport,Dwayne Johnson,44021,Madison Pettis,0,family relationships|football movie|publicist|sports team|tween girl,http://www.imdb.com/title/tt0492956/?ref_=fn_tt_tt_1,English,USA,22000000,2007,6.2,0
Clint Eastwood,69,16000,Meryl Streep,Drama|Romance,Clint Eastwood,54631,Debra Monk,0,1960s|bridge|housewife|love|photographer,http://www.imdb.com/title/tt0112579/?ref_=fn_tt_tt_1,English,USA,35000000,1995,7.5,0
Luke Greenfield,75,42,Michael Papajohn,Comedy|Sci-Fi,Louis Lombardi,47383,Colleen Haskell,1,camera focus on a female butt|cartoon on tv|forest|hairy buttocks|seal the animal,http://www.imdb.com/title/tt0255798/?ref_=fn_tt_tt_1,English,USA,22000000,2001,4.8,1000
Richard Attenborough,95,0,Amrish Puri,Biography|Drama|History,Candice Bergen,171726,John Gielgud,0,british|india|indian|muslim|pakistan,http://www.imdb.com/title/tt0083987/?ref_=fn_tt_tt_1,English,UK,22000000,1982,8.1,12000
Lasse Hallström,180,529,Charlotte Le Bon,Comedy|Drama,Manish Dayal,52894,Juhi Chawla,3,chef|haute cuisine|indian cuisine|michelin guide|restaurant,http://www.imdb.com/title/tt2980648/?ref_=fn_tt_tt_1,English,USA,22000000,2014,7.3,55000
Irwin Winkler,53,34,Jeremy Northam,Action|Crime|Drama|Mystery|Thriller,Ken Howard,48909,Ray McKinnon,0,chat room|computer|computer hacker|identity|identity theft,http://www.imdb.com/title/tt0113957/?ref_=fn_tt_tt_1,English,USA,22000000,1995,5.8,0
Jessie Nelson,129,24,Loretta Devine,Drama,Dianne Wiest,121937,Richard Schiff,0,child custody|custody battle|disability|mentally impaired man|single father,http://www.imdb.com/title/tt0277027/?ref_=fn_tt_tt_1,English,USA,22000000,2001,7.6,15000
Christopher Spencer,61,25,Amber Rose Revah,Biography|Drama|History,Roma Downey,15448,Darwin Shaw,1,bare chested male bondage|crucifixion|loincloth|reference to god|resurrection,http://www.imdb.com/title/tt3210686/?ref_=fn_tt_tt_1,English,USA,22000000,2014,5.6,15000
Len Wiseman,226,235,Kevin Grevioux,Action|Fantasy|Thriller,Sophia Myles,208092,Shane Brolly,0,blood|death|hybrid|vampire|werewolf,http://www.imdb.com/title/tt0320691/?ref_=fn_tt_tt_1,English,UK,22000000,2003,7.0,0
Mikael Håfström,116,101,RZA,Drama|Thriller,Denis O'Hare,62584,Xzibit,2,drink|hotel|police|staged rape|thief,http://www.imdb.com/title/tt0398017/?ref_=fn_tt_tt_1,English,USA,22000000,2005,6.6,0
Steven Soderbergh,248,0,Joel McHale,Comedy|Crime|Drama|Thriller,Matt Damon,52888,Thomas F. Wilson,1,compulsive liar|fbi|informant|investigation|spy,http://www.imdb.com/title/tt1130080/?ref_=fn_tt_tt_1,English,USA,21000000,2009,6.5,0
Richard Attenborough,23,0,James Frain,Biography|Drama|Romance,Anthony Hopkins,13455,Julian Fellowes,0,author|book|england|friend|oxford,http://www.imdb.com/title/tt0108101/?ref_=fn_tt_tt_1,English,UK,22000000,1993,7.4,2000
Mike Bigelow,98,2,Eddie Griffin,Comedy,Carlos Ponce,41239,Charles Keating,0,dolphin|gigolo|pimp|serial killer|villain arrested,http://www.imdb.com/title/tt0367652/?ref_=fn_tt_tt_1,English,USA,22000000,2005,4.6,887
Ken Scott,168,31,Bobby Moynihan,Comedy|Drama,Jack Reynor,59805,Matthew Daddario,10,children|identity|lawsuit|lawyer|sperm donor,http://www.imdb.com/title/tt2387559/?ref_=fn_tt_tt_1,English,USA,26000000,2013,6.4,0
Paul McGuigan,159,118,Spencer Wilding,Drama|Horror|Sci-Fi|Thriller,Daniel Radcliffe,28621,Daniel Mays,2,assistant|experiment|frankenstein|medical student|scientist,http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1,English,USA,40000000,2015,6.0,11000
Susanna White,134,24,Pawel Szajda,Thriller,Radivoje Bukvic,2587,Grigoriy Dobrygin,2,based on novel|male frontal nudity|male nudity|male rear nudity,http://www.imdb.com/title/tt1995390/?ref_=fn_tt_tt_1,English,UK,,2016,6.4,0
Dennis Dugan,97,221,Neil Diamond,Comedy|Crime|Romance,Amanda Detmer,33287,Kyle Gass,1,female nudity|friend|kidnapping|love|nun,http://www.imdb.com/title/tt0239948/?ref_=fn_tt_tt_1,English,USA,22000000,2001,5.9,739
David Bowers,88,42,Rachael Harris,Comedy|Family,Zachary Gordon,15665,Karan Brar,2,best friend|camping|country club|no opening credits|summer vacation,http://www.imdb.com/title/tt2023453/?ref_=fn_tt_tt_1,English,USA,22000000,2012,6.4,0
Spike Lee,85,0,Jennifer Esposito,Crime|Drama|Romance|Thriller,Mira Sorvino,31227,Mike Starr,0,distrust|fear|murder|neighborhood|new york city,http://www.imdb.com/title/tt0162677/?ref_=fn_tt_tt_1,English,USA,22000000,1999,6.6,0
Kevin Smith,181,0,Shannon Elizabeth,Comedy,Will Ferrell,128593,Jason Mewes,5,internet|jay and silent bob|new jersey|orangutan|police,http://www.imdb.com/title/tt0261392/?ref_=fn_tt_tt_1,English,USA,22000000,2001,6.9,0
Michael Bay,257,0,Steve Buscemi,Action|Adventure|Romance|Sci-Fi|Thriller,Scarlett Johansson,263336,Djimon Hounsou,1,clone|environment|escape|island|lottery,http://www.imdb.com/title/tt0399201/?ref_=fn_tt_tt_1,English,USA,126000000,2005,6.9,0
Daniel Sackheim,95,12,Bruce Dern,Crime|Drama|Mystery|Thriller,Chris Noth,25462,Trevor Morgan,1,car|car accident|death|friend|glass,http://www.imdb.com/title/tt0221218/?ref_=fn_tt_tt_1,English,USA,30000000,2001,5.8,804
Ethan Coen,423,1000,Channing Tatum,Comedy|Mystery,Scarlett Johansson,60926,Alden Ehrenreich,5,50s|film within a film|hollywood|illegitimate pregnancy|twins,http://www.imdb.com/title/tt0475290/?ref_=fn_tt_tt_1,English,UK,22000000,2016,6.4,23000
Harry Elfont,93,4,Paulo Costanzo,Comedy|Music,Rosario Dawson,18900,Aries Spears,0,based on tv series|fictional band|girl band|music industry|pop band,http://www.imdb.com/title/tt0236348/?ref_=fn_tt_tt_1,English,Canada,22000000,2001,5.3,0
Gary Fleder,203,39,James Franco,Action|Crime|Drama|Thriller,Jason Statham,82804,Frank Grillo,1,biker|biker gang|dea|dea agent|fight,http://www.imdb.com/title/tt2312718/?ref_=fn_tt_tt_1,English,USA,22000000,2013,6.5,15000
Uli Edel,38,34,Jim Carter,Adventure|Comedy|Family|Fantasy,Richard E. Grant,7242,Alice Krige,1,boy|pushed off a cliff|rat|secret passage|vampire,http://www.imdb.com/title/tt0192255/?ref_=fn_tt_tt_1,English,Germany,22000000,2000,5.7,0
David O. Russell,183,737,Lily Tomlin,Comedy,Naomi Watts,56813,Isabelle Huppert,11,coincidence|cult film|overalls|suburb|vomiting,http://www.imdb.com/title/tt0356721/?ref_=fn_tt_tt_1,English,USA,22000000,2004,6.7,0
Fred Dekker,75,87,Rip Torn,Action|Crime|Sci-Fi|Thriller,CCH Pounder,35018,Mako,0,android|corporation|ninja|police|robocop,http://www.imdb.com/title/tt0107978/?ref_=fn_tt_tt_1,English,USA,23500000,1993,3.9,716
Brian Trenchard-Smith,18,53,Udo Kier,Action|Adventure|Fantasy|Sci-Fi|Thriller,Michael Biehn,2253,Franco Nero,0,armageddon|battle|end times|reference to satan|sequel,http://www.imdb.com/title/tt0263728/?ref_=fn_tt_tt_1,English,USA,22000000,2001,4.1,158
Blake Edwards,22,688,Vernon Dobtcheff,Comedy|Drama|Musical|Romance|War,Rock Hudson,1547,Jeremy Kemp,2,crepe suzette|french|mata hari spoof|song|spy,http://www.imdb.com/title/tt0065611/?ref_=fn_tt_tt_1,English,USA,25000000,1970,6.2,104
Hugh Wilson,41,37,Alex Rocco,Comedy|Family|Romance,Brendan Fraser,8176,Eric Idle,0,gold|gold rush|mirror|police officer|singer,http://www.imdb.com/title/tt0160236/?ref_=fn_tt_tt_1,English,USA,22000000,1999,3.8,272
Camille Delamarre,148,11,Noémie Lenoir,Action|Crime|Thriller,Ed Skrein,26767,Radivoje Bukvic,0,airfield|car|car stunt|driver|private jet,http://www.imdb.com/title/tt2938956/?ref_=fn_tt_tt_1,English,France,25000000,2015,5.1,0
Laurence Dunmore,111,2,Jack Davenport,Drama|Romance,Johnny Depp,31433,Richard Coyle,1,ambassador|charles ii|earl|mistress|poet,http://www.imdb.com/title/tt0375920/?ref_=fn_tt_tt_1,English,UK,,2004,6.4,0
Paul Verhoeven,231,719,Sebastian Koch,Drama|Thriller|War,Michiel Huisman,59507,Christian Berkel,1,boat|escape|hiding|nazi|resistance,http://www.imdb.com/title/tt0389557/?ref_=fn_tt_tt_1,Dutch,Netherlands,21000000,2006,7.8,0
Christian Carion,115,13,Dany Boon,Drama|History|Music|Romance|War,Gary Lewis,21394,Ian Richardson,0,christmas|no man's land|soldier|trench|world war one,http://www.imdb.com/title/tt0424205/?ref_=fn_tt_tt_1,French,France,22000000,2005,7.8,11000
David Palmer,176,21,Tom Arnold,Action|Comedy|Romance,Bradley Cooper,29322,Beau Bridges,5,gay cop|getaway driver|masturbation|penis|witness protection,http://www.imdb.com/title/tt2097307/?ref_=fn_tt_tt_1,English,USA,2000000,2012,6.1,0
Callie Khouri,98,144,Ted Danson,Comedy|Crime|Thriller,Stephen Root,16831,Roger Cross,3,bank|federal reserve bank|money|security guard|shredder,http://www.imdb.com/title/tt0951216/?ref_=fn_tt_tt_1,English,USA,22000000,2008,5.8,687
Rowan Joffe,149,17,Ben Crompton,Drama|Mystery|Thriller,Colin Firth,48873,Anne-Marie Duff,1,amnesia|female nudity|infidelity|nudity|therapist,http://www.imdb.com/title/tt1726592/?ref_=fn_tt_tt_1,English,UK,22000000,2014,6.3,11000
William Friedkin,84,607,Joe Spinell,Adventure|Drama|Thriller,Roy Scheider,9513,Amidou,0,fire|jungle|money|oil drilling|truck,http://www.imdb.com/title/tt0076740/?ref_=fn_tt_tt_1,English,USA,12000000,1977,7.7,0
John Curran,138,43,Milla Jovovich,Drama|Thriller,Robert De Niro,34985,Frances Conroy,1,arsonist|blood splatter on face|deception|parole|parole officer,http://www.imdb.com/title/tt1423995/?ref_=fn_tt_tt_1,English,USA,22000000,2010,5.4,0
Laurent Tirard,78,2,Ludivine Sagnier,Comedy|History,Romain Duris,5166,Fabrice Luchini,1,deathbed|play|playwright|prison|theater,http://www.imdb.com/title/tt0796335/?ref_=fn_tt_tt_1,French,France,16000000,2007,7.3,815
Scott Cooper,288,108,Sam Shepard,Crime|Drama|Thriller,Christian Bale,83171,Dendrie Taylor,0,ambiguous ending|brother brother relationship|drug dealer|fight club|revenge,http://www.imdb.com/title/tt1206543/?ref_=fn_tt_tt_1,English,USA,22000000,2013,6.8,17000
Tony Gilroy,299,209,Denis O'Hare,Crime|Drama|Mystery|Thriller,Tom Wilkinson,133367,Sydney Pollack,0,attorney|debt|fixer|law|law firm,http://www.imdb.com/title/tt0465538/?ref_=fn_tt_tt_1,English,USA,25000000,2007,7.3,0
Peter Segal,27,88,Bradley Whitford,Adventure|Comedy,Wilford Brimley,12278,Sela Ward,3,gay pride|highway travel|president|road movie|u.s. president,http://www.imdb.com/title/tt0117119/?ref_=fn_tt_tt_1,English,USA,21500000,1996,6.5,758
Mark Pellington,155,89,Spencer Treat Clark,Crime|Drama|Thriller,Jeff Bridges,69980,Hope Davis,1,death|fbi|fbi agent|neighbor|professor,http://www.imdb.com/title/tt0137363/?ref_=fn_tt_tt_1,English,USA,21500000,1999,7.2,0
Juan José Campanella,82,195,Diego Ramos,Adventure|Animation|Family|Sport,Pablo Rago,6920,Gabriel Almirón,4,funfair|luna park|table football|toy comes to life|wig,http://www.imdb.com/title/tt1634003/?ref_=fn_tt_tt_1,Spanish,Spain,22000000,2013,6.7,0
Woody Allen,275,11000,Judy Davis,Comedy|Romance,Ornella Muti,67893,Alessandra Mastronardi,0,architect|celebrity|prostitute|shower|tourist,http://www.imdb.com/title/tt1859650/?ref_=fn_tt_tt_1,English,USA,17000000,2012,6.3,18000
Clint Eastwood,43,16000,Warren Clarke,Action|Adventure|Thriller,Clint Eastwood,19832,Kenneth Colley,1,fighter plane|jet fighter|refueling|russia|soviet union,http://www.imdb.com/title/tt0083943/?ref_=fn_tt_tt_1,English,USA,21000000,1982,5.9,0
Trey Parker,163,406,Eric Idle,Animation|Comedy|Fantasy|Musical,Minnie Driver,162037,Trey Parker,1,boy|canada|hell|misunderstanding|refrence to liza minnelli,http://www.imdb.com/title/tt0158983/?ref_=fn_tt_tt_1,English,USA,21000000,1999,7.8,0
Frank Oz,168,0,Ewen Bremner,Comedy,Peter Dinklage,89547,Kris Marshall,0,end credits roll call|four word title|funeral|secret|uncle,http://www.imdb.com/title/tt0795368/?ref_=fn_tt_tt_1,English,USA,9000000,2007,7.4,0
Stuart Gillard,60,8,John Aylward,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Paige Turco,25086,Matt Hill,0,battle|japan|magic|samurai|turtle,http://www.imdb.com/title/tt0108308/?ref_=fn_tt_tt_1,English,USA,17000000,1993,4.8,1000
Brian Robbins,85,48,D.B. Sweeney,Drama|Sport,Keanu Reeves,22649,DeWayne Warren,3,coach|gambling|housing project|little league|little league baseball,http://www.imdb.com/title/tt0180734/?ref_=fn_tt_tt_1,English,USA,21000000,2001,6.3,0
David O. Russell,539,737,Robert De Niro,Comedy|Drama|Romance,Jennifer Lawrence,533607,Bradley Cooper,0,adulterous wife|bipolar disorder|obsessive compulsive personality disorder|unhappy marriage|widow,http://www.imdb.com/title/tt1045658/?ref_=fn_tt_tt_1,English,USA,21000000,2012,7.8,117000
Richard LaGravenese,84,98,Scott Glenn,Biography|Crime|Drama,Hunter Parrish,52533,Imelda Staunton,1,gang violence|high school|journal|marriage|teacher,http://www.imdb.com/title/tt0463998/?ref_=fn_tt_tt_1,English,Germany,21000000,2007,7.5,10000
Tyler Perry,75,0,Loretta Devine,Drama,Omari Hardwick,6067,Kimberly Elise,0,african american protagonist|female protagonist|multi protagonist|poem|three word title,http://www.imdb.com/title/tt1405500/?ref_=fn_tt_tt_1,English,USA,,2010,6.0,0
Louis Leterrier,171,255,Qi Shu,Action|Crime|Thriller,Jason Statham,237248,Matt Schulze,0,bar|gunfight|human trafficking|mixed martial arts|tire iron,http://www.imdb.com/title/tt0293662/?ref_=fn_tt_tt_1,English,France,21000000,2002,6.8,0
Jeff Wadlow,140,65,Neil Brown Jr.,Action|Drama|Sport,Djimon Hounsou,80556,Leslie Hope,1,club|fight|fighting|high school|mixed martial arts,http://www.imdb.com/title/tt1023111/?ref_=fn_tt_tt_1,English,USA,20000000,2008,6.6,0
Katt Shea,85,52,Rachel Blanchard,Horror|Sci-Fi|Thriller,Jason London,13065,Eddie Kaye Thomas,1,high school|party|prom|suicide|teenage girl,http://www.imdb.com/title/tt0144814/?ref_=fn_tt_tt_1,English,USA,21000000,1999,4.6,897
,5,,,Game-Show|Reality-TV|Romance,Chris Harrison,4398,,0,bachelor|seeking love|single guy|tv host|women rivals for man,http://www.imdb.com/title/tt0313038/?ref_=fn_tt_tt_1,English,USA,3000000,,2.9,141
Sam Mendes,217,0,Jim Gaffigan,Comedy|Drama|Romance,Catherine O'Hara,45992,Carmen Ejogo,2,baby|children|friend|love|road trip,http://www.imdb.com/title/tt1176740/?ref_=fn_tt_tt_1,English,USA,17000000,2009,7.1,7000
Joshua Michael Stern,131,0,Judge Reinhold,Comedy|Drama,Madeline Carroll,15079,Nathan Lane,1,ballot|election|new mexico|vote|voting,http://www.imdb.com/title/tt1027862/?ref_=fn_tt_tt_1,English,USA,21000000,2008,6.1,1000
Brad Silberling,111,52,Holly Hunter,Drama|Romance,Jake Gyllenhaal,11983,Bob Clendenin,3,1970s|death|district attorney|fiancee|watching television,http://www.imdb.com/title/tt0179098/?ref_=fn_tt_tt_1,English,USA,21000000,2002,6.7,365
Tomas Alfredson,466,140,Colin Firth,Drama|Mystery|Thriller,Benedict Cumberbatch,149066,Gary Oldman,1,cold war|hungary|mole|spy|woman on top,http://www.imdb.com/title/tt1340800/?ref_=fn_tt_tt_1,English,France,20000000,2011,7.1,24000
John Duigan,16,18,Jill Hennessy,Comedy|Drama|Romance,Elaine Hendrix,2295,Sarah Wynter,1,autism|experimental surgery|female nudity|forename as title|regression,http://www.imdb.com/title/tt0143746/?ref_=fn_tt_tt_1,English,USA,21000000,1999,5.8,284
Jodie Foster,276,0,Cherry Jones,Drama,Jennifer Lawrence,39764,Riley Thomas Stewart,0,beaver puppet|depression|dysfunctional family|puppet|speech,http://www.imdb.com/title/tt1321860/?ref_=fn_tt_tt_1,English,USA,21000000,2011,6.7,17000
Colin Higgins,11,19,Barry Corbin,Comedy|Musical,Dolly Parton,7748,Dom DeLuise,2,chicken|governor|locker room|sheriff|texas,http://www.imdb.com/title/tt0083642/?ref_=fn_tt_tt_1,English,USA,35000000,1982,5.8,0
David Cronenberg,196,0,Sarah Polley,Horror|Sci-Fi|Thriller,Jennifer Jason Leigh,77493,Callum Rennie,0,assassin|game|game designer|pod|virtual reality,http://www.imdb.com/title/tt0120907/?ref_=fn_tt_tt_1,English,Canada,31000000,1999,6.8,6000
Steven Spielberg,234,14000,Karen Allen,Action|Adventure,Harrison Ford,661017,William Hootkins,1,archeological dig|archeologist|ark of the covenant|egypt|nazi,http://www.imdb.com/title/tt0082971/?ref_=fn_tt_tt_1,English,USA,18000000,1981,8.5,16000
Chris Columbus,37,0,Kieran Culkin,Adventure|Comedy|Family,Macaulay Culkin,200077,Devin Ratray,2,airport|christmas|florida|new york city|toy store,http://www.imdb.com/title/tt0104431/?ref_=fn_tt_tt_1,English,USA,18000000,1992,6.6,0
Steven Spielberg,171,14000,Teri Garr,Drama|Sci-Fi,Bob Balaban,139288,Melinda Dillon,0,alien|close encounter of the third kind|mothership|ufo|vision,http://www.imdb.com/title/tt0075860/?ref_=fn_tt_tt_1,English,USA,19400870,1977,7.7,0
Jim Sonzero,148,2,Christina Milian,Drama|Horror|Sci-Fi|Thriller,Ian Somerhalder,24969,Rick Gonzalez,0,cell phone|computer|computer hacker|e mail|technology,http://www.imdb.com/title/tt0454919/?ref_=fn_tt_tt_1,English,USA,20000000,2006,4.7,0
Tony Scott,50,12000,Judge Reinhold,Action|Comedy|Crime|Thriller,Dean Stockwell,84824,Ronny Cox,1,detective|police|police chief|robbery|tall woman,http://www.imdb.com/title/tt0092644/?ref_=fn_tt_tt_1,English,USA,28000000,1987,6.4,0
Adam Shankman,121,163,Kimberly J. Brown,Comedy,Angus T. Jones,30058,Steve Harris,2,divorce|lawyer|spanking|villain arrested|wrongful conviction,http://www.imdb.com/title/tt0305669/?ref_=fn_tt_tt_1,English,USA,33000000,2003,5.5,800
Jonathan Demme,185,438,Scott Glenn,Crime|Drama|Horror|Thriller,Anthony Hopkins,887467,Anthony Heald,0,case file|fbi agent|psycho thriller|psychopath|serial killer,http://www.imdb.com/title/tt0102926/?ref_=fn_tt_tt_1,English,USA,19000000,1991,8.6,40000
Penelope Spheeris,61,122,Lara Flynn Boyle,Comedy|Music,Tia Carrere,114610,Kurt Fuller,2,basement|lead actor's first film|long hair|public access|title directed by female,http://www.imdb.com/title/tt0105793/?ref_=fn_tt_tt_1,English,USA,20000000,1992,7.0,0
Jeff Tremaine,156,79,Steve-O,Action|Comedy|Documentary,Bam Margera,47794,Chris Pontius,1,full frontal male nudity|man wearing a jock strap|man wearing a thong|rear male nudity|stripped prison uniform,http://www.imdb.com/title/tt1116184/?ref_=fn_tt_tt_1,English,USA,20000000,2010,7.1,0
Jeannot Szwarc,75,82,Murray Hamilton,Adventure|Horror|Thriller,Roy Scheider,51314,Joseph Mascolo,0,great white shark|island|mayor|police chief|shark,http://www.imdb.com/title/tt0077766/?ref_=fn_tt_tt_1,English,USA,20000000,1978,5.7,0
Raja Gosnell,100,67,Nick Zano,Adventure|Comedy|Drama|Family|Romance,Jamie Lee Curtis,17829,Ali Hillis,1,chihuahua|german shepherd|mexico|potted plant|tijuana mexico,http://www.imdb.com/title/tt1014775/?ref_=fn_tt_tt_1,English,USA,20000000,2008,3.7,0
James Wan,511,0,Lili Taylor,Horror|Mystery|Thriller,Mackenzie Foy,300110,Hayley McFarland,0,based on true story|farmhouse|paranormal investigator|rhode island|supernatural power,http://www.imdb.com/title/tt1457767/?ref_=fn_tt_tt_1,English,USA,20000000,2013,7.5,131000
Brian Levant,75,32,Tracy Morgan,Adventure|Comedy|Family|Romance,Nia Long,22679,Jay Mohr,2,car fire|children|cockroach|independent film|new year,http://www.imdb.com/title/tt0368578/?ref_=fn_tt_tt_1,English,USA,32000000,2005,4.6,773
Ben Falcone,148,265,Mark Duplass,Comedy,Gary Cole,35965,Ben Falcone,0,alcoholic|grandmother|highway travel|niagara falls|on the road,http://www.imdb.com/title/tt2103254/?ref_=fn_tt_tt_1,English,USA,20000000,2014,4.9,11000
D.J. Caruso,253,154,Aaron Yoo,Drama|Mystery|Thriller,Sarah Roemer,186984,Jose Pablo Cantillo,0,binoculars|electronic tag|house arrest|neighbor|watching someone,http://www.imdb.com/title/tt0486822/?ref_=fn_tt_tt_1,English,USA,20000000,2007,6.9,0
Richard Linklater,204,0,Sarah Silverman,Comedy|Music,Miranda Cosgrove,210680,Mike White,1,battle of the bands|rock band|school teacher|substitute teacher|teacher,http://www.imdb.com/title/tt0332379/?ref_=fn_tt_tt_1,English,USA,35000000,2003,7.1,0
Paul W.S. Anderson,72,545,Cary-Hiroyuki Tagawa,Action|Adventure|Fantasy|Sci-Fi|Thriller,Christopher Lambert,81783,Bridgette Wilson-Sampras,0,based on video game|island|mortal kombat|tournament|warrior,http://www.imdb.com/title/tt0113855/?ref_=fn_tt_tt_1,English,USA,18000000,1995,5.8,0
Paul McGuigan,98,118,Christopher Cousins,Drama|Mystery|Romance|Thriller,Jessica Paré,44979,Mark Camacho,0,flashback|flashback within a flashback|multiple perspectives|obsession|split screen,http://www.imdb.com/title/tt0324554/?ref_=fn_tt_tt_1,English,USA,30000000,2004,7.0,0
Keenen Ivory Wayans,62,322,Jaime King,Comedy|Crime,Busy Philipps,98794,Brittany Daniel,4,african american|crossdresser|fbi|undercover|vomiting,http://www.imdb.com/title/tt0381707/?ref_=fn_tt_tt_1,English,USA,37000000,2004,5.4,0
Alexander Payne,549,729,Nick Krause,Comedy|Drama,Shailene Woodley,205284,Beau Bridges,0,boating accident|daughters|father daughter relationship|hospital|marriage,http://www.imdb.com/title/tt1033575/?ref_=fn_tt_tt_1,English,USA,20000000,2011,7.3,22000
