director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,content_rating,budget,imdb_score,aspect_ratio,movie_facebook_likes
Woody Allen,275,11000,252,Kevin Dunn,23213577,Vicky Cristina Barcelona ,198111,19894,0,art|artist|painter|sex|summer,http://www.imdb.com/title/tt0497465/?ref_=fn_tt_tt_1,PG-13,15500000,7.2,1.85,14000
Peter Flinth,34,5,292,Michael Nyqvist,,Arn: The Knight Templar ,18041,2762,1,first part|holy land|knight templar|monastery|sword and shield,http://www.imdb.com/title/tt0837106/?ref_=fn_tt_tt_1,,25000000,6.6,2.35,0
Jon Lucas,81,24,851,Jay Hernandez,55461307,Bad Moms ,4654,18786,9,lesbian kiss|mom|pta|reference to mad max|scene during end credits,http://www.imdb.com/title/tt4651520/?ref_=fn_tt_tt_1,R,20000000,6.7,,18000
Robert Iscove,67,7,95,Amanda Detmer,20627372,Boys and Girls ,13661,3451,3,best friend|break up|friendship|graduation|male in underwear,http://www.imdb.com/title/tt0204175/?ref_=fn_tt_tt_1,PG-13,16000000,5.3,1.85,487
Peter Kosminsky,103,7,450,Cole Hauser,16346122,White Oleander ,25549,2572,0,california|foster home|love|oleander|prison,http://www.imdb.com/title/tt0283139/?ref_=fn_tt_tt_1,PG-13,16000000,7.2,1.85,0
Karyn Kusama,300,45,271,Amy Sedaris,16204793,Jennifer's Body ,92712,24805,1,cannibalism|cheerleader|condom|hook for hand|satanic ritual,http://www.imdb.com/title/tt1131734/?ref_=fn_tt_tt_1,R,16000000,5.1,1.85,6000
Nick Gomez,84,22,324,Jamie Lee Curtis,15427192,Drowning Mona ,11768,11078,0,crying woman|plot|suspect|waitress|younger man older woman relationship,http://www.imdb.com/title/tt0186045/?ref_=fn_tt_tt_1,PG-13,16000000,5.6,1.85,492
Woody Allen,64,11000,233,Don Pardo,14792779,Radio Days ,24256,1653,0,beach|cigarette girl|radio|woman holding a baby|working class,http://www.imdb.com/title/tt0093818/?ref_=fn_tt_tt_1,PG,16000000,7.6,1.85,0
Vic Armstrong,169,179,734,Lea Thompson,13998282,Left Behind ,24854,15044,1,bible quote|chaos|faith|riot|shrine,http://www.imdb.com/title/tt2467046/?ref_=fn_tt_tt_1,PG-13,16000000,3.1,2.35,31000
Allen Coulter,158,47,238,Lena Olin,19057024,Remember Me ,113963,22088,0,binge drinking|new york|new york city|september 11 2001|suicide,http://www.imdb.com/title/tt1403981/?ref_=fn_tt_tt_1,PG-13,16000000,7.2,1.85,24000
Clare Kilner,46,6,258,Alexandra Holden,14108518,How to Deal ,8215,1882,1,best friend|high school|mother|sister|wedding,http://www.imdb.com/title/tt0319524/?ref_=fn_tt_tt_1,PG-13,16000000,5.7,1.85,371
Richard Benjamin,15,121,384,Alyson Hannigan,13854000,My Stepmother Is an Alien ,21079,14677,0,alien|earth|female alien|mission|secret,http://www.imdb.com/title/tt0095687/?ref_=fn_tt_tt_1,PG-13,20000000,5.2,1.85,818
Jonathan Demme,68,438,372,Tom Hanks,77324422,Philadelphia ,178731,33865,2,aids|city name in title|gay|homophobia|lawyer,http://www.imdb.com/title/tt0107818/?ref_=fn_tt_tt_1,PG-13,26000000,7.7,1.85,0
Josef Rusnak,111,9,363,Craig Bierko,15500000,The Thirteenth Floor ,51996,2389,0,amnesia|barricade|letter|time|virtual reality,http://www.imdb.com/title/tt0139809/?ref_=fn_tt_tt_1,R,16000000,7.0,2.35,0
Lance Rivera,21,3,578,Vincent Pastore,11540112,The Cookout ,2385,3835,1,flatulence|interracial marriage|marriage,http://www.imdb.com/title/tt0380277/?ref_=fn_tt_tt_1,PG-13,,3.6,1.85,177
Ronald Neame,42,38,316,Karl Malden,,Meteor ,5237,1945,7,asteroid|meteor|nasa|nuclear weapon|satellite,http://www.imdb.com/title/tt0079550/?ref_=fn_tt_tt_1,PG,16000000,4.9,2.35,392
Bruce Paltrow,65,28,215,Marian Seldes,4734235,Duets ,8217,1227,0,convict|karaoke|middle america|salesman|singer,http://www.imdb.com/title/tt0134630/?ref_=fn_tt_tt_1,R,15000000,6.0,1.85,573
Woody Allen,109,11000,642,Debra Messing,4839383,Hollywood Ending ,21613,12766,0,blind|director|psychosomatic blindness|self deprecating|studio,http://www.imdb.com/title/tt0278823/?ref_=fn_tt_tt_1,PG-13,16000000,6.6,1.85,762
Adam Rifkin,42,89,322,Lin Shaye,4193025,Detroit Rock City ,30682,2518,0,band|concert|high school|kiss|teenager,http://www.imdb.com/title/tt0165710/?ref_=fn_tt_tt_1,R,15000000,6.8,2.35,0
Russell Mulcahy,112,85,186,Jon Polito,5900000,Highlander ,98629,1852,1,combat|head cut off|immortal|scotland|swordsman,http://www.imdb.com/title/tt0091203/?ref_=fn_tt_tt_1,R,16000000,7.2,1.85,0
Susanne Bier,146,369,295,Omar Benson Miller,2849142,Things We Lost in the Fire ,24104,1889,1,best friend|dinner|garage|narcotics anonymous|recovery,http://www.imdb.com/title/tt0469623/?ref_=fn_tt_tt_1,R,16000000,7.2,2.35,0
Kenneth Johnson,36,34,465,Annabeth Gish,1686429,Steel ,8687,3100,1,fight|gang|junkyard|military|soldier,http://www.imdb.com/title/tt0120207/?ref_=fn_tt_tt_1,PG-13,16000000,2.8,1.85,0
James Gray,230,115,310,Dagmara Dominczyk,1984743,The Immigrant ,20616,11019,3,immigrant|immigration|magician|money|prostitution,http://www.imdb.com/title/tt1951181/?ref_=fn_tt_tt_1,R,16000000,6.6,2.35,0
James Ivory,64,133,258,Natasha Richardson,1666262,The White Countess ,5321,2096,0,countess|diplomat|japanese|russian|shanghai,http://www.imdb.com/title/tt0384686/?ref_=fn_tt_tt_1,PG-13,16000000,6.7,1.66,356
Danny Boyle,393,0,888,Spencer Wilding,2319187,Trance ,92640,5056,0,amnesia|criminal|heist|hypnotherapy|lost painting,http://www.imdb.com/title/tt1924429/?ref_=fn_tt_tt_1,R,20000000,7.0,2.35,23000
Jessy Terrero,75,29,618,Snoop Dogg,13922211,Soul Plane ,18271,3935,9,airline|airplane|bathroom|sex|toilet,http://www.imdb.com/title/tt0367085/?ref_=fn_tt_tt_1,R,16000000,4.4,1.85,0
Dany Boon,78,172,27,Kad Merad,,Welcome to the Sticks ,30587,329,2,alcohol|alcoholic drink|drunken man|france|provence,http://www.imdb.com/title/tt1064932/?ref_=fn_tt_tt_1,,11000000,7.1,2.35,3000
Vicente Amorim,67,6,227,Jodie Whittaker,23091,Good ,5664,11091,1,censorship|children|corpse|heil hitler|suffering,http://www.imdb.com/title/tt0436364/?ref_=fn_tt_tt_1,R,15000000,6.2,2.35,921
Gaspar Noé,216,929,116,Emily Alyn Lind,336467,Enter the Void ,45449,943,0,drug deal|drugs|explicit sex|love|stripper,http://www.imdb.com/title/tt1191111/?ref_=fn_tt_tt_1,Not Rated,13000000,7.3,2.35,23000
Amy Heckerling,54,143,613,Justin Kirk,2964,Vamps ,7444,3086,2,murder|new york city|one word title|vampire|vampire slayer,http://www.imdb.com/title/tt1545106/?ref_=fn_tt_tt_1,PG-13,16000000,5.1,1.78,0
Lasse Hallström,84,529,805,Sarah Roemer,,Hachi: A Dog's Tale ,155249,4453,0,dog|human animal relationship|japanese|loyalty|waiting,http://www.imdb.com/title/tt1028532/?ref_=fn_tt_tt_1,G,16000000,8.1,1.85,115000
Jérôme Salle,69,22,44,Tanya van Graan,,Zulu ,12817,5273,0,apartheid|corpse|male nudity|murder|police officer,http://www.imdb.com/title/tt2249221/?ref_=fn_tt_tt_1,R,16000000,6.7,2.35,0
Tommy Lee Jones,208,0,567,Tim Blake Nelson,2428883,The Homesman ,21370,2896,1,abusive marriage|pastor|prison wagon|roast pig|suicide by hanging,http://www.imdb.com/title/tt2398231/?ref_=fn_tt_tt_1,R,16000000,6.6,2.35,0
Jesse Vaughan,32,10,574,Jenifer Lewis,13571817,Juwanna Mann ,5312,3104,3,basketball|dodge viper|hit in the crotch|male nudity|the star spangled banner,http://www.imdb.com/title/tt0247444/?ref_=fn_tt_tt_1,PG-13,15600000,4.5,1.85,939
,20,,15,Trond Fausa,,Lilyhammer             ,19164,537,0,mafia|mob|norway|steve|van,http://www.imdb.com/title/tt1958961/?ref_=fn_tt_tt_1,TV-MA,34000000,8.1,16.0,16000
Atom Egoyan,78,460,125,Marie-Josée Croze,1554566,Ararat ,8624,699,1,armenian|armenian genocide|customs agent|genocide|prayer,http://www.imdb.com/title/tt0273435/?ref_=fn_tt_tt_1,R,,6.6,1.66,824
William Bindley,21,4,518,Jake Lloyd,508867,Madison ,1033,3583,0,boat racing|hydroplane|loyalty|one word title|scolding,http://www.imdb.com/title/tt0206113/?ref_=fn_tt_tt_1,PG,,6.5,2.35,282
Wayne Beach,40,7,922,LL Cool J,1181197,Slow Burn ,3299,4329,0,district attorney|interview|murder|prosecutor|reporter,http://www.imdb.com/title/tt0376196/?ref_=fn_tt_tt_1,R,15500000,5.9,1.85,191
Gérard Krawczyk,40,7,17,Ryôko Hirosue,81525,Wasabi ,29392,303,1,french|inheritance|japan|letter|police detective hero,http://www.imdb.com/title/tt0281364/?ref_=fn_tt_tt_1,R,15300000,6.6,2.35,0
James Gunn,251,571,102,Gregg Henry,7774730,Slither ,61912,1120,0,alien|b movie|sex|slug|small town,http://www.imdb.com/title/tt0439815/?ref_=fn_tt_tt_1,R,15500000,6.5,1.85,0
Martin Brest,94,102,383,Ronny Cox,234760500,Beverly Hills Cop ,126464,3464,1,drug dealer|drugs|murder|police brutality|police shootout,http://www.imdb.com/title/tt0086960/?ref_=fn_tt_tt_1,R,14000000,7.3,1.85,0
Chris Columbus,102,0,925,Devin Ratray,285761243,Home Alone ,311075,7521,5,airport|child protagonist|child swearing|christmas|home alone,http://www.imdb.com/title/tt0099785/?ref_=fn_tt_tt_1,PG,18000000,7.5,1.85,20000
Leonard Nimoy,21,12000,801,Ted Danson,167780960,3 Men and a Baby ,36918,21499,4,1980s|baby|heroin|package|questioned by police,http://www.imdb.com/title/tt0094137/?ref_=fn_tt_tt_1,PG,11000000,5.9,1.85,3000
Sydney Pollack,94,521,481,Sydney Pollack,177200000,Tootsie ,77366,14701,1,actor|actress|friend|love|reputation,http://www.imdb.com/title/tt0084805/?ref_=fn_tt_tt_1,PG,22000000,7.4,2.35,0
Tony Scott,173,12000,555,Tom Skerritt,176781728,Top Gun ,219171,13069,2,flying|gay subtext|machismo|male objectification|pilot,http://www.imdb.com/title/tt0092099/?ref_=fn_tt_tt_1,PG,15000000,6.9,1.33,19000
Ang Lee,287,0,5,Pei-Pei Cheng,128067808,Crouching Tiger, Hidden Dragon ,217740,129,3,bare midriff|china|magical realism|martial arts|sword,http://www.imdb.com/title/tt0190332/?ref_=fn_tt_tt_1,PG-13,15000000,7.9,2.35,0
Sam Mendes,176,0,158,Peter Gallagher,130058047,American Beauty ,822500,19078,0,domestic violence|drug dealer|homosexuality|midlife crisis|unfaithfulness,http://www.imdb.com/title/tt0169547/?ref_=fn_tt_tt_1,R,15000000,8.4,2.35,22000
Tom Hooper,479,0,520,Jennifer Ehle,138795342,The King's Speech ,503631,15732,0,king|king george vi|speech|speech therapist|throne,http://www.imdb.com/title/tt1504320/?ref_=fn_tt_tt_1,R,15000000,8.0,1.85,64000
Ivan Reitman,27,425,247,Tony Jay,111936400,Twins ,87538,2151,1,bare chested male|brother|catholic orphanage|long lost siblings|twins,http://www.imdb.com/title/tt0096320/?ref_=fn_tt_tt_1,PG,15000000,6.0,1.85,0
,20,,260,Bobby Campo,,Scream: The TV Series             ,18058,2380,0,generation y|millennial generation|murder|teenage girl|throat slitting,http://www.imdb.com/title/tt3921180/?ref_=fn_tt_tt_1,TV-14,,7.3,16.0,0
Udayan Prasad,60,4,882,Eddie Redmayne,317040,The Yellow Handkerchief ,6723,30978,1,louisiana|overalls|road trip|southern u.s.|teenage boy,http://www.imdb.com/title/tt0954990/?ref_=fn_tt_tt_1,PG-13,15500000,6.8,2.35,1000
Steven Spielberg,70,14000,271,Rae Dawn Chong,94175854,The Color Purple ,60988,2592,0,book strap|girl|racial discrimination|racial tension|stereotype,http://www.imdb.com/title/tt0088939/?ref_=fn_tt_tt_1,PG-13,15000000,7.8,1.85,6000
JK Youn,43,2,13,Ji-won Ha,,Tidal Wave ,2659,213,2,korea|lifeguard|single father|tears|tsunami,http://www.imdb.com/title/tt1153040/?ref_=fn_tt_tt_1,R,,5.7,2.35,558
Timur Bekmambetov,1,335,635,Ayelet Zurer,,Ben-Hur ,62,13390,2,chariot race|epic|false accusation|jerusalem|slave,http://www.imdb.com/title/tt2638144/?ref_=fn_tt_tt_1,PG-13,100000000,6.1,2.35,0
Morten Tyldum,454,77,305,Rory Kinnear,91121452,The Imitation Game ,467613,20295,1,crossword puzzle|cryptography|enigma code|gay lead character|world war two,http://www.imdb.com/title/tt2084970/?ref_=fn_tt_tt_1,PG-13,14000000,8.1,2.35,165000
Howard Zieff,25,6,271,Albert Brooks,69800000,Private Benjamin ,18140,2419,1,camera shot of feet|female stockinged feet|loss of husband|pantyhose|suntan pantyhose,http://www.imdb.com/title/tt0081375/?ref_=fn_tt_tt_1,R,10000000,6.1,1.85,855
Michael Apted,46,150,572,Beverly D'Angelo,79900000,Coal Miner's Daughter ,12974,2667,0,country music|kissing while having sex|poverty|singer|title based on song,http://www.imdb.com/title/tt0080549/?ref_=fn_tt_tt_1,PG,,7.5,1.85,0
Thor Freudenthal,111,87,569,Zachary Gordon,64001297,Diary of a Wimpy Kid ,32002,20154,1,cheese|diary|friend|middle school|school,http://www.imdb.com/title/tt1196141/?ref_=fn_tt_tt_1,PG,15000000,6.2,1.85,0
Andrés Muschietti,393,127,250,Megan Charpentier,71588220,Mama ,134869,1949,1,aunt|children|death of sister|forest|hiding in a closet,http://www.imdb.com/title/tt2023587/?ref_=fn_tt_tt_1,PG-13,20000000,6.2,1.85,57000
John Carpenter,318,0,598,Donald Pleasence,47000000,Halloween ,157857,4400,0,halloween|masked killer|michael myers|slasher|trick or treat,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,R,300000,7.9,2.35,12000
Harold Ramis,55,11000,624,Randy Quaid,61400000,National Lampoon's Vacation ,71183,3617,1,amusement park|dog|family vacation|national lampoon series|vacation,http://www.imdb.com/title/tt0085995/?ref_=fn_tt_tt_1,R,15000000,7.4,1.85,0
Jeff Tremaine,157,79,27,Georgina Cates,101978840,Bad Grandpa ,77724,1018,0,child beauty pageant|grandson|hidden camera|jackass|road trip,http://www.imdb.com/title/tt3063516/?ref_=fn_tt_tt_1,R,15000000,6.6,1.85,26000
Stephen Frears,280,350,39,Sylvia Syms,56437947,The Queen ,85333,486,0,monarchy|prime minister|princess diana|queen|speech,http://www.imdb.com/title/tt0436697/?ref_=fn_tt_tt_1,PG-13,9800000,7.3,1.85,0
Tim Burton,109,13000,217,Jeffrey Jones,73326666,Beetlejuice ,189413,1953,3,attic|ghost|surrealism|teenage girl|yuppie,http://www.imdb.com/title/tt0094721/?ref_=fn_tt_tt_1,PG,15000000,7.5,1.85,15000
Tyler Perry,41,0,607,Tasha Smith,55184721,Why Did I Get Married? ,9811,6510,8,marriage|overweight|psychologist|secret|work,http://www.imdb.com/title/tt0906108/?ref_=fn_tt_tt_1,PG-13,15000000,5.6,1.85,1000
Gillian Armstrong,27,44,902,Kirsten Dunst,50003300,Little Women ,36624,29370,4,civil war|female protagonist|post civil war|reference to friedrich schiller|u.s. civil war,http://www.imdb.com/title/tt0110367/?ref_=fn_tt_tt_1,PG,15000000,7.3,1.85,0
James Watkins,462,43,259,Roger Allam,54322273,The Woman in Black ,139749,11946,0,afterlife|baby boy|bird in a cage|ghost|reunited family,http://www.imdb.com/title/tt1596365/?ref_=fn_tt_tt_1,PG-13,17000000,6.4,2.35,29000
Simon West,152,165,383,Tessa Thompson,47860214,When a Stranger Calls ,34711,2452,0,babysitting|cell phone|high school|nightmare|teenager,http://www.imdb.com/title/tt0455857/?ref_=fn_tt_tt_1,PG-13,15000000,5.0,2.35,0
Shawn Levy,69,189,799,Donald Faison,47811275,Big Fat Liar ,29008,3707,1,brunette|film producer|liar|prank|stunt,http://www.imdb.com/title/tt0265298/?ref_=fn_tt_tt_1,PG,15000000,5.4,1.85,896
Michael Cimino,140,517,652,Meryl Streep,,The Deer Hunter ,232577,34025,2,escape|friend|party|pittsburgh steelers|vietnam,http://www.imdb.com/title/tt0077416/?ref_=fn_tt_tt_1,R,15000000,8.2,2.35,11000
Barry Levinson,130,272,957,Kirsten Dunst,43022524,Wag the Dog ,67604,29252,0,death|election|hollywood|president|scandal,http://www.imdb.com/title/tt0120885/?ref_=fn_tt_tt_1,R,15000000,7.1,1.85,12000
Jim Fall,66,13,566,Adam Lamberg,42672630,The Lizzie McGuire Movie ,27580,3423,1,best friend|roma|singer|spaghetti|teenager,http://www.imdb.com/title/tt0306841/?ref_=fn_tt_tt_1,PG,17000000,5.3,2.35,0
Ric Roman Waugh,238,29,874,Harold Perrineau,42919096,Snitch ,64747,15800,1,cigarette smoking|dea|drugs|inspired by true events|undercover,http://www.imdb.com/title/tt0882977/?ref_=fn_tt_tt_1,PG-13,15000000,6.5,2.35,12000
Michael Dougherty,198,66,562,Conchata Ferrell,42592530,Krampus ,29867,4567,0,christmas|german|holiday|krampus|santa claus,http://www.imdb.com/title/tt3850590/?ref_=fn_tt_tt_1,PG-13,15000000,6.2,2.35,27000
Robert Rodriguez,154,0,1000,Salma Hayek,40064955,The Faculty ,92074,12170,1,alien|high school|ohio|photographer|water,http://www.imdb.com/title/tt0133751/?ref_=fn_tt_tt_1,R,15000000,6.4,1.85,0
Brian Gibson,19,13,2,Virginia Capers,39100956,What's Love Got to Do with It ,13442,114,0,abusive husband|love|singer|tina turner|violence,http://www.imdb.com/title/tt0108551/?ref_=fn_tt_tt_1,R,,7.2,1.85,0
James Mangold,131,446,1000,Sylvester Stallone,44886089,Cop Land ,69576,40117,3,corruption|faked death|falling off a roof|internal affairs|nypd,http://www.imdb.com/title/tt0118887/?ref_=fn_tt_tt_1,R,10000000,6.9,1.85,2000
Joel Gallen,97,11,971,JoAnna Garcia Swisher,37882551,Not Another Teen Movie ,80305,15369,0,cheerleader|foreign exchange student|incestuous desire|incestuous kiss|prom,http://www.imdb.com/title/tt0277371/?ref_=fn_tt_tt_1,R,16000000,5.7,1.85,0
David Ayer,355,453,953,Anna Kendrick,40983001,End of Watch ,181025,27788,2,lapd|police|police officer|south central los angeles|street gang,http://www.imdb.com/title/tt1855199/?ref_=fn_tt_tt_1,R,7000000,7.7,1.85,38000
Cameron Crowe,138,488,13000,Bradley Cooper,20991497,Aloha ,39782,44037,1,box office flop|critically bashed|hawaii|one word title|written by director,http://www.imdb.com/title/tt1243974/?ref_=fn_tt_tt_1,PG-13,37000000,5.4,1.85,11000
Rob Cohen,102,357,883,Leslie Bibb,35007180,The Skulls ,26846,26652,0,college|friend|ivy league|secret society|suicide,http://www.imdb.com/title/tt0192614/?ref_=fn_tt_tt_1,PG-13,15000000,5.6,1.85,0
James Marsh,419,120,149,Emily Watson,35887263,The Theory of Everything ,265507,14100,0,based on memoir|cambridge university|husband wife relationship|lou gehrig's disease|physicist,http://www.imdb.com/title/tt2980516/?ref_=fn_tt_tt_1,PG-13,15000000,7.7,2.35,90000
John Whitesell,37,14,685,Regina Hall,34308901,Malibu's Most Wanted ,15939,4435,3,los angeles california|person in car trunk|racial impersonation|south asian|street gang,http://www.imdb.com/title/tt0328099/?ref_=fn_tt_tt_1,PG-13,16000000,5.1,2.35,0
Matt Williams,78,18,944,James Frain,33771174,Where the Heart Is ,27044,22383,2,birth|oklahoma|photographer|tennessee|wal mart,http://www.imdb.com/title/tt0198021/?ref_=fn_tt_tt_1,PG-13,15000000,6.8,1.85,0
David Lean,181,767,87,José Ferrer,6000000,Lawrence of Arabia ,192775,1076,8,arab|british military|desert|ottoman empire|t.e. lawrence,http://www.imdb.com/title/tt0056172/?ref_=fn_tt_tt_1,PG,15000000,8.4,2.2,11000
Rob Zombie,220,0,593,Tyler Mane,33386128,Halloween II ,36372,3226,0,halloween|hospital|michael myers|rampage|vomiting,http://www.imdb.com/title/tt1311067/?ref_=fn_tt_tt_1,R,15000000,4.9,1.85,3000
Jean-Marc Vallée,349,212,612,Kevin Rankin,37877959,Wild ,86664,4896,1,female protagonist|grief|hiking|loss of mother|mother daughter relationship,http://www.imdb.com/title/tt2305051/?ref_=fn_tt_tt_1,R,15000000,7.1,2.35,38000
Dennis Iliadis,241,29,616,Monica Potter,32721635,The Last House on the Left ,67822,3861,0,kidnapping|lake|microwave oven|psychopath|woods,http://www.imdb.com/title/tt0844708/?ref_=fn_tt_tt_1,R,15000000,6.6,1.85,0
Clare Kilner,103,6,458,Debra Messing,31585300,The Wedding Date ,38248,2666,0,chick flick|escort|male escort|wedding|wedding date,http://www.imdb.com/title/tt0372532/?ref_=fn_tt_tt_1,PG-13,15000000,6.1,1.85,0
Rick Rosenthal,151,28,731,Thomas Ian Nicholas,30259652,Halloween: Resurrection ,26905,5440,5,cult film|halloween|killer|michael myers|serial killer,http://www.imdb.com/title/tt0220506/?ref_=fn_tt_tt_1,R,15000000,4.1,2.35,0
Louis Leterrier,344,255,850,Jason Flemyng,163192114,Clash of the Titans ,229687,18003,0,famous line|hand to hand combat|kraken|rape|zeus,http://www.imdb.com/title/tt0800320/?ref_=fn_tt_tt_1,PG-13,125000000,5.8,2.35,15000
Rob Reiner,185,0,594,Carol Kane,30857814,The Princess Bride ,294163,20060,0,fairy tale|giant|pirate|princess|true love,http://www.imdb.com/title/tt0093779/?ref_=fn_tt_tt_1,PG,16000000,8.1,1.85,33000
Denzel Washington,112,18000,697,Jurnee Smollett-Bell,30226144,The Great Debaters ,47626,22745,1,college|debate|student|texas|wiley college,http://www.imdb.com/title/tt0427309/?ref_=fn_tt_tt_1,PG-13,15000000,7.6,2.35,0
Nicolas Winding Refn,676,0,228,Albert Brooks,35054909,Drive ,431578,34337,0,kissing in an elevator|mythical hero|neo noir|protective male|silent protagonist,http://www.imdb.com/title/tt0780504/?ref_=fn_tt_tt_1,R,15000000,7.8,2.35,81000
Sara Sugarman,74,10,231,Carol Kane,29302097,Confessions of a Teenage Drama Queen ,23408,2167,8,band|friend|new york city|suburb|teenager,http://www.imdb.com/title/tt0361467/?ref_=fn_tt_tt_1,PG,15000000,4.6,1.85,810
Nicholas Hytner,65,13,106,Tim Daly,29106737,The Object of My Affection ,15582,1450,0,baby|dancing|gay|name calling|penis slur,http://www.imdb.com/title/tt0120772/?ref_=fn_tt_tt_1,R,15000000,6.0,1.85,849
Juan Carlos Fresnadillo,274,35,306,Harold Perrineau,28637507,28 Weeks Later ,212167,11471,1,paris france|rage|sniper|u.s. army|zombie apocalypse,http://www.imdb.com/title/tt0463854/?ref_=fn_tt_tt_1,R,15000000,7.0,1.85,0
Thomas Carter,50,49,100,Matthew Daddario,30127963,When the Game Stands Tall ,12596,525,0,coach|high school football,http://www.imdb.com/title/tt2247476/?ref_=fn_tt_tt_1,PG,15000000,6.7,1.85,0
Wayne Wang,96,61,649,Luke Benward,32645546,Because of Winn-Dixie ,8427,3462,5,10 year old|dog|florida|girl|supermarket,http://www.imdb.com/title/tt0317132/?ref_=fn_tt_tt_1,PG,14000000,6.4,1.85,1000
Gina Prince-Bythewood,68,107,865,Sanaa Lathan,27441122,Love & Basketball ,14322,5135,0,basketball movie|female basketball player|high school|nba|title directed by female,http://www.imdb.com/title/tt0199725/?ref_=fn_tt_tt_1,PG-13,15000000,7.2,1.85,0
George Armitage,111,5,141,Michael Cudlitz,28014536,Grosse Pointe Blank ,73347,2044,1,assassin|high school|high school reunion|reunion|suburb,http://www.imdb.com/title/tt0119229/?ref_=fn_tt_tt_1,R,15000000,7.4,1.85,0
Phil Traill,128,3,628,Katy Mixon,33860010,All About Steve ,33088,16461,3,blind date|crossword puzzle|eccentric|fall|mine shaft,http://www.imdb.com/title/tt0881891/?ref_=fn_tt_tt_1,PG-13,15000000,4.8,1.85,0
Joe Berlinger,160,31,162,Erica Leerhsen,26421314,Book of Shadows: Blair Witch 2 ,28964,608,0,convenience store|digit in title|punctuation in title|violence|witch,http://www.imdb.com/title/tt0229260/?ref_=fn_tt_tt_1,R,15000000,4.0,1.85,949
Andrew Fleming,93,26,266,Rachel True,24881000,The Craft ,57140,1812,0,coven|occult|outcast|spell|witch,http://www.imdb.com/title/tt0115963/?ref_=fn_tt_tt_1,R,15000000,6.2,1.85,6000
Woody Allen,278,11000,400,Mark Gatiss,23089926,Match Point ,166269,20391,3,extramarital affair|infidelity|irony of fate|surprise ending|tennis,http://www.imdb.com/title/tt0416320/?ref_=fn_tt_tt_1,R,15000000,7.7,1.85,0
Elizabeth Allen Rosenbaum,81,20,125,Hutch Dano,26161406,Ramona and Beezus ,13874,1002,2,aunt|cat|death of pet|girl|no opening credits,http://www.imdb.com/title/tt0493949/?ref_=fn_tt_tt_1,G,15000000,6.7,2.35,0
James Ivory,58,133,258,Peter Vaughan,22954968,The Remains of the Day ,45703,12749,1,butler|housekeeper|manor|servant|service,http://www.imdb.com/title/tt0107943/?ref_=fn_tt_tt_1,PG,11500000,7.9,2.35,0
Paul Thomas Anderson,153,0,170,Nicole Ari Parker,26384919,Boogie Nights ,189032,3677,15,1970s|adult entertainment industry|nightclub|porn industry|san fernando valley california,http://www.imdb.com/title/tt0118749/?ref_=fn_tt_tt_1,R,15000000,7.9,2.35,0
Robert Harmon,25,11,232,Rosanna Arquette,22189039,Nowhere to Run ,17074,2210,0,business|escaped convict|farm|motorcycle|widow,http://www.imdb.com/title/tt0107711/?ref_=fn_tt_tt_1,R,15000000,5.5,1.85,466
Michael Mayer,46,15,461,Danny Pino,20998709,Flicka ,6095,3845,0,father son relationship|horse|horse ranch|ranch|wild mustang,http://www.imdb.com/title/tt0434215/?ref_=fn_tt_tt_1,PG,15000000,6.2,2.35,1000
Martin Weisz,161,7,399,Daniella Alonso,20801344,The Hills Have Eyes II ,49721,2559,0,desert|fight|hill|murder|mutant,http://www.imdb.com/title/tt0800069/?ref_=fn_tt_tt_1,R,15000000,5.1,2.35,0
John Ottman,108,83,579,Joey Lawrence,21468807,Urban Legends: Final Cut ,13048,2682,2,film set|movie set|sequel|slow motion|urban legend,http://www.imdb.com/title/tt0192731/?ref_=fn_tt_tt_1,R,14000000,4.1,2.35,243
Jay Russell,69,13,613,Sissy Spacek,19158074,Tuck Everlasting ,17983,2661,2,fountain of youth|immortality|secret|woods|young man,http://www.imdb.com/title/tt0283084/?ref_=fn_tt_tt_1,PG,15000000,6.7,2.35,0
John Bonito,78,8,129,Firass Dirani,18843314,The Marine ,27486,1045,1,beating|marine|muscleman|tied up|tough guy,http://www.imdb.com/title/tt0419946/?ref_=fn_tt_tt_1,PG-13,20000000,4.7,1.85,0
Peter Atencio,129,10,415,Will Forte,20566327,Keanu ,15385,2958,2,car chase|gangsta|gun fight|hitman|kitten,http://www.imdb.com/title/tt4139124/?ref_=fn_tt_tt_1,R,15000000,6.4,2.35,0
Shana Feste,135,19,461,Cinda McCain,20218921,Country Strong ,14814,4204,4,country music|panties|pink panties|relapse|songwriter,http://www.imdb.com/title/tt1555064/?ref_=fn_tt_tt_1,PG-13,15000000,6.3,2.35,0
David Nutter,96,119,918,Ethan Embry,17411331,Disturbing Behavior ,17328,4660,3,blue ribbon|high school|jacket|jock|yogurt,http://www.imdb.com/title/tt0134619/?ref_=fn_tt_tt_1,R,15000000,5.5,1.85,673
Derek Cianfrance,417,310,619,Ben Mendelsohn,21383298,The Place Beyond the Pines ,187170,34413,3,bank|carnival|motorcycle|police|rookie cop,http://www.imdb.com/title/tt1817273/?ref_=fn_tt_tt_1,R,15000000,7.3,2.35,47000
