director_name,num_critic_for_reviews,actor_2_name,genres,actor_3_name,plot_keywords,aspect_ratio
Jaume Balagueró,191,Tony Corvillo,Drama|Horror|Thriller,Marta Etura,apartment|concierge|girl|hitchcockian|stalking,2.35
Paul Andrew Williams,80,Doug Bradley,Comedy|Crime|Horror|Thriller,Georgia Groome,countryside|deformed|farmer|gangster|kidnapping,2.35
Stephen Herek,19,Callum Blue,Comedy|Drama|Fantasy,Shenae Grimes-Beech,african american policeman|police|policeman|policewoman|vomiting,1.78
Bob Saget,19,John Stamos,Animation|Comedy,Jim Belushi,flatulence|march|penguin|south pole|spoof,1.85
Jim Amatulli,,Patricia Neal,Drama|Family|Music,Katie Leclerc,,
,38,Dulé Hill,Comedy|Crime|Mystery,Timothy Omundson,best friend|friend|police|police department|psychic,1.78
William H. Macy,44,Felicity Huffman,Comedy|Drama|Music,David Adam Flannery,demo tape|directed by cast member|grieving father|guitar|guitar player,
Barrett Esposito,3,Cyndi Lauper,Animation|Family,Danny Aiello,bare butt|baseball|children|new york yankees|surrealism,
Mitch Davis,6,Jon Heder,Comedy,Cheryl Hines,,
Eric Bross,,Esai Morales,Crime|Drama|Thriller,Nicholas Gonzalez,abduction|based on true story|mexico,1.78
Paul Schrader,64,Irène Jacob,Drama|Thriller,Tomiwa Edun,cia|individualism|mental illness|religion|revenge,2.35
Vicky Jewson,8,Sofia Black-D'Elia,Action|Drama|Thriller|War,Lisa Kay,fight|mina|murder|revenge|terrorist,
Peter Hyams,64,Sam Waterston,Action|Sci-Fi|Thriller,Hal Holbrook,astronaut|hoax|journalist|mission|nasa,2.35
Marc Bennett,2,Natasha Henstridge,Comedy|Drama,Costas Mandylor,,
Mike Mayhall,,Cody Howard,Family,Martin Kove,,
Kevin Smith,35,Haley Joel Osment,Comedy|Fantasy|Horror|Thriller,Natasha Lyonne,part of trilogy|second part,
Stanton Barrett,21,Michael Dudikoff,Action|Horror,Ed Quinn,building|infection|navy seal|shot through the head|zombie,
Jirí Menzel,99,Ivan Barnev,Comedy|Drama|Romance|War,Milan Lasica,hotel|legs|lingerie|waiter|wealth,1.85
Fatih Akin,115,Moritz Bleibtreu,Comedy|Drama,Birol Ünel,2000s|burglar|chef|cook|restaurant,1.85
