director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,num_voted_users,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,country,budget
Richard Donner,10,114,503,Thomas Ian Nicholas,2000,Drama,Adam Baldwin,10410,John Heard,father son relationship|physical abuse|radio flyer|stepfather|stepfather stepson relationship,http://www.imdb.com/title/tt0105211/?ref_=fn_tt_tt_1,71,USA,35000000
Taylor Hackford,12,330,138,Jesse Borrego,848,Crime|Drama,Delroy Lindo,23181,Raymond Cruz,1970s|1980s|barrio|gang war|mexican,http://www.imdb.com/title/tt0106469/?ref_=fn_tt_tt_1,129,USA,35000000
Bille August,50,121,55,Tom Wilkinson,1000,Action|Drama|Sci-Fi|Thriller,Jim Broadbent,11747,Julia Ormond,boy|greenland|neighbor|roof|snow,http://www.imdb.com/title/tt0120152/?ref_=fn_tt_tt_1,99,Denmark,35000000
Brian De Palma,149,114,0,Gregg Henry,548,Crime|Drama|Mystery|Thriller,Peter Coyote,28584,Rie Rasmussen,ambassador|cannes|identity|suicide|thief,http://www.imdb.com/title/tt0280665/?ref_=fn_tt_tt_1,232,France,35000000
Moustapha Akkad,24,156,278,Rod Steiger,695,Biography|Drama|History|War,Oliver Reed,9852,John Gielgud,arab|general|libya|muslim|mussolini,http://www.imdb.com/title/tt0081059/?ref_=fn_tt_tt_1,55,Libya,35000000
Jean-Paul Rappeneau,28,135,22,François Cluzet,837,Adventure|Drama|Romance|War,Olivier Martinez,4885,Isabelle Carré,austrian|breasts|cholera|police|provence,http://www.imdb.com/title/tt0113362/?ref_=fn_tt_tt_1,25,France,
Ang Lee,95,148,0,Jeffrey Dover,3,Drama|Romance|War|Western,Jeremy W. Auman,11101,Tobey Maguire,bushwhacker|friend|honor|kansas|raid,http://www.imdb.com/title/tt0134154/?ref_=fn_tt_tt_1,159,USA,35000000
Alejandro G. Iñárritu,288,148,0,Hanaa Bouchaib,30,Drama,Maricel Álvarez,68885,Eduard Fernández,children|chinese|illegal immigrant|immigrant|male ponytail,http://www.imdb.com/title/tt1164999/?ref_=fn_tt_tt_1,127,Mexico,
Roland Joffé,10,109,596,Alice Englert,621,Action|Adventure|Romance|Sci-Fi,Tamsin Egerton,2138,Bipasha Basu,1770s|british india|great barrier reef|india|ring,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,15,Belgium,
Joachim Rønning,58,93,18,Sam Shepard,4000,Action|Comedy|Crime|Western,Salma Hayek,28848,Dwight Yoakam,bank|cleavage|farmer|female gunfighter|mexico,http://www.imdb.com/title/tt0416496/?ref_=fn_tt_tt_1,76,France,32000000
Tony Kaye,,,194,Aisha Tyler,970,Crime|Drama,Bill Cobbs,219,Beverly D'Angelo,based on novel,http://www.imdb.com/title/tt0490087/?ref_=fn_tt_tt_1,,USA,23000000
Wes Ball,297,113,47,Aml Ameen,988,Action|Mystery|Sci-Fi|Thriller,Ki Hong Lee,310903,Jacob Latimore,based on novel|concrete wall|maze|open ended|teenage boy,http://www.imdb.com/title/tt1790864/?ref_=fn_tt_tt_1,524,USA,34000000
Ken Scott,90,91,31,June Diane Raphael,1000,Comedy,Tom Wilkinson,23072,Melissa McMeekin,business trip|company|glory hole|male frontal nudity|male nudity,http://www.imdb.com/title/tt2358925/?ref_=fn_tt_tt_1,89,USA,35000000
Martin Scorsese,56,139,17000,Geraldine Chaplin,554,Drama|Romance,Richard E. Grant,36267,Stuart Wilson,19th century|countess|lawyer|love|new york,http://www.imdb.com/title/tt0106226/?ref_=fn_tt_tt_1,150,USA,30000000
Darren Aronofsky,274,96,0,Ellen Burstyn,20000,Drama|Sci-Fi,Hugh Jackman,190990,Mark Margolis,eternity|love|mayan|tree|tree of life,http://www.imdb.com/title/tt0414993/?ref_=fn_tt_tt_1,915,USA,35000000
Hugh Johnson,68,102,3,Kevin J. O'Connor,372,Action|Adventure|Comedy|Drama|Thriller,David Paymer,8367,Hudson Leick,colonel|ice|ice cream truck|military|u.s. army,http://www.imdb.com/title/tt0163579/?ref_=fn_tt_tt_1,94,USA,34000000
Simon West,98,96,165,Mark Valley,12000,Action|Crime|Drama|Thriller,Nicolas Cage,36914,Sami Gayle,bank|money|presumed dead|rescue|thief,http://www.imdb.com/title/tt1656186/?ref_=fn_tt_tt_1,86,USA,35000000
Hayao Miyazaki,256,101,6000,Yûki Amami,6,Adventure|Animation|Family|Fantasy,Rumi Hiiragi,85589,Yuria Nara,children adventure|magical realism|sea goddess|small town|tsunami,http://www.imdb.com/title/tt0876563/?ref_=fn_tt_tt_1,144,Japan,34000000
George Tillman Jr.,117,128,88,Melissa Benoist,989,Drama|Romance,Tiago Riani,50041,Hayley Lovitt,1940s|art collector|bull riding|north carolina|student,http://www.imdb.com/title/tt2726560/?ref_=fn_tt_tt_1,116,USA,34000000
Rand Ravich,107,109,7,Charlize Theron,40000,Drama|Sci-Fi|Thriller,Johnny Depp,45497,Clea DuVall,astronaut|electrocuted in bathtub|mission|pilot|sister,http://www.imdb.com/title/tt0138304/?ref_=fn_tt_tt_1,260,USA,34000000
Hugh Hudson,52,114,46,Eva Marie Saint,818,Adventure|Drama|Romance,Liam Aiken,3740,Vincent Perez,dream|italian|kenya|ranch|snake,http://www.imdb.com/title/tt0167203/?ref_=fn_tt_tt_1,61,USA,34000000
Gabriele Muccino,135,105,125,Dennis Quaid,18000,Comedy|Romance|Sport,Gerard Butler,23916,Judy Greer,coach|soccer|soccer coach|soccer mom|soccer team,http://www.imdb.com/title/tt1540128/?ref_=fn_tt_tt_1,50,USA,35000000
Justin Chadwick,211,141,56,Fana Mokoena,113,Biography|Drama|History,Terry Pheto,21223,Tony Kgoroge,africa|apartheid|nelson mandela|president|resistance,http://www.imdb.com/title/tt2304771/?ref_=fn_tt_tt_1,108,UK,35000000
Warren Beatty,57,195,631,Warren Beatty,635,Biography|Drama|History|Romance,Paul Sorvino,16255,M. Emmet Walsh,cold war|cold war era|interview|russia|written and directed by cast member,http://www.imdb.com/title/tt0082979/?ref_=fn_tt_tt_1,127,USA,35000000
Rob Reiner,81,138,0,Demi Moore,10000,Drama|Thriller,Tom Cruise,181879,Kevin Pollak,cuba|guantanamo|lance corporal|lawyer|murder,http://www.imdb.com/title/tt0104257/?ref_=fn_tt_tt_1,319,USA,40000000
Andrzej Bartkowiak,107,101,43,Bill Duke,2000,Action|Comedy|Crime|Drama|Thriller,Michael Jai White,27580,Bruce McGill,corrupt cop|drug dealer|drugs|heroin|vice president,http://www.imdb.com/title/tt0242445/?ref_=fn_tt_tt_1,232,USA,33000000
Raja Gosnell,100,99,67,Cedric the Entertainer,826,Action|Comedy|Crime,Nia Long,66941,Tichina Arnold,disguise|fbi|female impersonation|gender disguise|obesity,http://www.imdb.com/title/tt0208003/?ref_=fn_tt_tt_1,148,USA,30000000
Jeremy Degruson,60,85,0,Brianne Brozey,324,Adventure|Animation|Comedy|Family|Fantasy,Kyle Hebert,4265,Joe Ochman,,http://www.imdb.com/title/tt3148834/?ref_=fn_tt_tt_1,16,Belgium,34000000
Chris Gorak,195,89,21,Veronika Vernadskaya,614,Action|Adventure|Horror|Sci-Fi|Thriller,Max Minghella,49312,Dato Bakhtadze,alien|aurora borealis|critically bashed|killing an animal|nightclub,http://www.imdb.com/title/tt1093357/?ref_=fn_tt_tt_1,211,USA,30000000
Scott Speer,121,99,35,Stephen Boss,3000,Drama|Music|Romance,Ryan Guzman,45394,Misha Gabriel Hamilton,3 dimensional|dance|dancer|dancing|flash mob,http://www.imdb.com/title/tt1800741/?ref_=fn_tt_tt_1,72,USA,33000000
David R. Ellis,285,105,160,Kenan Thompson,852,Action|Adventure|Crime|Drama|Thriller,Lin Shaye,115649,Rachel Blanchard,baby rattle|famous line|murder|passenger|snake,http://www.imdb.com/title/tt0417148/?ref_=fn_tt_tt_1,1033,Germany,33000000
Joe Charbanic,103,97,10,Joseph Sikora,18000,Crime|Horror|Mystery|Thriller,Keanu Reeves,22220,Chris Ellis,fbi|murder|scene of the crime|serial killer|therapy,http://www.imdb.com/title/tt0204626/?ref_=fn_tt_tt_1,181,USA,33000000
Jonathan Hensleigh,192,140,36,Marco St. John,669,Action|Crime|Drama|Thriller,Laura Harring,124242,Eddie Jemison,death|family reunion|fbi|fbi agent|vigilante,http://www.imdb.com/title/tt0330793/?ref_=fn_tt_tt_1,622,USA,33000000
Danny Cannon,90,118,41,Kuno Becker,722,Drama|Romance|Sport,Sean Pertwee,50919,Stephen Dillane,barrio|border|newcastle united|party|soccer,http://www.imdb.com/title/tt0380389/?ref_=fn_tt_tt_1,114,USA,10000000
Boaz Yakin,258,94,132,Reggie Lee,26000,Action|Crime|Thriller,Jason Statham,83097,Robert John Burke,bodyguard|gang war|russian|russian mafia|triad,http://www.imdb.com/title/tt1656190/?ref_=fn_tt_tt_1,134,USA,30000000
Mike Newell,56,124,179,Kurt Fuller,11000,Comedy|Drama|Romance,Angelina Jolie Pitt,24826,Jake Weber,air traffic control|air traffic controller|female bodybuilder|job|marriage,http://www.imdb.com/title/tt0120797/?ref_=fn_tt_tt_1,175,USA,38000000
Richard Marquand,197,134,37,Ian McDiarmid,11000,Action|Adventure|Fantasy|Sci-Fi,Harrison Ford,681857,Kenny Baker,death star|emperor|empire|princess|rebel,http://www.imdb.com/title/tt0086190/?ref_=fn_tt_tt_1,647,USA,32500000
Neil Marshall,254,113,197,Jason Cope,165,Action|Sci-Fi|Thriller,Ryan Kruger,62770,Jeremy Crutchley,cure|quarantine|scotland|virus|wall,http://www.imdb.com/title/tt0483607/?ref_=fn_tt_tt_1,396,UK,30000000
Stephen Daldry,299,124,335,David Kross,14000,Drama|Romance,Kate Winslet,189812,Susanne Lothar,love|reading|teaching oneself to read|trial|war crime,http://www.imdb.com/title/tt0976051/?ref_=fn_tt_tt_1,370,USA,32000000
David Wain,163,98,136,Lauren Ambrose,1000,Comedy,Justin Theroux,62198,Joe Lo Truglio,childbirth|female frontal nudity|nude protest|nudist|skinny dipping,http://www.imdb.com/title/tt1655460/?ref_=fn_tt_tt_1,139,USA,
Jon Favreau,152,97,4000,Zooey Deschanel,22000,Comedy|Family|Fantasy|Romance,Peter Dinklage,147597,Will Ferrell,baby|christmas spirit|elf|new york city|north pole,http://www.imdb.com/title/tt0319343/?ref_=fn_tt_tt_1,395,USA,33000000
Jon Turteltaub,53,123,226,Kyra Sedgwick,3000,Drama|Fantasy|Romance|Sci-Fi,Robert Duvall,63839,David Gallagher,brain tumor|genius|psionic power|telekinesis|terminal illness,http://www.imdb.com/title/tt0117333/?ref_=fn_tt_tt_1,118,USA,32000000
Brian Levant,67,99,32,Nichelle Nichols,773,Adventure|Comedy|Family|Sport,James Coburn,20219,M. Emmet Walsh,dentist|dog|inheritance|race|sled dog,http://www.imdb.com/title/tt0281373/?ref_=fn_tt_tt_1,100,Canada,35000000
Richard Donner,88,101,503,Alfre Woodard,13000,Comedy|Drama|Fantasy,Bill Murray,61396,Robert Mitchum,christmas|compassion|executive|ghost|redemption,http://www.imdb.com/title/tt0096061/?ref_=fn_tt_tt_1,159,USA,32000000
Jared Hess,163,92,100,Moises Arias,678,Comedy|Family|Sport,Ana de la Reguera,65551,Héctor Jiménez,lucha libre|monastery|nun|orphan|wrestling,http://www.imdb.com/title/tt0457510/?ref_=fn_tt_tt_1,441,Germany,32000000
Paul Feig,371,131,176,Wendi McLendon-Covey,722,Comedy|Romance,Matt Lucas,218711,Steve Bannos,best friend|failure|food|job|partial female nudity,http://www.imdb.com/title/tt1478338/?ref_=fn_tt_tt_1,485,USA,32500000
Evan Goldberg,418,107,133,James Franco,17000,Comedy|Fantasy,Channing Tatum,310540,Emma Watson,apocalypse|celebrity|ensemble cast|party|rapture,http://www.imdb.com/title/tt1245492/?ref_=fn_tt_tt_1,669,USA,32000000
Rupert Wainwright,131,103,9,Enrico Colantoni,826,Horror,Nia Long,54390,Portia de Rossi,catholic|priest|stigmata|vatican|wound,http://www.imdb.com/title/tt0145531/?ref_=fn_tt_tt_1,398,USA,29000000
George Tillman Jr.,98,129,88,Charlize Theron,22000,Biography|Drama,Robert De Niro,89424,Michael Rapaport,african american|amputee|navy|racial discrimination|racism,http://www.imdb.com/title/tt0203019/?ref_=fn_tt_tt_1,224,USA,32000000
John Luessenhop,119,107,34,Hayden Christensen,23000,Action|Crime|Thriller,Paul Walker,46961,Jay Hernandez,armored car|bank|falling out among thieves|heist|planning,http://www.imdb.com/title/tt1135084/?ref_=fn_tt_tt_1,132,USA,20000000
Justin Zackham,133,89,16,Robert De Niro,49000,Comedy,Robin Williams,37493,Topher Grace,adoption|divorce|family relationships|farce|wedding,http://www.imdb.com/title/tt1931435/?ref_=fn_tt_tt_1,108,USA,35000000
John Whitesell,88,113,14,Tony Curran,918,Action|Comedy|Crime,Brandon T. Jackson,19671,Portia Doubleday,fbi agent|murder|performing arts school|scene during end credits|undercover,http://www.imdb.com/title/tt1464174/?ref_=fn_tt_tt_1,47,USA,32000000
Duncan Jones,522,93,0,Cas Anvar,15000,Mystery|Sci-Fi|Thriller,Jake Gyllenhaal,379462,Russell Peters,bomber|time|time loop|train|trapped in a time loop,http://www.imdb.com/title/tt0945513/?ref_=fn_tt_tt_1,571,USA,32000000
Frank Marshall,43,120,155,Danny Nucci,344,Adventure|Biography|Drama|Thriller,Illeana Douglas,38949,Michael DeLorenzo,andes mountains|crash|death|starvation|stranded,http://www.imdb.com/title/tt0106246/?ref_=fn_tt_tt_1,112,USA,32000000
Joel Schumacher,224,98,541,Virginia Madsen,8000,Mystery|Thriller,Logan Lerman,164608,Ed Lauter,destiny|detective|imagination|murder|sex scene,http://www.imdb.com/title/tt0481369/?ref_=fn_tt_tt_1,383,USA,32000000
Jean-Pierre Jeunet,122,105,0,Julian Richings,716,Action|Adventure|Drama|Family,Callum Rennie,11347,Judy Davis,3 dimensional|cartographer|punctuation in title|smithsonian|train,http://www.imdb.com/title/tt1981107/?ref_=fn_tt_tt_1,28,France,33000000
Steven Spielberg,56,142,14000,John Belushi,16000,Action|Comedy|War,Christopher Lee,25193,Treat Williams,california|captain|cult film|pearl harbor|submarine,http://www.imdb.com/title/tt0078723/?ref_=fn_tt_tt_1,217,USA,35000000
John Gatins,75,98,61,Freddy Rodríguez,649,Drama|Family|Sport,Ken Howard,10018,Holmes Osborne,colon in title|horse|kentucky|overalls|six word title,http://www.imdb.com/title/tt0418647/?ref_=fn_tt_tt_1,108,USA,32000000
David Cronenberg,441,96,0,Kyle Schmid,10000,Crime|Drama|Thriller,Viggo Mortensen,186606,William Hurt,bar|crotch shot|female full frontal nudity|female pubic hair|robbery,http://www.imdb.com/title/tt0399146/?ref_=fn_tt_tt_1,1125,USA,32000000
Louis Leterrier,163,87,255,Jason Flemyng,26000,Action|Crime|Thriller,Jason Statham,156267,Matthew Modine,driver|french|kidnapping|police|sequel,http://www.imdb.com/title/tt0388482/?ref_=fn_tt_tt_1,340,France,32000000
Sam Raimi,63,107,0,Pat Hingle,29000,Action|Thriller|Western,Leonardo DiCaprio,69197,Roberts Blossom,authority figure as villian|gun duel|saved from hanging|showdown|street shootout,http://www.imdb.com/title/tt0114214/?ref_=fn_tt_tt_1,216,Japan,32000000
Peter Howitt,90,90,29,Mike Doyle,638,Comedy|Romance,Frances Fisher,18771,Nora Dunn,date|divorce|divorce lawyer|drinking|lawyer,http://www.imdb.com/title/tt0323033/?ref_=fn_tt_tt_1,102,Ireland,28000000
Martin Scorsese,163,121,17000,Marc Anthony,12000,Drama|Thriller,Nicolas Cage,53028,Sonja Sohn,ambulance|ghost|hell|paramedic|rescue,http://www.imdb.com/title/tt0163988/?ref_=fn_tt_tt_1,382,USA,55000000
Miguel Sapochnik,197,119,238,RZA,1000,Action|Crime|Sci-Fi|Thriller,Alice Braga,87768,Yvette Nicole Brown,artificial organ|best friend|enforcer|future|near future,http://www.imdb.com/title/tt1053424/?ref_=fn_tt_tt_1,187,USA,32000000
Hyung-rae Shim,93,107,26,Aimee Garcia,889,Action|Drama|Fantasy|Horror|Thriller,Robert Forster,21506,Chris Mulkey,antique shop|asian dragon|dragon|korean|reporter,http://www.imdb.com/title/tt0372873/?ref_=fn_tt_tt_1,364,South Korea,35000000
Norman Jewison,15,110,278,Nancy Travis,3000,Comedy|Family|Fantasy,Haley Joel Osment,5176,Andrea Martin,box office flop|circus|imaginary friend|magician|one word title,http://www.imdb.com/title/tt0115725/?ref_=fn_tt_tt_1,30,USA,30000000
Don Scardino,260,100,35,Olivia Wilde,12000,Comedy,Steve Buscemi,60596,Steve Carell,magic|magic kit|magician|stage magician|vegas,http://www.imdb.com/title/tt0790628/?ref_=fn_tt_tt_1,158,USA,30000000
Mark Dindal,18,75,10,Frank Welker,3000,Animation|Comedy|Family|Fantasy|Musical,George Kennedy,5600,Hal Holbrook,animal|cat|child star|hollywood|star,http://www.imdb.com/title/tt0118829/?ref_=fn_tt_tt_1,49,USA,32000000
Tim Robbins,70,132,0,Vanessa Redgrave,13000,Drama,Bill Murray,8039,Emily Watson,1930s|depression|play|theatre|union,http://www.imdb.com/title/tt0150216/?ref_=fn_tt_tt_1,161,USA,32000000
Steven Soderbergh,183,105,0,Beau Bridges,845,Drama|Mystery|Thriller,Tony Curran,21481,Leland Orser,american|driver|journalist|russian|secret,http://www.imdb.com/title/tt0452624/?ref_=fn_tt_tt_1,175,USA,32000000
Tom Reeve,12,93,0,Rollo Weeks,330,Action|Adventure|Comedy|Fantasy|Romance,Joan Plowright,3088,Simon Callow,dragon|knight|love|priest|princess,http://www.imdb.com/title/tt0306892/?ref_=fn_tt_tt_1,31,USA,32000000
Francis Ford Coppola,261,289,0,Marlon Brando,11000,Drama|War,Harrison Ford,450676,Robert Duvall,army|green beret|insanity|jungle|vietnam,http://www.imdb.com/title/tt0078788/?ref_=fn_tt_tt_1,983,USA,31500000
Nanette Burstein,167,102,8,Kelli Garner,839,Comedy|Romance,Rob Riggle,50523,Jim Gaffigan,bar|job|long distance relationship|male pubic hair|pubic hair,http://www.imdb.com/title/tt1322312/?ref_=fn_tt_tt_1,113,USA,32000000
Stephen Herek,42,143,65,Olympia Dukakis,975,Drama|Music,Alicia Witt,30230,Jean Louisa Kelly,1990s|high school|high school teacher|teacher inspires students|teaching,http://www.imdb.com/title/tt0113862/?ref_=fn_tt_tt_1,154,USA,6500000
Ariel Vromen,130,113,34,Jordi Mollà,10000,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Gary Oldman,17319,Doug Cockle,cia|husband wife relationship|memory|tied up while barefoot|violence,http://www.imdb.com/title/tt3014866/?ref_=fn_tt_tt_1,100,UK,31500000
Sydney Pollack,66,161,521,Michael Gough,11000,Biography|Drama|Romance,Meryl Streep,52339,Michael Kitchen,africa|hunter|love|marriage|plantation,http://www.imdb.com/title/tt0089755/?ref_=fn_tt_tt_1,200,USA,31000000
Robert Zemeckis,449,138,0,Bruce Greenwood,18000,Drama|Thriller,Denzel Washington,264047,Nadine Velazquez,airline|flight|flight attendant|lawyer|pilot,http://www.imdb.com/title/tt1907668/?ref_=fn_tt_tt_1,491,USA,31000000
Lewis Gilbert,121,126,43,Lois Chiles,244,Action|Adventure|Sci-Fi|Thriller,Desmond Llewelyn,69534,Lois Maxwell,astronaut|dog|official james bond series|space shuttle|space shuttle transported on a 747,http://www.imdb.com/title/tt0079574/?ref_=fn_tt_tt_1,294,UK,34000000
Wes Anderson,536,99,0,Tom Wilkinson,13000,Adventure|Comedy|Crime|Drama,Bill Murray,475518,F. Murray Abraham,first person narration|hotel|lobby boy|mentor protege relationship|painting,http://www.imdb.com/title/tt2278388/?ref_=fn_tt_tt_1,644,USA,25000000
Scott Hicks,135,101,96,Mika Boorem,12000,Drama|Mystery,Anthony Hopkins,30339,Hope Davis,based on multiple works|bully|kiss|memory|mysterious stranger,http://www.imdb.com/title/tt0252501/?ref_=fn_tt_tt_1,268,USA,31000000
Frank Marshall,74,103,155,Peter Jason,687,Comedy|Fantasy|Horror|Thriller,Julian Sands,50389,Brian McNamara,arachnophobia|death|doctor|small town|spider,http://www.imdb.com/title/tt0099052/?ref_=fn_tt_tt_1,136,USA,31000000
Gregory Hoblit,168,118,40,Andre Braugher,2000,Crime|Drama|Mystery|Sci-Fi|Thriller,Dennis Quaid,81866,Noah Emmerich,altering history|alternate history|amateur radio|ham radio|paranormal phenomena,http://www.imdb.com/title/tt0186151/?ref_=fn_tt_tt_1,510,USA,31000000
Paul Feig,464,116,176,Kate McKinnon,783,Action|Comedy|Fantasy|Sci-Fi,Ed Begley Jr.,69790,Zach Woods,ghost|ghostbuster|ghostbusters|male objectification|reboot,http://www.imdb.com/title/tt1289401/?ref_=fn_tt_tt_1,1211,USA,144000000
John Francis Daley,204,99,0,Norman Reedus,26000,Adventure|Comedy,Chris Hemsworth,66123,Beverly D'Angelo,amusement park|dysfunctional family|road trip|sequel|vacation,http://www.imdb.com/title/tt1524930/?ref_=fn_tt_tt_1,219,USA,31000000
Barry Sonnenfeld,96,105,188,Rene Russo,848,Comedy|Crime|Thriller,Delroy Lindo,62986,Jon Gries,debt|loan shark|mobster|movie business|producer,http://www.imdb.com/title/tt0113161/?ref_=fn_tt_tt_1,150,USA,30250000
Rob Marshall,223,113,252,Chita Rivera,539,Comedy|Crime|Musical,Colm Feore,172080,Jayne Eastwood,fame|jail|jazz age|murder|vaudeville,http://www.imdb.com/title/tt0299658/?ref_=fn_tt_tt_1,1017,USA,45000000
Dennis Dugan,112,93,221,Adam Sandler,12000,Comedy|Drama,Steve Buscemi,161858,Joey Lauren Adams,homosexual|law|law school|responsibility|vomiting,http://www.imdb.com/title/tt0142342/?ref_=fn_tt_tt_1,289,USA,34200000
J.B. Rogers,142,108,6,Shannon Elizabeth,3000,Comedy,Alyson Hannigan,200260,Natasha Lyonne,beach|beach house|college|party|student,http://www.imdb.com/title/tt0252866/?ref_=fn_tt_tt_1,431,USA,30000000
John Lasseter,166,74,487,John Ratzenberger,15000,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,623757,Jim Varney,claw crane|cowboy|jealousy|rivalry|toy,http://www.imdb.com/title/tt0114709/?ref_=fn_tt_tt_1,391,USA,30000000
Jan de Bont,114,116,101,Alan Ruck,18000,Action|Adventure|Crime|Thriller,Keanu Reeves,260981,Joe Morton,bomb|bus|elevator|explosive|rescue,http://www.imdb.com/title/tt0111257/?ref_=fn_tt_tt_1,373,USA,25000000
Michael Sucsy,214,104,23,Lucas Bryant,17000,Drama|Romance,Channing Tatum,145852,Dillon Casey,car accident|life support|memory loss|trauma|voice recording,http://www.imdb.com/title/tt1606389/?ref_=fn_tt_tt_1,164,USA,30000000
Tom Vaughan,126,106,12,Brendan Fraser,11000,Drama,Harrison Ford,14281,Alan Ruck,cure|disease|imagination|race against time|venture capital,http://www.imdb.com/title/tt1244659/?ref_=fn_tt_tt_1,64,USA,31000000
Boaz Yakin,157,120,132,Denzel Washington,33000,Biography|Drama|Sport,Ryan Gosling,160776,Ethan Suplee,american football|based on true story|head coach|high school|school,http://www.imdb.com/title/tt0210945/?ref_=fn_tt_tt_1,402,USA,30000000
John McTiernan,104,135,323,Jeffrey Jones,826,Action|Adventure|Thriller,Scott Glenn,143696,Courtney B. Vance,analyst|defection|navy|soviet submarine|submarine,http://www.imdb.com/title/tt0099810/?ref_=fn_tt_tt_1,241,USA,30000000
Lee Daniels,304,132,304,David Oyelowo,15000,Biography|Drama,Alex Pettyfer,87665,Vanessa Redgrave,butler|civil rights|hotel|president|white house,http://www.imdb.com/title/tt1327773/?ref_=fn_tt_tt_1,323,USA,30000000
Rawson Marshall Thurber,191,92,43,Stephen Root,989,Comedy|Sport,Gary Cole,185338,Joel David Moore,dodgeball|gym|las vegas|pirate|ups,http://www.imdb.com/title/tt0364725/?ref_=fn_tt_tt_1,392,USA,20000000
Barry Sonnenfeld,55,99,188,Raul Julia,1000,Comedy|Fantasy,Anjelica Huston,96607,Carel Struycken,accountant|loan shark|macabre|uncle|uncle fester,http://www.imdb.com/title/tt0101272/?ref_=fn_tt_tt_1,125,USA,38000000
Steve Oedekerk,59,90,176,Bob Gunton,531,Adventure|Comedy,Bruce Spence,160321,Sophie Okonedo,africa|bat|hawaiian shirt|pregnancy|pregnant,http://www.imdb.com/title/tt0112281/?ref_=fn_tt_tt_1,178,USA,30000000
Garry Marshall,108,111,0,Hector Elizondo,11000,Comedy|Family|Romance,Anne Hathaway,94049,Heather Matarazzo,cinderella story|fish out of water|makeover|manners|princess,http://www.imdb.com/title/tt0247638/?ref_=fn_tt_tt_1,301,USA,37000000
Hugh Wilson,50,103,37,Elizabeth Berkley,944,Comedy,Stockard Channing,31817,Stephen Collins,cult film|female therapist|revenge|revenge motive|therapy session,http://www.imdb.com/title/tt0116313/?ref_=fn_tt_tt_1,117,USA,26000000
David Fincher,216,127,21000,Brad Pitt,11000,Crime|Drama|Mystery|Thriller,Morgan Freeman,1023511,Reg E. Cathey,detective|police partner|serial killer|serial murder|seven deadly sins,http://www.imdb.com/title/tt0114369/?ref_=fn_tt_tt_1,1080,USA,33000000
Neill Blomkamp,472,112,662,Jed Brophy,2000,Action|Sci-Fi|Thriller,Sharlto Copley,531737,Jason Cope,alien|ghetto|prawn|refugee|refugee camp,http://www.imdb.com/title/tt1136608/?ref_=fn_tt_tt_1,1262,South Africa,30000000
Stephen Hillenburg,89,87,47,Bill Fagerbakke,19000,Adventure|Animation|Comedy|Family|Fantasy,Scarlett Johansson,58906,Rodger Bumpass,based on tv series|crown|dream|king neptune|plankton,http://www.imdb.com/title/tt0345950/?ref_=fn_tt_tt_1,186,USA,30000000
Clint Eastwood,229,138,16000,Spencer Treat Clark,616,Crime|Drama|Mystery|Thriller,John Doman,338415,Tom Guiry,ballistics|detective|friend|gun|sexual abuse,http://www.imdb.com/title/tt0327056/?ref_=fn_tt_tt_1,935,USA,25000000
Clint Eastwood,268,132,16000,Morgan Freeman,16000,Drama|Sport,Clint Eastwood,482064,Mike Colter,boxing|boxing trainer|death|suicide attempt|women boxing,http://www.imdb.com/title/tt0405159/?ref_=fn_tt_tt_1,1106,USA,30000000
Harold Ramis,145,103,11000,Chazz Palminteri,22000,Comedy|Crime,Robert De Niro,123940,Molly Shannon,analyst|mafia|patient|psychiatrist|wedding,http://www.imdb.com/title/tt0122933/?ref_=fn_tt_tt_1,337,USA,30000000
Nick Cassavetes,177,123,415,Kevin Connolly,33000,Drama|Romance,Ryan Gosling,396396,Gena Rowlands,class differences|letter|nursing home|second chance|summer love,http://www.imdb.com/title/tt0332280/?ref_=fn_tt_tt_1,1111,USA,29000000
Anne Fletcher,175,111,98,Bern Cohen,2000,Comedy|Romance,Judy Greer,124501,Yetta Gottesman,boss|bridesmaid|friend|love|wedding,http://www.imdb.com/title/tt0988595/?ref_=fn_tt_tt_1,154,USA,30000000
Peter Chelsom,131,102,23,Vanessa Williams,1000,Comedy|Drama|Family|Music|Romance,Emily Osment,31760,Moises Arias,farm|female protagonist|hannah montana|horseback riding|overalls,http://www.imdb.com/title/tt1114677/?ref_=fn_tt_tt_1,140,USA,30000000
Stig Bergqvist,41,78,0,Casey Kasem,971,Adventure|Animation|Comedy|Family|Romance,Elizabeth Daily,8146,Debbie Reynolds,amusement park|baby|france|paris france|villain,http://www.imdb.com/title/tt0213203/?ref_=fn_tt_tt_1,49,Germany,30000000
Barbra Streisand,30,132,0,Blythe Danner,769,Drama|Romance,George Carlin,12549,Melinda Dillon,new york|psychiatrist|shrimper|south carolina|twins,http://www.imdb.com/title/tt0102713/?ref_=fn_tt_tt_1,109,USA,30000000
