director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,language,country,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
,286,,527,Tom Hollander,857,Drama|History|Thriller,Anna Silk,The Company             ,3828,3809,3,cia|mole|revolution|spy|ussr,English,USA,,,7.9,1.78,733
Brad Anderson,111,122,25,Eduardo Noriega,918,Crime|Drama|Mystery|Thriller,Thomas Kretschmann,Transsiberian ,42792,1252,0,35 mm digital camera|drugs|murder|train|travel,English,Spain,15000000,2008,6.7,2.35,0
Michael Chapman,98,70,90,Pamela Reed,876,Adventure|Drama|Fantasy,Curtis Armstrong,The Clan of the Cave Bear ,4996,1351,0,cave bear|cro magnon|neanderthal|survival|tradition,English,USA,15000000,1986,5.3,2.35,843
Antonio Banderas,111,0,617,Elizabeth Perkins,783,Comedy|Crime|Drama,Meat Loaf,Crazy in Alabama ,5917,4834,0,abusive husband|alabama|boy|dream|sheriff,English,USA,15000000,1999,6.3,2.35,391
Michael Haneke,111,0,287,Siobhan Fallon Hogan,6000,Crime|Drama|Horror|Thriller,Naomi Watts,Funny Games ,69569,6748,0,breaking the fourth wall|looking at the camera|remake|serial killer|violence,English,USA,15000000,2007,6.5,1.85,0
Khalil Sullins,100,5,46,Kalim Chandler,192,Drama|Sci-Fi|Thriller,Thomas Stroppel,Listening ,1933,527,0,divorce papers|fainting|mind control|playground|technology,English,Cambodia,,2014,5.6,2.35,708
Atom Egoyan,116,460,71,Elaine Cassidy,5000,Drama|Thriller,Bob Hoskins,Felicia's Journey ,6690,5426,0,caterer|catering|chef|friend|lawn mower,English,Canada,,1999,7.0,2.35,284
Fritz Lang,145,756,18,Gustav Fröhlich,136,Drama|Sci-Fi,Brigitte Helm,Metropolis ,111841,203,1,art deco|bible quote|dance|silent film|worker,German,Germany,6000000,1927,8.3,1.33,12000
Pierre Morel,84,180,58,Cyril Raffaelli,510,Action|Crime|Thriller,David Belle,District B13 ,55928,962,2,bomb|gang|police|sister|undercover cop,French,France,12000000,2004,7.2,2.35,0
Gary Fleder,115,39,642,Bill Cobbs,12000,Crime|Drama,Steve Buscemi,Things to Do in Denver When You're Dead ,22345,14889,2,death|finger gun|video message|what happened to epilogue|wheelchair,English,USA,7000000,1995,6.8,1.85,0
Hsiao-Hsien Hou,105,141,56,Chen Chang,1000,Action|Drama,Qi Shu,The Assassin ,9427,1172,1,black magic|china|love|refusal to kill|wuxia,Mandarin,Taiwan,15000000,2015,6.4,1.37,0
Gregor Jordan,98,34,730,Scott Glenn,936,Comedy|Crime|Drama|Thriller|War,Dean Stockwell,Buffalo Soldiers ,20730,3578,1,berlin wall|germany|murder|soldier|specialist,English,UK,15000000,2001,6.9,2.35,664
Andrey Zvyagintsev,99,445,9,Vladimir Garin,20,Drama|Mystery|Thriller,Konstantin Lavronenko,The Return ,31589,48,0,boy|photograph|return|russian|wilderness,Russian,Russia,,2003,8.0,1.85,0
Tony Jaa,110,0,7,Petchtai Wongkamlao,64,Action,Nirut Sirichanya,Ong-bak 2 ,24570,134,0,cult film|elephant|jungle|martial arts|stylized violence,Thai,Thailand,300000000,2008,6.2,2.35,0
Neil Marshall,97,197,570,JJ Feild,13000,Action|Adventure|Drama|History|Thriller|War,Michael Fassbender,Centurion ,64777,15293,0,mushroom|mute|roman soldier|screaming|wood carving,English,UK,,2010,6.4,2.35,0
Russell Mulcahy,88,85,40,Gina Bellman,825,Action|Drama|Thriller,Christopher Heyerdahl,Silent Trigger ,2699,1432,0,assassin|die hard scenario|rangefinder|soldier|veteran,English,Canada,9000000,1996,5.6,2.35,154
Ryûhei Kitamura,103,129,1000,Brooke Shields,14000,Fantasy|Horror|Mystery,Bradley Cooper,The Midnight Meat Train ,47574,18639,0,butcher|girlfriend|mute character|photographer|subway,English,USA,15000000,2008,6.1,2.35,0
Darrell Roodt,104,36,2,Wendy Crewson,549,Biography|Drama|History,Jennifer Hudson,Winnie Mandela ,609,801,2,character name in title|nelson mandela|one word title|reference to winnie mandela|south africa,English,South Africa,15000000,2011,6.0,,705
Dito Montiel,90,68,642,Al Pacino,17000,Crime|Drama|Thriller,Channing Tatum,The Son of No One ,14280,32814,5,housing project|letter|man with glasses|murder|subjective camera,English,USA,15000000,2011,5.1,2.35,0
Stefan Ruzowitzky,105,24,125,Udo Kier,776,Action|Comedy|Drama|War,Eddie Izzard,All the Queen's Men ,2236,1732,1,apostrophe in title|behind enemy lines|box office flop|gay interest|punctuation in title,English,Germany,25000000,2001,4.5,2.35,193
Jake Paltrow,93,17,66,Gael Le Cornec,1000,Comedy|Drama|Fantasy|Music|Romance,Stephen Graham,The Good Night ,7519,1245,1,commercial|dream|dreaming|girl|new york city,English,USA,15000000,2007,5.9,1.85,445
Juraj Jakubisko,141,15,576,Hans Matheson,735,Biography|Drama|Fantasy|History,Anna Friel,Bathory: Countess of Blood ,3425,2528,1,bathory|countess|female protagonist|legend|virgin blood,English,Slovakia,,2008,6.0,2.35,0
Anthony Silverston,85,0,912,Steve Buscemi,14000,Adventure|Animation|Family,Liam Neeson,Khumba ,4006,29488,0,herd|ostrich|waterhole|wildebeest|zebra,English,South Africa,20000000,2013,5.8,,0
Gabe Ibáñez,109,19,537,Robert Forster,1000,Action|Sci-Fi|Thriller,Birgitte Hjort Sørensen,Automata ,41638,2829,0,child hitman|dystopia|future|robot|self repair,English,Bulgaria,7000000,2014,6.1,2.35,13000
Gerry Lively,105,93,51,Lucy Gaskell,179,Action|Adventure|Fantasy,Bruce Payne,Dungeons & Dragons: Wrath of the Dragon God ,5018,363,0,combat|helmet|martial arts|medieval times|violence,English,Germany,15000000,2005,4.9,1.78,473
Daniele Luchetti,98,6,50,Rodrigo De la Serna,61,Biography,Maximilian Dirr,Chiamatemi Francesco - Il Papa della gente ,80,192,0,,Spanish,Italy,15000000,2015,5.7,,18
Tung-Shing Yee,119,3,19,Daniel Wu,556,Action|Crime|Drama|Thriller,Bingbing Fan,Shinjuku Incident ,9177,996,4,chinese|gang|gratitude|immigrant|japan,Mandarin,Hong Kong,15000000,2009,7.1,2.35,821
Julien Temple,124,67,303,Dexter Fletcher,631,Biography|Drama,Samantha Morton,Pandaemonium ,695,1585,1,betrayal|french revolution|friendship|poet|revolution,English,UK,15000000,2000,6.6,,277
Harold Ramis,101,11000,512,Chris Elliott,13000,Comedy|Fantasy|Romance,Bill Murray,Groundhog Day ,437418,15500,1,cult film|existentialism|groundhog day|time loop|trapped in a time loop,English,USA,14600000,1993,8.1,1.85,38000
Gregory Jacobs,115,13,642,Channing Tatum,20000,Comedy|Drama|Music,Matt Bomer,Magic Mike XXL ,38202,38963,3,male bonding|male friendship|male objectification|muscular|stripper,English,USA,14800000,2015,5.7,2.35,41000
Baz Luhrmann,120,1000,954,Harold Perrineau,29000,Drama|Romance,Leonardo DiCaprio,Romeo + Juliet ,167750,33791,2,hawaiian shirt|love|shakespeare adaptation|shakespeare play|star crossed lovers,English,USA,14500000,1996,6.8,2.35,10000
Gilles Paquet-Brenner,111,15,121,Aidan Quinn,1000,Drama|War,Kristin Scott Thomas,Sarah's Key ,12937,2140,2,apartment|escape|jewish family|journalist|key,French,France,10000000,2010,7.5,2.35,0
Peter Cousens,94,5,124,David Rasche,467,Drama|Family|Music,Sharon Leal,Freedom ,993,994,2,19th century|christian film|hymn|religion|slave,English,USA,14500000,2014,6.2,,998
Clint Eastwood,131,16000,638,Morgan Freeman,16000,Drama|Western,Clint Eastwood,Unforgiven ,277505,28544,1,englishman|leaving flowers on a grave|one last job|reputation|visiting wife's grave,English,USA,14400000,1992,8.3,2.35,10000
Lars von Trier,139,3000,236,Jeremy Davies,3000,Drama,Bryce Dallas Howard,Manderlay ,18646,4211,1,cotton|female frontal nudity|flogging|gangster|slavery,English,Denmark,14200000,2005,7.4,2.35,1000
Danny Boyle,120,0,40,Saurabh Shukla,668,Drama|Romance,Anil Kapoor,Slumdog Millionaire ,641997,820,0,cheating|falling from height|murder|non professional cast|slum,English,UK,15000000,2008,8.0,2.35,13000
Adrian Lyne,119,213,249,Lois Smith,886,Drama|Romance|Thriller,Fred Gwynne,Fatal Attraction ,55101,1639,0,borderline personality disorder|killing a pet|madame butterfly|new york|new york city,English,USA,14000000,1987,6.9,1.85,3000
Garry Marshall,125,0,700,Hector Elizondo,8000,Comedy|Romance,Julia Roberts,Pretty Woman ,213476,11135,2,businessman|falling in love with a prostitute|hotel|prostitute|rich man poor woman,English,USA,14000000,1990,6.9,1.85,11000
John Blanchard,65,0,176,Andrea Martin,770,Comedy,Martin Short,Towering Inferno             ,10,1125,2,,English,Canada,,,9.5,1.33,0
John Cornell,108,5,57,Linda Kozlowski,442,Action|Adventure|Comedy,Paul Hogan,Crocodile Dundee II ,44096,717,1,australia|australian|crime boss|crocodile|gangster,English,Australia,15800000,1988,5.5,2.35,489
Vidhu Vinod Chopra,101,34,277,Chris Marquette,892,Action|Crime|Drama|Mystery|Thriller,María Valverde,Broken Horses ,1554,2055,0,,English,USA,15000000,2015,5.7,2.35,0
Oliver Stone,145,0,560,Tom Berenger,10000,Biography|Drama|War,Tom Cruise,Born on the Fourth of July ,76842,12098,0,desert|drunkenness|religious mother|strict mother|vietnam war,English,USA,14000000,1989,7.2,2.35,4000
Jon Turteltaub,98,226,496,Leon,953,Adventure|Comedy|Family|Sport,Doug E. Doug,Cool Runnings ,69733,2496,1,bobsled|coach|jamaica|olympic games|olympics,English,USA,15000000,1993,6.9,1.85,0
Patrick Lussier,101,71,725,Jaime King,10000,Horror|Thriller,Jensen Ackles,My Bloody Valentine ,45603,14159,0,coma|death|miner|valentine|valentine's day,English,USA,15000000,2009,5.5,1.85,0
Ole Bornedal,92,30,309,Madison Davenport,941,Horror|Thriller,Kyra Sedgwick,The Possession ,47169,2348,0,basketball coach|box|jewish|rabbi|yard sale,English,USA,14000000,2012,5.9,2.35,17000
Ted Kotcheff,93,270,535,Brian Dennehy,13000,Action|Adventure|Drama,Sylvester Stallone,First Blood ,172493,15192,1,1980s|colonel|deputy|rambo|sheriff,English,USA,14000000,1982,7.7,2.35,0
Sylvain White,109,41,748,Laz Alonso,997,Drama|Music|Romance,Chris Brown,Stomp the Yard ,19505,3544,0,atlanta georgia|competition|dancer|death|fraternity,English,USA,14000000,2007,5.2,2.35,0
Lewis Gilbert,123,43,238,Desmond Llewelyn,456,Action|Adventure|Sci-Fi|Thriller,Caroline Munro,The Spy Who Loved Me ,76477,1326,2,1970s|cult film|official james bond series|submarine|world war three,English,UK,14000000,1977,7.1,2.35,0
,60,,84,Steve Gonsalves,155,Documentary,Amy Bruni,Ghost Hunters             ,5563,552,0,ghost|paranormal|paranormal research|shaky cam,English,USA,,,6.6,,373
Jamie Blanks,99,9,648,Loretta Devine,975,Horror|Mystery|Thriller,Alicia Witt,Urban Legend ,47814,3500,4,campus|death|friend|professor|urban legend,English,USA,14000000,1998,5.5,2.35,0
Stephen Frears,119,350,418,Peter Capaldi,18000,Drama|Romance,Keanu Reeves,Dangerous Liaisons ,52846,35501,2,catholic|corruption|emotional abuse|france|seduction,English,USA,14000000,1988,7.7,1.85,0
Tyler Perry,110,0,490,Phylicia Rashad,849,Comedy|Drama|Romance,Eddie Cibrian,Good Deeds ,6352,2226,1,businessman|fight|mean brother|narrated by character|wordplay in title,English,USA,,2012,5.4,2.35,0
Randal Kleiser,107,116,25,Klaus Maria Brandauer,327,Adventure|Drama,Seymour Cassel,White Fang ,15730,552,1,alaska|dog|friendship|gold|yukon,English,USA,14000000,1991,6.7,1.85,0
Bruce McCulloch,81,54,636,Elaine Hendrix,8000,Comedy|Romance,Will Ferrell,Superstar ,15047,10792,1,dancing|orphan|school|special education|student,English,USA,14000000,1999,5.0,1.85,2000
Phyllida Lloyd,105,58,583,Jim Broadbent,11000,Biography|Drama|History,Meryl Streep,The Iron Lady ,82327,12894,1,british prime minister|female prime minister|politics|prime minister|told in flashback,English,UK,13000000,2011,6.4,2.35,18000
Mike Nawrocki,82,12,8,Mike Nawrocki,23,Adventure|Animation|Comedy|Drama|Family|Musical,Phil Vischer,Jonah: A VeggieTales Movie ,3135,49,0,anthropomorphism|pirate|pirate ship|tomato|whale,English,USA,14000000,2002,6.6,1.85,184
John Singleton,109,309,279,Khandi Alexander,592,Drama|Romance,Janet Jackson,Poetic Justice ,8904,1620,0,african american|mail carrier|poetry|postal worker|south central los angeles,English,USA,14000000,1993,5.9,1.85,0
Kevin Bray,95,10,111,Roger Guenveur Smith,706,Action|Comedy|Crime|Thriller,Mike Epps,All About the Benjamins ,9693,1421,2,black comedy|bounty hunter|diamond|machismo|money,English,USA,14000000,2002,5.7,2.35,530
Wes Craven,100,0,364,W. Earl Brown,723,Comedy|Fantasy|Horror|Romance,John Witherspoon,Vampire in Brooklyn ,17262,2348,1,blood|destiny|nightmare|partner|vampire,English,USA,20000000,1995,4.5,1.85,1000
John Boorman,118,128,467,Richard Burton,931,Horror,Linda Blair,Exorcist II: The Heretic ,16294,2704,7,demon|exorcism|locust|priest|repressed memory,English,USA,14000000,1977,3.7,1.85,889
Courtney Solomon,91,31,50,James D'Arcy,874,Horror|Mystery|Thriller,Sissy Spacek,An American Haunting ,22207,1608,0,flashback|lifting someone into the air|paranormal phenomena|voice over letter|year 1818,English,UK,14000000,2005,5.0,2.35,0
David Zucker,90,119,636,Tyler Labine,869,Comedy|Romance,Carmen Electra,My Boss's Daughter ,24038,3007,2,boss' daughter|crush|house sitter|housesitting|love interest,English,USA,14000000,2003,4.6,1.85,411
David Twohy,108,123,690,Milla Jovovich,26000,Adventure|Mystery|Thriller,Chris Hemsworth,A Perfect Getaway ,56338,41359,4,cliff|hawaii|island|newlywed|waterfall,English,USA,14000000,2009,6.5,2.35,4000
Rick Famuyiwa,103,44,625,Lance Gross,953,Comedy|Romance,America Ferrera,Our Family Wedding ,5721,3299,2,california|love|marriage|wedding|wedding dress,English,USA,14000000,2010,4.9,2.35,1000
Alan Cohn,96,0,654,Linda Cardellini,3000,Comedy,Alyson Hannigan,Dead Man on Campus ,11729,6861,0,college|college roommate|party|roommate|student,English,USA,14000000,1998,6.0,1.85,645
Franco Zeffirelli,117,160,55,Joan Plowright,718,Comedy|Drama|War,Lily Tomlin,Tea with Mussolini ,9323,1148,6,ambassador|american|art|english|italy,English,Italy,12000000,1999,6.9,1.85,970
Tom Holland,93,85,514,Bethany Joy Lenz,1000,Fantasy|Horror,Joe Mantegna,Thinner ,19805,2777,0,death|doctor|gypsy|judge|lawyer,English,USA,8500000,1996,5.7,1.85,0
Martin Scorsese,136,17000,213,Liza Minnelli,22000,Drama|Music|Musical|Romance,Robert De Niro,"New York, New York ",13548,23378,0,love|musician|saxophonist|singer|songwriter,English,USA,14000000,1977,6.7,1.66,932
Spike Lee,115,0,534,Delroy Lindo,1000,Comedy|Drama,Alfre Woodard,Crooklyn ,6011,3267,0,argument|birthday|bully|coming of age|semi autobiographical,English,USA,14000000,1994,6.9,1.85,905
Chris Rock,94,0,458,Eliza Coupe,12000,Comedy|Drama|Romance,Steve Buscemi,I Think I Love My Wife ,13866,13446,3,banker|investment|investment banker|marriage|sex,English,USA,,2007,5.5,1.85,488
James Isaac,85,52,489,Kane Hodder,1000,Action|Horror|Sci-Fi|Thriller,Peter Mensah,Jason X ,38985,3050,1,jason voorhees|lake|machete|scientist|slasher,English,USA,11000000,2001,4.4,1.85,0
Shawn Levy,88,189,799,Donald Faison,934,Adventure|Comedy|Family,Frankie Muniz,Big Fat Liar ,29008,3707,1,brunette|film producer|liar|prank|stunt,English,USA,15000000,2002,5.4,1.85,896
Emilio Estevez,112,0,383,Nick Cannon,12000,Drama|History,Anthony Hopkins,Bobby ,38142,13528,0,campaign|chess|friend|hotel|senator,English,USA,14000000,2006,7.0,2.35,0
Mark Waters,86,70,169,Ivana Milicevic,878,Comedy|Mystery|Romance,Monica Potter,Head Over Heels ,11693,2165,5,apartment|fast motion scene|model|private investigation|suspected murder,English,USA,14000000,2001,5.4,2.35,613
Josh Schwartz,86,90,635,Jackson Nicoll,962,Adventure|Comedy,Thomas McDonell,Fun Size ,11233,3715,1,adult humor|best friend|friend|halloween|teenage girl,English,USA,14000000,2012,5.4,2.35,0
Julian Schnabel,112,232,177,Mathieu Amalric,413,Biography|Drama,Emmanuelle Seigner,The Diving Bell and the Butterfly ,89906,1372,1,arc de triomphe paris|based on autobiography|coma|elle magazine|male frontal nudity,French,France,,2007,8.0,1.85,13000
Todd Field,137,143,280,Noah Emmerich,14000,Drama|Romance,Kate Winslet,Little Children ,92781,15337,0,adulterous wife|bar|dysfunctional marriage|sex offender|suburb,English,USA,26000000,2006,7.6,2.35,5000
Davis Guggenheim,90,49,191,Sharon Lawrence,12000,Drama|Mystery|Thriller,Norman Reedus,Gossip ,12519,12776,5,college|college campus|gossip|rape|sex,English,USA,24000000,2000,5.9,2.35,853
Tony Goldwyn,107,956,113,Julie Kavner,10000,Drama,Viggo Mortensen,A Walk on the Moon ,6782,10368,1,adulterous wife|cheating wife|summer|unfaithfulness|woodstock,English,USA,14000000,1999,6.6,1.85,860
Phillip Noyce,98,176,15,Terry Pheto,543,Biography|Drama|History,Derek Luke,Catch a Fire ,9334,678,3,attack|coach|colonel|jail|oil refinery,English,France,14000000,2006,6.7,2.35,447
Stephen Carpenter,84,12,102,Angela Featherstone,159,Drama|Horror|Mystery|Thriller,Melissa Sagemiller,Soul Survivors ,7277,417,4,car accident|college|ghost|girl in panties|white panties,English,USA,14000000,2001,3.9,1.85,231
James Ivory,139,133,5,Todd Boyce,423,Biography|Drama|History|Romance,Seth Gilliam,Jefferson in Paris ,2427,446,1,18th century|ambassador|french revolution|friendship|thomas jefferson,English,France,14000000,1995,5.7,1.85,127
Stephan Elliott,97,11,548,Kristin Scott Thomas,14000,Comedy|Romance,Colin Firth,Easy Virtue ,16444,16431,4,estate|female frontal nudity|female nudity|no panties|unhappy marriage,English,UK,,2008,6.7,2.35,2000
James Fargo,127,109,324,Joseph Cotten,16000,Action|Adventure|History,Christopher Lee,Caravans ,524,17250,0,afghanistan|caravan|rebel|russian|tribe,English,Iran,14000000,1978,6.5,2.35,76
Mike Leigh,150,608,43,Ruth Sheen,149,Biography|Drama|History,Lesley Manville,Mr. Turner ,17933,390,0,prism|rented room|scrofula|sketching|sunrise,English,UK,8200000,2014,6.8,2.35,0
Alain Resnais,104,752,59,Sara Forestier,412,Drama|Romance,Mathieu Amalric,Wild Grass ,3174,799,0,dentist|letter|pilot|skateboard|wallet,French,France,,2009,6.3,2.35,512
Costa-Gavras,132,333,284,Mathieu Kassovitz,380,Biography|Crime|Drama|War,Sebastian Koch,Amen. ,11077,1429,2,jesuit|jew|pope|priest|ss,English,France,103000000,2002,7.3,1.85,0
Chao-Bin Su,117,2,21,Shawn Yue,149,Action,Woo-sung Jung,Reign of Assassins ,6069,243,2,martial arts|sword fight|wuxia,Mandarin,China,12000000,2010,6.9,2.35,1000
Neil Burger,115,168,322,Katherine LaNasa,697,Comedy|Drama|War,John Heard,The Lucky Ones ,11704,2243,0,college tuition|guitar|road trip|soldier|stranded,English,USA,15000000,2008,7.0,1.85,702
Kenneth Lonergan,186,50,338,Kieran Culkin,13000,Drama,Matt Damon,Margaret ,12053,14638,1,accident|bus|loss of virginity|new york city|virginity,English,USA,14000000,2011,6.5,1.85,0
Bo Zenga,90,10,378,Kenan Thompson,826,Comedy|Horror,Steve Howey,Stan Helsing ,9928,2207,7,dollar bill|double entendre|escaped convict|halloween|striptease,English,Canada,,2009,3.6,1.85,934
Rob Reiner,90,0,767,Rebecca De Mornay,1000,Comedy|Drama|Romance,Madeline Carroll,Flipped ,60460,4377,0,apology|falling in love|multiple perspectives|narrated by a girl|younger version of character,English,USA,14000000,2010,7.7,1.85,14000
Ang Lee,134,0,11000,Heath Ledger,15000,Drama|Romance,Jake Gyllenhaal,Brokeback Mountain ,259837,39789,0,gay relationship|homosexuality|mountain|ranch|rodeo,English,USA,14000000,2005,7.7,1.85,13000
Jonathan Liebesman,101,473,429,Danny Woodburn,833,Action|Adventure|Comedy|Sci-Fi,Noel Fisher,Teenage Mutant Ninja Turtles ,167089,2690,0,18 wheeler|mutant|ninja|sewer|turtle,English,USA,125000000,2014,5.9,2.35,62000
Amy Heckerling,97,143,201,Dan Hedaya,927,Comedy|Romance,Donald Faison,Clueless ,123390,1724,1,female protagonist|high school|makeover|matchmaker|popularity,English,USA,12000000,1995,6.8,1.85,0
Todd Haynes,107,162,135,Celia Weston,2000,Drama|Romance,Dennis Quaid,Far from Heaven ,36542,2447,2,african american|catastrophe|family relationships|farewell scene|therapy,English,USA,13500000,2002,7.4,1.85,0
Steve Pink,99,38,390,Gillian Jacobs,3000,Comedy|Sci-Fi,Adam Scott,Hot Tub Time Machine 2 ,28159,4702,4,acid trip|gameshow|hot tub|time lord|time machine,English,USA,14000000,2015,5.1,1.85,0
,55,,2,Olaf Lubaszenko,20,Drama,Krystyna Janda,Dekalog             ,12590,25,0,meaning of life|moral challenge|morality|search for meaning|ten commandments,Polish,Poland,,,9.1,1.33,0
Philip Kaufman,124,133,170,Stephen Marcus,14000,Biography|Drama,Kate Winslet,Quills ,44795,14726,1,asylum|lust|male pubic hair|penis|pubic hair,English,UK,13500000,2000,7.4,1.85,0
Martin McDonagh,110,454,816,Gabourey Sidibe,2000,Comedy|Crime,Abbie Cornish,Seven Psychopaths ,185845,4757,7,dognapping|gangster|misfiring gun|screenwriter|shih tzu,English,UK,15000000,2012,7.2,2.35,52000
Kasi Lemmons,105,148,400,Tamara Tunie,539,Crime|Drama|Music|Mystery|Thriller,Colm Feore,The Caveman's Valentine ,5602,1767,0,chrysler building manhattan new york city|delusion|manhattan new york city|new york city|title directed by female,English,USA,,2001,6.0,1.85,329
,41,,2,Marian Dziedziel,70,Action|Crime|Drama|Thriller,Jacek Koman,The Border             ,271,74,4,,Polish,Poland,,,7.4,,64
