director_name,director_facebook_likes,actor_1_facebook_likes,genres,movie_title,num_voted_users,facenumber_in_poster,movie_imdb_link,language,country,title_year,actor_2_facebook_likes,movie_facebook_likes
Karan Johar,160,8000,Adventure|Drama|Thriller,My Name Is Khan ,69759,2,http://www.imdb.com/title/tt1188996/?ref_=fn_tt_tt_1,Hindi,India,2010,327,27000
Herbert Ross,71,967,Drama|Music|Romance,Footloose ,51459,0,http://www.imdb.com/title/tt0087277/?ref_=fn_tt_tt_1,English,USA,1984,455,0
J.C. Chandor,78,0,Action|Adventure|Drama,All Is Lost ,59545,0,http://www.imdb.com/title/tt2017038/?ref_=fn_tt_tt_1,English,USA,2013,,18000
John Sayles,407,638,Adventure|Drama|Thriller,Limbo ,5158,0,http://www.imdb.com/title/tt0164085/?ref_=fn_tt_tt_1,English,USA,1999,107,196
Vipul Amrutlal Shah,11,3000,Comedy|Drama|Romance,Namastey London ,13577,2,http://www.imdb.com/title/tt0795434/?ref_=fn_tt_tt_1,Hindi,India,2007,687,341
Ken Loach,644,97,Drama|War,The Wind That Shakes the Barley ,36846,1,http://www.imdb.com/title/tt0460989/?ref_=fn_tt_tt_1,English,Ireland,2006,8,0
Ayan Mukerji,0,964,Comedy|Drama|Musical|Romance,Yeh Jawaani Hai Deewani ,25122,2,http://www.imdb.com/title/tt2178470/?ref_=fn_tt_tt_1,Hindi,India,2013,551,0
John G. Avildsen,80,668,Action|Drama|Family|Sport,The Karate Kid ,126916,0,http://www.imdb.com/title/tt0087538/?ref_=fn_tt_tt_1,English,USA,1984,641,0
Mervyn LeRoy,54,440,Biography|Drama|History|Romance,Quo Vadis ,9808,0,http://www.imdb.com/title/tt0043949/?ref_=fn_tt_tt_1,English,USA,1951,426,1000
Darren Lynn Bousman,163,2000,Horror|Musical|Sci-Fi,Repo! The Genetic Opera ,20419,1,http://www.imdb.com/title/tt0963194/?ref_=fn_tt_tt_1,English,USA,2008,716,8000
Serdar Akar,11,205,Action|Adventure,Valley of the Wolves: Iraq ,14486,3,http://www.imdb.com/title/tt0493264/?ref_=fn_tt_tt_1,Arabic,Turkey,2006,197,467
Quentin Tarantino,16000,13000,Crime|Drama,Pulp Fiction ,1324680,1,http://www.imdb.com/title/tt0110912/?ref_=fn_tt_tt_1,English,USA,1994,902,45000
James Frawley,21,1000,Adventure|Comedy|Family|Musical,The Muppet Movie ,25498,0,http://www.imdb.com/title/tt0079588/?ref_=fn_tt_tt_1,English,UK,1979,985,0
Dan Gilroy,66,15000,Crime|Drama|Thriller,Nightcrawler ,293304,1,http://www.imdb.com/title/tt2872718/?ref_=fn_tt_tt_1,English,USA,2014,241,65000
Jay Chandrasekhar,422,861,Comedy|Horror|Thriller,Club Dread ,23823,2,http://www.imdb.com/title/tt0331953/?ref_=fn_tt_tt_1,English,USA,2004,499,713
Robert Wise,338,354,Biography|Drama|Family|Musical|Romance,The Sound of Music ,148172,3,http://www.imdb.com/title/tt0059742/?ref_=fn_tt_tt_1,English,USA,1965,209,15000
Ron Howard,2000,15000,Comedy|Fantasy|Romance,Splash ,54723,2,http://www.imdb.com/title/tt0088161/?ref_=fn_tt_tt_1,English,USA,1984,161,0
Jonathan Dayton,36,7000,Comedy|Drama,Little Miss Sunshine ,355810,1,http://www.imdb.com/title/tt0449059/?ref_=fn_tt_tt_1,English,USA,2006,150,15000
Rob Reiner,0,217,Adventure|Drama,Stand by Me ,271794,2,http://www.imdb.com/title/tt0092005/?ref_=fn_tt_tt_1,English,USA,1986,107,24000
Danny Boyle,0,133,Drama|Horror|Sci-Fi|Thriller,28 Days Later... ,297250,0,http://www.imdb.com/title/tt0289043/?ref_=fn_tt_tt_1,English,UK,2002,32,11000
Chris Stokes,548,389,Drama|Music,You Got Served ,23671,0,http://www.imdb.com/title/tt0365957/?ref_=fn_tt_tt_1,English,USA,2004,363,0
Don Siegel,152,16000,Biography|Crime|Drama,Escape from Alcatraz ,87090,0,http://www.imdb.com/title/tt0079116/?ref_=fn_tt_tt_1,English,USA,1979,466,0
Rick Famuyiwa,44,1000,Comedy|Drama|Music|Romance,Brown Sugar ,5971,1,http://www.imdb.com/title/tt0297037/?ref_=fn_tt_tt_1,English,USA,2002,886,0
Martin Lawrence,0,585,Comedy|Crime|Drama|Romance|Thriller,A Thin Line Between Love and Hate ,3122,2,http://www.imdb.com/title/tt0117891/?ref_=fn_tt_tt_1,English,USA,1996,434,559
Jonathan Levine,129,23000,Comedy|Drama|Romance,50/50 ,270441,2,http://www.imdb.com/title/tt1306980/?ref_=fn_tt_tt_1,English,USA,2011,10000,40000
Masayuki Ochiai,5,449,Horror|Mystery|Thriller,Shutter ,26609,1,http://www.imdb.com/title/tt0482599/?ref_=fn_tt_tt_1,English,USA,2008,332,0
George A. Romero,0,875,Comedy|Fantasy|Horror,Creepshow ,29935,0,http://www.imdb.com/title/tt0083767/?ref_=fn_tt_tt_1,English,USA,1982,826,0
Tom Gormican,19,363,Comedy|Romance,That Awkward Moment ,76791,3,http://www.imdb.com/title/tt1800246/?ref_=fn_tt_tt_1,English,USA,2014,342,0
Ken Shapiro,2,484,Comedy|Fantasy|Sci-Fi,Modern Problems ,3904,1,http://www.imdb.com/title/tt0082763/?ref_=fn_tt_tt_1,English,USA,1981,345,495
Justin Tipping,2,861,Adventure,Kicks ,59,,http://www.imdb.com/title/tt4254584/?ref_=fn_tt_tt_1,English,USA,2016,163,240
Kenneth Branagh,0,18000,Comedy|Drama|Romance,Much Ado About Nothing ,37269,0,http://www.imdb.com/title/tt0107616/?ref_=fn_tt_tt_1,English,UK,1993,18000,0
Peter R. Hunt,13,803,Action|Adventure|Thriller,On Her Majesty's Secret Service ,59941,2,http://www.imdb.com/title/tt0064757/?ref_=fn_tt_tt_1,English,UK,1969,314,0
,,666,Action|Crime|Drama|Thriller,The Player             ,5817,2,http://www.imdb.com/title/tt4474310/?ref_=fn_tt_tt_1,English,USA,,579,0
Wes Craven,0,969,Fantasy|Horror|Mystery|Thriller,New Nightmare ,38191,0,http://www.imdb.com/title/tt0111686/?ref_=fn_tt_tt_1,English,USA,1994,449,0
John Schultz,13,452,Comedy|Drama|Romance,Drive Me Crazy ,14904,2,http://www.imdb.com/title/tt0164114/?ref_=fn_tt_tt_1,English,USA,1999,442,0
Doug Atchison,3,876,Drama,Akeelah and the Bee ,15337,0,http://www.imdb.com/title/tt0437800/?ref_=fn_tt_tt_1,English,USA,2006,801,0
Tamra Davis,33,744,Comedy|Crime,Half Baked ,48225,0,http://www.imdb.com/title/tt0120693/?ref_=fn_tt_tt_1,English,USA,1998,503,0
Jonas Elmer,3,24000,Comedy|Romance,New in Town ,17461,1,http://www.imdb.com/title/tt1095174/?ref_=fn_tt_tt_1,English,USA,2009,827,0
Stephen Gaghan,79,13000,Drama|Thriller,Syriana ,109191,0,http://www.imdb.com/title/tt0365737/?ref_=fn_tt_tt_1,English,USA,2005,903,0
Mary Harron,126,23000,Crime|Drama,American Psycho ,357275,1,http://www.imdb.com/title/tt0144084/?ref_=fn_tt_tt_1,English,USA,2000,1000,18000
Miguel Arteta,44,15000,Drama|Romance,The Good Girl ,37952,3,http://www.imdb.com/title/tt0279113/?ref_=fn_tt_tt_1,English,USA,2002,11000,938
Erik Canuel,31,539,Action|Comedy|Crime|Thriller,Bon Cop Bad Cop ,8616,2,http://www.imdb.com/title/tt0479647/?ref_=fn_tt_tt_1,English,Canada,2006,290,758
Troy Duffy,78,12000,Action|Crime|Thriller,The Boondock Saints II: All Saints Day ,53251,0,http://www.imdb.com/title/tt1300851/?ref_=fn_tt_tt_1,English,USA,2009,3000,0
James Ivory,133,471,Drama|Romance,The City of Your Final Destination ,2311,1,http://www.imdb.com/title/tt0896923/?ref_=fn_tt_tt_1,English,USA,2009,277,638
Nicole Holofcener,132,434,Comedy|Drama|Romance,Enough Said ,49240,2,http://www.imdb.com/title/tt2390361/?ref_=fn_tt_tt_1,English,USA,2013,265,12000
Will Gluck,87,15000,Comedy|Romance,Easy A ,276746,1,http://www.imdb.com/title/tt1282140/?ref_=fn_tt_tt_1,English,USA,2010,1000,19000
Matty Rich,10,851,Comedy|Drama|Romance,The Inkwell ,1103,0,http://www.imdb.com/title/tt0110137/?ref_=fn_tt_tt_1,English,USA,1994,780,160
E. Elias Merhige,54,776,Drama|Horror,Shadow of the Vampire ,34191,1,http://www.imdb.com/title/tt0189998/?ref_=fn_tt_tt_1,English,UK,2000,595,0
Joe Nussbaum,18,1000,Comedy|Drama,Prom ,12702,0,http://www.imdb.com/title/tt1604171/?ref_=fn_tt_tt_1,English,USA,2011,962,0
Matt Reeves,198,1000,Comedy|Romance,The Pallbearer ,6124,2,http://www.imdb.com/title/tt0117283/?ref_=fn_tt_tt_1,English,USA,1996,975,125
Steve Rash,15,883,Comedy,Held Up ,2870,2,http://www.imdb.com/title/tt0165831/?ref_=fn_tt_tt_1,English,USA,1999,826,77
Fina Torres,26,1000,Comedy|Fantasy|Romance,Woman on Top ,8546,0,http://www.imdb.com/title/tt0206420/?ref_=fn_tt_tt_1,English,USA,2000,905,859
James Ivory,133,12000,Drama|Romance,Howards End ,21254,3,http://www.imdb.com/title/tt0104454/?ref_=fn_tt_tt_1,English,UK,1992,898,788
,,3000,Adventure|Drama|Fantasy|Mystery,Preacher             ,22848,0,http://www.imdb.com/title/tt5016504/?ref_=fn_tt_tt_1,English,,,788,18000
Duke Johnson,26,1000,Animation|Comedy|Drama|Romance,Anomalisa ,31489,0,http://www.imdb.com/title/tt2401878/?ref_=fn_tt_tt_1,English,USA,2015,442,0
Mike Leigh,608,1000,Comedy|Drama,Another Year ,23629,0,http://www.imdb.com/title/tt1431181/?ref_=fn_tt_tt_1,English,UK,2010,579,0
François Ozon,341,963,Comedy|Crime|Musical|Romance,8 Women ,23660,1,http://www.imdb.com/title/tt0283832/?ref_=fn_tt_tt_1,French,France,2002,678,0
Mark L. Lester,73,1000,Action|Comedy|Crime|Thriller,Showdown in Little Tokyo ,12561,2,http://www.imdb.com/title/tt0102915/?ref_=fn_tt_tt_1,English,USA,1991,1000,0
David Dobkin,71,1000,Comedy|Crime,Clay Pigeons ,9494,1,http://www.imdb.com/title/tt0118863/?ref_=fn_tt_tt_1,English,Germany,1998,261,515
Anna Boden,16,943,Comedy|Drama|Romance,It's Kind of a Funny Story ,106098,3,http://www.imdb.com/title/tt0804497/?ref_=fn_tt_tt_1,English,USA,2010,769,20000
Nigel Cole,13,5000,Biography|Comedy|Drama|History,Made in Dagenham ,11158,6,http://www.imdb.com/title/tt1371155/?ref_=fn_tt_tt_1,English,UK,2010,629,0
Anand Tucker,14,14000,Biography|Drama,When Did You Last See Your Father? ,3571,2,http://www.imdb.com/title/tt0829098/?ref_=fn_tt_tt_1,English,UK,2007,1000,429
Steve James,23,1000,Biography|Drama|Romance|Sport,Prefontaine ,5673,2,http://www.imdb.com/title/tt0119937/?ref_=fn_tt_tt_1,English,USA,1997,273,0
Michael Winner,136,977,Adventure|Drama,The Wicked Lady ,802,0,http://www.imdb.com/title/tt0086582/?ref_=fn_tt_tt_1,English,UK,1983,649,79
Tomm Moore,45,61,Adventure|Animation|Family|Fantasy,The Secret of Kells ,22811,0,http://www.imdb.com/title/tt0485601/?ref_=fn_tt_tt_1,English,France,2009,5,11000
John Carney,109,480,Drama|Music,Begin Again ,99430,1,http://www.imdb.com/title/tt1980929/?ref_=fn_tt_tt_1,English,USA,2013,12,43000
David Jacobson,12,2000,Drama|Romance|Thriller,Down in the Valley ,16617,2,http://www.imdb.com/title/tt0398027/?ref_=fn_tt_tt_1,English,USA,2005,844,412
Michael Corrente,30,480,Crime|Drama,Brooklyn Rules ,5049,3,http://www.imdb.com/title/tt0283503/?ref_=fn_tt_tt_1,English,USA,2007,257,226
Edward Hall,0,3000,Drama|Romance,Restless ,2098,2,http://www.imdb.com/title/tt2241676/?ref_=fn_tt_tt_1,English,UK,2012,2000,434
Keith Gordon,200,21000,Comedy|Crime|Musical|Mystery,The Singing Detective ,7116,2,http://www.imdb.com/title/tt0314676/?ref_=fn_tt_tt_1,English,USA,2003,18000,494
David Leland,2,735,Drama|Romance|War,The Land Girls ,1591,3,http://www.imdb.com/title/tt0119494/?ref_=fn_tt_tt_1,English,UK,1998,306,75
Andrew Currie,8,553,Comedy|Drama|Horror|Sci-Fi,Fido ,25055,1,http://www.imdb.com/title/tt0457572/?ref_=fn_tt_tt_1,English,Canada,2006,177,0
Andrew Wilson,387,8000,Comedy|Drama|Romance,The Wendell Baker Story ,5159,4,http://www.imdb.com/title/tt0373445/?ref_=fn_tt_tt_1,English,USA,2005,489,143
Jonathan Lynn,36,10000,Action|Comedy|Crime,Wild Target ,29994,4,http://www.imdb.com/title/tt1235189/?ref_=fn_tt_tt_1,English,UK,2010,692,0
Marc Schölermann,3,905,Crime|Horror|Thriller,Pathology ,26849,0,http://www.imdb.com/title/tt0964539/?ref_=fn_tt_tt_1,English,USA,2008,513,3000
,,27000,Drama|Romance,Wuthering Heights             ,6053,2,http://www.imdb.com/title/tt1238834/?ref_=fn_tt_tt_1,English,UK,,698,0
Robert Moresco,53,954,Crime|Drama|Thriller,10th & Wolf ,5557,5,http://www.imdb.com/title/tt0360323/?ref_=fn_tt_tt_1,English,USA,2006,551,294
Thomas Vinterberg,346,947,Comedy|Crime|Drama|Romance,Dear Wendy ,9003,0,http://www.imdb.com/title/tt0342272/?ref_=fn_tt_tt_1,English,Italy,2004,526,532
Claudia Llosa,43,144,Drama,Aloft ,2103,1,http://www.imdb.com/title/tt2494384/?ref_=fn_tt_tt_1,English,Spain,2014,63,675
Katsuhiro Ôtomo,78,6,Action|Animation|Sci-Fi,Akira ,106160,0,http://www.imdb.com/title/tt0094625/?ref_=fn_tt_tt_1,Japanese,Japan,1988,5,0
John Herzfeld,17,23000,Action|Crime|Thriller,The Death and Life of Bobby Z ,12078,2,http://www.imdb.com/title/tt0473188/?ref_=fn_tt_tt_1,English,USA,2007,10000,0
Charles Binamé,2,413,Biography|Drama|Sport,The Rocket: The Legend of Rocket Richard ,4412,0,http://www.imdb.com/title/tt0460505/?ref_=fn_tt_tt_1,French,Canada,2005,265,520
Keith Parmer,2,31000,Action|Crime|Drama|Thriller,Swelter ,1965,6,http://www.imdb.com/title/tt2112277/?ref_=fn_tt_tt_1,English,USA,2014,920,438
Dennie Gordon,29,163,Action|Adventure|Comedy|Romance,My Lucky Star ,322,2,http://www.imdb.com/title/tt2102502/?ref_=fn_tt_tt_1,Chinese,China,2013,20,81
Ol Parker,21,186,Comedy|Drama|Romance,Imagine Me & You ,23023,0,http://www.imdb.com/title/tt0421994/?ref_=fn_tt_tt_1,English,UK,2005,119,0
Bruce Beresford,78,502,Drama,Mr. Church ,63,0,http://www.imdb.com/title/tt4196848/?ref_=fn_tt_tt_1,English,USA,2016,206,205
François Ozon,341,844,Crime|Drama|Mystery|Thriller,Swimming Pool ,35065,0,http://www.imdb.com/title/tt0324133/?ref_=fn_tt_tt_1,English,France,2003,521,0
James Nunn,16,1000,Action|Drama,Green Street 3: Never Back Down ,3740,2,http://www.imdb.com/title/tt2628316/?ref_=fn_tt_tt_1,English,UK,2013,524,0
David Webb Peoples,73,848,Action|Sci-Fi|Sport,The Blood of Heroes ,4792,2,http://www.imdb.com/title/tt0094764/?ref_=fn_tt_tt_1,English,Australia,1989,643,999
Michael Winnick,155,981,Action,Code of Honor ,662,0,http://www.imdb.com/title/tt4060866/?ref_=fn_tt_tt_1,English,USA,2016,505,689
Bruce Beresford,78,11000,Comedy|Drama|Family,Driving Miss Daisy ,72324,1,http://www.imdb.com/title/tt0097239/?ref_=fn_tt_tt_1,English,USA,1989,509,3000
George Tillman Jr.,88,1000,Comedy|Drama,Soul Food ,5275,6,http://www.imdb.com/title/tt0120169/?ref_=fn_tt_tt_1,English,USA,1997,1000,508
Stanley Tong,7,186,Action|Comedy,Rumble in the Bronx ,29843,1,http://www.imdb.com/title/tt0113326/?ref_=fn_tt_tt_1,Cantonese,Hong Kong,1995,147,0
David Oelhoffen,2,10000,Drama|War|Western,Far from Men ,4035,0,http://www.imdb.com/title/tt2936180/?ref_=fn_tt_tt_1,French,France,2014,154,2000
Jason Reitman,655,24000,Comedy|Drama,Thank You for Smoking ,191998,0,http://www.imdb.com/title/tt0427944/?ref_=fn_tt_tt_1,English,USA,2005,829,0
Eli Roth,0,1000,Horror,Hostel: Part II ,69989,0,http://www.imdb.com/title/tt0498353/?ref_=fn_tt_tt_1,English,USA,2007,683,0
Lone Scherfig,92,3000,Drama,An Education ,112138,0,http://www.imdb.com/title/tt1174732/?ref_=fn_tt_tt_1,English,UK,2009,766,12000
Anand Tucker,14,827,Drama|Romance,Shopgirl ,21225,3,http://www.imdb.com/title/tt0338427/?ref_=fn_tt_tt_1,English,USA,2005,545,1000
Tony Richardson,62,584,Comedy|Drama|Romance,The Hotel New Hampshire ,6595,0,http://www.imdb.com/title/tt0087428/?ref_=fn_tt_tt_1,English,UK,1984,552,345
Joe Carnahan,248,673,Crime|Drama|Mystery|Thriller,Narc ,34098,1,http://www.imdb.com/title/tt0272207/?ref_=fn_tt_tt_1,English,USA,2002,466,1000
Paul Gross,329,611,Comedy|Drama|Romance|Sport,Men with Brooms ,3709,3,http://www.imdb.com/title/tt0263734/?ref_=fn_tt_tt_1,English,Canada,2002,329,0
Charles Robert Carner,18,834,Comedy|Crime,Witless Protection ,5463,2,http://www.imdb.com/title/tt1001562/?ref_=fn_tt_tt_1,English,USA,2008,749,140
Russell Holt,0,373,Drama|Romance,The Work and the Glory ,833,1,http://www.imdb.com/title/tt0410454/?ref_=fn_tt_tt_1,English,USA,2004,266,31
Mike Judge,406,24000,Comedy|Crime|Romance,Extract ,37530,6,http://www.imdb.com/title/tt1225822/?ref_=fn_tt_tt_1,English,USA,2009,15000,0
Larry Charles,119,12000,Comedy|Drama|Music,Masked and Anonymous ,3972,0,http://www.imdb.com/title/tt0319829/?ref_=fn_tt_tt_1,English,USA,2003,844,655
Claude Miller,27,71,Comedy|Crime|Drama|Romance|Thriller,Alias Betty ,1439,0,http://www.imdb.com/title/tt0269329/?ref_=fn_tt_tt_1,French,France,2001,59,26
Michael Winterbottom,187,631,Drama|Romance|Sci-Fi|Thriller,Code 46 ,18109,0,http://www.imdb.com/title/tt0345061/?ref_=fn_tt_tt_1,English,UK,2003,163,0
Sacha Bennett,22,5000,Comedy,Outside Bet ,243,3,http://www.imdb.com/title/tt1772422/?ref_=fn_tt_tt_1,English,UK,2012,659,223
Paul Haggis,549,3000,Crime|Drama|Thriller,Crash ,361169,0,http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1,English,Germany,2004,912,18000
Rodrigo García,127,3000,Drama,Albert Nobbs ,19616,3,http://www.imdb.com/title/tt1602098/?ref_=fn_tt_tt_1,English,UK,2011,415,0
Jeta Amata,20,262,Action|Crime|Drama|Thriller,Black November ,385,3,http://www.imdb.com/title/tt2147225/?ref_=fn_tt_tt_1,English,Nigeria,2012,65,389
Siddharth Anand,5,532,Comedy|Family|Romance,Ta Ra Rum Pum ,2909,3,http://www.imdb.com/title/tt0833553/?ref_=fn_tt_tt_1,Hindi,USA,2007,249,108
Vincent Paronnaud,10,963,Animation|Biography|Drama|War,Persepolis ,70194,0,http://www.imdb.com/title/tt0808417/?ref_=fn_tt_tt_1,French,France,2007,545,14000
Joe Dante,287,844,Adventure|Fantasy|Thriller,The Hole ,19157,2,http://www.imdb.com/title/tt1085779/?ref_=fn_tt_tt_1,English,USA,2009,708,0
Dennis Gansel,23,287,Drama|Thriller,The Wave ,80639,0,http://www.imdb.com/title/tt1063669/?ref_=fn_tt_tt_1,German,Germany,2008,150,25000
Nicolas Winding Refn,0,18000,Horror|Thriller,The Neon Demon ,9866,2,http://www.imdb.com/title/tt1974419/?ref_=fn_tt_tt_1,English,France,2016,860,0
Daniel Barber,12,788,Action|Crime|Drama|Thriller,Harry Brown ,74435,1,http://www.imdb.com/title/tt1289406/?ref_=fn_tt_tt_1,English,UK,2009,698,0
Sam Raimi,0,24000,Action|Adventure|Romance,Spider-Man 3 ,383071,0,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,English,USA,2007,11000,0
Robert Marcarelli,0,488,Action|Adventure|Fantasy|Sci-Fi|Thriller,The Omega Code ,4682,0,http://www.imdb.com/title/tt0203408/?ref_=fn_tt_tt_1,English,USA,1999,488,129
Jason Reitman,655,24000,Comedy|Drama|Romance,Juno ,414335,0,http://www.imdb.com/title/tt0467406/?ref_=fn_tt_tt_1,English,USA,2007,3000,10000
Ernie Barbarash,249,294,Action|Thriller,Pound of Flesh ,4099,0,http://www.imdb.com/title/tt3488328/?ref_=fn_tt_tt_1,English,Canada,2015,284,0
Guy Hamilton,82,244,Action|Adventure|Thriller,Diamonds Are Forever ,74249,2,http://www.imdb.com/title/tt0066995/?ref_=fn_tt_tt_1,English,UK,1971,177,0
Francis Ford Coppola,0,14000,Crime|Drama,The Godfather ,1155770,1,http://www.imdb.com/title/tt0068646/?ref_=fn_tt_tt_1,English,USA,1972,10000,43000
Adrian Lyne,213,225,Drama|Music|Romance,Flashdance ,35172,0,http://www.imdb.com/title/tt0085549/?ref_=fn_tt_tt_1,English,USA,1983,174,0
Marc Webb,464,23000,Comedy|Drama|Romance,500 Days of Summer ,376600,43,http://www.imdb.com/title/tt1022603/?ref_=fn_tt_tt_1,English,USA,2009,17000,40000
Jane Campion,319,1000,Drama|Music|Romance,The Piano ,63931,1,http://www.imdb.com/title/tt0107822/?ref_=fn_tt_tt_1,English,New Zealand,1993,18,0
Steven Soderbergh,0,17000,Comedy|Drama,Magic Mike ,108843,1,http://www.imdb.com/title/tt1915581/?ref_=fn_tt_tt_1,English,USA,2012,15000,54000
Jonathan Liebesman,474,1000,Horror|Mystery|Thriller,Darkness Falls ,25870,0,http://www.imdb.com/title/tt0282209/?ref_=fn_tt_tt_1,English,USA,2003,970,2000
Guy Hamilton,82,581,Action|Adventure|Thriller,Live and Let Die ,74957,3,http://www.imdb.com/title/tt0070328/?ref_=fn_tt_tt_1,English,UK,1973,547,0
Jay Russell,13,1000,Drama|Family|Sport,My Dog Skip ,16651,0,http://www.imdb.com/title/tt0156812/?ref_=fn_tt_tt_1,English,USA,2000,934,0
Adam Brooks,20,16000,Comedy|Drama|Romance,"Definitely, Maybe ",127760,5,http://www.imdb.com/title/tt0832266/?ref_=fn_tt_tt_1,English,Germany,2008,109,0
Salim Akil,70,1000,Comedy|Drama,Jumping the Broom ,7973,8,http://www.imdb.com/title/tt1640484/?ref_=fn_tt_tt_1,English,USA,2011,912,0
Baz Luhrmann,1000,29000,Drama|Romance,The Great Gatsby ,362933,4,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,English,Australia,2013,509,115000
George Clooney,0,21000,Biography|Drama|History,"Good Night, and Good Luck. ",84070,0,http://www.imdb.com/title/tt0433383/?ref_=fn_tt_tt_1,English,USA,2005,650,0
Bennett Miller,152,22000,Biography|Crime|Drama,Capote ,100571,1,http://www.imdb.com/title/tt0379725/?ref_=fn_tt_tt_1,English,Canada,2005,68,0
Robert Rodriguez,0,16000,Action|Crime|Thriller,Desperado ,138707,0,http://www.imdb.com/title/tt0112851/?ref_=fn_tt_tt_1,English,USA,1995,12000,0
Michael Winterbottom,187,14000,Drama|Romance|Western,The Claim ,5254,4,http://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1,English,UK,2000,900,141
,,4000,Crime|Drama|Thriller,Fargo             ,170055,0,http://www.imdb.com/title/tt2802850/?ref_=fn_tt_tt_1,English,USA,,1000,61000
Michael Anderson,23,1000,Action|Adventure|Sci-Fi,Logan's Run ,39847,1,http://www.imdb.com/title/tt0074812/?ref_=fn_tt_tt_1,English,USA,1976,659,0
Guy Hamilton,82,16000,Action|Adventure|Thriller,The Man with the Golden Gun ,73950,3,http://www.imdb.com/title/tt0071807/?ref_=fn_tt_tt_1,English,UK,1974,387,2000
Craig R. Baxley,22,1000,Action|Comedy|Crime|Thriller,Action Jackson ,7569,2,http://www.imdb.com/title/tt0094612/?ref_=fn_tt_tt_1,English,USA,1988,841,978
Neil Marshall,197,513,Adventure|Horror|Thriller,The Descent ,154938,0,http://www.imdb.com/title/tt0435625/?ref_=fn_tt_tt_1,English,UK,2005,239,10000
Don Kempf,0,13000,Documentary|Sport,Michael Jordan to the Max ,1723,0,http://www.imdb.com/title/tt0245280/?ref_=fn_tt_tt_1,English,USA,2000,366,407
