director_name,num_critic_for_reviews,actor_2_name,gross,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,country,actor_2_facebook_likes,imdb_score
Tommy O'Haver,89,Steve Coogan,22913677,Ella Enchanted ,47800,17292,Joanna Lumley,1,http://www.imdb.com/title/tt0327679/?ref_=fn_tt_tt_1,USA,1000,6.3
Peter Landesman,219,Eddie Marsan,34531832,Concussion ,44788,13371,Albert Brooks,0,http://www.imdb.com/title/tt3322364/?ref_=fn_tt_tt_1,UK,979,7.1
John Singleton,180,Benjamin J. Cain Jr.,28064226,Abduction ,65044,561,Richard Cetrone,1,http://www.imdb.com/title/tt1600195/?ref_=fn_tt_tt_1,USA,73,5.0
Gary Chapman,93,Olivia Williams,19447478,Valiant ,15788,1908,Pip Torrens,0,http://www.imdb.com/title/tt0361089/?ref_=fn_tt_tt_1,UK,766,5.6
Curtis Hanson,173,Rip Torn,19389454,Wonder Boys ,54643,22974,Richard Thomas,5,http://www.imdb.com/title/tt0185014/?ref_=fn_tt_tt_1,USA,826,7.4
Craig Mazin,121,Tracy Morgan,25871834,Superhero Movie ,52052,3266,Marion Ross,6,http://www.imdb.com/title/tt0426592/?ref_=fn_tt_tt_1,USA,642,4.5
Allen Hughes,298,James Ransone,19692608,Broken City ,63548,2073,Michael Beach,3,http://www.imdb.com/title/tt1235522/?ref_=fn_tt_tt_1,USA,412,6.2
Wes Craven,158,Portia de Rossi,19294901,Cursed ,26126,2535,Derek Mears,0,http://www.imdb.com/title/tt0257516/?ref_=fn_tt_tt_1,USA,573,5.0
David Koepp,248,Dania Ramirez,20275446,Premium Rush ,95274,24669,Aasif Mandvi,0,http://www.imdb.com/title/tt1547234/?ref_=fn_tt_tt_1,USA,1000,6.5
Anne Fletcher,155,Richard T. Jones,34507079,Hot Pursuit ,34948,1679,Michael Mosley,2,http://www.imdb.com/title/tt2967224/?ref_=fn_tt_tt_1,USA,328,5.1
Shekhar Kapur,105,Lucy Gordon,18306166,The Four Feathers ,28130,3142,Alex Jennings,2,http://www.imdb.com/title/tt0240510/?ref_=fn_tt_tt_1,UK,61,6.5
Taylor Hackford,224,Clifton Collins Jr.,17609982,Parker ,90046,28479,Wendell Pierce,0,http://www.imdb.com/title/tt1904996/?ref_=fn_tt_tt_1,USA,968,6.2
Richard Loncraine,129,Jon Favreau,16831505,Wimbledon ,51842,9330,Austin Nichols,1,http://www.imdb.com/title/tt0360201/?ref_=fn_tt_tt_1,UK,4000,6.3
Roger Kumble,101,Brooke Shields,17596256,Furry Vengeance ,12399,6327,Matt Prokop,1,http://www.imdb.com/title/tt0492389/?ref_=fn_tt_tt_1,USA,1000,3.8
Kimble Rendall,145,Cariba Heine,,Bait ,11482,1361,Richard Brancatisano,1,http://www.imdb.com/title/tt1438173/?ref_=fn_tt_tt_1,Australia,351,5.2
Peter Yates,57,Alun Armstrong,,Krull ,23351,14744,Lysette Anthony,1,http://www.imdb.com/title/tt0085811/?ref_=fn_tt_tt_1,UK,192,6.0
Robert Redford,227,Tom Cruise,14998070,Lions for Lambs ,41170,32875,Andrew Garfield,3,http://www.imdb.com/title/tt0891527/?ref_=fn_tt_tt_1,USA,10000,6.2
John Milius,13,Dann Florek,14587732,Flight of the Intruder ,4795,1290,Christopher Rich,3,http://www.imdb.com/title/tt0099587/?ref_=fn_tt_tt_1,USA,367,5.7
Jake Kasdan,171,Nat Faxon,18317151,Walk Hard: The Dewey Cox Story ,55630,1082,Matt Price,1,http://www.imdb.com/title/tt0841046/?ref_=fn_tt_tt_1,USA,214,6.7
Lasse Hallström,119,Scott Glenn,11405825,The Shipping News ,28542,19805,Jason Behr,3,http://www.imdb.com/title/tt0120824/?ref_=fn_tt_tt_1,USA,826,6.8
Les Mayfield,44,Ronny Cox,13264986,American Outlaws ,12077,1668,Harris Yulin,2,http://www.imdb.com/title/tt0244000/?ref_=fn_tt_tt_1,USA,605,6.0
Jean-Marc Vallée,188,Jim Broadbent,10991381,The Young Victoria ,44931,5890,Thomas Kretschmann,1,http://www.imdb.com/title/tt0962736/?ref_=fn_tt_tt_1,UK,1000,7.3
Dominic Sena,166,Bashar Rahal,10268846,Whiteout ,31918,1947,Shawn Doyle,1,http://www.imdb.com/title/tt0365929/?ref_=fn_tt_tt_1,USA,603,5.5
Terrence Malick,584,Tye Sheridan,13303319,The Tree of Life ,136367,13021,Fiona Shaw,0,http://www.imdb.com/title/tt0478304/?ref_=fn_tt_tt_1,USA,1000,6.7
Hark Tsui,67,Lela Rochon,10076136,Knock Off ,11512,1352,Ray Nicholas,0,http://www.imdb.com/title/tt0120724/?ref_=fn_tt_tt_1,Aruba,316,4.8
David Ayer,233,Martin Donovan,10499968,Sabotage ,47498,1458,Maurice Compte,3,http://www.imdb.com/title/tt1742334/?ref_=fn_tt_tt_1,USA,206,5.7
Brian Helgeland,112,Mark Addy,7659747,The Order ,14962,14165,Benno Fürmann,1,http://www.imdb.com/title/tt0304711/?ref_=fn_tt_tt_1,USA,891,5.1
Lexi Alexander,151,Wayne Knight,7948159,Punisher: War Zone ,48999,6563,Colin Salmon,1,http://www.imdb.com/title/tt0450314/?ref_=fn_tt_tt_1,USA,967,6.0
Peter Hewitt,63,Rip Torn,11631245,Zoom ,15015,5022,Thomas F. Wilson,5,http://www.imdb.com/title/tt0383060/?ref_=fn_tt_tt_1,USA,826,4.2
Robert Zemeckis,335,Soleyman Pierini,10137502,The Walk ,77394,23031,Jade Kindar-Martin,0,http://www.imdb.com/title/tt3488710/?ref_=fn_tt_tt_1,USA,22,7.4
Ronny Yu,24,Lee Arenberg,6448817,Warriors of Virtue ,2189,1993,Angus Macfadyen,0,http://www.imdb.com/title/tt0120479/?ref_=fn_tt_tt_1,USA,457,4.6
Ridley Scott,147,Albert Finney,7458269,A Good Year ,70698,3611,Richard Coyle,1,http://www.imdb.com/title/tt0401445/?ref_=fn_tt_tt_1,USA,883,6.9
,51,Indira Varma,,Luther             ,70568,3823,Warren Brown,1,http://www.imdb.com/title/tt1474684/?ref_=fn_tt_tt_1,UK,729,8.6
Richard Donner,10,Thomas Ian Nicholas,4651977,Radio Flyer ,10410,4334,John Heard,3,http://www.imdb.com/title/tt0105211/?ref_=fn_tt_tt_1,USA,864,6.9
Taylor Hackford,12,Jesse Borrego,4496583,Blood In, Blood Out ,23181,3227,Raymond Cruz,2,http://www.imdb.com/title/tt0106469/?ref_=fn_tt_tt_1,USA,674,8.0
Bille August,50,Tom Wilkinson,2221994,Smilla's Sense of Snow ,11747,3125,Julia Ormond,1,http://www.imdb.com/title/tt0120152/?ref_=fn_tt_tt_1,Denmark,1000,6.4
Brian De Palma,149,Gregg Henry,6592103,Femme Fatale ,28584,1005,Rie Rasmussen,1,http://www.imdb.com/title/tt0280665/?ref_=fn_tt_tt_1,France,298,6.3
Moustapha Akkad,24,Rod Steiger,,Lion of the Desert ,9852,1573,John Gielgud,0,http://www.imdb.com/title/tt0081059/?ref_=fn_tt_tt_1,Libya,279,8.4
Jean-Paul Rappeneau,28,François Cluzet,1877179,The Horseman on the Roof ,4885,1508,Isabelle Carré,1,http://www.imdb.com/title/tt0113362/?ref_=fn_tt_tt_1,France,541,7.1
Ang Lee,95,Jeffrey Dover,630779,Ride with the Devil ,11101,5,Tobey Maguire,0,http://www.imdb.com/title/tt0134154/?ref_=fn_tt_tt_1,USA,2,6.8
Alejandro G. Iñárritu,288,Hanaa Bouchaib,5100937,Biutiful ,68885,50,Eduard Fernández,0,http://www.imdb.com/title/tt1164999/?ref_=fn_tt_tt_1,Mexico,9,7.5
Roland Joffé,10,Alice Englert,,The Lovers ,2138,1980,Bipasha Basu,3,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,Belgium,525,4.5
Joachim Rønning,58,Sam Shepard,,Bandidas ,28848,5377,Dwight Yoakam,2,http://www.imdb.com/title/tt0416496/?ref_=fn_tt_tt_1,France,820,5.7
Tony Kaye,,Aisha Tyler,,Black Water Transit ,219,3874,Beverly D'Angelo,0,http://www.imdb.com/title/tt0490087/?ref_=fn_tt_tt_1,USA,856,7.2
Wes Ball,297,Aml Ameen,102413606,The Maze Runner ,310903,1783,Jacob Latimore,0,http://www.imdb.com/title/tt1790864/?ref_=fn_tt_tt_1,USA,149,6.8
Ken Scott,90,June Diane Raphael,10214013,Unfinished Business ,23072,1564,Melissa McMeekin,2,http://www.imdb.com/title/tt2358925/?ref_=fn_tt_tt_1,USA,249,5.4
Martin Scorsese,56,Geraldine Chaplin,32000000,The Age of Innocence ,36267,1068,Stuart Wilson,3,http://www.imdb.com/title/tt0106226/?ref_=fn_tt_tt_1,USA,382,7.2
Darren Aronofsky,274,Ellen Burstyn,10139254,The Fountain ,190990,24640,Mark Margolis,0,http://www.imdb.com/title/tt0414993/?ref_=fn_tt_tt_1,USA,1000,7.3
Hugh Johnson,68,Kevin J. O'Connor,11227940,Chill Factor ,8367,1274,Hudson Leick,0,http://www.imdb.com/title/tt0163579/?ref_=fn_tt_tt_1,USA,248,5.2
Simon West,98,Mark Valley,183125,Stolen ,36914,14978,Sami Gayle,1,http://www.imdb.com/title/tt1656186/?ref_=fn_tt_tt_1,USA,774,5.5
Hayao Miyazaki,256,Yûki Amami,15081783,Ponyo ,85589,13,Yuria Nara,0,http://www.imdb.com/title/tt0876563/?ref_=fn_tt_tt_1,Japan,3,7.7
George Tillman Jr.,117,Melissa Benoist,37432299,The Longest Ride ,50041,3386,Hayley Lovitt,0,http://www.imdb.com/title/tt2726560/?ref_=fn_tt_tt_1,USA,970,7.1
Rand Ravich,107,Charlize Theron,10654581,The Astronaut's Wife ,45497,52621,Clea DuVall,0,http://www.imdb.com/title/tt0138304/?ref_=fn_tt_tt_1,USA,9000,5.3
Hugh Hudson,52,Eva Marie Saint,6543194,I Dreamed of Africa ,3740,1778,Vincent Perez,1,http://www.imdb.com/title/tt0167203/?ref_=fn_tt_tt_1,USA,649,5.6
Gabriele Muccino,135,Dennis Quaid,13101142,Playing for Keeps ,23916,23122,Judy Greer,5,http://www.imdb.com/title/tt1540128/?ref_=fn_tt_tt_1,USA,2000,5.7
Justin Chadwick,211,Fana Mokoena,8324748,Mandela: Long Walk to Freedom ,21223,301,Tony Kgoroge,1,http://www.imdb.com/title/tt2304771/?ref_=fn_tt_tt_1,UK,98,7.1
Warren Beatty,57,Warren Beatty,,Reds ,16255,2291,M. Emmet Walsh,0,http://www.imdb.com/title/tt0082979/?ref_=fn_tt_tt_1,USA,631,7.5
Rob Reiner,81,Demi Moore,141340178,A Few Good Men ,181879,14619,Kevin Pollak,0,http://www.imdb.com/title/tt0104257/?ref_=fn_tt_tt_1,USA,2000,7.6
Andrzej Bartkowiak,107,Bill Duke,51758599,Exit Wounds ,27580,5942,Bruce McGill,0,http://www.imdb.com/title/tt0242445/?ref_=fn_tt_tt_1,USA,1000,5.5
Raja Gosnell,100,Cedric the Entertainer,117559438,Big Momma's House ,66941,1790,Tichina Arnold,1,http://www.imdb.com/title/tt0208003/?ref_=fn_tt_tt_1,USA,436,5.1
Jeremy Degruson,60,Brianne Brozey,4091,Thunder and the House of Magic ,4265,369,Joe Ochman,0,http://www.imdb.com/title/tt3148834/?ref_=fn_tt_tt_1,Belgium,15,6.3
Chris Gorak,195,Veronika Vernadskaya,21426805,The Darkest Hour ,49312,843,Dato Bakhtadze,0,http://www.imdb.com/title/tt1093357/?ref_=fn_tt_tt_1,USA,150,4.9
Scott Speer,121,Stephen Boss,35057332,Step Up Revolution ,45394,4863,Misha Gabriel Hamilton,0,http://www.imdb.com/title/tt1800741/?ref_=fn_tt_tt_1,USA,594,6.5
David R. Ellis,285,Kenan Thompson,34014398,Snakes on a Plane ,115649,2604,Rachel Blanchard,0,http://www.imdb.com/title/tt0417148/?ref_=fn_tt_tt_1,Germany,521,5.6
Joe Charbanic,103,Joseph Sikora,28927720,The Watcher ,22220,18688,Chris Ellis,0,http://www.imdb.com/title/tt0204626/?ref_=fn_tt_tt_1,USA,223,5.3
Jonathan Hensleigh,192,Marco St. John,33682273,The Punisher ,124242,2114,Eddie Jemison,1,http://www.imdb.com/title/tt0330793/?ref_=fn_tt_tt_1,USA,403,6.5
Danny Cannon,90,Kuno Becker,4280577,Goal! The Dream Begins ,50919,2859,Stephen Dillane,0,http://www.imdb.com/title/tt0380389/?ref_=fn_tt_tt_1,USA,580,6.8
Boaz Yakin,258,Reggie Lee,17120019,Safe ,83097,27759,Robert John Burke,2,http://www.imdb.com/title/tt1656190/?ref_=fn_tt_tt_1,USA,828,6.5
Mike Newell,56,Kurt Fuller,8406264,Pushing Tin ,24826,13093,Jake Weber,3,http://www.imdb.com/title/tt0120797/?ref_=fn_tt_tt_1,USA,617,6.0
Richard Marquand,197,Ian McDiarmid,309125409,Star Wars: Episode VI - Return of the Jedi ,681857,13649,Kenny Baker,0,http://www.imdb.com/title/tt0086190/?ref_=fn_tt_tt_1,USA,1000,8.4
Neil Marshall,254,Jason Cope,10955425,Doomsday ,62770,391,Jeremy Crutchley,1,http://www.imdb.com/title/tt0483607/?ref_=fn_tt_tt_1,UK,107,6.0
Stephen Daldry,299,David Kross,34180954,The Reader ,189812,14504,Susanne Lothar,0,http://www.imdb.com/title/tt0976051/?ref_=fn_tt_tt_1,USA,388,7.6
David Wain,163,Lauren Ambrose,17225675,Wanderlust ,62198,4151,Joe Lo Truglio,2,http://www.imdb.com/title/tt1655460/?ref_=fn_tt_tt_1,USA,945,5.6
Jon Favreau,152,Zooey Deschanel,173381405,Elf ,147597,43354,Will Ferrell,1,http://www.imdb.com/title/tt0319343/?ref_=fn_tt_tt_1,USA,11000,6.9
Jon Turteltaub,53,Kyra Sedgwick,104632573,Phenomenon ,63839,5975,David Gallagher,1,http://www.imdb.com/title/tt0117333/?ref_=fn_tt_tt_1,USA,941,6.4
Brian Levant,67,Nichelle Nichols,81150692,Snow Dogs ,20219,2916,M. Emmet Walsh,1,http://www.imdb.com/title/tt0281373/?ref_=fn_tt_tt_1,Canada,664,5.1
Richard Donner,88,Alfre Woodard,60328558,Scrooged ,61396,18734,Robert Mitchum,1,http://www.imdb.com/title/tt0096061/?ref_=fn_tt_tt_1,USA,1000,7.0
Jared Hess,163,Moises Arias,80197993,Nacho Libre ,65551,1729,Héctor Jiménez,1,http://www.imdb.com/title/tt0457510/?ref_=fn_tt_tt_1,Germany,635,5.7
Paul Feig,371,Wendi McLendon-Covey,169076745,Bridesmaids ,218711,3229,Steve Bannos,6,http://www.imdb.com/title/tt1478338/?ref_=fn_tt_tt_1,USA,655,6.8
Evan Goldberg,418,James Franco,101470202,This Is the End ,310540,38751,Emma Watson,6,http://www.imdb.com/title/tt1245492/?ref_=fn_tt_tt_1,USA,11000,6.7
Rupert Wainwright,131,Enrico Colantoni,50041732,Stigmata ,54390,3004,Portia de Rossi,0,http://www.imdb.com/title/tt0145531/?ref_=fn_tt_tt_1,USA,724,6.2
George Tillman Jr.,98,Charlize Theron,48814909,Men of Honor ,89424,36069,Michael Rapaport,0,http://www.imdb.com/title/tt0203019/?ref_=fn_tt_tt_1,USA,9000,7.2
John Luessenhop,119,Hayden Christensen,57744720,Takers ,46961,31529,Jay Hernandez,5,http://www.imdb.com/title/tt1135084/?ref_=fn_tt_tt_1,USA,4000,6.2
Justin Zackham,133,Robert De Niro,21784432,The Big Wedding ,37493,74181,Topher Grace,8,http://www.imdb.com/title/tt1931435/?ref_=fn_tt_tt_1,USA,22000,5.6
John Whitesell,88,Tony Curran,37911876,Big Mommas: Like Father, Like Son ,19671,3500,Portia Doubleday,2,http://www.imdb.com/title/tt1464174/?ref_=fn_tt_tt_1,USA,845,4.4
Duncan Jones,522,Cas Anvar,54696902,Source Code ,379462,16034,Russell Peters,3,http://www.imdb.com/title/tt0945513/?ref_=fn_tt_tt_1,USA,491,7.5
Frank Marshall,43,Danny Nucci,36733909,Alive ,38949,2054,Michael DeLorenzo,3,http://www.imdb.com/title/tt0106246/?ref_=fn_tt_tt_1,USA,242,7.1
Joel Schumacher,224,Virginia Madsen,35063732,The Number 23 ,164608,10938,Ed Lauter,1,http://www.imdb.com/title/tt0481369/?ref_=fn_tt_tt_1,USA,912,6.4
Jean-Pierre Jeunet,122,Julian Richings,99462,The Young and Prodigious T.S. Spivet ,11347,1843,Judy Davis,1,http://www.imdb.com/title/tt1981107/?ref_=fn_tt_tt_1,France,648,7.1
Steven Spielberg,56,John Belushi,,1941 ,25193,20201,Treat Williams,5,http://www.imdb.com/title/tt0078723/?ref_=fn_tt_tt_1,USA,1000,5.9
John Gatins,75,Freddy Rodríguez,32701088,Dreamer: Inspired by a True Story ,10018,1400,Holmes Osborne,1,http://www.imdb.com/title/tt0418647/?ref_=fn_tt_tt_1,USA,579,6.9
David Cronenberg,441,Kyle Schmid,31493782,A History of Violence ,186606,12754,William Hurt,1,http://www.imdb.com/title/tt0399146/?ref_=fn_tt_tt_1,USA,917,7.5
Louis Leterrier,163,Jason Flemyng,43095600,Transporter 2 ,156267,29050,Matthew Modine,1,http://www.imdb.com/title/tt0388482/?ref_=fn_tt_tt_1,France,1000,6.3
Sam Raimi,63,Pat Hingle,18636537,The Quick and the Dead ,69197,29743,Roberts Blossom,0,http://www.imdb.com/title/tt0114214/?ref_=fn_tt_tt_1,Japan,165,6.4
Peter Howitt,90,Mike Doyle,17848322,Laws of Attraction ,18771,961,Nora Dunn,1,http://www.imdb.com/title/tt0323033/?ref_=fn_tt_tt_1,Ireland,160,5.9
Martin Scorsese,163,Marc Anthony,16640210,Bringing Out the Dead ,53028,13040,Sonja Sohn,0,http://www.imdb.com/title/tt0163988/?ref_=fn_tt_tt_1,USA,368,6.8
Miguel Sapochnik,197,RZA,13763130,Repo Men ,87768,2925,Yvette Nicole Brown,0,http://www.imdb.com/title/tt1053424/?ref_=fn_tt_tt_1,USA,561,6.3
Hyung-rae Shim,93,Aimee Garcia,10956379,Dragon Wars: D-War ,21506,3274,Chris Mulkey,0,http://www.imdb.com/title/tt0372873/?ref_=fn_tt_tt_1,South Korea,618,3.6
Norman Jewison,15,Nancy Travis,4357000,Bogus ,5176,3864,Andrea Martin,3,http://www.imdb.com/title/tt0115725/?ref_=fn_tt_tt_1,USA,359,5.3
Don Scardino,260,Olivia Wilde,22525921,The Incredible Burt Wonderstone ,60596,32094,Steve Carell,4,http://www.imdb.com/title/tt0790628/?ref_=fn_tt_tt_1,USA,10000,5.9
Mark Dindal,18,Frank Welker,3562749,Cats Don't Dance ,5600,7394,Hal Holbrook,0,http://www.imdb.com/title/tt0118829/?ref_=fn_tt_tt_1,USA,2000,6.9
Tim Robbins,70,Vanessa Redgrave,2899970,Cradle Will Rock ,8039,16878,Emily Watson,2,http://www.imdb.com/title/tt0150216/?ref_=fn_tt_tt_1,USA,898,6.9
Steven Soderbergh,183,Beau Bridges,1304837,The Good German ,21481,2355,Leland Orser,2,http://www.imdb.com/title/tt0452624/?ref_=fn_tt_tt_1,USA,552,6.1
Tom Reeve,12,Rollo Weeks,,George and the Dragon ,3088,1073,Simon Callow,4,http://www.imdb.com/title/tt0306892/?ref_=fn_tt_tt_1,USA,239,5.7
Francis Ford Coppola,261,Marlon Brando,78800000,Apocalypse Now ,450676,25313,Robert Duvall,1,http://www.imdb.com/title/tt0078788/?ref_=fn_tt_tt_1,USA,10000,8.5
Nanette Burstein,167,Kelli Garner,17797316,Going the Distance ,50523,2961,Jim Gaffigan,0,http://www.imdb.com/title/tt1322312/?ref_=fn_tt_tt_1,USA,730,6.3
Stephen Herek,42,Olympia Dukakis,82528097,Mr. Holland's Opus ,30230,2223,Jean Louisa Kelly,1,http://www.imdb.com/title/tt0113862/?ref_=fn_tt_tt_1,USA,345,7.3
Ariel Vromen,130,Jordi Mollà,14268533,Criminal ,17319,10910,Doug Cockle,2,http://www.imdb.com/title/tt3014866/?ref_=fn_tt_tt_1,UK,877,6.3
Sydney Pollack,66,Michael Gough,87100000,Out of Africa ,52339,12518,Michael Kitchen,0,http://www.imdb.com/title/tt0089755/?ref_=fn_tt_tt_1,USA,920,7.2
Robert Zemeckis,449,Bruce Greenwood,93749203,Flight ,264047,20952,Nadine Velazquez,0,http://www.imdb.com/title/tt1907668/?ref_=fn_tt_tt_1,USA,984,7.3
Lewis Gilbert,121,Lois Chiles,62700000,Moonraker ,69534,1008,Lois Maxwell,2,http://www.imdb.com/title/tt0079574/?ref_=fn_tt_tt_1,UK,202,6.3
Wes Anderson,536,Tom Wilkinson,59073773,The Grand Budapest Hotel ,475518,15082,F. Murray Abraham,0,http://www.imdb.com/title/tt2278388/?ref_=fn_tt_tt_1,USA,1000,8.1
Scott Hicks,135,Mika Boorem,24185781,Hearts in Atlantis ,30339,13811,Hope Davis,1,http://www.imdb.com/title/tt0252501/?ref_=fn_tt_tt_1,USA,495,6.9
Frank Marshall,74,Peter Jason,53133888,Arachnophobia ,50389,1440,Brian McNamara,0,http://www.imdb.com/title/tt0099052/?ref_=fn_tt_tt_1,USA,151,6.3
Gregory Hoblit,168,Andre Braugher,44983704,Frequency ,81866,4045,Noah Emmerich,0,http://www.imdb.com/title/tt0186151/?ref_=fn_tt_tt_1,USA,702,7.3
Paul Feig,464,Kate McKinnon,118099659,Ghostbusters ,69790,2097,Zach Woods,4,http://www.imdb.com/title/tt1289401/?ref_=fn_tt_tt_1,USA,370,5.5
John Francis Daley,204,Norman Reedus,58879132,Vacation ,66123,40312,Beverly D'Angelo,4,http://www.imdb.com/title/tt1524930/?ref_=fn_tt_tt_1,USA,12000,6.1
Barry Sonnenfeld,96,Rene Russo,72077000,Get Shorty ,62986,3439,Jon Gries,4,http://www.imdb.com/title/tt0113161/?ref_=fn_tt_tt_1,USA,808,6.9
Rob Marshall,223,Chita Rivera,170684505,Chicago ,172080,813,Jayne Eastwood,0,http://www.imdb.com/title/tt0299658/?ref_=fn_tt_tt_1,USA,151,7.2
Dennis Dugan,112,Adam Sandler,163479795,Big Daddy ,161858,26760,Joey Lauren Adams,0,http://www.imdb.com/title/tt0142342/?ref_=fn_tt_tt_1,USA,11000,6.4
J.B. Rogers,142,Shannon Elizabeth,145096820,American Pie 2 ,200260,7872,Natasha Lyonne,0,http://www.imdb.com/title/tt0252866/?ref_=fn_tt_tt_1,USA,1000,6.4
John Lasseter,166,John Ratzenberger,191796233,Toy Story ,623757,19046,Jim Varney,1,http://www.imdb.com/title/tt0114709/?ref_=fn_tt_tt_1,USA,1000,8.3
Jan de Bont,114,Alan Ruck,121248145,Speed ,260981,20966,Joe Morton,0,http://www.imdb.com/title/tt0111257/?ref_=fn_tt_tt_1,USA,946,7.2
Michael Sucsy,214,Lucas Bryant,125014030,The Vow ,145852,18322,Dillon Casey,0,http://www.imdb.com/title/tt1606389/?ref_=fn_tt_tt_1,USA,359,6.8
Tom Vaughan,126,Brendan Fraser,11854694,Extraordinary Measures ,14281,17560,Alan Ruck,2,http://www.imdb.com/title/tt1244659/?ref_=fn_tt_tt_1,USA,3000,6.5
Boaz Yakin,157,Denzel Washington,115648585,Remember the Titans ,160776,54877,Ethan Suplee,1,http://www.imdb.com/title/tt0210945/?ref_=fn_tt_tt_1,USA,18000,7.8
John McTiernan,104,Jeffrey Jones,122012643,The Hunt for Red October ,143696,2575,Courtney B. Vance,1,http://www.imdb.com/title/tt0099810/?ref_=fn_tt_tt_1,USA,692,7.6
Lee Daniels,304,David Oyelowo,116631310,Lee Daniels' The Butler ,87665,20035,Vanessa Redgrave,0,http://www.imdb.com/title/tt1327773/?ref_=fn_tt_tt_1,USA,1000,7.2
Rawson Marshall Thurber,191,Stephen Root,114324072,Dodgeball: A True Underdog Story ,185338,4730,Joel David Moore,0,http://www.imdb.com/title/tt0364725/?ref_=fn_tt_tt_1,USA,939,6.7
Barry Sonnenfeld,55,Raul Julia,113502246,The Addams Family ,96607,3696,Carel Struycken,0,http://www.imdb.com/title/tt0101272/?ref_=fn_tt_tt_1,USA,1000,6.8
Steve Oedekerk,59,Bob Gunton,108360000,Ace Ventura: When Nature Calls ,160321,2203,Sophie Okonedo,0,http://www.imdb.com/title/tt0112281/?ref_=fn_tt_tt_1,USA,461,6.3
Garry Marshall,108,Hector Elizondo,108244774,The Princess Diaries ,94049,13645,Heather Matarazzo,2,http://www.imdb.com/title/tt0247638/?ref_=fn_tt_tt_1,USA,995,6.2
Hugh Wilson,50,Elizabeth Berkley,105444419,The First Wives Club ,31817,3143,Stephen Collins,3,http://www.imdb.com/title/tt0116313/?ref_=fn_tt_tt_1,USA,893,6.2
David Fincher,216,Brad Pitt,100125340,Se7en ,1023511,22678,Reg E. Cathey,0,http://www.imdb.com/title/tt0114369/?ref_=fn_tt_tt_1,USA,11000,8.6
Neill Blomkamp,472,Jed Brophy,115646235,District 9 ,531737,2639,Jason Cope,0,http://www.imdb.com/title/tt1136608/?ref_=fn_tt_tt_1,South Africa,433,8.0
Stephen Hillenburg,89,Bill Fagerbakke,85416609,The SpongeBob SquarePants Movie ,58906,20097,Rodger Bumpass,0,http://www.imdb.com/title/tt0345950/?ref_=fn_tt_tt_1,USA,542,7.0
Clint Eastwood,229,Spencer Treat Clark,90135191,Mystic River ,338415,1942,Tom Guiry,0,http://www.imdb.com/title/tt0327056/?ref_=fn_tt_tt_1,USA,541,8.0
Clint Eastwood,268,Morgan Freeman,100422786,Million Dollar Baby ,482064,28830,Mike Colter,1,http://www.imdb.com/title/tt0405159/?ref_=fn_tt_tt_1,USA,11000,8.1
Harold Ramis,145,Chazz Palminteri,106694016,Analyze This ,123940,24333,Molly Shannon,2,http://www.imdb.com/title/tt0122933/?ref_=fn_tt_tt_1,USA,979,6.7
Nick Cassavetes,177,Kevin Connolly,64286,The Notebook ,396396,34495,Gena Rowlands,0,http://www.imdb.com/title/tt0332280/?ref_=fn_tt_tt_1,USA,638,7.9
Anne Fletcher,175,Bern Cohen,76806312,27 Dresses ,124501,2978,Yetta Gottesman,1,http://www.imdb.com/title/tt0988595/?ref_=fn_tt_tt_1,USA,805,6.1
Peter Chelsom,131,Vanessa Williams,79566871,Hannah Montana: The Movie ,31760,4516,Moises Arias,2,http://www.imdb.com/title/tt1114677/?ref_=fn_tt_tt_1,USA,1000,4.2
Stig Bergqvist,41,Casey Kasem,76501438,Rugrats in Paris: The Movie ,8146,4527,Debbie Reynolds,0,http://www.imdb.com/title/tt0213203/?ref_=fn_tt_tt_1,Germany,844,6.1
Barbra Streisand,30,Blythe Danner,74787599,The Prince of Tides ,12549,1936,Melinda Dillon,1,http://www.imdb.com/title/tt0102713/?ref_=fn_tt_tt_1,USA,713,6.6
Edward Zwick,57,Brad Pitt,66528842,Legends of the Fall ,112175,26388,Julia Ormond,2,http://www.imdb.com/title/tt0110322/?ref_=fn_tt_tt_1,USA,11000,7.5
Jason Reitman,391,Anna Kendrick,83813460,Up in the Air ,270238,35209,Chris Lowell,0,http://www.imdb.com/title/tt1193138/?ref_=fn_tt_tt_1,USA,10000,7.4
Alexander Payne,217,June Squibb,65010106,About Schmidt ,107557,1556,Howard Hesseman,1,http://www.imdb.com/title/tt0257360/?ref_=fn_tt_tt_1,USA,344,7.2
Jonathan Levine,452,Vincent Leclerc,66359959,Warm Bodies ,184641,337,Daniel Rindress-Kay,0,http://www.imdb.com/title/tt1588173/?ref_=fn_tt_tt_1,USA,18,6.9
Rian Johnson,589,Bruce Willis,66468315,Looper ,428916,37387,Tracie Thoms,0,http://www.imdb.com/title/tt1276104/?ref_=fn_tt_tt_1,USA,13000,7.4
Chris Weitz,61,Mark Addy,64172251,Down to Earth ,19079,2911,Wanda Sykes,1,http://www.imdb.com/title/tt0231775/?ref_=fn_tt_tt_1,USA,891,5.4
