director_name,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,actor_2_facebook_likes,aspect_ratio
Robby Henson,101,201,Max Ryan,973,978908,Marc Blucas,Thr3e ,2306,Justine Waddell,0,bound with duct tape|flash forward|number|riddle|stalking,90,English,Poland,PG-13,2400000,872,2.35
Mike Judge,84,233,Patrick Fischler,586,438653,Anthony 'Citric' Campos,Idiocracy ,1490,David Herman,0,experiment|future|hibernation|stupidity|top secret,434,English,USA,R,,497,1.85
Zackary Adler,110,109,Kevin Leslie,490,,Simon Merrells,The Rise of the Krays ,881,Kris Sommerville,0,,26,English,UK,R,2500000,159,
Shane Meadows,101,698,Joseph Gilgun,1000,327919,Stephen Graham,This Is England ,3282,Jack O'Connell,0,england|racism|racist|skinhead|violence,192,English,UK,Unrated,1500000,788,1.85
Dominic Burns,101,663,Sean Pertwee,844,,Julian Glover,Alien Uprising ,3132,Bianca Brigitte VanDamme,0,acronym in title|period in title|title ends with period,82,English,UK,R,2500000,722,2.35
George Sidney,101,226,Basil Rathbone,675,,Esther Williams,Bathing Beauty ,1627,Red Skelton,2,college|teacher|theatrical producer|tutu|wedding,28,English,USA,Passed,2361000,659,1.37
Carmen Marron,105,76,Aimee Garcia,847,178739,Jossara Jinaro,Go for It! ,1668,Rene Rosado,0,exclamation point in title|imperative in title|punctuation in title|three word title,10,English,USA,PG-13,2450000,618,1.85
Tim McCanlies,97,326,Michael O'Neill,982,565592,Ethan Embry,Dancer, Texas Pop. 81 ,2580,Alexandra Holden,0,best friend|friendship|population|state in title|texas,63,English,USA,PG,,599,1.85
George Sidney,108,244,Ava Gardner,960,,Agnes Moorehead,Show Boat ,2329,Howard Keel,3,gambling|interracial marriage|love|miscegenation|showboat,46,English,USA,Approved,2295429,715,1.33
Mario Van Peebles,95,608,Cinda McCain,1000,27012,Tom Skerritt,Redemption Road ,3586,Luke Perry,4,death of loved one|loss of father|loss of loved one|musician|singer,9,English,USA,PG-13,,646,2.35
Jason Stone,108,826,Ellen Burstyn,2000,,Topher Grace,The Calling ,4385,Christopher Heyerdahl,2,bouquet|house fire|praying|serial killer|tied to a chair,28,English,USA,R,,1000,
Jerry Rees,90,385,Phil Hartman,11000,,Jon Lovitz,The Brave Little Toaster ,12359,Mindy Sterling,0,journey|obsolescence|radio|toaster|vacuum cleaner,62,English,USA,Not Rated,2300000,516,
James Algar,120,,Deems Taylor,16,76400000,Leopold Stokowski,Fantasia ,16,,0,apprentice|classical music|disney|mouse|orchestra,230,English,USA,G,2280000,0,1.37
William Friedkin,104,109,Fernando Rey,813,,Roy Scheider,The French Connection ,1196,Tony Lo Bianco,0,crime boss|drug smuggling|heroin|mafia boss|organized crime,280,English,USA,R,1800000,165,1.85
Jaco Booyens,90,0,Sebastian Aguilar,210,,Nicole Smolen,8 Days ,210,Ivette Alvarez,1,,3,English,USA,PG-13,2500000,0,
Steve Miner,91,20,Dana Kimmell,72,36200000,Richard Brooker,Friday the 13th Part III ,174,Catherine Parks,0,defecation|hockey mask|jason voorhees|lake|serial killer,372,English,USA,R,4000000,31,2.35
Danny Steinmann,92,17,Melanie Kinnaman,42,21300000,Tiffany Helm,Friday the 13th: A New Beginning ,170,Dominick Brascia,0,jason voorhees|murder|new jersey|nightmare|teenager,342,English,USA,R,2200000,27,1.85
Michael Landon Jr.,117,275,Louise Fletcher,861,379643,Henry Thomas,The Last Sin Eater ,2161,A.J. Buckley,0,1850s|christian film|dark secret|funeral|sin eater,29,English,USA,PG-13,2200000,425,1.85
Jon Gunn,120,835,Delroy Lindo,2000,12985267,Alexa PenaVega,Do You Believe? ,6752,Madison Pettis,5,belief|faith|pastor|question in title|three word title,63,English,USA,PG-13,2300000,848,
Hayley Cloake,90,306,Kayla Ewell,676,,Brian Austin Green,Impact Point ,1651,Linden Ashby,2,championship|hit and run|police|police investigation|volleyball,9,English,USA,R,2200000,399,
Tay Garnett,119,275,Greer Garson,509,,Jessica Tandy,The Valley of Decision ,1490,Lionel Barrymore,0,immigrant|maid|steel mill|strike|union,29,English,USA,Passed,2160000,284,1.37
Shyam Madiraju,90,708,Ethan Peck,1000,,Jessica Lowndes,Eden ,3799,Brad Schmidt,2,flare gun|island|plane crash|soccer team|stranded,4,English,Spain,R,,800,
Harmage Singh Kalirai,90,18,Zohra Segal,114,,Saeed Jaffrey,Chicken Tikka Masala ,244,Shobu Kapoor,3,acceptance|coming out to family|gay|large family|wedding,14,English,UK,,1200000,79,1.85
Rita Merson,97,782,James Wolk,3000,,Ryan Guzman,Always Woodstock ,6085,Jason Ritter,5,claim in title|contraction in title|new york|new york city|woodstock,6,English,USA,,2400000,938,
Jon Knautz,90,42,Daniel Kash,371,,Rachel Skarsten,Jack Brooks: Monster Slayer ,558,Stefanie Drummond,2,cult film|demon|monster slayer|uncle|vomiting,46,English,Canada,R,2500000,52,1.85
William Wyler,172,188,Teresa Wright,749,23650000,Myrna Loy,The Best Years of Our Lives ,1941,Dana Andrews,5,love|pity|readjusting to civilian life|veteran|world war two veteran,235,English,USA,Not Rated,2100000,208,1.37
Larry Clark,115,551,Nick Stahl,730,510092,Kelli Garner,Bully ,3293,Brad Renfro,0,cruelty|friend|male frontal nudity|male nudity|pubic hair,336,English,USA,R,,648,1.85
Petter Næss,89,14,Per Christian Ellefsen,117,313436,Jørgen Langhelle,Elling ,155,Sven Nordin,0,friendship|mental illness|poet|sex obsession|virgin,95,Norwegian,Norway,R,15500000,21,1.85
Robert Fontaine,125,17,Arturo Castro,128,3330,Michael Derek,Mi America ,214,Brad Lee Wind,0,,1,English,USA,R,2100000,22,2.35
Jaume Balagueró,78,7,Pablo Rosso,120,,Manuela Velasco,[Rec] ,145,Carlos Lasarte,0,apartment building|character's point of view camera shot|fire station|subjective camera|television reporter,374,Spanish,Spain,R,1500000,9,1.85
Patricia Cardoso,89,650,Martha Higareda,919,,Rosie Perez,Lies in Plain Sight ,3873,Cheyenne Haynes,1,,4,English,USA,TV-PG,2100000,718,1.78
Dan Perri,100,338,David Proval,749,,Travis Myers,Sharkskin ,1814,Carmen Argenziano,0,,1,English,USA,,2100000,354,2.39
Neil Mcenery-West,77,260,Michael Chapman,846,,Walter Hendrix III,Containment ,2044,Louise Brealey,0,hazmat suit,21,English,UK,,,366,
Anthony O'Brien,81,106,Maria Doyle Kennedy,412,,James Ransone,The Timber ,1020,Shaun O'Hagan,1,,17,English,USA,,2100000,308,2.35
Terence Young,115,177,Daniela Bianchi,559,24800000,Robert Shaw,From Russia with Love ,1456,Lois Maxwell,0,assassin|british agent|british secret service|decoder|russian,358,English,UK,Approved,2000000,201,1.37
Michael Herz,96,14,Jessica Dublin,40,792966,Phoebe Legere,The Toxic Avenger Part II ,99,Lisa Gaye,2,bare breasts|japan|tokyo japan|toxic avenger|troma,40,English,USA,R,2300000,30,1.33
,60,213,Alan Autry,480,,Carroll O'Connor,In the Heat of the Night             ,1736,Crystal R. Fox,1,detective|mississippi|police|police detective|small town,24,English,USA,,,360,1.33
Woody Allen,89,45,John Beck,11000,,Woody Allen,Sleeper ,11192,Mews Small,0,frozen|future|health food|leader|police,128,English,USA,PG,2000000,66,1.85
David Robert Mitchell,100,159,Ruby Harris,314,14673301,Maika Monroe,It Follows ,1062,Jake Weary,0,ambiguous ending|being followed|sex scene|supernatural|supernatural being,631,English,USA,R,2000000,189,2.35
Woody Allen,88,258,John Carradine,11000,,Woody Allen,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask ,12034,Lynn Redgrave,5,aphrodisiac|court jester|jester|queen|written and directed by cast member,78,English,USA,R,2000000,300,1.85
Robert Mulligan,129,161,Brock Peters,3000,,Robert Duvall,To Kill a Mockingbird ,3833,William Windom,0,1930s|alabama|lawyer|six year old|trial,471,English,USA,Not Rated,2000000,226,1.85
George Miller,87,41,Bruce Spence,745,9003011,Vernon Wells,Mad Max 2: The Road Warrior ,1396,Kjell Nilsson,0,australian|gasoline|post apocalypse|refinery|warrior,294,English,Australia,R,2000000,531,2.35
Chia-Liang Liu,102,75,Anita Mui,483,11546543,Andy Lau,The Legend of Drunken Master ,768,Ho-Sung Pak,1,battle|fight|fighting|martial artist|snake,146,Cantonese,Hong Kong,R,2000000,147,2.35
Stanley Kubrick,152,177,Shelley Winters,618,,James Mason,Lolita ,1404,Lois Maxwell,0,lolita|nymphet|older man young girl relationship|professor|writer,207,English,UK,Not Rated,2000000,367,1.66
Kimberly Peirce,118,103,Brendan Sexton III,173,11533945,Alicia Goranson,Boys Don't Cry ,563,Jeannetta Arnette,0,drinking|female dressed as male|love|nebraska|transgender,434,English,USA,R,2000000,148,1.85
Chris Kentis,86,32,Julia Taylor Ross,120,12555230,Eric Sheffer Stevens,Silent House ,218,Adam Trese,0,bound and gagged|girl|haunted house|hearing noises|uninterrupted shot,154,English,France,R,2000000,44,1.85
Florian Henckel von Donnersmarck,137,155,Ulrich Mühe,380,11284657,Sebastian Koch,The Lives of Others ,927,Martina Gedeck,3,east germany|police|secret police|stasi|writer,407,German,Germany,R,2000000,284,2.35
Alex Kendrick,129,341,Alex Kendrick,690,34522221,Ben Davies,Courageous ,2300,T.C. Stallings,7,faith|fatherhood|integrity|police|responsibility,175,English,USA,PG-13,2000000,589,2.35
Robert Rossen,134,366,Jackie Gleason,654,,George C. Scott,The Hustler ,2290,Murray Hamilton,1,drink|manager|money|partner|pool hall,167,English,USA,Unrated,2000000,491,2.35
Jack Conway,119,380,Spencer Tracy,1000,,Hedy Lamarr,Boom Town ,2555,Claudette Colbert,8,oil|oil field|oil tycoon|partnership|wildcatter,34,English,USA,Passed,1614000,760,1.37
Sylvain Chomet,80,0,Charles Linton,23,7002255,Michel Robin,The Triplets of Belleville ,29,Béatrice Bonifassi,0,belleville|dog|mafia|tour de france|very little dialogue,312,French,France,PG-13,9500000,6,1.66
Chris Eyre,89,580,Irene Bedard,912,6719300,Michael Greyeyes,Smoke Signals ,3163,Gary Farmer,3,family abandonment|fire|loss of father|native american protagonist|native american reservation,132,English,Canada,PG-13,2000000,752,1.85
Shari Springer Berman,101,92,James Urbaniak,14000,6003587,Josh Hutcherson,American Splendor ,14412,Daniel Tay,0,1980s|comic book|dark horse comics|reference to david letterman|robert crumb,226,English,USA,R,,119,1.85
Richard Linklater,80,3,Albert Delpy,50,5792822,Vernon Dobtcheff,Before Sunset ,65,Marie Pillet,0,book|bookstore|love|simultaneity|train,492,English,USA,R,2700000,8,1.85
Alejandro G. Iñárritu,115,35,Jorge Salinas,85,5383834,Adriana Barraza,Amores Perros ,318,Goya Toledo,0,animal in title|dog fight|mexico city|multiple perspectives|nonlinear timeline,361,Spanish,Mexico,R,2000000,79,1.85
Catherine Hardwicke,100,374,Sarah Clarke,1000,4599680,Holly Hunter,Thirteen ,2186,Kip Pardue,2,13 year olds|adolescence|friend|peer pressure|teacher,545,English,USA,R,1500000,482,1.85
Elia Kazan,118,167,Celeste Holm,936,,Dean Stockwell,Gentleman's Agreement ,1846,John Garfield,3,bigotry|jewish|prejudice|racism|writer,113,English,USA,Approved,2000000,297,1.37
Debra Granik,100,179,Shelley Waggener,34000,6531491,Jennifer Lawrence,Winter's Bone ,34446,Lauren Sweetser,2,bail|crystal meth|family relationships|female protagonist|search for father,297,English,USA,R,2000000,248,1.85
Kevin Macdonald,106,3,Brendan Mackey,21,4581222,Nicholas Aaron,Touching the Void ,29,Joe Simpson,0,bone|climbing|crevasse|partner|rope,156,English,UK,R,,5,1.85
Henry King,106,300,Don Ameche,480,,Tyrone Power,Alexander's Ragtime Band ,1833,John Carradine,2,band|dance|ragtime|singer|violinist,29,English,USA,Approved,2000000,392,1.37
Miranda July,91,244,Brad William Henke,538,3885134,Najarra Townsend,Me and You and Everyone We Know ,1349,Miranda July,0,fellatio|seven word title|shoe salesman|title directed by female|written by director,243,English,USA,R,2000000,363,1.85
Charles Ferguson,105,18,George W. Bush,13000,4311834,Matt Damon,Inside Job ,13145,Barney Frank,0,florida|iceland|interview|new york city new york|recession,129,English,USA,PG-13,,125,2.35
Max Joseph,96,328,Emily Ratajkowski,804,3590010,Vanessa Lengies,We Are Your Friends ,3013,Jonny Weston,0,box office flop|critically bashed|male objectification|narcissism|wannabe dj,60,English,UK,R,2000000,625,1.85
Jim Jarmusch,116,116,Gano Grills,251,3300230,Henry Silva,Ghost Dog: The Way of the Samurai ,675,Richard Portnow,1,african american|code|dog|pigeon|samurai,346,English,France,R,,147,1.85
David Ayer,116,2000,Christian Bale,24000,3335839,J.K. Simmons,Harsh Times ,50313,Noel Gugliemi,2,blood splatter|friend|lapd|mexican|violence,222,English,USA,R,2000000,23000,1.85
Jerry Jameson,97,349,Leonor Varela,1000,2557668,David Oyelowo,Captive ,2739,Sydelle Noel,1,auto theft|based on true story|drug addict|kidnapping|violence,22,English,USA,PG-13,2000000,426,1.85
Steven Soderbergh,101,685,Enrico Colantoni,8000,2506446,Julia Roberts,Full Frontal ,11327,Blair Underwood,0,birthday|friend|hollywood|party|sex,172,English,USA,R,2000000,724,1.85
Kevin Tenney,98,186,Tawny Kitaen,265,7369373,Kathleen Wilhoite,Witchboard ,901,Rose Marie,1,evil spirit|hatchet|ouija|ouija board|psychopathic killer,74,English,UK,R,2000000,194,1.85
,22,344,Amy Sedaris,459,,Stephen Colbert,Strangers with Candy             ,1359,Maria Thayer,3,alternative comedy|female protagonist|high school|social satire|three word title,62,English,USA,TV-14,,396,4.0
Kenneth Branagh,150,401,Brian Blessed,597,4414535,Julie Christie,Hamlet ,1645,Richard Briers,0,classic literature|denmark|funeral|madness|prince,224,English,UK,PG-13,18000000,591,2.2
