director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,movie_title,num_voted_users,facenumber_in_poster,movie_imdb_link,content_rating,budget,actor_2_facebook_likes
Alejandro G. Iñárritu,148,0,7,30,Biutiful ,68885,0,http://www.imdb.com/title/tt1164999/?ref_=fn_tt_tt_1,R,,9
Roland Joffé,109,596,282,621,The Lovers ,2138,3,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,R,,525
Joachim Rønning,93,18,324,4000,Bandidas ,28848,2,http://www.imdb.com/title/tt0416496/?ref_=fn_tt_tt_1,PG-13,32000000,820
Tony Kaye,,194,816,970,Black Water Transit ,219,0,http://www.imdb.com/title/tt0490087/?ref_=fn_tt_tt_1,,23000000,856
Wes Ball,113,47,129,988,The Maze Runner ,310903,0,http://www.imdb.com/title/tt1790864/?ref_=fn_tt_tt_1,PG-13,34000000,149
Ken Scott,91,31,141,1000,Unfinished Business ,23072,2,http://www.imdb.com/title/tt2358925/?ref_=fn_tt_tt_1,R,35000000,249
Martin Scorsese,139,17000,94,554,The Age of Innocence ,36267,3,http://www.imdb.com/title/tt0106226/?ref_=fn_tt_tt_1,PG,30000000,382
Darren Aronofsky,96,0,1000,20000,The Fountain ,190990,0,http://www.imdb.com/title/tt0414993/?ref_=fn_tt_tt_1,PG-13,35000000,1000
Hugh Johnson,102,3,239,372,Chill Factor ,8367,0,http://www.imdb.com/title/tt0163579/?ref_=fn_tt_tt_1,R,34000000,248
Simon West,96,165,566,12000,Stolen ,36914,1,http://www.imdb.com/title/tt1656186/?ref_=fn_tt_tt_1,R,35000000,774
Hayao Miyazaki,101,6000,2,6,Ponyo ,85589,0,http://www.imdb.com/title/tt0876563/?ref_=fn_tt_tt_1,G,34000000,3
George Tillman Jr.,128,88,954,989,The Longest Ride ,50041,0,http://www.imdb.com/title/tt2726560/?ref_=fn_tt_tt_1,PG-13,34000000,970
Rand Ravich,109,7,1000,40000,The Astronaut's Wife ,45497,0,http://www.imdb.com/title/tt0138304/?ref_=fn_tt_tt_1,R,34000000,9000
Hugh Hudson,114,46,292,818,I Dreamed of Africa ,3740,1,http://www.imdb.com/title/tt0167203/?ref_=fn_tt_tt_1,PG-13,34000000,649
Gabriele Muccino,105,125,2000,18000,Playing for Keeps ,23916,5,http://www.imdb.com/title/tt1540128/?ref_=fn_tt_tt_1,PG-13,35000000,2000
Justin Chadwick,141,56,38,113,Mandela: Long Walk to Freedom ,21223,1,http://www.imdb.com/title/tt2304771/?ref_=fn_tt_tt_1,PG-13,35000000,98
Warren Beatty,195,631,521,635,Reds ,16255,0,http://www.imdb.com/title/tt0082979/?ref_=fn_tt_tt_1,PG,35000000,631
Rob Reiner,138,0,574,10000,A Few Good Men ,181879,0,http://www.imdb.com/title/tt0104257/?ref_=fn_tt_tt_1,R,40000000,2000
Andrzej Bartkowiak,101,43,655,2000,Exit Wounds ,27580,0,http://www.imdb.com/title/tt0242445/?ref_=fn_tt_tt_1,R,33000000,1000
Raja Gosnell,99,67,330,826,Big Momma's House ,66941,1,http://www.imdb.com/title/tt0208003/?ref_=fn_tt_tt_1,PG-13,30000000,436
Jeremy Degruson,85,0,11,324,Thunder and the House of Magic ,4265,0,http://www.imdb.com/title/tt3148834/?ref_=fn_tt_tt_1,,34000000,15
Chris Gorak,89,21,48,614,The Darkest Hour ,49312,0,http://www.imdb.com/title/tt1093357/?ref_=fn_tt_tt_1,PG-13,30000000,150
Scott Speer,99,35,433,3000,Step Up Revolution ,45394,0,http://www.imdb.com/title/tt1800741/?ref_=fn_tt_tt_1,PG-13,33000000,594
David R. Ellis,105,160,491,852,Snakes on a Plane ,115649,0,http://www.imdb.com/title/tt0417148/?ref_=fn_tt_tt_1,R,33000000,521
Joe Charbanic,97,10,178,18000,The Watcher ,22220,0,http://www.imdb.com/title/tt0204626/?ref_=fn_tt_tt_1,R,33000000,223
Jonathan Hensleigh,140,36,336,669,The Punisher ,124242,1,http://www.imdb.com/title/tt0330793/?ref_=fn_tt_tt_1,R,33000000,403
Danny Cannon,118,41,577,722,Goal! The Dream Begins ,50919,0,http://www.imdb.com/title/tt0380389/?ref_=fn_tt_tt_1,PG-13,10000000,580
Boaz Yakin,94,132,317,26000,Safe ,83097,2,http://www.imdb.com/title/tt1656190/?ref_=fn_tt_tt_1,R,30000000,828
Mike Newell,124,179,551,11000,Pushing Tin ,24826,3,http://www.imdb.com/title/tt0120797/?ref_=fn_tt_tt_1,R,38000000,617
Richard Marquand,134,37,504,11000,Star Wars: Episode VI - Return of the Jedi ,681857,0,http://www.imdb.com/title/tt0086190/?ref_=fn_tt_tt_1,PG,32500000,1000
Neil Marshall,113,197,43,165,Doomsday ,62770,1,http://www.imdb.com/title/tt0483607/?ref_=fn_tt_tt_1,R,30000000,107
Stephen Daldry,124,335,50,14000,The Reader ,189812,0,http://www.imdb.com/title/tt0976051/?ref_=fn_tt_tt_1,R,32000000,388
David Wain,98,136,833,1000,Wanderlust ,62198,2,http://www.imdb.com/title/tt1655460/?ref_=fn_tt_tt_1,R,,945
Jon Favreau,97,4000,8000,22000,Elf ,147597,1,http://www.imdb.com/title/tt0319343/?ref_=fn_tt_tt_1,PG,33000000,11000
Jon Turteltaub,123,226,796,3000,Phenomenon ,63839,1,http://www.imdb.com/title/tt0117333/?ref_=fn_tt_tt_1,PG,32000000,941
Brian Levant,99,32,521,773,Snow Dogs ,20219,1,http://www.imdb.com/title/tt0281373/?ref_=fn_tt_tt_1,PG,35000000,664
Richard Donner,101,503,1000,13000,Scrooged ,61396,1,http://www.imdb.com/title/tt0096061/?ref_=fn_tt_tt_1,PG-13,32000000,1000
Jared Hess,92,100,327,678,Nacho Libre ,65551,1,http://www.imdb.com/title/tt0457510/?ref_=fn_tt_tt_1,PG,32000000,635
Paul Feig,131,176,460,722,Bridesmaids ,218711,6,http://www.imdb.com/title/tt1478338/?ref_=fn_tt_tt_1,R,32500000,655
Evan Goldberg,107,133,9000,17000,This Is the End ,310540,6,http://www.imdb.com/title/tt1245492/?ref_=fn_tt_tt_1,R,32000000,11000
Rupert Wainwright,103,9,573,826,Stigmata ,54390,0,http://www.imdb.com/title/tt0145531/?ref_=fn_tt_tt_1,R,29000000,724
George Tillman Jr.,129,88,975,22000,Men of Honor ,89424,0,http://www.imdb.com/title/tt0203019/?ref_=fn_tt_tt_1,R,32000000,9000
John Luessenhop,107,34,1000,23000,Takers ,46961,5,http://www.imdb.com/title/tt1135084/?ref_=fn_tt_tt_1,PG-13,20000000,4000
Justin Zackham,89,16,2000,49000,The Big Wedding ,37493,8,http://www.imdb.com/title/tt1931435/?ref_=fn_tt_tt_1,R,35000000,22000
John Whitesell,113,14,534,918,Big Mommas: Like Father, Like Son ,19671,2,http://www.imdb.com/title/tt1464174/?ref_=fn_tt_tt_1,PG-13,32000000,845
Duncan Jones,93,0,355,15000,Source Code ,379462,3,http://www.imdb.com/title/tt0945513/?ref_=fn_tt_tt_1,PG-13,32000000,491
Frank Marshall,120,155,240,344,Alive ,38949,3,http://www.imdb.com/title/tt0106246/?ref_=fn_tt_tt_1,R,32000000,242
Joel Schumacher,98,541,897,8000,The Number 23 ,164608,1,http://www.imdb.com/title/tt0481369/?ref_=fn_tt_tt_1,R,32000000,912
Jean-Pierre Jeunet,105,0,223,716,The Young and Prodigious T.S. Spivet ,11347,1,http://www.imdb.com/title/tt1981107/?ref_=fn_tt_tt_1,PG,33000000,648
Steven Spielberg,142,14000,642,16000,1941 ,25193,5,http://www.imdb.com/title/tt0078723/?ref_=fn_tt_tt_1,PG,35000000,1000
John Gatins,98,61,83,649,Dreamer: Inspired by a True Story ,10018,1,http://www.imdb.com/title/tt0418647/?ref_=fn_tt_tt_1,PG,32000000,579
David Cronenberg,96,0,882,10000,A History of Violence ,186606,1,http://www.imdb.com/title/tt0399146/?ref_=fn_tt_tt_1,R,32000000,917
Louis Leterrier,87,255,810,26000,Transporter 2 ,156267,1,http://www.imdb.com/title/tt0388482/?ref_=fn_tt_tt_1,PG-13,32000000,1000
Sam Raimi,107,0,159,29000,The Quick and the Dead ,69197,0,http://www.imdb.com/title/tt0114214/?ref_=fn_tt_tt_1,R,32000000,165
Peter Howitt,90,29,142,638,Laws of Attraction ,18771,1,http://www.imdb.com/title/tt0323033/?ref_=fn_tt_tt_1,PG-13,28000000,160
Martin Scorsese,121,17000,245,12000,Bringing Out the Dead ,53028,0,http://www.imdb.com/title/tt0163988/?ref_=fn_tt_tt_1,R,55000000,368
Miguel Sapochnik,119,238,447,1000,Repo Men ,87768,0,http://www.imdb.com/title/tt1053424/?ref_=fn_tt_tt_1,R,32000000,561
Hyung-rae Shim,107,26,535,889,Dragon Wars: D-War ,21506,0,http://www.imdb.com/title/tt0372873/?ref_=fn_tt_tt_1,PG-13,35000000,618
Norman Jewison,110,278,179,3000,Bogus ,5176,3,http://www.imdb.com/title/tt0115725/?ref_=fn_tt_tt_1,PG,30000000,359
Don Scardino,100,35,7000,12000,The Incredible Burt Wonderstone ,60596,4,http://www.imdb.com/title/tt0790628/?ref_=fn_tt_tt_1,PG-13,30000000,10000
Mark Dindal,75,10,826,3000,Cats Don't Dance ,5600,0,http://www.imdb.com/title/tt0118829/?ref_=fn_tt_tt_1,G,32000000,2000
Tim Robbins,132,0,876,13000,Cradle Will Rock ,8039,2,http://www.imdb.com/title/tt0150216/?ref_=fn_tt_tt_1,R,32000000,898
Steven Soderbergh,105,0,308,845,The Good German ,21481,2,http://www.imdb.com/title/tt0452624/?ref_=fn_tt_tt_1,R,32000000,552
Tom Reeve,93,0,239,330,George and the Dragon ,3088,4,http://www.imdb.com/title/tt0306892/?ref_=fn_tt_tt_1,PG,32000000,239
Francis Ford Coppola,289,0,3000,11000,Apocalypse Now ,450676,1,http://www.imdb.com/title/tt0078788/?ref_=fn_tt_tt_1,R,31500000,10000
Nanette Burstein,102,8,472,839,Going the Distance ,50523,0,http://www.imdb.com/title/tt1322312/?ref_=fn_tt_tt_1,R,32000000,730
Stephen Herek,143,65,320,975,Mr. Holland's Opus ,30230,1,http://www.imdb.com/title/tt0113862/?ref_=fn_tt_tt_1,PG,6500000,345
Ariel Vromen,113,34,24,10000,Criminal ,17319,2,http://www.imdb.com/title/tt3014866/?ref_=fn_tt_tt_1,R,31500000,877
Sydney Pollack,161,521,184,11000,Out of Africa ,52339,0,http://www.imdb.com/title/tt0089755/?ref_=fn_tt_tt_1,PG,31000000,920
Robert Zemeckis,138,0,874,18000,Flight ,264047,0,http://www.imdb.com/title/tt1907668/?ref_=fn_tt_tt_1,R,31000000,984
Lewis Gilbert,126,43,177,244,Moonraker ,69534,2,http://www.imdb.com/title/tt0079574/?ref_=fn_tt_tt_1,PG,34000000,202
Wes Anderson,99,0,670,13000,The Grand Budapest Hotel ,475518,0,http://www.imdb.com/title/tt2278388/?ref_=fn_tt_tt_1,R,25000000,1000
Scott Hicks,101,96,442,12000,Hearts in Atlantis ,30339,1,http://www.imdb.com/title/tt0252501/?ref_=fn_tt_tt_1,PG-13,31000000,495
Frank Marshall,103,155,125,687,Arachnophobia ,50389,0,http://www.imdb.com/title/tt0099052/?ref_=fn_tt_tt_1,PG-13,31000000,151
Gregory Hoblit,118,40,617,2000,Frequency ,81866,0,http://www.imdb.com/title/tt0186151/?ref_=fn_tt_tt_1,PG-13,31000000,702
Paul Feig,116,176,322,783,Ghostbusters ,69790,4,http://www.imdb.com/title/tt1289401/?ref_=fn_tt_tt_1,PG-13,144000000,370
John Francis Daley,99,0,816,26000,Vacation ,66123,4,http://www.imdb.com/title/tt1524930/?ref_=fn_tt_tt_1,R,31000000,12000
Barry Sonnenfeld,105,188,482,848,Get Shorty ,62986,4,http://www.imdb.com/title/tt0113161/?ref_=fn_tt_tt_1,R,30250000,808
Rob Marshall,113,252,90,539,Chicago ,172080,0,http://www.imdb.com/title/tt0299658/?ref_=fn_tt_tt_1,PG-13,45000000,151
Dennis Dugan,93,221,781,12000,Big Daddy ,161858,0,http://www.imdb.com/title/tt0142342/?ref_=fn_tt_tt_1,PG-13,34200000,11000
J.B. Rogers,108,6,1000,3000,American Pie 2 ,200260,0,http://www.imdb.com/title/tt0252866/?ref_=fn_tt_tt_1,R,30000000,1000
John Lasseter,74,487,802,15000,Toy Story ,623757,1,http://www.imdb.com/title/tt0114709/?ref_=fn_tt_tt_1,G,30000000,1000
Jan de Bont,116,101,780,18000,Speed ,260981,0,http://www.imdb.com/title/tt0111257/?ref_=fn_tt_tt_1,R,25000000,946
Michael Sucsy,104,23,281,17000,The Vow ,145852,0,http://www.imdb.com/title/tt1606389/?ref_=fn_tt_tt_1,PG-13,30000000,359
Tom Vaughan,106,12,946,11000,Extraordinary Measures ,14281,2,http://www.imdb.com/title/tt1244659/?ref_=fn_tt_tt_1,PG,31000000,3000
Boaz Yakin,120,132,1000,33000,Remember the Titans ,160776,1,http://www.imdb.com/title/tt0210945/?ref_=fn_tt_tt_1,PG,30000000,18000
John McTiernan,135,323,495,826,The Hunt for Red October ,143696,1,http://www.imdb.com/title/tt0099810/?ref_=fn_tt_tt_1,PG,30000000,692
Lee Daniels,132,304,898,15000,Lee Daniels' The Butler ,87665,0,http://www.imdb.com/title/tt1327773/?ref_=fn_tt_tt_1,PG-13,30000000,1000
Rawson Marshall Thurber,92,43,936,989,Dodgeball: A True Underdog Story ,185338,0,http://www.imdb.com/title/tt0364725/?ref_=fn_tt_tt_1,PG-13,20000000,939
Barry Sonnenfeld,99,188,436,1000,The Addams Family ,96607,0,http://www.imdb.com/title/tt0101272/?ref_=fn_tt_tt_1,PG-13,38000000,1000
Steve Oedekerk,90,176,460,531,Ace Ventura: When Nature Calls ,160321,0,http://www.imdb.com/title/tt0112281/?ref_=fn_tt_tt_1,PG-13,30000000,461
Garry Marshall,111,0,529,11000,The Princess Diaries ,94049,2,http://www.imdb.com/title/tt0247638/?ref_=fn_tt_tt_1,G,37000000,995
Hugh Wilson,103,37,452,944,The First Wives Club ,31817,3,http://www.imdb.com/title/tt0116313/?ref_=fn_tt_tt_1,PG,26000000,893
David Fincher,127,21000,360,11000,Se7en ,1023511,0,http://www.imdb.com/title/tt0114369/?ref_=fn_tt_tt_1,R,33000000,11000
Neill Blomkamp,112,662,107,2000,District 9 ,531737,0,http://www.imdb.com/title/tt1136608/?ref_=fn_tt_tt_1,R,30000000,433
Stephen Hillenburg,87,47,217,19000,The SpongeBob SquarePants Movie ,58906,0,http://www.imdb.com/title/tt0345950/?ref_=fn_tt_tt_1,PG,30000000,542
Clint Eastwood,138,16000,262,616,Mystic River ,338415,0,http://www.imdb.com/title/tt0327056/?ref_=fn_tt_tt_1,R,25000000,541
Clint Eastwood,132,16000,567,16000,Million Dollar Baby ,482064,1,http://www.imdb.com/title/tt0405159/?ref_=fn_tt_tt_1,PG-13,30000000,11000
Harold Ramis,103,11000,636,22000,Analyze This ,123940,2,http://www.imdb.com/title/tt0122933/?ref_=fn_tt_tt_1,R,30000000,979
Nick Cassavetes,123,415,545,33000,The Notebook ,396396,0,http://www.imdb.com/title/tt0332280/?ref_=fn_tt_tt_1,PG-13,29000000,638
Anne Fletcher,111,98,71,2000,27 Dresses ,124501,1,http://www.imdb.com/title/tt0988595/?ref_=fn_tt_tt_1,PG-13,30000000,805
Peter Chelsom,102,23,635,1000,Hannah Montana: The Movie ,31760,2,http://www.imdb.com/title/tt1114677/?ref_=fn_tt_tt_1,G,30000000,1000
Stig Bergqvist,78,0,786,971,Rugrats in Paris: The Movie ,8146,0,http://www.imdb.com/title/tt0213203/?ref_=fn_tt_tt_1,G,30000000,844
Barbra Streisand,132,0,252,769,The Prince of Tides ,12549,1,http://www.imdb.com/title/tt0102713/?ref_=fn_tt_tt_1,R,30000000,713
Edward Zwick,133,380,918,12000,Legends of the Fall ,112175,2,http://www.imdb.com/title/tt0110322/?ref_=fn_tt_tt_1,R,30000000,11000
Jason Reitman,108,655,940,24000,Up in the Air ,270238,0,http://www.imdb.com/title/tt1193138/?ref_=fn_tt_tt_1,R,25000000,10000
Alexander Payne,125,729,322,442,About Schmidt ,107557,1,http://www.imdb.com/title/tt0257360/?ref_=fn_tt_tt_1,R,30000000,344
Jonathan Levine,98,129,7,303,Warm Bodies ,184641,0,http://www.imdb.com/title/tt1588173/?ref_=fn_tt_tt_1,PG-13,35000000,18
Rian Johnson,119,0,502,23000,Looper ,428916,0,http://www.imdb.com/title/tt1276104/?ref_=fn_tt_tt_1,R,30000000,13000
Chris Weitz,87,129,560,979,Down to Earth ,19079,1,http://www.imdb.com/title/tt0231775/?ref_=fn_tt_tt_1,PG-13,30000000,891
Chris Noonan,91,108,204,405,Babe ,94435,0,http://www.imdb.com/title/tt0112431/?ref_=fn_tt_tt_1,G,30000000,368
David Frankel,100,64,329,11000,Hope Springs ,34258,2,http://www.imdb.com/title/tt1535438/?ref_=fn_tt_tt_1,PG-13,30000000,7000
Nicholas Stoller,118,89,344,15000,Forgetting Sarah Marshall ,217507,1,http://www.imdb.com/title/tt0800039/?ref_=fn_tt_tt_1,R,30000000,975
,44,,690,971,Friday Night Lights             ,42746,1,http://www.imdb.com/title/tt0758745/?ref_=fn_tt_tt_1,TV-14,,741
John Singleton,109,309,482,1000,Four Brothers ,109894,3,http://www.imdb.com/title/tt0430105/?ref_=fn_tt_tt_1,R,45000000,654
Michael McCullers,99,5,966,2000,Baby Mama ,34079,2,http://www.imdb.com/title/tt0871426/?ref_=fn_tt_tt_1,PG-13,30000000,1000
Forest Whitaker,114,0,545,970,Hope Floats ,18973,1,http://www.imdb.com/title/tt0119313/?ref_=fn_tt_tt_1,PG-13,30000000,631
Gary Winick,89,56,545,11000,Bride Wars ,79094,2,http://www.imdb.com/title/tt0901476/?ref_=fn_tt_tt_1,PG,30000000,826
Steven Brill,95,65,246,506,Without a Paddle ,37479,3,http://www.imdb.com/title/tt0364751/?ref_=fn_tt_tt_1,PG-13,19000000,316
Gary Winick,98,56,533,3000,13 Going on 30 ,122187,1,http://www.imdb.com/title/tt0337563/?ref_=fn_tt_tt_1,PG-13,37000000,2000
Woody Allen,94,11000,183,617,Midnight in Paris ,301149,1,http://www.imdb.com/title/tt1605783/?ref_=fn_tt_tt_1,PG-13,17000000,204
Peter Lepeniotis,85,7,691,14000,The Nut Job ,19547,0,http://www.imdb.com/title/tt1821658/?ref_=fn_tt_tt_1,PG,42000000,3000
Ted Demme,124,47,877,40000,Blow ,198066,1,http://www.imdb.com/title/tt0221027/?ref_=fn_tt_tt_1,R,30000000,1000
Luis Mandoki,131,43,362,18000,Message in a Bottle ,28942,0,http://www.imdb.com/title/tt0139462/?ref_=fn_tt_tt_1,PG-13,55000000,652
William Shatner,107,0,643,12000,Star Trek V: The Final Frontier ,43743,1,http://www.imdb.com/title/tt0098382/?ref_=fn_tt_tt_1,PG,27800000,664
John Schultz,99,13,837,1000,Like Mike ,15074,7,http://www.imdb.com/title/tt0308506/?ref_=fn_tt_tt_1,PG,30000000,889
Peter Segal,83,88,348,3000,Naked Gun 33 1/3: The Final Insult ,76850,5,http://www.imdb.com/title/tt0110622/?ref_=fn_tt_tt_1,PG-13,30000000,459
John Glen,131,46,433,1000,A View to a Kill ,68565,2,http://www.imdb.com/title/tt0090264/?ref_=fn_tt_tt_1,PG,30000000,439
Steve Box,85,9,100,567,The Curse of the Were-Rabbit ,98160,0,http://www.imdb.com/title/tt0312004/?ref_=fn_tt_tt_1,G,30000000,269
Richard LaGravenese,126,98,37,18000,P.S. I Love You ,167967,1,http://www.imdb.com/title/tt0431308/?ref_=fn_tt_tt_1,PG-13,30000000,631
Frederik Du Chau,102,7,521,984,Racing Stripes ,12570,0,http://www.imdb.com/title/tt0376105/?ref_=fn_tt_tt_1,PG,,934
Joe Wright,123,456,286,19000,Atonement ,192930,1,http://www.imdb.com/title/tt0783233/?ref_=fn_tt_tt_1,R,30000000,1000
Gary Winick,105,56,22,898,Letters to Juliet ,74630,1,http://www.imdb.com/title/tt0892318/?ref_=fn_tt_tt_1,PG,30000000,60
Ridley Scott,125,0,237,939,Black Rain ,39306,2,http://www.imdb.com/title/tt0096933/?ref_=fn_tt_tt_1,R,30000000,255
Bobby Farrelly,92,101,760,971,The Three Stooges ,25484,0,http://www.imdb.com/title/tt0383010/?ref_=fn_tt_tt_1,PG,,860
Tim Burton,77,13000,973,40000,Corpse Bride ,188785,1,http://www.imdb.com/title/tt0121164/?ref_=fn_tt_tt_1,PG,40000000,16000
James Gartner,118,0,543,696,Glory Road ,34910,1,http://www.imdb.com/title/tt0385726/?ref_=fn_tt_tt_1,PG,,663
Denis Villeneuve,121,777,219,455,Sicario ,196217,2,http://www.imdb.com/title/tt3397884/?ref_=fn_tt_tt_1,R,30000000,221
Antoine Fuqua,124,845,424,15000,Southpaw ,147128,0,http://www.imdb.com/title/tt1798684/?ref_=fn_tt_tt_1,R,30000000,1000
Sam Raimi,99,0,828,2000,Drag Me to Hell ,158354,0,http://www.imdb.com/title/tt1127180/?ref_=fn_tt_tt_1,PG-13,30000000,1000
Lee Toland Krieger,112,43,1000,11000,The Age of Adaline ,93767,1,http://www.imdb.com/title/tt1655441/?ref_=fn_tt_tt_1,PG-13,25000000,2000
Tim McCanlies,111,23,1000,3000,Secondhand Lions ,43378,1,http://www.imdb.com/title/tt0327137/?ref_=fn_tt_tt_1,PG,30000000,3000
Jon M. Chu,107,209,357,2000,Step Up 3D ,47297,0,http://www.imdb.com/title/tt1193631/?ref_=fn_tt_tt_1,PG-13,30000000,594
John Stockwell,104,134,64,585,Blue Crush ,26066,3,http://www.imdb.com/title/tt0300532/?ref_=fn_tt_tt_1,PG-13,30000000,495
Marc Forster,113,395,77,8000,Stranger Than Fiction ,186977,1,http://www.imdb.com/title/tt0420223/?ref_=fn_tt_tt_1,PG-13,38000000,189
David Slade,113,171,63,430,30 Days of Night ,138435,0,http://www.imdb.com/title/tt0389722/?ref_=fn_tt_tt_1,R,32000000,72
Drew Goddard,95,246,751,26000,The Cabin in the Woods ,277172,0,http://www.imdb.com/title/tt1259521/?ref_=fn_tt_tt_1,R,30000000,821
Jason Friedberg,86,82,362,869,Meet the Spartans ,88518,0,http://www.imdb.com/title/tt1073498/?ref_=fn_tt_tt_1,PG-13,30000000,759
Martin Brest,126,102,497,22000,Midnight Run ,54042,1,http://www.imdb.com/title/tt0095631/?ref_=fn_tt_tt_1,R,30000000,581
Paul Michael Glaser,101,343,384,581,The Running Man ,112669,1,http://www.imdb.com/title/tt0093894/?ref_=fn_tt_tt_1,R,27000000,571
Frank Oz,102,0,413,13000,Little Shop of Horrors ,49349,2,http://www.imdb.com/title/tt0091419/?ref_=fn_tt_tt_1,PG-13,25000000,854
Joe Wright,111,456,21,157,Hanna ,159198,0,http://www.imdb.com/title/tt0993842/?ref_=fn_tt_tt_1,PG-13,30000000,33
,60,,468,971,The Family             ,3322,4,http://www.imdb.com/title/tt4428038/?ref_=fn_tt_tt_1,TV-PG,,805
John R. Leonetti,95,40,342,663,Mortal Kombat: Annihilation ,36363,0,http://www.imdb.com/title/tt0119707/?ref_=fn_tt_tt_1,PG-13,30000000,349
Tom Hanks,98,15000,392,15000,Larry Crowne ,49205,0,http://www.imdb.com/title/tt1583420/?ref_=fn_tt_tt_1,PG-13,30000000,839
Kimberly Peirce,100,108,534,17000,Carrie ,108242,1,http://www.imdb.com/title/tt1939659/?ref_=fn_tt_tt_1,R,30000000,2000
Liz Friedlander,118,3,439,1000,Take the Lead ,21767,0,http://www.imdb.com/title/tt0446046/?ref_=fn_tt_tt_1,PG-13,30000000,712
,28,,576,680,Entourage             ,135643,2,http://www.imdb.com/title/tt0387199/?ref_=fn_tt_tt_1,TV-MA,,638
Phil Joanou,125,21,581,12000,Gridiron Gang ,33067,1,http://www.imdb.com/title/tt0421206/?ref_=fn_tt_tt_1,PG-13,30000000,2000
Sam Weisman,94,39,506,1000,What's the Worst That Could Happen? ,12466,0,http://www.imdb.com/title/tt0161083/?ref_=fn_tt_tt_1,PG-13,45000000,611
Shane Acker,79,30,265,940,9 ,111117,0,http://www.imdb.com/title/tt0472033/?ref_=fn_tt_tt_1,PG-13,30000000,271
Steven Soderbergh,106,0,273,17000,Side Effects ,148327,0,http://www.imdb.com/title/tt2053463/?ref_=fn_tt_tt_1,R,30000000,681
Martha Coolidge,111,57,438,1000,The Prince and Me ,31984,1,http://www.imdb.com/title/tt0337697/?ref_=fn_tt_tt_1,PG,,530
Stephen J. Anderson,63,15,69,759,Winnie the Pooh ,15600,0,http://www.imdb.com/title/tt1449283/?ref_=fn_tt_tt_1,G,30000000,73
Troy Miller,85,14,244,577,Dumb and Dumberer: When Harry Met Lloyd ,30651,0,http://www.imdb.com/title/tt0329028/?ref_=fn_tt_tt_1,PG-13,19000000,291
Warren Beatty,108,631,95,631,Bulworth ,21998,1,http://www.imdb.com/title/tt0118798/?ref_=fn_tt_tt_1,R,30000000,199
Tate Taylor,139,150,400,521,Get on Up ,15843,0,http://www.imdb.com/title/tt2473602/?ref_=fn_tt_tt_1,PG-13,30000000,491
Carl Franklin,127,73,433,11000,One True Thing ,9283,3,http://www.imdb.com/title/tt0120776/?ref_=fn_tt_tt_1,R,30000000,882
Brett Leonard,106,32,650,18000,Virtuosity ,23579,1,http://www.imdb.com/title/tt0114857/?ref_=fn_tt_tt_1,R,30000000,723
Ivan Reitman,95,425,560,973,My Super Ex-Girlfriend ,53884,1,http://www.imdb.com/title/tt0465624/?ref_=fn_tt_tt_1,PG-13,30000000,776
Scott Derrickson,118,301,897,2000,Deliver Us from Evil ,54447,0,http://www.imdb.com/title/tt2377322/?ref_=fn_tt_tt_1,R,30000000,1000
Alister Grierson,108,24,653,2000,Sanctum ,47003,0,http://www.imdb.com/title/tt0881320/?ref_=fn_tt_tt_1,R,30000000,942
Nick Hurran,105,34,642,1000,Little Black Book ,15052,1,http://www.imdb.com/title/tt0361841/?ref_=fn_tt_tt_1,PG-13,35000000,681
Nicholas Stoller,131,89,372,2000,The Five-Year Engagement ,78974,2,http://www.imdb.com/title/tt1195478/?ref_=fn_tt_tt_1,R,30000000,401
Charles Stone III,104,30,635,1000,Mr 3000 ,12164,1,http://www.imdb.com/title/tt0339412/?ref_=fn_tt_tt_1,PG-13,30000000,962
Paul Haggis,133,549,343,10000,The Next Three Days ,146364,0,http://www.imdb.com/title/tt1458175/?ref_=fn_tt_tt_1,PG-13,35000000,796
Kurt Wimmer,94,110,277,14000,Ultraviolet ,70341,1,http://www.imdb.com/title/tt0370032/?ref_=fn_tt_tt_1,PG-13,30000000,829
Jean-François Richet,109,25,431,954,Assault on Precinct 13 ,65979,1,http://www.imdb.com/title/tt0398712/?ref_=fn_tt_tt_1,R,20000000,739
Antoine Fuqua,96,845,488,978,The Replacement Killers ,23345,2,http://www.imdb.com/title/tt0120008/?ref_=fn_tt_tt_1,R,30000000,968
Kevin Hooks,105,114,537,4000,Fled ,7073,1,http://www.imdb.com/title/tt0116320/?ref_=fn_tt_tt_1,R,25000000,561
Ellory Elkayem,99,11,762,19000,Eight Legged Freaks ,43764,1,http://www.imdb.com/title/tt0271367/?ref_=fn_tt_tt_1,PG-13,30000000,953
Edward Zwick,112,380,2000,15000,Love & Other Drugs ,143368,0,http://www.imdb.com/title/tt0758752/?ref_=fn_tt_tt_1,R,30000000,11000
Jon Avnet,108,50,494,14000,88 Minutes ,65628,1,http://www.imdb.com/title/tt0411061/?ref_=fn_tt_tt_1,R,30000000,975
Niki Caro,126,51,874,10000,North Country ,32815,4,http://www.imdb.com/title/tt0395972/?ref_=fn_tt_tt_1,R,35000000,9000
Howard Deutch,98,41,900,13000,The Whole Ten Yards ,45775,5,http://www.imdb.com/title/tt0327247/?ref_=fn_tt_tt_1,PG-13,40000000,2000
