director_name,num_critic_for_reviews,actor_2_name,genres,actor_3_name,plot_keywords,content_rating,title_year,actor_2_facebook_likes
Jonathan Levine,233,Michael Welch,Horror,Whitney Able,drugs|female nudity|party|voyeur|voyeurism,R,2006,611
Christopher Hutson,8,Jennifer Lee Wiggins,Horror,Michele Morrow,artist|blood|drug|tree sap|vampire,R,2009,134
Fred Zinnemann,153,Lloyd Bridges,Thriller|Western,Lon Chaney Jr.,appeasement|frontier justice|justice|one against many|street shootout,PG,1952,575
Steve James,53,Arthur Agee,Documentary|Drama|Sport,Isiah Thomas,athlete|basketball|high school|high school student|school,PG-13,1994,6
David LaChapelle,49,Christopher Toler,Documentary|Music,Tommy the Clown,clown|clowning|dance|gang|south central los angeles,PG-13,2005,23
Joseph Kosinski,4,Lauren Cohan,Action|Adventure|Fantasy|Sci-Fi,Erick Avari,first person shooter,,2014,4000
Michael Cuesta,64,Bruce Altman,Crime|Drama,Walter Masterson,ephebophile|pederasty|pedophilia|playing hooky|shaving,NC-17,2001,67
Caryn Waechter,23,Kara Hayward,Drama|Mystery|Thriller,Louis Ozawa Changchien,accused of witchcraft|based on short story,PG-13,2014,524
Emily Dell,8,Wesley Jonathan,Drama|Music|Romance,Drew Sidora,brooklyn new york city|los angeles california|teacher|trauma|violence,PG-13,2009,592
Peter Jackson,446,Thomas Kretschmann,Action|Adventure|Drama|Romance,Evan Parke,animal name in title|ape abducts a woman|gorilla|island|king kong,PG-13,2005,918
Jaume Collet-Serra,228,Paris Hilton,Horror,Brian Van Holt,brother sister relationship|group of friends|male nudity|twin|wax,R,2005,716
Ryan Fleck,208,Tristan Mack Wilds,Drama,Jeff Lima,bathroom|classroom|dialectics|drugs|student,R,2006,519
Jennifer Wynne Farmer,2,Akima,Drama,Max Gail,cosmetics|female protagonist|native american|native american protagonist|sister sister relationship,PG-13,1998,282
Christopher Scott Cherot,25,Robinne Lee,Comedy,Chenoa Maxwell,friend|new year's eve|screwball|self discovery|social differences,R,1997,170
H.M. Coakley,8,Steffinnie Phrommany,Crime|Drama|Thriller,Danielle Savre,cheating husband|female nudity|male nudity|male rear nudity|revenge,,2015,320
Randy Moore,143,Lee Armstrong,Fantasy|Horror,Amy Lucas,diarrhea|female nudity|middle aged man|sex scene|sexy nurse,Not Rated,2013,511
Chris Atkins,21,Harvey Weinstein,Documentary,Elton John,celebrity|consumerism|fashion|media manipulation,,2009,474
Bill Benenson,1,Dave Fennoy,Documentary,Jane Goodall,east africa|hunter gatherer|indigenous|rift valley|swahili,,2014,338
Ryan Smith,34,Madison Lintz,Fantasy|Horror|Mystery|Thriller,Karolina Wydra,coma|crash,PG-13,2012,385
Travis Romero,5,Lorraine Ziff,Drama|Thriller,Michael Biehn,panties|white panties,,2013,21000
Anna Mastro,10,Justin Kirk,Comedy|Drama,Virginia Madsen,based on short film|based on short story,,2015,945
Mark Sandrich,66,Edward Everett Horton,Comedy|Musical|Romance,Eric Blore,dance|dancer|dancing|horse|tap dancing,Approved,1935,172
Daniel Myrick,360,Joshua Leonard,Horror,Michael C. Williams,found footage|looking at the camera|lost in the woods|maryland|screaming in horror,R,1999,170
Michael Wadleigh,53,Jimi Hendrix,Documentary|History|Music,Joan Baez,drugs|hippie|music festival|the who|woodstock,R,1970,227
John Landis,82,Barry Dennen,Comedy,Tara Strohmeier,fake commercial|fake newscast|fake trailer|parody|spoof,R,1977,29
Jon Gunn,15,David A.R. White,Action|Crime|Drama,Cynthia Watros,church|cigarette smoking|deacon|twin brother|twins,PG-13,2000,266
Gene Teigland,,Matthew Feeney,Mystery|Thriller,Tac Fitzgerald,,PG-13,2007,20
Scott Ziehl,18,Jason London,Drama,Brent David Fraser,independent film|katana sword|los angeles storm drain,R,1998,711
Richard Montoya,,Angela Nordeng,Crime|Drama,Exie Booker,,Not Rated,2013,371
Johanna Schwartz,22,Garba Touré,Documentary,Khaira Arby,,,2015,0
William Gazecki,15,Colin Andrews,Documentary,Francine Blake,crop circle|intelligence|paranormal|phenomenon|universe,,2002,0
Lance McDaniel,,Steven Michael Quezada,Action|Drama|Thriller,Lymari Nadal,china|faith|panama|photography|suspense,PG-13,2014,412
Thomas Lilti,18,Félix Moati,Comedy|Drama,Marianne Denicourt,doctor|hospital|mayor|no opening credits|title at the end,,2016,8
Michael Walker,8,Annabella Sciorra,Thriller,John Brodsky,,,2013,448
Richard Lester,105,Ringo Starr,Comedy|Musical,George Harrison,boy|concert|drummer|manager|television,Approved,1964,725
U. Roberto Romano,3,,Documentary,,child labor|education|hispanic|labor|migration,,2011,
Amy Holden Jones,4,Sally Kirkland,Drama|Romance,Amy Madigan,1980s|affair|female protagonist|radio|woman wearing only a man's shirt,R,1983,433
Blaz Zavrsnik,2,Spela Colja,Comedy,Andrej Nahtigal,,,2015,0
Alex Kendrick,50,Ken Bevel,Drama|Romance,Erin Bethea,christian film|dare|firefighter|internet pornography|marriage,PG,2008,153
Pan Nalin,19,Pant Shirt Baba,Biography|Documentary|Drama,Shriman Umeshanad Brahmachari,faith|ganja|kumbh mela|little boy|orphan,,2013,0
Joe Camp,5,Peter Breck,Adventure|Family|Romance,Edgar Buchanan,animal abuse|cat|dog|dog movie|tween girl,G,1974,189
Chris Kentis,235,Saul Stein,Adventure|Biography|Drama|Horror|Thriller,Daniel Travis,bare chested male|female full frontal nudity|hairy chest|male full frontal nudity|nude with glasses,R,2003,10
Matt Walsh,8,Matt Jones,Comedy,Abby Elliott,,R,2011,523
John 'Bud' Cardos,95,Hoke Howell,Horror|Sci-Fi,Tiffany Bolling,death|farm|hotel|spider|tarantula,PG,1977,23
Marilyn Agrelo,84,Eva Carrozza,Documentary|Family|Music,Paul Daggett,ballroom dancing|new york city|poise|self confidence|teacher,PG,2005,0
Tom McCarthy,154,Joe Lo Truglio,Comedy|Drama,Paula Garcés,abandoned|depot|dwarf|newfoundland new jersey|train,R,2003,833
Brian Baugh,20,Sean Michael Afable,Drama,D. David Morin,basketball|beer pong|childhood friend|christian|suicide,PG-13,2009,801
Patrick Creadon,88,Bill Clinton,Documentary,Bob Dole,comedian|crossword puzzle|editor|new york times|puzzle,PG,2006,184
Barry W. Blaustein,70,Vince McMahon,Biography|Documentary|Sport,Mick Foley,championship|drugs|three word title|wrestler|wrestling,R,1999,44
Kurt Hale,5,Lincoln Hoppe,Comedy|Drama|Romance,Daryn Tufts,church|love|marriage|mormon|single,PG,2002,24
Siddiq Barmak,105,Zubaida Sahar,Drama,Mohamad Haref Harati,boy|girl|hair|school|taliban,PG-13,2003,0
Joseph Dorman,29,Peter Riegert,Documentary,Jason Kravits,jewish identity,Unrated,2011,169
Greg Harrison,46,Ari Gold,Drama|Music,Denny Kirkwood,dj|ecstasy the drug|rave|raver|warehouse,R,2000,27
Kurt Hale,3,Big Budah,Comedy|Crime|Family,Curt Doussett,latter day saints|missionary|pickup truck|police|video camera,PG,2003,34
Michael Polish,54,William Katt,Drama,Jon Gries,conjoined twins|independent film|low budget film|separation|twin,R,1999,505
Jacob Aaron Estes,126,Scott Mechlowicz,Crime|Drama,Trevor Morgan,boat|bully|dare|friend|river,R,2004,634
Morgan J. Freeman,17,Heather Matarazzo,Crime|Drama|Romance,Lynn Cohen,gang|new mexico|prison|smuggling|theft,R,1997,529
Eric Schaeffer,25,Bill Duke,Comedy|Romance,Michael McKean,bar|gay bar|love|mother son relationship|new york,R,2001,1000
Neema Barnette,11,LisaRaye McCoy,Crime|Drama|Thriller,Clifton Powell,abuse of power|friendship|prison|prison guard|title directed by female,R,2002,485
Steve Buscemi,81,Seymour Cassel,Comedy|Drama,Mary Kay Place,bail|coma|dart board|indiana|ladder factory,R,2005,327
Joe Swanberg,155,Anna Kendrick,Comedy|Drama|Romance,Ti West,brewery|co worker|male female friendship|u haul truck|woman wearing a string bikini,R,2013,10000
Molly Bernstein,39,Ricky Jay,Documentary,Dick Cavett,stage magician,,2012,79
Akira Kurosawa,153,Minoru Chiaki,Action|Adventure|Drama,Kamatari Fujiwara,16th century|battle|japan|practice|samurai,Unrated,1954,8
Marius A. Markevicius,26,Greg Speirs,Documentary|Sport,Mickey Hart,basketball|basketball team|grateful dead|lithuanian|olympics,Not Rated,2012,9
Tom DiCillo,10,Tina Louise,Comedy|Music|Romance,Nick Cave,idol|musician|vomiting|watching television|wyoming,R,1991,422
Justin Lin,35,Jake Sandvig,Comedy,Joe McQueen,bruce lee|jeet kune do|karate|satire|spoof,Not Rated,2007,172
Quentin Dupieux,230,Jack Plotnick,Comedy|Fantasy|Horror,Cecelia Antoinette,desert|dump|show|spectator|tire,R,2010,248
Tim Johnson,165,Matt Jones,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,April Winchell,alien friendship|alien invasion|australia|flying car|mother daughter relationship,PG,2015,523
C. Jay Cox,9,Amber Benson,Comedy|Romance,Garrett M. Brown,best friend|high school|love|secret|wedding,R,2007,326
Alex Smith,17,Clea DuVall,Drama|Sport,Eddie Spears,cheerleader|father son relationship|football coach|loss of father|mother son relationship,R,2002,1000
Gareth Edwards,344,Whitney Able,Drama|Sci-Fi|Thriller,Ricky Catter,alien|alien invasion|destroyed building|destruction|mexico,R,2010,280
Jonathan Parker,2,Joanne Whalley,Drama,Illeana Douglas,based on novel,PG,2005,507
Sol Tryon,28,Ann Dowd,Comedy,Matthew Cowles,artist|black comedy,PG-13,2007,185
Alex Craig Mann,29,Christa B. Allen,Comedy|Horror,Max Adler,based on play|blood|independent film|teenager|zombie,Not Rated,2012,533
Hao Ning,11,Zheng Xu,Comedy|Crime,Zhonghua Chen,bankruptcy|crystal|father son relationship|heist|shower,,2006,4
Stephen Kijak,48,Jacques Brel,Biography|Documentary|Music,Damon Albarn,avant garde|british pop|character name in title|musician|number in title,,2006,27
Marc Forster,24,Alan Ruck,Drama,Megan Mullally,group of friends|mental breakdown|mental instability|morgue|sudden infant death syndrome,R,2000,946
Andrew Niccol,166,Zoë Kravitz,Drama|Thriller,Stafford Douglas,cigarette butt|drone|funeral procession|nellis air force base|taliban,R,2014,943
Daston Kalili,,Rai Alexandra,Thriller,Chin-Chien Chang,,,2005,0
William Gazecki,9,Bruce Vilanch,Documentary,Tony Bennett,,,2014,244
Ol Parker,48,Olivia Williams,Drama|Romance,Paddy Considine,death|dying|leukemia|teenage girl|terminal illness,PG-13,2012,766
Michael Hoffman Jr.,64,John McGlothlin,Comedy|Horror,Al Sapienza,mini skirt|party|spring break|voyeur|war hammer,R,2012,492
Patrick Gilles,,Dylan Baker,History,Mike Colter,,,2015,812
Georgia Hilton,1,Tim Abell,Action|Mystery|Thriller,Tom Stedham,military|submarine|suspense|time travel|world war two,R,2015,317
Tamra Davis,111,Katherine Boecher,Comedy|Drama,Dave Allen,audition|friendship|graduation|high school graduation|love,PG-13,2002,188
Jack Heller,26,Katherine Waterston,Mystery|Thriller,Christopher Denham,cabin|going in circles|pac man|stranger|woods,R,2011,178
Fernando Baez Mella,1,Christian Alvarez,Crime|Drama,Claudette Lalí,,R,2012,15
Warren Sheppard,3,Randy Jay Burrell,Action|Romance|Sport,Vincent De Paul,fighting|karate,PG-13,2016,402
Darren Lynn Bousman,10,Barry Bostwick,Horror|Musical,Terrance Zdunich,carnival|devil|redemption|reference to god,,2016,456
Justin Paul Miller,1,Jennifer Landa,Comedy|Mystery|Thriller,Felix Avitia,,R,2014,41
Joel Paul Reisig,1,Joel Paul Reisig,Family,Yassie Hawkes,,PG,2016,431
Catherine Gund,10,Sarah Callan,Action|Biography|Documentary|Sport,Laura Flanders,three word title,,2014,0
Luke Dye,1,Jeff Delaney,Family,Jamison Stalsworth,,,2016,169
Sam Raimi,525,Mila Kunis,Adventure|Family|Fantasy,James Franco,circus|magic|magician|oz|witch,PG,2013,15000
Michael Herz,96,Mark Torgl,Action|Comedy|Horror|Sci-Fi,Pat Ryan,boy|health club|superhero|toxic waste|troma,Unrated,1984,11
Matty Rich,8,George T. Odom,Crime|Drama,Matty Rich,domestic violence|housing project|new york city|poverty|racism,R,1991,12
Paul Greengrass,92,Nicholas Farrell,Drama|History|War,Tim Pigott-Smith,civil rights|irish|march|northern ireland|protest march,R,2002,89
Alec Asten,1,Dennis L.A. White,Action,Fredro Starr,prison|prisoner|reverend|terminal illness|two word title,R,2015,251
Hans Canosa,365,Thomas Lennon,Comedy|Drama|Romance,Nora Zehetner,female frontal nudity|filming a wedding|lingerie slip|memory|wedding,R,2005,651
Lloyd Kaufman,88,Lloyd Kaufman,Comedy|Horror|Musical,Kate Graham,castration|chicken|fast food|indian burial ground|protest,Unrated,2006,365
Matthew Watts,3,Cheyenne Jackson,Comedy|Romance,Michael Stahl-David,bromance|manhattan new york city|new york city|photograph|surprise,,2013,469
Lloyd Bacon,65,Dick Powell,Comedy|Musical|Romance,George Brent,chorus girl|chorus line|director|gala premiere|song,Unrated,1933,105
Joe Kenemore,,Jack Canfield,Documentary,Eric Worre,business|entrepreneur|network marketing,G,2014,2
Whit Stillman,71,Taylor Nichols,Comedy|Drama|Romance,Ellia Thompson,apartment|dancing|debutante|new york|upper class,PG-13,1990,74
Kay Pollak,34,Frida Hallgren,Comedy|Drama|Music|Romance,Nils-Anders Vallgårda,amazing grace the hymn|choir|heart attack|hometown|skidding truck,,2004,24
Eric England,15,Ace Marrero,Drama|Horror|Mystery|Thriller,Alan Pietruszewski,dog|gun|hostage|husband wife relationship|jealousy,,2013,94
Jared Hess,220,Diedrich Bader,Comedy,Jon Gries,class president|family relationships|friend|high school|jock,PG,2004,759
Jeremy Saulnier,279,Eve Plumb,Crime|Drama|Thriller,Amy Hargreaves,blood splatter|car|neo noir|vengeance|vomiting,R,2013,235
Oren Peli,409,Ashley Palmer,Horror,Amber Armstrong,dark force|entity|evil force|found footage|paranormal phenomenon,R,2007,109
Stacy Peralta,86,Jay Adams,Documentary|Sport,Jeff Ament,california|drought|playground|skateboarding|surfer,PG-13,2001,20
Terry Gilliam,131,Michael Palin,Adventure|Comedy|Fantasy,Terry Jones,camelot|holy grail|king arthur|knight|lancelot,PG,1975,561
Richard Glatzer,69,Jesse Garcia,Drama,Alicia Sixtos,15th birthday|birthday|gay|party|security guard,R,2006,200
Sue Corcoran,8,Sue Corcoran,Comedy|Fantasy|Horror|Musical,David Frederick White,conspiracy|feminist|hippie|motorcycle|slapstick comedy,,2003,14
,75,Masi Oka,Drama|Fantasy|Sci-Fi|Thriller,Greg Grunberg,father daughter relationship|serial killer|superhero|supernatural power|vision of the future,TV-14,,923
Jonathan Caouette,72,Jonathan Caouette,Biography|Documentary,Renee Leblanc,answering machine|home movie|lithium|schizophrenic|video diary,Unrated,2003,20
Ray Griggs,4,Chris Cox,Documentary,Mike Huckabee,,PG,2010,31
Matt Jackson,9,Paul Elia,Comedy|Horror,Alex Sanborn,bigfoot|love|monster|sasquatch|tourist,,2014,709
Lucio Fulci,203,David Warbeck,Horror,Al Cliver,doctor|hell|hotel|painter|plumber,X,1981,22
,11,Ron Lynch,Animation|Comedy|Drama,Melissa Bardin Galsky,coach|friend|school|series|tv series,TV-PG,,11
Tom Vaughan,148,Andrew Daly,Comedy|Romance,Michelle Krusiec,casino|father son relationship|jackpot|judge|wedding,PG-13,2008,171
Paul Fox,80,Jeff Seymour,Horror|Thriller,Gordon Currie,brain tumor|champagne|game|psychiatrist|weekend,R,2005,64
Stephen Frears,46,Roshan Seth,Comedy|Drama|Romance,Garry Cooper,england|mistress|pakistani|politics|thatcher,R,1985,61
Ari Kirschenbaum,8,Adam LeFevre,Drama|Horror|Mystery|Thriller,Desmond Askew,,R,2002,80
Cassandra Nicolaou,10,Michelle Nolden,Drama|Thriller,Gabriel Hogan,bathtub|implied incest|lesbian|squeegee|tied to a chair,R,2004,100
Ingmar Bergman,76,Ingrid Thulin,Drama,Erland Josephson,dying|love|mansion|selfishness|turn of the century,R,1972,132
D.W. Griffith,69,Mae Marsh,Drama|History|War,Walter Long,huguenot|intolerance|medicis|protestant|wedding,Not Rated,1916,22
Roger Nygard,43,DeForest Kelley,Documentary,James Doohan,autograph|dentist|outer space|star trek|telephone call,PG,1997,606
Harry Beaumont,36,Bessie Love,Musical|Romance,Charles King,sibling rivalry|singer|sister act|whistling|wisecrack humor,Passed,1929,28
Sam Raimi,304,Betsy Baker,Fantasy|Horror,Ellen Sandweiss,cult director|cult film|evil dead|necronomicon|psychotronic film,NC-17,1981,66
Franck Khalfoun,279,Nora Arnezeder,Horror|Thriller,Liane Balaban,exhibition|mannequin|obsession|oral sex|photographer,Not Rated,2012,378
Mor Loushy,23,,Documentary|History,,,,2015,
Henry Alex Rubin,110,Joe Bishop,Documentary|Sport,Andy Cohn,paralympics|quad rugby|rugby|team|wheelchair,R,2005,0
Sam Firstenberg,40,Steve James,Action|Drama,Larry Poindexter,blood splatter|island|motorboat|ninja|sequel to cult film,R,1987,96
Doug Block,45,Ellen Block,Documentary,Mike Block,address as title|number in title|parents,Unrated,2005,0
