director_name,num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,genres,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,budget,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
Luke Greenfield,129,613,Damon Wayans Jr.,Comedy,Let's Be Cops ,106820,3627,1,friendship between men|impersonating a police officer|mobster|party|police officer,147,USA,17000000,2014,756,1.85,14000
Alexander Payne,285,284,Patrick Gallagher,Adventure|Comedy|Drama|Romance,Sideways ,149966,2170,0,actor|california|teacher|wine|writer,835,USA,12000000,2004,306,1.85,0
Jay Chandrasekhar,91,422,Owain Yeoman,Comedy,Beerfest ,54710,35345,2,beer|competition|germany|oktoberfest|prostitute,177,USA,17500000,2006,459,2.35,0
John Carpenter,318,598,Donald Pleasence,Horror|Thriller,Halloween ,157857,4400,0,halloween|masked killer|michael myers|slasher|trick or treat,1191,USA,300000,1978,742,2.35,12000
Yimou Zhang,283,576,Tony Chiu Wai Leung,Action|Adventure|History,Hero ,149414,6229,4,china|flying|king|palace|sword,841,China,31000000,2002,643,2.35,0
John Hoffman,52,503,Molly Shannon,Comedy|Drama|Family|Fantasy|Sci-Fi,Good Boy! ,3407,2164,1,dog|friend|neighborhood|planet|star,48,USA,17000000,2003,636,1.85,309
Malcolm D. Lee,56,849,Sanaa Lathan,Comedy|Drama,The Best Man Holiday ,11600,5306,5,childbirth|christmas|gay slur|infidelity|punched in the nose,64,USA,17000000,2013,886,2.35,7000
Joe Carnahan,186,968,Common,Action|Crime|Drama|Thriller,Smokin' Aces ,121058,19410,0,casino|fbi|mafia|mob hit|sniper,482,UK,17000000,2006,988,2.35,3000
Kevin Greutert,178,298,Gina Holden,Horror|Mystery,Saw 3D: The Final Chapter ,67978,1978,0,blood splatter|self help guru|sequel|support group|survivor,279,Canada,20000000,2010,346,1.85,12000
Michael Lehmann,140,486,Vinessa Shaw,Comedy|Romance,40 Days and 40 Nights ,62272,3294,0,female on male rape|lent|male rear nudity|masturbation|sex,207,USA,17000000,2002,580,1.85,2000
Joseph Kosinski,469,1000,Olivia Wilde,Action|Adventure|Sci-Fi,TRON: Legacy ,264186,25549,0,arcade|bridge|disappearance|escape|warrior,665,USA,170000000,2010,10000,2.35,30000
John Fortenberry,63,281,Chris Kattan,Comedy|Music|Romance,A Night at the Roxbury ,48458,9271,2,1990s|bar|car accident|nightclub|whipped cream,239,USA,17000000,1998,357,1.85,0
Daniel Barnz,148,583,Mary-Kate Olsen,Drama|Fantasy|Romance,Beastly ,64190,17396,1,love|maid|newscaster|student|tutor,129,USA,17000000,2011,976,2.35,16000
Alexandre Aja,265,580,Greg Nicotero,Horror,The Hills Have Eyes ,129719,4500,0,desert|horror movie remake|murder of family|rape|slasher,855,USA,15000000,2006,1000,2.35,0
Sam Weisman,75,428,Jenna Boyd,Comedy,Dickie Roberts: Former Child Star ,11815,2713,1,dental braces|dental headgear|former child star|panties|white panties,117,USA,17000000,2003,517,2.35,320
Niki Caro,113,89,Valente Rodriguez,Biography|Drama|Sport,"McFarland, USA ",23480,952,0,coach|high school|place name in title|school|student,83,USA,17000000,2015,234,2.35,21000
Erik White,62,826,Loretta Devine,Comedy,Lottery Ticket ,7991,4797,7,block party|eurocopter ec120 colibri|fortune cookie|lottery ticket|reverend,30,USA,,2010,912,2.35,0
Chris Robinson,54,104,Adam Boyer,Comedy|Crime|Drama|Music|Romance,ATL ,8522,1538,0,high school|rollerskating rink|spelman college|twin|voice over narration,92,USA,,2006,503,2.35,874
Jason Moore,223,746,Hana Mae Lee,Comedy|Music|Romance,Pitch Perfect ,213898,12676,4,a cappella|competition|dj|female protagonist|lesbian,250,USA,17000000,2012,751,1.85,36000
Michael Tollin,50,505,Brian Dennehy,Comedy|Drama|Romance|Sport,Summer Catch ,12993,3344,2,baseball|baseball player|night|rivalry|summer,107,USA,34000000,2001,954,1.85,476
Sam Raimi,125,244,Bridget Fonda,Crime|Drama|Thriller,A Simple Plan ,50656,2365,1,bag of money|found money|minnesota|screenplay adapted by author|snow,416,UK,17000000,1998,888,1.85,0
Robert Harmon,81,973,Ethan Embry,Horror|Mystery|Thriller,They ,10885,4060,0,darkness|friend|kiss|nightmare|suicide,271,USA,17000000,2002,982,2.35,814
Trent Cooper,37,323,Larry the Cable Guy,Comedy|Romance,Larry the Cable Guy: Health Inspector ,9104,2135,2,diner|food poisoning|health inspector|restaurant|undercover,112,USA,4000000,2006,400,1.33,110
Gary Halvorson,44,142,Kevin Clash,Adventure|Comedy|Family|Fantasy|Musical,The Adventures of Elmo in Grouchland ,2045,2020,0,based on tv series|blanket|box office flop|rescue|sesame street,37,USA,17000000,1999,436,1.85,339
Antoine Fuqua,197,625,Lili Taylor,Crime|Drama|Thriller,Brooklyn's Finest ,52852,6317,1,catholic|corrupt cop|new york city|police detective|police officer killed,138,USA,17000000,2009,960,2.35,4000
Nicholas Ray,15,86,David Niven,Action|Adventure|Drama|History|War,55 Days at Peking ,4550,1567,3,ambassador|boxer rebellion|china|colonialism|peking china,50,USA,9000000,1963,490,2.2,419
Fede Alvarez,543,58,Elizabeth Blackmore,Horror,Evil Dead ,125016,673,0,book of the dead|demon|h.p. lovecraft|lesbian kiss|promise,789,USA,17000000,2013,150,2.35,70000
Donald Petrie,112,399,Harland Williams,Comedy|Romance,My Life in Ruins ,15033,2016,1,greece|greek|tour bus|tour guide|tourist,75,USA,17000000,2009,503,1.85,0
Paul Weitz,153,841,Dennis Quaid,Comedy|Music,American Dreamz ,22639,5992,6,chief of staff|contest|president|singing|terrorist,217,USA,19000000,2006,2000,1.85,300
Sidney J. Furie,94,488,Margot Kidder,Action|Adventure|Family|Sci-Fi,Superman IV: The Quest for Peace ,33570,3007,6,box office flop|dc comics|hair|nuclear disarmament|superman,259,UK,17000000,1987,593,2.35,1000
Ian Iqbal Rashid,62,66,Clé Bennett,Drama,How She Move ,4600,760,0,dance|dance contest|loss of sister|step dancing|teenager,18,Canada,,2007,122,1.85,238
Wayne Kramer,157,834,Chazz Palminteri,Action|Crime|Drama|Thriller,Running Scared ,88590,27381,2,adult child friendship|corrupt cop|fistfight|gangster|thug,419,Germany,17000000,2006,979,2.35,0
Rowdy Herrington,35,193,Jeremy Northam,Biography|Drama|Romance|Sport,Bobby Jones: Stroke of Genius ,3222,1727,3,colon in title|competition|five word title|golf|temper,64,USA,,2004,327,2.35,352
Jim Goddard,21,161,Paul Freeman,Adventure|Crime|Drama|Romance,Shanghai Surprise ,4081,805,0,china|missionary|opium|villain|year 1937,28,UK,17000000,1986,193,1.85,154
Neil Burger,236,96,Eddie Marsan,Drama|Mystery|Romance|Thriller,The Illusionist ,295375,4210,3,duchess|illusionist|magician|prince|supernatural power,645,USA,16000000,2006,979,1.85,15000
Noel Marshall,50,60,Melanie Griffith,Adventure|Horror|Thriller,Roar ,1275,1262,0,chase|dead man|jungle|killing a lion|killing a tiger,27,USA,17000000,1981,537,2.35,0
Joel Schumacher,106,71,David Murray,Biography|Crime|Drama|Thriller,Veronica Guerin ,16234,409,1,criminal|drug lord|gunshot|irish|journalist,113,Ireland,17000000,2003,96,2.35,0
Andrea Di Stefano,106,55,Brady Corbet,Crime|Drama|Romance|Thriller,Escobar: Paradise Lost ,13762,14492,1,colombia|dream|love|surfer|village,39,France,17000000,2014,287,,0
Richard Kelly,173,215,Curtis Armstrong,Comedy|Mystery|Sci-Fi|Thriller,Southland Tales ,32671,2340,6,amnesia|boxer|conspiracy|police|porn star,238,France,17000000,2006,876,2.35,0
Guillaume Ivernel,41,168,Jess Harnell,Adventure|Animation|Family|Fantasy,Dragon Hunters ,10706,1364,0,cgi film|computer animation|dragon|hunter,39,France,11000000,2008,262,,0
Jack Smight,41,255,Jan-Michael Vincent,Sci-Fi,Damnation Alley ,3701,1769,0,cockroach|desert|ghost town|giant spider|travel,71,USA,17000000,1977,642,2.35,903
Todd Lincoln,145,62,Rick Gomez,Horror|Thriller,The Apparition ,16268,730,1,e mail|evil spirit|experiment|fear|supernatural,108,USA,17000000,2012,152,2.35,0
Howard Zieff,31,165,Jamie Lee Curtis,Comedy|Drama|Family|Romance,My Girl ,55895,5433,1,best friend|funeral|girl|overalls|summer,115,USA,16500000,1991,2000,1.85,0
Steven Shainberg,105,260,Ty Burrell,Biography|Drama|Romance,Fur: An Imaginary Portrait of Diane Arbus ,13239,25173,2,character name in title|diane arbus|male full frontal nudity|photographer|pubic hair,97,USA,16800000,2006,3000,1.85,0
Neil Burger,236,96,Eddie Marsan,Drama|Mystery|Romance|Thriller,The Illusionist ,295375,4210,3,duchess|illusionist|magician|prince|supernatural power,645,USA,16000000,2006,979,1.85,15000
Oliver Stone,114,168,Tamara Tunie,Crime|Drama,Wall Street ,119150,1607,2,1980s|argument|critique of capitalism|f word|fired from the job,219,USA,15000000,1987,508,1.85,0
Ang Lee,69,1000,Kate Winslet,Drama|Romance,Sense and Sensibility ,78392,41059,2,1810s|female protagonist|horseback riding|inheritance|three word title,196,USA,16500000,1995,14000,1.85,0
Julian Jarrold,150,281,Julie Walters,Biography|Drama|Romance,Becoming Jane ,46204,12554,1,country estate|jane austen|lady|love|writing,151,UK,16500000,2007,838,2.35,0
Joe Nussbaum,72,433,Matt Long,Comedy|Romance,Sydney White ,37700,2785,2,college|college girl|female protagonist|sorority|sorority house,50,USA,16500000,2007,701,2.35,0
Vadim Perelman,158,385,Kim Dickens,Drama,House of Sand and Fog ,56665,2282,0,auction|home|house|iranian|marriage,469,USA,15000000,2003,624,1.85,0
Peter Weir,96,1000,Josh Charles,Comedy|Drama,Dead Poets Society ,277451,51609,0,education|english teacher|poet|professor|student,491,USA,16400000,1989,1000,1.85,23000
Peter Farrelly,84,481,Mike Starr,Comedy,Dumb & Dumber ,288451,2985,2,briefcase full of money|character repeating someone else's dialogue|character says i love you|friendship|reference to cinderella,438,USA,16000000,1994,854,1.85,0
Rob Reiner,114,62,Gretchen Palmer,Comedy|Drama|Romance,When Harry Met Sally... ,149108,485,0,friendship|love|male female friendship|new york|sex,273,USA,16000000,1989,73,1.85,0
Sidney Lumet,79,359,James Mason,Drama,The Verdict ,26310,2330,0,archdiocese|court|hospital|lawyer|malpractice,154,USA,16000000,1982,617,1.85,0
