director_name,director_facebook_likes,gross,genres,actor_1_name,num_voted_users,language,country,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Pete Travis,38,72266306,Crime|Drama|Mystery|Thriller,Dennis Quaid,127528,English,USA,2008,897,6.6,2.35,0
John Hamburg,29,71347010,Comedy|Romance,J.K. Simmons,166194,English,USA,2009,4000,7.1,1.85,0
Bobby Farrelly,101,70836296,Comedy|Drama|Fantasy|Romance,Jason Alexander,109445,English,USA,2001,655,5.9,1.85,0
Oliver Stone,0,70405498,Drama|History|Thriller,Sally Kirkland,113472,English,France,1991,256,8.0,2.35,0
John Whitesell,14,70163652,Comedy|Crime,Chloë Grace Moretz,31968,English,USA,2006,826,4.6,1.85,663
Gore Verbinski,563,66808615,Adventure|Comedy|Crime|Romance,J.K. Simmons,87351,English,USA,2001,11000,6.1,2.35,2000
Angelina Jolie Pitt,11000,115603980,Biography|Drama|Sport|War,Finn Wittrock,103589,English,USA,2014,698,7.2,2.35,35000
Burr Steers,23,64149837,Comedy|Drama|Family|Fantasy|Romance,Matthew Perry,146899,English,USA,2009,2000,6.4,2.35,0
Nick Cassavetes,415,83906114,Comedy|Romance,Don Johnson,104481,English,USA,2014,971,6.0,2.35,16000
David R. Ellis,160,66466372,Horror,Krista Allen,75345,English,USA,2009,137000,5.2,2.35,0
Steven Spielberg,14000,72306065,Drama|History|Thriller,Tom Hanks,178118,English,USA,2015,535,7.6,2.35,55000
John Moore,212,59068786,Action|Drama|Thriller|War,Joaquim de Almeida,86902,English,USA,2001,563,6.4,2.35,0
Nicholas Stoller,89,60923325,Comedy|Music,Pink,147317,English,USA,2010,719,6.4,1.85,12000
Peter Chelsom,23,57887882,Comedy|Drama|Romance,Lisa Ann Walter,35508,English,USA,2004,593,6.1,1.85,0
Joe Dante,287,53955614,Action|Adventure|Comedy|Family|Sci-Fi,Kirsten Dunst,77415,English,USA,1998,835,6.1,2.35,0
Mark A.Z. Dippé,20,54967359,Action|Horror,Michael Jai White,52805,English,USA,1997,2000,5.2,1.85,0
Kevin Reynolds,58,54228104,Action|Adventure|Drama|Romance|Thriller,Henry Cavill,104991,English,UK,2002,1000,7.7,1.85,0
Brad Furman,65,57981889,Crime|Drama|Thriller,Matthew McConaughey,173848,English,USA,2011,980,7.3,2.35,25000
Jaume Collet-Serra,174,61094903,Action|Mystery|Thriller,Liam Neeson,210542,English,UK,2011,903,6.9,2.35,29000
Christopher Nolan,22000,53082743,Drama|Mystery|Sci-Fi|Thriller,Christian Bale,844052,English,USA,2006,20000,8.5,2.35,49000
Sean Anders,51,54414716,Comedy|Crime,Kevin Spacey,114294,English,USA,2014,11000,6.3,2.35,12000
Cal Brunker,7,57011847,Adventure|Animation|Comedy|Family|Sci-Fi,Brendan Fraser,20615,English,USA,2013,190,5.9,2.35,0
Mel Gibson,0,50859889,Action|Adventure|Drama|Thriller,Rudy Youngblood,236000,Maya,USA,2006,78,7.8,1.85,14000
John Glen,46,51185897,Action|Adventure|Thriller,Joe Don Baker,69457,English,UK,1987,244,6.7,2.35,0
