director_name,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,actor_2_facebook_likes
Jessica Bendinger,31,733,12000,26870825,Comedy|Drama|Sport,22604,14903,John Patrick Amedori,3,http://www.imdb.com/title/tt0430634/?ref_=fn_tt_tt_1,124,English,Germany,PG-13,,804
Robert Rodriguez,0,470,87000,20916309,Comedy|Family|Fantasy,5332,88422,Jake Short,4,http://www.imdb.com/title/tt1100119/?ref_=fn_tt_tt_1,37,English,USA,PG,40000000,570
Gus Van Sant,835,458,1000,21200000,Comedy|Crime|Drama,34774,3598,Holland Taylor,0,http://www.imdb.com/title/tt0114681/?ref_=fn_tt_tt_1,162,English,USA,R,20000000,967
Henry Joost,24,374,646,28876924,Adventure|Crime|Mystery|Sci-Fi|Thriller,4303,1780,Emily Meade,0,http://www.imdb.com/title/tt3531824/?ref_=fn_tt_tt_1,35,English,USA,PG-13,20000000,441
Ed Harris,0,107,10000,20207003,Crime|Drama|Western,50198,10507,Tom Bower,0,http://www.imdb.com/title/tt0800308/?ref_=fn_tt_tt_1,202,English,USA,R,,311
John Carpenter,0,877,2000,20241395,Action|Horror|Thriller,42664,5123,Maximilian Schell,0,http://www.imdb.com/title/tt0120877/?ref_=fn_tt_tt_1,403,English,USA,R,20000000,1000
,,,0,,Action|Adventure|Animation|Family|Fantasy,12417,0,,0,http://www.imdb.com/title/tt0249327/?ref_=fn_tt_tt_1,51,Japanese,Japan,,,
Alfred Hitchcock,13000,285,606,32000000,Horror|Mystery|Thriller,422432,1885,John Gavin,2,http://www.imdb.com/title/tt0054215/?ref_=fn_tt_tt_1,1040,English,USA,R,806947,332
Howard Deutch,41,490,1000,19151864,Comedy|Romance,36983,3301,Riki Lindhome,3,http://www.imdb.com/title/tt1046163/?ref_=fn_tt_tt_1,100,English,USA,R,40000000,500
Shana Feste,19,942,15000,23393765,Drama|Romance,31323,18760,Rhys Wakefield,0,http://www.imdb.com/title/tt2318092/?ref_=fn_tt_tt_1,76,English,USA,PG-13,20000000,989
Garry Marshall,0,949,995,18882880,Comedy|Drama,20539,4039,Jane Fonda,3,http://www.imdb.com/title/tt0791304/?ref_=fn_tt_tt_1,125,English,USA,R,20000000,975
Steve Rash,15,281,691,8500000,Comedy,2061,1761,Billy Barty,0,http://www.imdb.com/title/tt0083254/?ref_=fn_tt_tt_1,34,English,USA,PG,20000000,374
Richard Donner,503,83,2000,,Adventure|Comedy|Drama|Fantasy,33597,2251,Leo McKern,2,http://www.imdb.com/title/tt0089457/?ref_=fn_tt_tt_1,185,English,USA,PG-13,20000000,92
Mark Steven Johnson,160,271,1000,18252684,Comedy|Drama|Family,18366,1816,Dana Ivey,2,http://www.imdb.com/title/tt0124879/?ref_=fn_tt_tt_1,219,English,USA,PG,30000000,367
Mike Binder,57,905,11000,19661987,Drama,83786,17050,John de Lancie,2,http://www.imdb.com/title/tt0490204/?ref_=fn_tt_tt_1,231,English,USA,R,20000000,3000
Sean Penn,0,826,17000,18352454,Adventure|Biography|Drama,426359,18752,Hal Holbrook,0,http://www.imdb.com/title/tt0758758/?ref_=fn_tt_tt_1,760,English,USA,R,15000000,882
Todd Phillips,480,579,970,17803796,Comedy,26100,4374,Jacinda Barrett,1,http://www.imdb.com/title/tt0462519/?ref_=fn_tt_tt_1,97,English,USA,PG-13,20000000,931
Michael J. Bassett,83,206,991,17529157,Adventure|Drama|Horror|Mystery|Thriller,49888,2173,Martin Donovan,0,http://www.imdb.com/title/tt0938330/?ref_=fn_tt_tt_1,220,English,France,R,20000000,494
Robert Rodriguez,0,844,16000,25753840,Crime|Fantasy|Horror,219091,23296,Cheech Marin,2,http://www.imdb.com/title/tt0116367/?ref_=fn_tt_tt_1,592,English,USA,R,19000000,4000
Frank Nissen,0,253,304,18081626,Animation|Family|Fantasy|Mystery,4180,861,John Fiedler,0,http://www.imdb.com/title/tt0407121/?ref_=fn_tt_tt_1,32,English,USA,G,20000000,286
Jodie Foster,0,801,21000,17518220,Comedy|Drama|Romance,9105,25263,Steve Guttenberg,1,http://www.imdb.com/title/tt0113321/?ref_=fn_tt_tt_1,76,English,USA,PG-13,20000000,1000
Stephen Chow,0,59,264,17104669,Action|Comedy|Crime|Fantasy,99353,537,Qiu Yuen,1,http://www.imdb.com/title/tt0373074/?ref_=fn_tt_tt_1,354,Cantonese,Hong Kong,R,20000000,62
,,215,909,,Comedy,114,1557,Sharon Lawrence,2,http://www.imdb.com/title/tt0118315/?ref_=fn_tt_tt_1,6,English,USA,,,417
Peter Hastings,0,939,3000,16988996,Comedy|Family|Music|Musical,3875,8189,Stephen Root,1,http://www.imdb.com/title/tt0276033/?ref_=fn_tt_tt_1,75,English,USA,G,35000000,968
Marc Forster,395,161,283,15797907,Drama,68119,904,Khalid Abdalla,0,http://www.imdb.com/title/tt0419887/?ref_=fn_tt_tt_1,230,Dari,USA,PG-13,20000000,206
Alejandro G. Iñárritu,0,430,6000,16248701,Drama,189683,7567,Danny Huston,0,http://www.imdb.com/title/tt0315733/?ref_=fn_tt_tt_1,559,English,USA,R,20000000,979
Paul Abascal,2,472,787,15712072,Action|Crime|Drama|Thriller,13210,2915,Kelly Carlson,0,http://www.imdb.com/title/tt0338325/?ref_=fn_tt_tt_1,138,English,USA,PG-13,20000000,555
Catherine Hardwicke,308,10000,17000,191449475,Drama|Fantasy|Romance,348010,44061,Anna Kendrick,1,http://www.imdb.com/title/tt1099212/?ref_=fn_tt_tt_1,1535,English,USA,PG-13,37000000,12000
Chris Koch,13,499,651,15408822,Comedy|Romance,14147,2698,James Brolin,3,http://www.imdb.com/title/tt0295289/?ref_=fn_tt_tt_1,92,English,USA,PG-13,20000000,555
Amy Heckerling,143,153,302,15464026,Comedy|Romance,23076,1189,Zak Orth,2,http://www.imdb.com/title/tt0217630/?ref_=fn_tt_tt_1,158,English,USA,PG-13,20000000,216
Michael Moore,909,173,1000,14359793,Crime|Documentary|News,35137,2327,Bernie Sanders,0,http://www.imdb.com/title/tt1232207/?ref_=fn_tt_tt_1,188,English,USA,R,,909
George Stevens,126,202,940,8000000,Biography|Drama|History,6484,1934,José Ferrer,6,http://www.imdb.com/title/tt0059245/?ref_=fn_tt_tt_1,100,English,USA,G,20000000,208
Billy Ray,53,233,8000,,Crime|Drama|Mystery|Thriller,20186,9941,Joe Cole,0,http://www.imdb.com/title/tt1741273/?ref_=fn_tt_tt_1,81,English,USA,PG-13,19500000,963
Jason Friedberg,82,329,869,14174654,Comedy,74945,2857,Ike Barinholtz,0,http://www.imdb.com/title/tt1213644/?ref_=fn_tt_tt_1,359,English,USA,PG-13,25000000,624
Nimród Antal,190,163,137000,15988876,Action|Crime|Thriller,26236,137712,Lorna Raver,6,http://www.imdb.com/title/tt0913354/?ref_=fn_tt_tt_1,110,English,USA,PG-13,27000000,459
Jon Amiel,36,507,13000,13801755,Action|Comedy|Crime|Thriller,23928,15183,Joanne Whalley,1,http://www.imdb.com/title/tt0120483/?ref_=fn_tt_tt_1,100,English,USA,PG,20000000,828
Mark Mylod,20,783,11000,13987482,Comedy|Romance,58957,15713,Ed Begley Jr.,1,http://www.imdb.com/title/tt0770703/?ref_=fn_tt_tt_1,91,English,USA,R,20000000,904
James Mather,4,80,788,14291570,Action|Adventure|Sci-Fi|Thriller,82082,1414,Jacky Ido,2,http://www.imdb.com/title/tt1592525/?ref_=fn_tt_tt_1,236,English,France,PG-13,20000000,447
Barry Levinson,272,62,1000,12181484,Comedy,26390,1189,Sam Lerner,1,http://www.imdb.com/title/tt0326856/?ref_=fn_tt_tt_1,176,English,USA,PG-13,40000000,87
