director_name,num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,plot_keywords,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,imdb_score,movie_facebook_likes
David Hayter,59,512,11000,Jason Momoa,Wolves ,5693,13545,bar|female nudity|murder|small town|werewolf,http://www.imdb.com/title/tt1403241/?ref_=fn_tt_tt_1,34,English,R,18000000,5.3,0
Jon M. Chu,97,209,158,Cassie Ventura,Step Up 2: The Streets ,67653,816,audition|dance|kissing in the rain|student|subway,http://www.imdb.com/title/tt1023481/?ref_=fn_tt_tt_1,108,English,PG-13,23000000,6.2,0
Cory Edwards,142,19,11000,Anne Hathaway,Hoodwinked! ,45900,14385,animal|axe|red riding hood|wolf|woodsman,http://www.imdb.com/title/tt0443536/?ref_=fn_tt_tt_1,247,English,PG,17500000,6.5,0
Terry George,187,83,3000,Don Cheadle,Hotel Rwanda ,264533,4142,atrocity|central africa|ethnic warfare|united nations peace keeping force|united nations soldier,http://www.imdb.com/title/tt0395169/?ref_=fn_tt_tt_1,609,English,PG-13,17500000,8.1,12000
Xavier Gens,193,87,866,Henry Ian Cusick,Hitman ,140780,2124,hitman|impersonation|see through dress|topless female nudity|woman on top,http://www.imdb.com/title/tt0465494/?ref_=fn_tt_tt_1,376,English,R,24000000,6.3,0
Kasi Lemmons,40,148,549,Jennifer Hudson,Black Nativity ,1633,1373,based on stage musical|based on the bible|christmas|color in title|nativity,http://www.imdb.com/title/tt1425922/?ref_=fn_tt_tt_1,17,English,PG,17500000,4.4,0
Brian A Miller,46,32,13000,Bruce Willis,The Prince ,13133,16735,assassin|fight|mechanic|rescue|rival,http://www.imdb.com/title/tt1085492/?ref_=fn_tt_tt_1,101,English,R,18000000,4.6,0
Matt Dillon,38,0,109,Kirk Fox,City of Ghosts ,4387,245,bag over head|buddhist temple|loss of friend|male bonding|nightclub,http://www.imdb.com/title/tt0164003/?ref_=fn_tt_tt_1,67,English,R,17500000,6.0,204
Alejandro Amenábar,239,448,482,Fionnula Flanagan,The Others ,268581,956,curtain|haunting|mansion|mute|xeroderma pigmentosum,http://www.imdb.com/title/tt0230600/?ref_=fn_tt_tt_1,1109,English,PG-13,17000000,7.6,20000
James Cameron,250,0,2000,Michael Biehn,Aliens ,488537,4228,alien|human versus alien|monster|rescue mission|space marine,http://www.imdb.com/title/tt0090605/?ref_=fn_tt_tt_1,1076,English,R,18500000,8.4,18000
George Cukor,82,165,453,Jeremy Brett,My Fair Lady ,66959,1164,colonel|flower girl|professor|street|wager,http://www.imdb.com/title/tt0058385/?ref_=fn_tt_tt_1,258,English,Approved,17000000,7.9,0
Jim Gillespie,140,13,45000,Muse Watson,I Know What You Did Last Summer ,105585,50284,beach|corpse|fourth of july|overalls|revenge,http://www.imdb.com/title/tt0119345/?ref_=fn_tt_tt_1,419,English,R,17000000,5.6,0
Luke Greenfield,129,42,839,Rob Riggle,Let's Be Cops ,106820,3627,friendship between men|impersonating a police officer|mobster|party|police officer,http://www.imdb.com/title/tt1924435/?ref_=fn_tt_tt_1,147,English,R,17000000,6.5,14000
Alexander Payne,285,729,912,Virginia Madsen,Sideways ,149966,2170,actor|california|teacher|wine|writer,http://www.imdb.com/title/tt0375063/?ref_=fn_tt_tt_1,835,English,R,12000000,7.5,0
Jay Chandrasekhar,91,422,33000,Chris Moss,Beerfest ,54710,35345,beer|competition|germany|oktoberfest|prostitute,http://www.imdb.com/title/tt0486551/?ref_=fn_tt_tt_1,177,English,R,17500000,6.3,0
John Carpenter,318,0,2000,Jamie Lee Curtis,Halloween ,157857,4400,halloween|masked killer|michael myers|slasher|trick or treat,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,1191,English,R,300000,7.9,12000
Yimou Zhang,283,611,5000,Jet Li,Hero ,149414,6229,china|flying|king|palace|sword,http://www.imdb.com/title/tt0299977/?ref_=fn_tt_tt_1,841,Mandarin,PG-13,31000000,7.9,0
John Hoffman,52,9,818,Liam Aiken,Good Boy! ,3407,2164,dog|friend|neighborhood|planet|star,http://www.imdb.com/title/tt0326900/?ref_=fn_tt_tt_1,48,English,PG,17000000,5.1,309
Malcolm D. Lee,56,92,1000,Harold Perrineau,The Best Man Holiday ,11600,5306,childbirth|christmas|gay slur|infidelity|punched in the nose,http://www.imdb.com/title/tt2083355/?ref_=fn_tt_tt_1,64,English,R,17000000,6.7,7000
Joe Carnahan,186,248,16000,Ryan Reynolds,Smokin' Aces ,121058,19410,casino|fbi|mafia|mob hit|sniper,http://www.imdb.com/title/tt0475394/?ref_=fn_tt_tt_1,482,English,R,17000000,6.7,3000
Kevin Greutert,178,52,723,Costas Mandylor,Saw 3D: The Final Chapter ,67978,1978,blood splatter|self help guru|sequel|support group|survivor,http://www.imdb.com/title/tt1477076/?ref_=fn_tt_tt_1,279,English,R,20000000,5.6,12000
Michael Lehmann,140,36,1000,Emmanuelle Vaugier,40 Days and 40 Nights ,62272,3294,female on male rape|lent|male rear nudity|masturbation|sex,http://www.imdb.com/title/tt0243736/?ref_=fn_tt_tt_1,207,English,R,17000000,5.6,2000
Joseph Kosinski,469,364,12000,Jeff Bridges,TRON: Legacy ,264186,25549,arcade|bridge|disappearance|escape|warrior,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,665,English,PG,170000000,6.8,30000
John Fortenberry,63,12,8000,Will Ferrell,A Night at the Roxbury ,48458,9271,1990s|bar|car accident|nightclub|whipped cream,http://www.imdb.com/title/tt0120770/?ref_=fn_tt_tt_1,239,English,PG-13,17000000,6.2,0
Daniel Barnz,148,33,15000,Alex Pettyfer,Beastly ,64190,17396,love|maid|newscaster|student|tutor,http://www.imdb.com/title/tt1152398/?ref_=fn_tt_tt_1,129,English,PG-13,17000000,5.6,16000
Alexandre Aja,265,192,1000,Dan Byrd,The Hills Have Eyes ,129719,4500,desert|horror movie remake|murder of family|rape|slasher,http://www.imdb.com/title/tt0454841/?ref_=fn_tt_tt_1,855,English,R,15000000,6.4,0
Sam Weisman,75,39,593,Kevin Grevioux,Dickie Roberts: Former Child Star ,11815,2713,dental braces|dental headgear|former child star|panties|white panties,http://www.imdb.com/title/tt0325258/?ref_=fn_tt_tt_1,117,English,PG-13,17000000,5.6,320
Niki Caro,113,51,427,Morgan Saylor,McFarland, USA ,23480,952,coach|high school|place name in title|school|student,http://www.imdb.com/title/tt2097298/?ref_=fn_tt_tt_1,83,English,PG,17000000,7.4,21000
Erik White,62,17,918,Brandon T. Jackson,Lottery Ticket ,7991,4797,block party|eurocopter ec120 colibri|fortune cookie|lottery ticket|reverend,http://www.imdb.com/title/tt0979434/?ref_=fn_tt_tt_1,30,English,PG-13,,4.9,0
Chris Robinson,54,49,680,T.I.,ATL ,8522,1538,high school|rollerskating rink|spelman college|twin|voice over narration,http://www.imdb.com/title/tt0466856/?ref_=fn_tt_tt_1,92,English,PG-13,,6.0,874
Jason Moore,223,36,10000,Anna Kendrick,Pitch Perfect ,213898,12676,a cappella|competition|dj|female protagonist|lesbian,http://www.imdb.com/title/tt1981677/?ref_=fn_tt_tt_1,250,English,PG-13,17000000,7.2,36000
Michael Tollin,50,19,973,Marc Blucas,Summer Catch ,12993,3344,baseball|baseball player|night|rivalry|summer,http://www.imdb.com/title/tt0234829/?ref_=fn_tt_tt_1,107,English,PG-13,34000000,4.9,476
Sam Raimi,125,0,989,Gary Cole,A Simple Plan ,50656,2365,bag of money|found money|minnesota|screenplay adapted by author|snow,http://www.imdb.com/title/tt0120324/?ref_=fn_tt_tt_1,416,English,R,17000000,7.5,0
Robert Harmon,81,11,1000,Alexander Gould,They ,10885,4060,darkness|friend|kiss|nightmare|suicide,http://www.imdb.com/title/tt0283632/?ref_=fn_tt_tt_1,271,English,PG-13,17000000,4.8,814
Trent Cooper,37,0,690,Thomas F. Wilson,Larry the Cable Guy: Health Inspector ,9104,2135,diner|food poisoning|health inspector|restaurant|undercover,http://www.imdb.com/title/tt0462395/?ref_=fn_tt_tt_1,112,English,PG-13,4000000,3.1,110
Gary Halvorson,44,11,1000,Vanessa Williams,The Adventures of Elmo in Grouchland ,2045,2020,based on tv series|blanket|box office flop|rescue|sesame street,http://www.imdb.com/title/tt0159421/?ref_=fn_tt_tt_1,37,English,G,17000000,5.8,339
Antoine Fuqua,197,847,3000,Don Cheadle,Brooklyn's Finest ,52852,6317,catholic|corrupt cop|new york city|police detective|police officer killed,http://www.imdb.com/title/tt1210042/?ref_=fn_tt_tt_1,138,English,R,17000000,6.7,4000
Nicholas Ray,15,117,715,Ava Gardner,55 Days at Peking ,4550,1567,ambassador|boxer rebellion|china|colonialism|peking china,http://www.imdb.com/title/tt0056800/?ref_=fn_tt_tt_1,50,English,Unrated,9000000,6.8,419
Fede Alvarez,543,201,394,Lou Taylor Pucci,Evil Dead ,125016,673,book of the dead|demon|h.p. lovecraft|lesbian kiss|promise,http://www.imdb.com/title/tt1288558/?ref_=fn_tt_tt_1,789,English,R,17000000,6.5,70000
Donald Petrie,112,80,567,Nia Vardalos,My Life in Ruins ,15033,2016,greece|greek|tour bus|tour guide|tourist,http://www.imdb.com/title/tt0865559/?ref_=fn_tt_tt_1,75,English,PG-13,17000000,5.9,0
Paul Weitz,153,80,2000,Judy Greer,American Dreamz ,22639,5992,chief of staff|contest|president|singing|terrorist,http://www.imdb.com/title/tt0465142/?ref_=fn_tt_tt_1,217,English,PG-13,19000000,5.5,300
Sidney J. Furie,94,22,1000,Jim Broadbent,Superman IV: The Quest for Peace ,33570,3007,box office flop|dc comics|hair|nuclear disarmament|superman,http://www.imdb.com/title/tt0094074/?ref_=fn_tt_tt_1,259,English,PG,17000000,3.6,1000
Ian Iqbal Rashid,62,8,328,DeRay Davis,How She Move ,4600,760,dance|dance contest|loss of sister|step dancing|teenager,http://www.imdb.com/title/tt0770810/?ref_=fn_tt_tt_1,18,English,PG-13,,3.3,238
Wayne Kramer,157,47,23000,Paul Walker,Running Scared ,88590,27381,adult child friendship|corrupt cop|fistfight|gangster|thug,http://www.imdb.com/title/tt0404390/?ref_=fn_tt_tt_1,419,English,R,17000000,7.4,0
Rowdy Herrington,35,9,767,Aidan Quinn,Bobby Jones: Stroke of Genius ,3222,1727,colon in title|competition|five word title|golf|temper,http://www.imdb.com/title/tt0375104/?ref_=fn_tt_tt_1,64,English,PG,,6.7,352
Jim Goddard,21,3,400,Victor Wong,Shanghai Surprise ,4081,805,china|missionary|opium|villain|year 1937,http://www.imdb.com/title/tt0091934/?ref_=fn_tt_tt_1,28,English,PG-13,17000000,3.0,154
Neil Burger,236,168,3000,Rufus Sewell,The Illusionist ,295375,4210,duchess|illusionist|magician|prince|supernatural power,http://www.imdb.com/title/tt0443543/?ref_=fn_tt_tt_1,645,English,PG-13,16000000,7.6,15000
Noel Marshall,50,4,634,Tippi Hedren,Roar ,1275,1262,chase|dead man|jungle|killing a lion|killing a tiger,http://www.imdb.com/title/tt0083001/?ref_=fn_tt_tt_1,27,English,PG,17000000,6.4,0
Joel Schumacher,106,541,214,Brenda Fricker,Veronica Guerin ,16234,409,criminal|drug lord|gunshot|irish|journalist,http://www.imdb.com/title/tt0312549/?ref_=fn_tt_tt_1,113,English,R,17000000,6.9,0
Andrea Di Stefano,106,30,14000,Josh Hutcherson,Escobar: Paradise Lost ,13762,14492,colombia|dream|love|surfer|village,http://www.imdb.com/title/tt2515030/?ref_=fn_tt_tt_1,39,English,R,17000000,6.6,0
Richard Kelly,173,219,1000,Janeane Garofalo,Southland Tales ,32671,2340,amnesia|boxer|conspiracy|police|porn star,http://www.imdb.com/title/tt0405336/?ref_=fn_tt_tt_1,238,English,R,17000000,5.5,0
Guillaume Ivernel,41,0,677,Rob Paulsen,Dragon Hunters ,10706,1364,cgi film|computer animation|dragon|hunter,http://www.imdb.com/title/tt0944834/?ref_=fn_tt_tt_1,39,French,PG,11000000,6.6,0
Jack Smight,41,22,669,George Peppard,Damnation Alley ,3701,1769,cockroach|desert|ghost town|giant spider|travel,http://www.imdb.com/title/tt0075909/?ref_=fn_tt_tt_1,71,English,PG,17000000,5.2,903
Todd Lincoln,145,57,465,Julianna Guill,The Apparition ,16268,730,e mail|evil spirit|experiment|fear|supernatural,http://www.imdb.com/title/tt1433822/?ref_=fn_tt_tt_1,108,English,PG-13,17000000,4.1,0
Howard Zieff,31,6,3000,Macaulay Culkin,My Girl ,55895,5433,best friend|funeral|girl|overalls|summer,http://www.imdb.com/title/tt0102492/?ref_=fn_tt_tt_1,115,English,PG-13,16500000,6.8,0
Steven Shainberg,105,30,21000,Robert Downey Jr.,Fur: An Imaginary Portrait of Diane Arbus ,13239,25173,character name in title|diane arbus|male full frontal nudity|photographer|pubic hair,http://www.imdb.com/title/tt0422295/?ref_=fn_tt_tt_1,97,English,R,16800000,6.5,0
Neil Burger,236,168,3000,Rufus Sewell,The Illusionist ,295375,4210,duchess|illusionist|magician|prince|supernatural power,http://www.imdb.com/title/tt0443543/?ref_=fn_tt_tt_1,645,English,PG-13,16000000,7.6,15000
Oliver Stone,114,0,826,Hal Holbrook,Wall Street ,119150,1607,1980s|argument|critique of capitalism|f word|fired from the job,http://www.imdb.com/title/tt0094291/?ref_=fn_tt_tt_1,219,English,R,15000000,7.4,0
Ang Lee,69,0,25000,Alan Rickman,Sense and Sensibility ,78392,41059,1810s|female protagonist|horseback riding|inheritance|three word title,http://www.imdb.com/title/tt0114388/?ref_=fn_tt_tt_1,196,English,PG,16500000,7.7,0
Julian Jarrold,150,11,11000,Anne Hathaway,Becoming Jane ,46204,12554,country estate|jane austen|lady|love|writing,http://www.imdb.com/title/tt0416508/?ref_=fn_tt_tt_1,151,English,PG,16500000,7.1,0
Joe Nussbaum,72,18,714,Danny Strong,Sydney White ,37700,2785,college|college girl|female protagonist|sorority|sorority house,http://www.imdb.com/title/tt0815244/?ref_=fn_tt_tt_1,50,English,PG-13,16500000,6.3,0
Vadim Perelman,158,26,638,Frances Fisher,House of Sand and Fog ,56665,2282,auction|home|house|iranian|marriage,http://www.imdb.com/title/tt0315983/?ref_=fn_tt_tt_1,469,English,R,15000000,7.6,0
Peter Weir,96,608,49000,Robin Williams,Dead Poets Society ,277451,51609,education|english teacher|poet|professor|student,http://www.imdb.com/title/tt0097165/?ref_=fn_tt_tt_1,491,English,PG,16400000,8.0,23000
Peter Farrelly,84,137,879,Lauren Holly,Dumb & Dumber ,288451,2985,briefcase full of money|character repeating someone else's dialogue|character says i love you|friendship|reference to cinderella,http://www.imdb.com/title/tt0109686/?ref_=fn_tt_tt_1,438,English,PG-13,16000000,7.3,0
Rob Reiner,114,0,227,Bruno Kirby,When Harry Met Sally... ,149108,485,friendship|love|male female friendship|new york|sex,http://www.imdb.com/title/tt0098635/?ref_=fn_tt_tt_1,273,English,R,16000000,7.6,0
Sidney Lumet,79,0,844,Charlotte Rampling,The Verdict ,26310,2330,archdiocese|court|hospital|lawyer|malpractice,http://www.imdb.com/title/tt0084855/?ref_=fn_tt_tt_1,154,English,R,16000000,7.8,0
Todd Phillips,103,480,1000,Ethan Suplee,Road Trip ,132963,3889,blonde|college|friend|highway travel|road trip,http://www.imdb.com/title/tt0215129/?ref_=fn_tt_tt_1,302,English,R,15600000,6.5,0
Brian Robbins,67,48,23000,Paul Walker,Varsity Blues ,35312,23369,coach|coyote|popularity|quarterback|texas,http://www.imdb.com/title/tt0139699/?ref_=fn_tt_tt_1,267,English,R,16000000,6.4,0
Michel Hazanavicius,576,405,996,Bérénice Bejo,The Artist ,190030,4606,1920s|jack russell terrier|modern silent movie|movie star|movie studio,http://www.imdb.com/title/tt1655442/?ref_=fn_tt_tt_1,583,English,PG-13,15000000,8.0,30000
David S. Goyer,178,687,10000,Gary Oldman,The Unborn ,42182,12183,babysitting|experiment|nightmare|possession|twin,http://www.imdb.com/title/tt1139668/?ref_=fn_tt_tt_1,230,English,PG-13,16000000,4.8,0
Wes Anderson,487,0,13000,Bruce Willis,Moonrise Kingdom ,237848,27911,1960s|boy scouts|boy scouts camp|coming of age|young love,http://www.imdb.com/title/tt1748122/?ref_=fn_tt_tt_1,377,English,PG-13,16000000,7.8,71000
Jonathan Liebesman,196,473,20000,Matt Bomer,The Texas Chainsaw Massacre: The Beginning ,56269,26402,cannibal|car accident|leatherface|psychopath|slaughterhouse,http://www.imdb.com/title/tt0420294/?ref_=fn_tt_tt_1,366,English,R,16000000,5.9,0
Cyrus Nowrasteh,24,19,241,Clive Russell,The Young Messiah ,1449,824,based on novel,http://www.imdb.com/title/tt1002563/?ref_=fn_tt_tt_1,30,English,PG-13,18500000,5.4,0
Perry Andelin Blake,56,11,911,Jennifer Esposito,The Master of Disguise ,18254,3058,disguise|mask|master of disguise|restaurant|waiter,http://www.imdb.com/title/tt0295427/?ref_=fn_tt_tt_1,307,English,PG,16000000,3.3,1000
Guillermo del Toro,406,0,634,Ivana Baquero,Pan's Labyrinth ,467234,1322,fairy|fairy tale|faun|princess|spain,http://www.imdb.com/title/tt0457430/?ref_=fn_tt_tt_1,1083,Spanish,R,13500000,8.2,27000
,3,,1000,Joel Courtney,The Messengers             ,7210,4561,,http://www.imdb.com/title/tt3513704/?ref_=fn_tt_tt_1,57,English,,,6.6,0
John Whitesell,51,14,1000,Leslie Bibb,See Spot Run ,7392,4194,boy|fbi|mailman|van|witness protection,http://www.imdb.com/title/tt0250720/?ref_=fn_tt_tt_1,53,English,PG,35000000,5.4,393
John Singleton,41,309,939,Mo'Nique,Baby Boy ,9566,3107,cartoon on tv|family relationships|physical abuse|single parent|two word title,http://www.imdb.com/title/tt0255819/?ref_=fn_tt_tt_1,81,English,R,16000000,6.4,1000
Christian E. Christiansen,138,26,3000,Leighton Meester,The Roommate ,29147,5349,animal abuse(non graphic)|cat killer|college|dead cat|death of cat,http://www.imdb.com/title/tt1265990/?ref_=fn_tt_tt_1,115,English,PG-13,16000000,4.8,0
Dennie Gordon,78,29,861,Brittany Daniel,Joe Dirt ,41664,2543,first part|grand canyon|highway travel|indian|janitor,http://www.imdb.com/title/tt0245686/?ref_=fn_tt_tt_1,205,English,PG-13,17700000,5.9,0
Sheldon Lettich,40,23,633,Bolo Yeung,Double Impact ,28736,874,boat|hong kong|murder|tunnel|twins,http://www.imdb.com/title/tt0101764/?ref_=fn_tt_tt_1,72,English,R,15000000,5.5,0
Edgar Wright,285,1000,175,Bill Bailey,Hot Fuzz ,352695,485,accident|conspiracy|police|police officer|village,http://www.imdb.com/title/tt0425112/?ref_=fn_tt_tt_1,687,English,R,8000000,7.9,17000
Diane English,124,15,851,Jada Pinkett Smith,The Women ,16582,3485,beauty salon|divorce|fashion|new york|perfume,http://www.imdb.com/title/tt0430770/?ref_=fn_tt_tt_1,125,English,PG-13,16500000,4.9,0
Woody Allen,275,11000,19000,Scarlett Johansson,Vicky Cristina Barcelona ,198111,19894,art|artist|painter|sex|summer,http://www.imdb.com/title/tt0497465/?ref_=fn_tt_tt_1,365,English,PG-13,15500000,7.2,14000
Peter Flinth,34,5,908,Gustaf Skarsgård,Arn: The Knight Templar ,18041,2762,first part|holy land|knight templar|monastery|sword and shield,http://www.imdb.com/title/tt0837106/?ref_=fn_tt_tt_1,54,Swedish,,25000000,6.6,0
Jon Lucas,81,24,15000,Mila Kunis,Bad Moms ,4654,18786,lesbian kiss|mom|pta|reference to mad max|scene during end credits,http://www.imdb.com/title/tt4651520/?ref_=fn_tt_tt_1,46,English,R,20000000,6.7,18000
Robert Iscove,67,7,3000,Alyson Hannigan,Boys and Girls ,13661,3451,best friend|break up|friendship|graduation|male in underwear,http://www.imdb.com/title/tt0204175/?ref_=fn_tt_tt_1,134,English,PG-13,16000000,5.3,487
Peter Kosminsky,103,7,835,Patrick Fugit,White Oleander ,25549,2572,california|foster home|love|oleander|prison,http://www.imdb.com/title/tt0283139/?ref_=fn_tt_tt_1,171,English,PG-13,16000000,7.2,0
Karyn Kusama,300,45,24000,J.K. Simmons,Jennifer's Body ,92712,24805,cannibalism|cheerleader|condom|hook for hand|satanic ritual,http://www.imdb.com/title/tt1131734/?ref_=fn_tt_tt_1,294,English,R,16000000,5.1,6000
Nick Gomez,84,22,8000,Will Ferrell,Drowning Mona ,11768,11078,crying woman|plot|suspect|waitress|younger man older woman relationship,http://www.imdb.com/title/tt0186045/?ref_=fn_tt_tt_1,148,English,PG-13,16000000,5.6,492
Woody Allen,64,11000,854,Mike Starr,Radio Days ,24256,1653,beach|cigarette girl|radio|woman holding a baby|working class,http://www.imdb.com/title/tt0093818/?ref_=fn_tt_tt_1,91,English,PG,16000000,7.6,0
Vic Armstrong,169,179,12000,Nicolas Cage,Left Behind ,24854,15044,bible quote|chaos|faith|riot|shrine,http://www.imdb.com/title/tt2467046/?ref_=fn_tt_tt_1,374,English,PG-13,16000000,3.1,31000
Allen Coulter,158,47,21000,Robert Pattinson,Remember Me ,113963,22088,binge drinking|new york|new york city|september 11 2001|suicide,http://www.imdb.com/title/tt1403981/?ref_=fn_tt_tt_1,361,English,PG-13,16000000,7.2,24000
Clare Kilner,46,6,812,Dylan Baker,How to Deal ,8215,1882,best friend|high school|mother|sister|wedding,http://www.imdb.com/title/tt0319524/?ref_=fn_tt_tt_1,95,English,PG-13,16000000,5.7,371
Richard Benjamin,15,121,11000,Jon Lovitz,My Stepmother Is an Alien ,21079,14677,alien|earth|female alien|mission|secret,http://www.imdb.com/title/tt0095687/?ref_=fn_tt_tt_1,55,English,PG-13,20000000,5.2,818
Jonathan Demme,68,438,18000,Denzel Washington,Philadelphia ,178731,33865,aids|city name in title|gay|homophobia|lawyer,http://www.imdb.com/title/tt0107818/?ref_=fn_tt_tt_1,261,English,PG-13,26000000,7.7,0
Josef Rusnak,111,9,599,Gretchen Mol,The Thirteenth Floor ,51996,2389,amnesia|barricade|letter|time|virtual reality,http://www.imdb.com/title/tt0139809/?ref_=fn_tt_tt_1,302,English,R,16000000,7.0,0
Lance Rivera,21,3,1000,Farrah Fawcett,The Cookout ,2385,3835,flatulence|interracial marriage|marriage,http://www.imdb.com/title/tt0380277/?ref_=fn_tt_tt_1,20,English,PG-13,,3.6,177
Ronald Neame,42,38,940,Martin Landau,Meteor ,5237,1945,asteroid|meteor|nasa|nuclear weapon|satellite,http://www.imdb.com/title/tt0079550/?ref_=fn_tt_tt_1,90,English,PG,16000000,4.9,392
Bruce Paltrow,65,28,555,Lochlyn Munro,Duets ,8217,1227,convict|karaoke|middle america|salesman|singer,http://www.imdb.com/title/tt0134630/?ref_=fn_tt_tt_1,123,English,R,15000000,6.0,573
Woody Allen,109,11000,11000,Woody Allen,Hollywood Ending ,21613,12766,blind|director|psychosomatic blindness|self deprecating|studio,http://www.imdb.com/title/tt0278823/?ref_=fn_tt_tt_1,148,English,PG-13,16000000,6.6,762
Adam Rifkin,42,89,1000,Natasha Lyonne,Detroit Rock City ,30682,2518,band|concert|high school|kiss|teenager,http://www.imdb.com/title/tt0165710/?ref_=fn_tt_tt_1,194,English,R,15000000,6.8,0
Russell Mulcahy,112,85,1000,Christopher Lambert,Highlander ,98629,1852,combat|head cut off|immortal|scotland|swordsman,http://www.imdb.com/title/tt0091203/?ref_=fn_tt_tt_1,316,English,R,16000000,7.2,0
Susanne Bier,146,369,1000,Alison Lohman,Things We Lost in the Fire ,24104,1889,best friend|dinner|garage|narcotics anonymous|recovery,http://www.imdb.com/title/tt0469623/?ref_=fn_tt_tt_1,88,English,R,16000000,7.2,0
Kenneth Johnson,36,34,503,Charles Napier,Steel ,8687,3100,fight|gang|junkyard|military|soldier,http://www.imdb.com/title/tt0120207/?ref_=fn_tt_tt_1,62,English,PG-13,16000000,2.8,0
James Gray,230,115,10000,Jeremy Renner,The Immigrant ,20616,11019,immigrant|immigration|magician|money|prostitution,http://www.imdb.com/title/tt1951181/?ref_=fn_tt_tt_1,70,English,R,16000000,6.6,0
James Ivory,64,133,898,Vanessa Redgrave,The White Countess ,5321,2096,countess|diplomat|japanese|russian|shanghai,http://www.imdb.com/title/tt0384686/?ref_=fn_tt_tt_1,78,English,PG-13,16000000,6.7,356
Danny Boyle,393,0,3000,Rosario Dawson,Trance ,92640,5056,amnesia|criminal|heist|hypnotherapy|lost painting,http://www.imdb.com/title/tt1924429/?ref_=fn_tt_tt_1,212,English,R,20000000,7.0,23000
Jessy Terrero,75,29,939,Mo'Nique,Soul Plane ,18271,3935,airline|airplane|bathroom|sex|toilet,http://www.imdb.com/title/tt0367085/?ref_=fn_tt_tt_1,150,English,R,16000000,4.4,0
Dany Boon,78,172,172,Dany Boon,Welcome to the Sticks ,30587,329,alcohol|alcoholic drink|drunken man|france|provence,http://www.imdb.com/title/tt1064932/?ref_=fn_tt_tt_1,49,French,,11000000,7.1,3000
Vicente Amorim,67,6,10000,Viggo Mortensen,Good ,5664,11091,censorship|children|corpse|heil hitler|suffering,http://www.imdb.com/title/tt0436364/?ref_=fn_tt_tt_1,42,English,R,15000000,6.2,921
Gaspar Noé,216,929,488,Paz de la Huerta,Enter the Void ,45449,943,drug deal|drugs|explicit sex|love|stripper,http://www.imdb.com/title/tt1191111/?ref_=fn_tt_tt_1,192,English,Not Rated,13000000,7.3,23000
Amy Heckerling,54,143,1000,Taylor Negron,Vamps ,7444,3086,murder|new york city|one word title|vampire|vampire slayer,http://www.imdb.com/title/tt1545106/?ref_=fn_tt_tt_1,42,English,PG-13,16000000,5.1,0
Lasse Hallström,84,529,1000,Cary-Hiroyuki Tagawa,Hachi: A Dog's Tale ,155249,4453,dog|human animal relationship|japanese|loyalty|waiting,http://www.imdb.com/title/tt1028532/?ref_=fn_tt_tt_1,304,English,G,16000000,8.1,115000
Jérôme Salle,69,22,5000,Orlando Bloom,Zulu ,12817,5273,apartheid|corpse|male nudity|murder|police officer,http://www.imdb.com/title/tt2249221/?ref_=fn_tt_tt_1,43,English,R,16000000,6.7,0
Tommy Lee Jones,208,0,883,Barry Corbin,The Homesman ,21370,2896,abusive marriage|pastor|prison wagon|roast pig|suicide by hanging,http://www.imdb.com/title/tt2398231/?ref_=fn_tt_tt_1,132,English,R,16000000,6.6,0
Jesse Vaughan,32,10,890,Vivica A. Fox,Juwanna Mann ,5312,3104,basketball|dodge viper|hit in the crotch|male nudity|the star spangled banner,http://www.imdb.com/title/tt0247444/?ref_=fn_tt_tt_1,40,English,PG-13,15600000,4.5,939
,20,,422,Steven Van Zandt,Lilyhammer             ,19164,537,mafia|mob|norway|steve|van,http://www.imdb.com/title/tt1958961/?ref_=fn_tt_tt_1,79,English,TV-MA,34000000,8.1,16000
Atom Egoyan,78,460,232,David Alpay,Ararat ,8624,699,armenian|armenian genocide|customs agent|genocide|prayer,http://www.imdb.com/title/tt0273435/?ref_=fn_tt_tt_1,180,English,R,,6.6,824
William Bindley,21,4,844,Bruce Dern,Madison ,1033,3583,boat racing|hydroplane|loyalty|one word title|scolding,http://www.imdb.com/title/tt0206113/?ref_=fn_tt_tt_1,26,English,PG,,6.5,282
Wayne Beach,40,7,1000,Mekhi Phifer,Slow Burn ,3299,4329,district attorney|interview|murder|prosecutor|reporter,http://www.imdb.com/title/tt0376196/?ref_=fn_tt_tt_1,24,English,R,15500000,5.9,191
Gérard Krawczyk,40,7,235,Carole Bouquet,Wasabi ,29392,303,french|inheritance|japan|letter|police detective hero,http://www.imdb.com/title/tt0281364/?ref_=fn_tt_tt_1,91,French,R,15300000,6.6,0
James Gunn,251,571,499,Dustin Milligan,Slither ,61912,1120,alien|b movie|sex|slug|small town,http://www.imdb.com/title/tt0439815/?ref_=fn_tt_tt_1,352,English,R,15500000,6.5,0
Martin Brest,94,102,901,Judge Reinhold,Beverly Hills Cop ,126464,3464,drug dealer|drugs|murder|police brutality|police shootout,http://www.imdb.com/title/tt0086960/?ref_=fn_tt_tt_1,175,English,R,14000000,7.3,0
