director_name,actor_3_facebook_likes,movie_title,actor_3_name,movie_imdb_link,num_user_for_reviews,language,movie_facebook_likes
John Dahl,242,The Great Raid ,Paolo Montalban,http://www.imdb.com/title/tt0326905/?ref_=fn_tt_tt_1,183,Filipino,0
Tim Miller,361,Deadpool ,Stefan Kapicic,http://www.imdb.com/title/tt1431045/?ref_=fn_tt_tt_1,1058,English,117000
Stephen Herek,440,Holy Man ,Eric McCormack,http://www.imdb.com/title/tt0120701/?ref_=fn_tt_tt_1,88,English,296
Clint Eastwood,318,American Sniper ,Keir O'Donnell,http://www.imdb.com/title/tt2179136/?ref_=fn_tt_tt_1,916,English,112000
Rob Letterman,543,Goosebumps ,Ken Marino,http://www.imdb.com/title/tt1051904/?ref_=fn_tt_tt_1,154,English,35000
,271,Sabrina, the Teenage Witch             ,Caroline Rhea,http://www.imdb.com/title/tt0115341/?ref_=fn_tt_tt_1,94,English,990
Mark Waters,512,Just Like Heaven ,Willie Garson,http://www.imdb.com/title/tt0425123/?ref_=fn_tt_tt_1,263,English,0
Brian Levant,809,The Flintstones in Viva Rock Vegas ,Danny Woodburn,http://www.imdb.com/title/tt0158622/?ref_=fn_tt_tt_1,85,English,500
Peter MacDonald,349,Rambo III ,Richard Crenna,http://www.imdb.com/title/tt0095956/?ref_=fn_tt_tt_1,171,English,2000
George Clooney,110,Leatherheads ,Matt Bushell,http://www.imdb.com/title/tt0379865/?ref_=fn_tt_tt_1,120,English,472
Frank Coraci,11000,The Ridiculous 6 ,Jon Lovitz,http://www.imdb.com/title/tt2479478/?ref_=fn_tt_tt_1,143,English,0
Marc Lawrence,727,Did You Hear About the Morgans? ,Kevin Brown,http://www.imdb.com/title/tt1314228/?ref_=fn_tt_tt_1,121,English,0
Shawn Levy,839,The Internship ,Rob Riggle,http://www.imdb.com/title/tt2234155/?ref_=fn_tt_tt_1,281,English,22000
Paul W.S. Anderson,529,Resident Evil: Afterlife ,Shawn Roberts,http://www.imdb.com/title/tt1220634/?ref_=fn_tt_tt_1,410,English,19000
Anthony Hemingway,519,Red Tails ,Tristan Mack Wilds,http://www.imdb.com/title/tt0485985/?ref_=fn_tt_tt_1,273,English,0
,479,Sex and the City             ,Cynthia Nixon,http://www.imdb.com/title/tt0159206/?ref_=fn_tt_tt_1,238,English,0
Taylor Hackford,9000,The Devil's Advocate ,Charlize Theron,http://www.imdb.com/title/tt0118971/?ref_=fn_tt_tt_1,431,English,11000
Sean Anders,622,That's My Boy ,Will Forte,http://www.imdb.com/title/tt1232200/?ref_=fn_tt_tt_1,198,English,12000
Rob Cohen,40,DragonHeart ,Terry O'Neill,http://www.imdb.com/title/tt0116136/?ref_=fn_tt_tt_1,139,English,0
Brett Ratner,455,After the Sunset ,Chris Penn,http://www.imdb.com/title/tt0367479/?ref_=fn_tt_tt_1,147,English,782
Mark Neveldine,1000,Ghost Rider: Spirit of Vengeance ,Christopher Lambert,http://www.imdb.com/title/tt1071875/?ref_=fn_tt_tt_1,331,English,18000
John Madden,58,Captain Corelli's Mandolin ,Mihalis Giannatos,http://www.imdb.com/title/tt0238112/?ref_=fn_tt_tt_1,220,English,0
,676,Anger Management             ,Brian Austin Green,http://www.imdb.com/title/tt1986770/?ref_=fn_tt_tt_1,54,English,0
Adam Shankman,650,The Pacifier ,Tate Donovan,http://www.imdb.com/title/tt0395699/?ref_=fn_tt_tt_1,225,English,0
Kevin Bray,348,Walking Tall ,Michael Bowen,http://www.imdb.com/title/tt0351977/?ref_=fn_tt_tt_1,221,English,0
Robert Zemeckis,194,Forrest Gump ,Sam Anderson,http://www.imdb.com/title/tt0109830/?ref_=fn_tt_tt_1,1398,English,59000
Tim Hill,639,Alvin and the Chipmunks ,Matthew Gray Gubler,http://www.imdb.com/title/tt0952640/?ref_=fn_tt_tt_1,146,English,0
Jay Roach,708,Meet the Parents ,Teri Polo,http://www.imdb.com/title/tt0212338/?ref_=fn_tt_tt_1,507,English,0
Mike Gabriel,752,Pocahontas ,Irene Bedard,http://www.imdb.com/title/tt0114148/?ref_=fn_tt_tt_1,216,English,0
Richard Donner,467,Superman ,Ned Beatty,http://www.imdb.com/title/tt0078346/?ref_=fn_tt_tt_1,497,English,0
Tom Shadyac,744,The Nutty Professor ,Dave Chappelle,http://www.imdb.com/title/tt0117218/?ref_=fn_tt_tt_1,99,English,960
Andy Tennant,681,Hitch ,Kevin Sussman,http://www.imdb.com/title/tt0386588/?ref_=fn_tt_tt_1,372,English,0
Sam Weisman,458,George of the Jungle ,Holland Taylor,http://www.imdb.com/title/tt0119190/?ref_=fn_tt_tt_1,103,English,5000
Jesse Dylan,729,American Wedding ,Fred Willard,http://www.imdb.com/title/tt0328828/?ref_=fn_tt_tt_1,332,English,0
Paul Greengrass,186,Captain Phillips ,Michael Chernus,http://www.imdb.com/title/tt1535109/?ref_=fn_tt_tt_1,527,English,65000
Shawn Levy,7000,Date Night ,Steve Carell,http://www.imdb.com/title/tt1279935/?ref_=fn_tt_tt_1,207,English,0
Brad Silberling,394,Casper ,Cathy Moriarty,http://www.imdb.com/title/tt0112642/?ref_=fn_tt_tt_1,92,English,0
Antoine Fuqua,683,The Equalizer ,James Wilcox,http://www.imdb.com/title/tt0455944/?ref_=fn_tt_tt_1,436,English,56000
Wayne Wang,708,Maid in Manhattan ,Natasha Richardson,http://www.imdb.com/title/tt0252076/?ref_=fn_tt_tt_1,242,English,0
Tony Scott,665,Crimson Tide ,Ricky Schroder,http://www.imdb.com/title/tt0112740/?ref_=fn_tt_tt_1,194,English,0
Gabriele Muccino,168,The Pursuit of Happyness ,James Karen,http://www.imdb.com/title/tt0454921/?ref_=fn_tt_tt_1,611,English,32000
Robert Schwentke,354,Flightplan ,Haley Ramm,http://www.imdb.com/title/tt0408790/?ref_=fn_tt_tt_1,600,English,0
Barry Levinson,383,Disclosure ,Roma Maffia,http://www.imdb.com/title/tt0109635/?ref_=fn_tt_tt_1,95,English,0
Brad Silberling,539,City of Angels ,Colm Feore,http://www.imdb.com/title/tt0120632/?ref_=fn_tt_tt_1,322,English,0
Quentin Tarantino,640,Kill Bill: Vol. 1 ,Chiaki Kuriyama,http://www.imdb.com/title/tt0266697/?ref_=fn_tt_tt_1,2105,English,13000
Frank Oz,490,Bowfinger ,Jamie Kennedy,http://www.imdb.com/title/tt0131325/?ref_=fn_tt_tt_1,358,English,0
,72,Stargate SG-1             ,Gary Jones,http://www.imdb.com/title/tt0118480/?ref_=fn_tt_tt_1,181,English,0
Quentin Tarantino,348,Kill Bill: Vol. 2 ,Michael Bowen,http://www.imdb.com/title/tt0378194/?ref_=fn_tt_tt_1,935,English,0
Andrey Konchalovskiy,403,Tango & Cash ,Brion James,http://www.imdb.com/title/tt0098439/?ref_=fn_tt_tt_1,149,English,0
Robert Zemeckis,812,Death Becomes Her ,Isabella Rossellini,http://www.imdb.com/title/tt0104070/?ref_=fn_tt_tt_1,173,English,8000
Tom Dey,95,Shanghai Noon ,Kate Luyben,http://www.imdb.com/title/tt0184894/?ref_=fn_tt_tt_1,293,English,0
Stuart Baird,263,Executive Decision ,J.T. Walsh,http://www.imdb.com/title/tt0116253/?ref_=fn_tt_tt_1,144,English,0
Mark Waters,497,Mr. Popper's Penguins ,Philip Baker Hall,http://www.imdb.com/title/tt1396218/?ref_=fn_tt_tt_1,108,English,14000
Rob Minkoff,947,The Forbidden Kingdom ,Michael Angarano,http://www.imdb.com/title/tt0865556/?ref_=fn_tt_tt_1,279,English,0
Jimmy Hayward,562,Free Birds ,Dan Fogler,http://www.imdb.com/title/tt1621039/?ref_=fn_tt_tt_1,73,English,0
David Fincher,243,Alien 3 ,Paul McGann,http://www.imdb.com/title/tt0103644/?ref_=fn_tt_tt_1,776,English,0
Alan Parker,34,Evita ,Peter Polycarpou,http://www.imdb.com/title/tt0116250/?ref_=fn_tt_tt_1,194,English,0
John Frankenheimer,135,Ronin ,Michael Lonsdale,http://www.imdb.com/title/tt0122690/?ref_=fn_tt_tt_1,572,English,0
Stephen Hopkins,163,The Ghost and the Darkness ,Om Puri,http://www.imdb.com/title/tt0116409/?ref_=fn_tt_tt_1,155,English,0
Paul King,594,Paddington ,Sally Hawkins,http://www.imdb.com/title/tt1109624/?ref_=fn_tt_tt_1,174,English,30000
Akiva Schaffer,537,The Watch ,Rosemarie DeWitt,http://www.imdb.com/title/tt1298649/?ref_=fn_tt_tt_1,207,English,15000
William Friedkin,215,The Hunted ,Rex Linn,http://www.imdb.com/title/tt0269347/?ref_=fn_tt_tt_1,321,English,0
Jon Turteltaub,241,Instinct ,John Ashton,http://www.imdb.com/title/tt0128278/?ref_=fn_tt_tt_1,232,English,0
Bobby Farrelly,327,Stuck on You ,Seymour Cassel,http://www.imdb.com/title/tt0338466/?ref_=fn_tt_tt_1,154,English,0
Kent Alterman,490,Semi-Pro ,Matt Walsh,http://www.imdb.com/title/tt0839980/?ref_=fn_tt_tt_1,119,English,0
Peter Lord,591,The Pirates! Band of Misfits ,Brian Blessed,http://www.imdb.com/title/tt1430626/?ref_=fn_tt_tt_1,101,English,0
Clint Eastwood,539,Changeling ,Colm Feore,http://www.imdb.com/title/tt0824747/?ref_=fn_tt_tt_1,387,English,14000
Andrew Davis,581,Chain Reaction ,Kevin Dunn,http://www.imdb.com/title/tt0115857/?ref_=fn_tt_tt_1,95,English,1000
Tony Scott,552,The Fan ,Ellen Barkin,http://www.imdb.com/title/tt0116277/?ref_=fn_tt_tt_1,89,English,0
Joel Schumacher,530,The Phantom of the Opera ,Miranda Richardson,http://www.imdb.com/title/tt0293508/?ref_=fn_tt_tt_1,2047,English,0
Shekhar Kapur,877,Elizabeth: The Golden Age ,Jordi Mollà,http://www.imdb.com/title/tt0414055/?ref_=fn_tt_tt_1,216,English,0
Karyn Kusama,352,Æon Flux ,Paterson Joseph,http://www.imdb.com/title/tt0402022/?ref_=fn_tt_tt_1,532,English,0
