director_name,num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Álex de la Iglesia,71,102,Leonor Watling,439,Jim Carter,22753,940,English,Spain,R,10000000,161,6.1,0
Andrew Traucki,102,72,Gyton Grantley,122,Damian Walshe-Howling,11950,375,English,Australia,R,,109,5.8,0
Michael Clancy,27,742,Rip Torn,11000,Zooey Deschanel,7690,14656,English,USA,R,6500000,826,6.7,376
Patrick Lussier,62,126,Craig Fairbrass,298,Teryl Rothery,11285,934,English,USA,PG-13,10000000,258,5.7,509
Robert Adetuyi,5,111,Mishael Morgan,485,Shane Pollard,1642,964,English,Canada,PG-13,10000000,152,4.5,0
Kari Skogland,76,415,Kevin Zegers,5000,Jim Sturgess,9585,7637,English,UK,R,6000000,2000,6.9,0
Taedong Park,8,196,Tom Arnold,1000,Drake Bell,162,2259,English,South Korea,,10000000,618,4.8,186
Paul Schrader,75,520,Ayelet Zurer,30000,Veronica Ferres,3075,31325,English,Germany,R,10000000,744,6.3,589
Benedikt Erlingsson,66,5,Charlotte Bøving,63,Ingvar Eggert Sigurðsson,1920,81,Icelandic,Iceland,,10000000,10,6.9,1000
Gurinder Chadha,31,95,Mark Addy,1000,Sendhil Ramamurthy,1250,2227,English,UK,PG-13,10000000,891,5.4,695
Jason Connery,32,711,Henry Rollins,1000,Ray Winstone,5715,3937,English,USA,R,10000000,898,3.8,486
Vic Sarin,17,46,Jesse Moss,183,Jimi Mistry,2223,428,English,Canada,R,10000000,136,7.0,746
Jim Issa,4,482,Luke Perry,670,Elaine Hendrix,553,2739,English,USA,PG-13,10000000,608,5.2,119
Jee-woon Kim,152,7,Woo-sung Jung,398,Kang-ho Song,26156,569,Korean,South Korea,R,10000000,149,7.3,0
Douglas Aarniokoski,129,899,Katrina Bowden,1000,Boris Kodjoe,7286,4686,English,USA,R,10000000,948,4.6,0
William Phillips,15,499,Callum Rennie,764,Tyler Mane,3015,2876,English,Canada,,10000000,716,6.5,850
Greg Mottola,248,452,Martin Starr,17000,Kristen Stewart,131180,18983,English,USA,R,,985,6.8,0
Andy Garcia,52,195,Victor Rivers,786,Danny Pino,8369,1674,English,USA,R,9600000,228,6.7,957
Steve Carr,55,525,Mike Epps,723,John Witherspoon,27492,3939,English,USA,R,9500000,706,6.1,0
Sarik Andreasyan,30,262,Jordana Brewster,4000,Hayden Christensen,12372,9432,English,Canada,R,10000000,4000,5.2,0
Lewis Gilbert,130,244,Burt Kwouk,742,Donald Pleasence,75280,2127,English,UK,Approved,9500000,462,6.9,0
Julian Gilbey,29,1000,Alfie Allen,31000,Mem Ferda,5865,35634,English,UK,R,10000000,1000,6.0,1000
Michael Haneke,447,319,Emmanuelle Riva,678,Isabelle Huppert,70382,1557,French,France,PG-13,8900000,432,7.9,33000
Gary Sherman,66,770,Heather O'Rourke,1000,Tom Skerritt,13190,3827,English,USA,PG-13,10500000,887,4.5,616
Valeri Milev,18,200,Roger Cross,557,Daniella Alonso,1763,1702,English,USA,R,9500000,290,5.1,898
Stanley Kramer,61,760,Sid Caesar,924,Jonathan Winters,29323,4109,English,USA,Approved,9400000,898,7.6,0
Pedro Almodóvar,232,82,Lola Dueñas,148,Carmen Maura,76681,448,Spanish,Spain,R,,114,7.6,0
Gerald Potterton,62,123,Joe Flaherty,187,John Vernon,23516,646,English,Canada,R,9300000,176,6.7,0
Jared Hess,106,327,Michael Angarano,33000,Jizelle Jade,9006,34398,English,USA,PG-13,,947,6.1,0
Richard Loncraine,56,1000,Jim Broadbent,21000,Robert Downey Jr.,11612,23962,English,UK,R,6000000,1000,7.5,0
David Hackl,48,129,Michaela McManus,826,Scott Glenn,4486,1586,English,USA,R,10000000,476,5.3,0
Anurag Basu,41,303,Steven Michael Quezada,594,Bárbara Mori,9673,1836,English,India,,600000000,412,6.0,0
Lars von Trier,439,844,Kirsten Dunst,10000,Alexander Skarsgård,128729,15835,English,Denmark,R,7400000,4000,7.1,50000
Kriv Stenders,54,110,Keisha Castle-Hughes,509,Noah Taylor,13003,1248,English,Australia,PG,8500000,446,7.5,10000
Yash Chopra,50,1000,Katrina Kaif,8000,Shah Rukh Khan,42296,13762,Hindi,India,Not Rated,7217600,3000,6.9,12000
Ridley Scott,392,513,Yaphet Kotto,1000,Tom Skerritt,563827,2524,English,UK,R,11000000,581,8.5,23000
Tobe Hooper,277,177,Edwin Neal,383,Gunnar Hansen,96410,1094,English,USA,R,83532,371,7.5,0
Floria Sigismondi,259,741,Scout Taylor-Compton,17000,Kristen Stewart,39260,21711,English,USA,R,10000000,908,6.6,0
Norman Jewison,66,51,Paul Michael Glaser,402,Topol,29839,934,English,USA,G,9000000,343,8.0,0
Terence Young,129,177,Earl Cameron,244,Desmond Llewelyn,82073,1164,English,UK,Approved,9000000,189,7.0,0
Joseph Kahn,115,123,Shanley Caswell,14000,Josh Hutcherson,12520,15014,English,USA,R,10000000,383,5.8,0
Ferzan Ozpetek,81,16,Alessandro Preziosi,580,Riccardo Scamarcio,8667,662,Italian,Italy,,,26,7.3,0
F. Gary Gray,29,685,Jada Pinkett Smith,890,Vivica A. Fox,10139,3661,English,USA,R,9000000,851,6.8,0
Malcolm D. Lee,32,862,Sanaa Lathan,1000,Harold Perrineau,6525,5420,English,USA,R,9000000,886,6.7,0
Tom Holland,142,118,Alex Vincent,311,Catherine Hicks,62038,760,English,USA,R,9000000,189,6.5,0
Michael Moore,263,184,Tucker Albrizzi,909,Michael Moore,66610,1633,English,USA,PG-13,9000000,203,8.0,0
James DeMonaco,285,908,Zach Gilford,2000,Noel Gugliemi,92364,6807,English,USA,R,9000000,971,6.5,15000
Kris Isacsson,64,407,Lauren German,3000,Rosario Dawson,12324,4409,English,USA,PG-13,9000000,683,4.9,580
Danny Leiner,150,587,Fred Willard,982,Ethan Embry,155262,3114,English,USA,R,9000000,729,7.1,0
Rod Lurie,136,883,Gary Oldman,12000,Jeff Bridges,20449,25660,English,USA,R,20000000,10000,7.0,1000
Ben Younger,132,701,Nia Long,14000,Vin Diesel,41313,17336,English,USA,R,8000000,826,7.0,0
John Landis,71,199,Denholm Elliott,392,Don Ameche,102895,845,English,USA,R,,249,7.5,0
Glen Morgan,186,179,Crystal Lowe,607,Oliver Hudson,19918,1611,English,USA,R,9000000,318,4.5,0
Daniel Taplitz,39,127,Tate Taylor,911,Jennifer Esposito,4247,1345,English,USA,PG-13,,150,5.5,266
Kenneth Branagh,46,130,Derek Jacobi,591,Brian Blessed,23441,1341,English,UK,PG-13,9000000,520,7.7,0
Tamara Jenkins,201,338,David Zayas,22000,Philip Seymour Hoffman,32188,23770,English,USA,R,,929,7.2,0
Linda Mendoza,32,571,Freddy Rodríguez,591,Carlos Ponce,3419,2851,English,USA,PG,,579,4.8,419
Christopher McQuarrie,117,35,Nicky Katt,187,Kristin Lehman,27536,358,English,USA,R,8500000,127,6.7,1000
Burr Steers,136,471,Rory Culkin,1000,Kieran Culkin,29058,2478,English,USA,R,9000000,710,7.0,838
Hart Bochner,15,219,Matt Ross,4000,Jon Favreau,10476,4908,English,USA,PG-13,8000000,248,6.5,0
