director_name,num_critic_for_reviews,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,movie_title,num_voted_users,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,content_rating,budget,title_year,actor_2_facebook_likes,movie_facebook_likes
George Clooney,351,93,566,Tate Donovan,21000,Biography|Drama|History,"Good Night, and Good Luck. ",84070,0,cbs|expose|fear|paranoia|reporter,526,English,PG,7500000,2005,650,0
Bennett Miller,271,110,27,Michael J. Burg,22000,Biography|Crime|Drama,Capote ,100571,1,book|holcomb kansas|kansas|killer|truman capote,416,English,R,7000000,2005,68,0
Robert Rodriguez,93,104,4000,Steve Buscemi,16000,Action|Crime|Thriller,Desperado ,138707,0,crushed by a car|female frontal nudity|female nudity|female rear nudity|one against many,202,English,R,7000000,1995,12000,0
Michael Winterbottom,71,115,887,Sarah Polley,14000,Drama|Romance|Western,The Claim ,5254,4,gold|gold mine|miner|railroad|surveyor,92,English,R,20000000,2000,900,141
,54,53,1000,Adam Goldberg,4000,Crime|Drama|Thriller,Fargo             ,170055,0,anthology|death|insurance salesman|minnesota|police officer,173,English,TV-MA,,,1000,61000
Michael Anderson,112,119,440,Jenny Agutter,1000,Action|Adventure|Sci-Fi,Logan's Run ,39847,1,cat|computer|cult film|runner|sanctuary,242,English,PG,9000000,1976,659,0
Guy Hamilton,118,125,244,Hervé Villechaize,16000,Action|Adventure|Thriller,The Man with the Golden Gun ,73950,3,assassin|bikini|girl in a bikini|mission|secret agent,258,English,PG,13000000,1974,387,2000
Craig R. Baxley,35,96,794,Vanity,1000,Action|Comedy|Crime|Thriller,Action Jackson ,7569,2,murder|power|psychotronic|tough cop|union,65,English,R,7000000,1988,841,978
Neil Marshall,342,100,159,Shauna Macdonald,513,Adventure|Horror|Thriller,The Descent ,154938,0,cave|expedition|friendship between women|group of friends|survival horror,1100,English,R,3500000,2005,239,10000
Don Kempf,14,46,69,Michael Jordan,13000,Documentary|Sport,Michael Jordan to the Max ,1723,0,basketball|basketball player|character name in title|chicago bulls|imax,13,English,,,2000,366,407
Matt Bettinelli-Olpin,137,89,270,Allison Miller,971,Horror|Mystery,Devil's Due ,13913,0,eiffel tower at night|honeymoon|implied insemination|party|taxi driver,120,English,R,7000000,2014,479,0
David O. Russell,50,92,380,Mary Tyler Moore,718,Comedy,Flirting with Disaster ,15088,3,adoption|armpit fetish|mistaken identity|new mexico|overalls,105,English,R,7000000,1996,524,824
Rob Zombie,261,109,597,Ken Foree,1000,Crime|Horror,The Devil's Rejects ,76267,0,escape|police|road trip|sheriff|texas,687,English,R,7000000,2005,649,0
,96,44,970,Alyson Hannigan,4000,Action|Drama|Fantasy|Romance,Buffy the Vampire Slayer             ,101902,0,action heroine|coming of age|destiny|double life|vampire,665,English,TV-14,2300000,,3000,6000
Rick Famuyiwa,180,103,190,Rick Fox,637,Comedy|Crime|Drama,Dope ,56605,3,african american|geek|hip hop|party|tomboy,89,English,R,7000000,2015,256,23000
Michael Rymer,28,95,826,Omar Epps,1000,Crime|Drama|Thriller,In Too Deep ,4598,1,cunnilingus|oral sex|police|sex scene|undercover,29,English,R,7000000,1999,865,375
Sam Mendes,750,143,393,Helen McCrory,883,Action|Adventure|Thriller,Skyfall ,522048,0,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,1498,English,PG-13,200000000,2012,563,80000
Rob Zombie,202,105,303,Matthew McGrory,1000,Horror,House of 1000 Corpses ,60709,0,actor playing multiple roles|axe|dark comedy|masked man|sadism,922,English,R,7000000,2003,340,0
Sharron Miller,8,79,23,Elizabeth MacRae,246,Horror,Alien Zone ,440,0,affair|child murderer|mortician|strangulation|supernatural power,21,English,PG,350000,1978,29,44
Ethan Coen,341,106,98,Fred Melamed,816,Comedy|Drama,A Serious Man ,102125,1,bar mitzvah|jewish|marital breakup|nose job|rabbi,324,English,R,7000000,2009,105,10000
Aaron Schneider,160,100,970,Robert Duvall,13000,Drama|Mystery,Get Low ,19147,1,funeral|funeral home|hermit|party|secret,97,English,PG-13,7500000,2009,3000,0
Steve Miner,31,103,304,Richard E. Grant,687,Action|Fantasy|Horror|Thriller,Warlock ,11668,0,17th century|book|death|warlock|witch hunter,79,English,R,7000000,1989,554,0
Gina Prince-Bythewood,71,116,658,Nate Parker,893,Drama|Music,Beyond the Lights ,11191,1,domestic abuse|public humiliation|sex symbol|singer|suicide attempt,37,English,PG-13,7000000,2014,664,0
Tom Ford,281,99,292,Teddy Sears,14000,Drama|Romance,A Single Man ,83182,2,car accident|male full back nudity|practicing a suicide|public nudity|suicide contemplation,247,English,R,7000000,2009,343,16000
Martin Scorsese,114,164,159,Barbara Hershey,883,Drama,The Last Temptation of Christ ,39680,0,carpenter|exorcism|faith|reference to jesus christ|temptation,308,English,R,7000000,1988,618,0
Michael Corrente,72,96,407,George Wendt,761,Comedy|Drama|Romance,Outside Providence ,7736,3,class|cornwall connecticut|dog|friend|pawtucket rhode island,100,English,R,7000000,1999,412,0
Gurinder Chadha,119,122,397,Martin Henderson,729,Comedy|Drama|Musical|Romance,Bride & Prejudice ,17436,1,bollywood|india|jane austen|london england|travel,276,English,PG-13,7000000,2004,579,0
Phillip Noyce,74,94,46,David Gulpilil,116,Adventure|Biography|Drama|History,Rabbit-Proof Fence ,23486,1,aborigine|based on true story|colonialism|fence|half caste,249,Aboriginal,PG,6000000,2002,93,0
Don Michael Paul,25,93,442,Faizon Love,692,Comedy|Sport,Who's Your Caddy? ,13815,0,2000s|golf caddy|golf course|golfer|question mark in title,46,English,PG-13,7000000,2007,585,446
Tony Maylam,39,96,38,Alun Armstrong,206,Action|Crime|Horror|Sci-Fi|Thriller,Split Second ,8391,0,appearing from water|breasts|creature|partner|water,75,English,R,7000000,1992,192,0
,27,60,346,Xander Berkeley,787,Action|Crime|Drama|Thriller,Nikita             ,42402,1,assassin|death|female protagonist|rogue|training,83,English,,,,485,0
Mitch Davis,27,113,35,Nathaniel Lees,11000,Adventure|Biography|Drama,The Other Side of Heaven ,3203,2,1950s|idaho|love|missionary|mormon,85,English,PG,7000000,2001,43,650
,11,60,652,Ashley Scott,10000,Action|Drama|Mystery|Sci-Fi,Dark Angel             ,25329,1,cat burglar|female lead|future|mixed martial arts|post apocalypse,160,English,TV-14,,,794,0
Yash Chopra,29,192,397,Preity Zinta,8000,Drama|Musical|Romance,Veer-Zaara ,34449,0,fair|pakistan|prison|rescue|stranded,119,Hindi,,7000000,2004,860,2000
David Mamet,158,99,501,Randy Couture,1000,Drama|Sport,Redbelt ,18561,0,bar|debt|fight|instructor|jujitsu,119,English,R,7000000,2008,518,0
Jay Duplass,223,91,224,Tim Guinee,490,Comedy|Drama|Romance,Cyrus ,29967,2,21 year old|forename as title|musician|party|rearview mirror,126,English,R,7000000,2010,259,0
Kevin Brodie,25,100,359,Cheryl Ladd,655,Drama|Family,A Dog of Flanders ,781,0,artist|box office flop|dog|drawing|flanders,20,English,PG,7000000,1999,476,157
Paul Schrader,97,105,617,Michael McKean,783,Biography|Crime|Drama,Auto Focus ,11387,3,friendship|photography|radio|sex addict|video,147,English,R,7000000,2002,658,357
George Hickenlooper,117,99,628,Jimmy Fallon,4000,Biography|Drama,Factory Girl ,18355,0,andy warhol|female nudity|public nudity|singer|socialite,106,English,R,7000000,2006,787,3000
Lynne Ramsay,389,112,77,Siobhan Fallon Hogan,3000,Drama|Thriller,We Need to Talk About Kevin ,95529,0,archery|defiance|mental illness|psychopath|toilet training,301,English,R,7000000,2011,294,38000
John Stephenson,9,100,149,Hans Matheson,2000,Drama|Family,The Christmas Candle ,844,0,angel|candle|christmas|miracle|village,34,English,PG,,2013,627,962
Tim Chambers,34,99,455,Marley Shelton,1000,Drama|Sport,The Mighty Macs ,1119,2,basketball|catholic|coach|college|nun,12,English,G,7000000,2009,690,797
Curtis Hanson,7,100,172,Shelley Long,10000,Comedy|Drama|Family,Losin' It ,3114,0,apostrophe in title|bare breasts|friendship between men|teen sex comedy|two word title,16,English,R,7000000,1983,422,168
Rodrigo García,161,125,798,Jimmy Smits,6000,Drama|Romance,Mother and Child ,9727,6,adoption|baby|girl|lawyer|sex,65,English,R,4825000,2009,941,0
Dick Richards,6,107,375,Terence Hill,963,Adventure|Drama|Romance|War,March or Die ,2215,1,arab|bare chested male|foreign legion|french foreign legion|morocco,26,English,PG,9000000,1977,750,122
Jean-Marie Poiré,16,107,39,Isabelle Nanty,106,Comedy|Fantasy|Sci-Fi,Les visiteurs ,24438,1,distant past|future time travel|nobleman|squire|trapped in the past,78,French,R,50000000,1993,54,0
Sofia Coppola,301,97,106,Chris Pontius,227,Comedy|Drama,Somewhere ,35848,0,actor|boredom|luxury hotel|party|trip,198,English,R,7000000,2010,218,0
Bob Gosse,52,105,184,Susie Abromeit,756,Comedy,I Hope They Serve Beer in Hell ,7412,1,bachelor party|bare butt|loud sex|sex standing up|topless female nudity,72,English,R,,2009,216,0
Alex Zamm,12,95,611,Raquel Welch,1000,Comedy,Chairman of the Board ,5143,1,box office flop|company|invention|roommate|surfer,62,English,PG-13,10000000,1998,788,724
Spencer Susser,134,106,973,Natalie Portman,23000,Drama,Hesher ,43965,0,bully|car|car accident|fire|vomiting,99,English,R,7000000,2010,20000,19000
Richard Shepard,151,93,13,Mark Wingett,554,Comedy|Crime|Drama,Dom Hemingway ,21243,2,male frontal nudity|male nudity|male rear nudity|nudity|sex scene,66,English,R,,2013,524,0
Gus Van Sant,103,103,,Casey Affleck,13000,Adventure|Drama|Mystery,Gerry ,15104,0,desert|friend|friendship|minimal dialogue|water,290,English,R,3500000,2002,0,0
Thaddeus O'Sullivan,39,96,52,Luke Newberry,766,Drama|Romance,The Heart of Me ,1966,3,1930s|car accident|hospital|marital rape|painter,25,English,R,7000000,2002,358,97
Peter Sollett,133,103,935,Josh Charles,7000,Biography|Drama|Romance,Freeheld ,5863,0,cancer|gay bar|lesbian kiss|partner|public hearing,25,English,PG-13,7000000,2015,1000,0
Shari Springer Berman,104,108,281,Marian Seldes,474,Comedy,The Extra Man ,4124,4,co worker|escort|magazine|teacher|writer,29,English,R,7000000,2010,403,916
Aleksey German,121,177,0,Yuriy Tsurilo,4,Drama|Sci-Fi,Hard to Be a God ,2518,0,fictional war|hanging|male full frontal nudity|medieval times|nudity,28,Russian,Not Rated,7000000,2013,4,1000
Stephen Milburn Anderson,27,118,410,Mike Starr,26000,Comedy|Crime|Thriller,Ca$h ,7663,2,cash|financial problem|heist|land rover|mortgage,38,English,R,7000000,2010,854,694
Richard E. Grant,49,97,530,Julie Walters,876,Drama,Wah-Wah ,2670,3,alcoholic|alcoholic father|stepmother|swaziland|unfaithful wife,50,English,R,7000000,2005,838,311
Troy Duffy,100,102,184,David Della Rocco,12000,Action|Crime|Thriller,The Boondock Saints ,197845,2,fbi|fbi agent|friend|irish|mafia,876,English,R,7000000,1999,333,16000
David Lam,12,92,4,Louis Koo,91,Action|Crime,Z Storm ,383,1,,1,Cantonese,,7000000,2014,82,55
Francis Ford Coppola,112,88,507,Bruce Dern,1000,Comedy|Fantasy|Horror|Mystery,Twixt ,8589,0,ghost|hotel|murder|stake|what happened to epilogue,70,English,R,7000000,2011,844,0
Vladlen Barbe,10,80,26,Wendee Lee,99,Adventure|Animation|Family,Snow Queen ,1159,1,3d,9,Russian,PG,7000000,2012,62,453
Richard Rich,2,45,29,Kate Higgins,122,Action|Adventure|Animation|Comedy|Drama|Family|Fantasy|Thriller,Alpha and Omega 4: The Legend of the Saw Toothed Cave ,192,0,blindness|cave|spirit|wolf|wolf cub,6,,,7000000,2014,35,41
Clint Eastwood,38,115,240,Chris Penn,16000,Western,Pale Rider ,39451,0,gold|miner|preacher|prospector|sheriff,138,English,R,6900000,1985,455,0
Robert C. Cooper,18,97,687,Christopher Judge,878,Action|Adventure|Drama|Fantasy|Sci-Fi,Stargate: The Ark of Truth ,15862,5,2000s|evil god|space opera|stargate|wormhole,42,English,,,2008,847,389
Richard Linklater,152,102,787,Adam Goldberg,14000,Comedy,Dazed and Confused ,120036,1,football|hazing|high school|last day of school|pledge,408,English,R,6900000,1993,1000,10000
Kenny Ortega,44,111,578,Corbin Bleu,755,Comedy|Drama|Family|Music|Musical|Romance,High School Musical 2 ,39786,5,2000s|basketball|country club|lifeguard|talent show,162,English,TV-G,7000000,2007,632,586
Kim Nguyen,6,96,63,Justin Edward Seale,149,Drama|Romance,Two Lovers and a Bear ,33,0,,6,English,,8700000,2016,147,187
Jackie Earle Haley,46,94,493,Edi Gathegi,15000,Crime|Drama|Thriller,Criminal Activities ,5255,3,african american gangster|falling to death|in over one's head|murder|surveillance,38,English,,7000000,2015,725,0
Max Färberböck,63,125,36,Johanna Wokalek,177,Biography|Drama|Romance|War,Aimee & Jaguar ,5153,1,lesbian mother|lesbian parent|lesbian relationship|lesbian romance|lesbianism,51,German,,15000000,1999,66,687
Arie Posin,74,108,436,John Heard,710,Comedy|Drama,The Chumscrubber ,16299,1,chumscrubber|death|friend|pills|school,129,English,R,6800000,2005,697,1000
Damian Nieman,25,101,83,Jason Cerbone,240,Crime|Thriller,Shade ,10771,8,bar|strip club|stripper|texas hold 'em|thong,65,English,R,6800000,2003,83,413
Mark Tonderai,224,101,261,Nolan Gerard Funk,34000,Drama|Horror|Thriller,House at the End of the Street ,58366,1,brother sister relationship|death of sister|female protagonist|mother daughter relationship|murder,160,English,PG-13,6900000,2012,924,10000
Denis Villeneuve,226,139,58,Mélissa Désormeaux-Poulin,131,Drama|Mystery|War,Incendies ,80429,0,brother sister relationship|family relationships|middle east|mother son relationship|twin brother and sister,156,French,R,6800000,2010,66,37000
Gabriele Muccino,36,125,11,Silvio Muccino,60,Comedy|Drama|Romance,"Remember Me, My Love ",3548,1,box office hit|dancer|sex scene|television|underage sex,21,Italian,R,5000000,2003,29,282
Ian Fitzgibbon,54,88,415,Brendan Coyle,1000,Action|Comedy|Crime|Drama|Romance|Thriller,Perrier's Bounty ,5133,8,burglary|estranged father|money|neighbor|thug,31,English,R,,2009,418,663
José Padilha,142,115,15,Fernanda Machado,585,Action|Crime|Drama|Thriller,Elite Squad ,81644,1,brazil|military police|police|rio de janeiro brazil|slum,107,Portuguese,R,4000000,2007,39,11000
John R. Leonetti,271,99,300,Annabelle Wallis,1000,Horror|Mystery,Annabelle ,81699,0,horror movie prequel|murder|paranormal activity|self sacrifice|suicide,291,English,R,6500000,2014,421,45000
Rachel Perkins,33,88,38,Magda Szubanski,46,Comedy|Drama|Musical,Bran Nue Dae ,1388,7,australia|journey|love|priest|traveling,31,English,PG-13,6500000,2009,46,479
John Singleton,64,112,15,Lloyd Avery II,27,Crime|Drama,Boyz n the Hood ,94139,2,drugs|escape|football|friend|violence,183,English,R,6000000,1991,26,0
Luis Valdez,18,108,51,Rosanna DeSoto,699,Biography|Drama|Music,La Bamba ,21409,1,crash|hispanic|interracial relationship|interracial romance|racism,63,English,PG-13,6500000,1987,63,0
Alan Alda,6,107,146,Len Cariou,804,Comedy|Drama,The Four Seasons ,3157,2,directed by star|friendship|reference to isaac newton|skinny dipping|written and directed by cast member,33,English,PG,,1981,167,337
Brian De Palma,121,104,517,David Margulies,754,Mystery|Romance|Thriller,Dressed to Kill ,23986,0,apartment|elevator|murder|psychiatrist|sunglasses,201,English,X,6500000,1980,567,0
Stephen Sommers,14,108,689,Frances Conroy,876,Adventure|Comedy|Drama|Family,The Adventures of Huck Finn ,6384,0,boy|lesson|mississippi river|river|slave,54,English,PG,6500000,1993,827,391
Doug Liman,137,102,376,Jay Mohr,900,Comedy|Crime,Go ,59474,3,drug deal|drugs|sex|sex on stairs|strip club,418,English,R,6500000,1999,563,0
Nicole Holofcener,111,88,180,Marin Hinkle,435,Comedy|Drama|Romance,Friends with Money ,19715,2,friend|friendship|marital problem|money problems|nervous breakdown,166,English,R,6500000,2006,230,515
Robert Wise,57,115,45,Paula Kelly,116,Sci-Fi|Thriller,The Andromeda Strain ,25857,0,alien|baby|new mexico|satellite|scientist,171,English,G,6500000,1971,112,0
Louis Morneau,97,91,91,Bob Gunton,730,Horror|Sci-Fi|Thriller,Bats ,8294,0,animal attack|bat|creature feature|experiment|mad scientist,160,English,PG-13,6500000,1999,461,342
Caroline Link,73,141,8,Juliane Köhler,56,Biography|Drama,Nowhere in Africa ,10672,0,breasts|farm|jew|kenya|tween girl,84,English,R,7000000,2001,36,802
Steve McQueen,486,101,726,Nicole Beharie,13000,Drama,Shame ,145395,0,female frontal nudity|female nudity|male nudity|sex addict|sex addiction,375,English,NC-17,6500000,2011,898,23000
Matthew Vaughn,149,105,466,Sally Hawkins,27000,Crime|Drama|Thriller,Layer Cake ,134070,1,cake|cocaine|drugs|pills|serbian,263,English,R,4000000,2004,594,0
Sterling Van Wagenen,4,100,266,Eric Johnson,1000,Drama|Western,The Work and the Glory II: American Zion ,564,2,estrangement|missouri|mormon|mormon church|mormon temple,21,English,PG-13,6500000,2005,373,19
Zal Batmanglij,200,116,782,Julia Ormond,10000,Drama|Thriller,The East ,41856,4,anarchist|corporation|greedy institution|vomiting|watching television,119,English,PG-13,6500000,2013,918,12000
Michael Mayer,84,97,874,Matt Frewer,18000,Drama|Romance,A Home at the End of the World ,12049,2,hand job|hugging|long hair|new york city|two men one woman,135,English,R,6500000,2004,986,1000
