director_name,duration,director_facebook_likes,genres,actor_1_name,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,language,aspect_ratio,movie_facebook_likes
Terry Gilliam,103,0,Adventure|Comedy|Fantasy|Sci-Fi,Shelley Duvall,45890,Kenny Baker,0,cult director|dwarf|robin hood|satire|treasure,English,1.85,0
Tamra Davis,93,33,Comedy|Drama,Britney Spears,34219,Dave Allen,1,audition|friendship|graduation|high school graduation|love,English,1.85,0
Nima Nourizadeh,93,166,Comedy|Crime,Dax Flame,157051,Oliver Cooper,0,birthday party|high school|high school senior|millennial generation|party,English,1.85,29000
Franklin J. Schaffner,172,76,Biography|Drama|War,George C. Scott,76398,Bill Hickman,0,allies|dead soldier|destiny|general|tank,English,2.2,0
Mark Romanek,96,132,Drama|Thriller,Robin Williams,97938,Connie Nielsen,0,insanity|photo lab|photo shop|photography|voyeur,English,1.85,0
John Erick Dowdle,89,66,Horror|Sci-Fi|Thriller,Andrew Fiscella,57446,Dania Ramirez,0,apartment building|found footage|television|trapped|virus,English,1.85,0
David Moreau,92,0,Horror|Mystery,Chloë Grace Moretz,44130,Obba Babatundé,1,cellular memory|eye|eye transplant|seeing dead people|violinist,English,2.35,0
Christopher Erskin,97,4,Comedy,Vanessa Williams,5928,Shad Moss,5,cross country|cross country trip|highway travel|on the road|road movie,English,2.35,243
Jesse Dylan,93,58,Comedy|Fantasy,Hector Elizondo,42644,T.J. Thyne,2,college|drugs|harvard|pot|smoke,English,1.85,0
Brian Henson,89,53,Comedy|Drama|Family|Fantasy|Musical,Steven Mackintosh,33850,Steve Whitmire,0,christmas|christmas eve|miser|muppet|scrooge,English,1.85,0
Martin Campbell,144,258,Action|Adventure|Thriller,Eva Green,470501,Ivana Milicevic,1,casino|espionage|free running|james bond|terrorist,English,2.35,0
Julie Taymor,123,278,Biography|Drama|Romance,Salma Hayek,61651,Valeria Golino,0,art|bisexual|marriage|pain|revolutionary,English,1.85,0
Dan Cutforth,93,4,Documentary|Music,Lexie Contursi,12383,Anthony Burrell,0,female protagonist|reference to britney spears|singer|song|world tour,English,1.85,0
Josh Boone,133,131,Drama|Romance,Shailene Woodley,249688,Nat Wolff,0,cancer|falling in love|friendship|novel|teenager,English,1.85,93000
John Dahl,121,131,Crime|Drama,Matt Damon,121676,Gretchen Mol,2,breasts|cult film|loan shark|poker|reference to christy turlington,English,2.35,0
Chris Rock,102,0,Comedy|Romance,Rosario Dawson,21672,J.B. Smoove,10,bare breasts|celebrity|in medias res|reference to planet of the apes|sex talk,English,2.35,0
John Frankenheimer,102,287,Horror|Sci-Fi,Talia Shire,3000,Robert Foxworth,1,cabin|monster|monster movie|paper mill|pollution,English,2.35,902
David Koepp,99,192,Horror|Mystery|Thriller,Illeana Douglas,62468,Lusia Strus,0,disappearance|hearing voices|hypnosis|post hypnotic suggestion|seeing a ghost,English,1.85,0
,55,,Action|Adventure|Biography|Drama|History,Peter Mensah,173172,Viva Bianca,2,female frontal nudity|female full frontal nudity|gladiator|group sex|slave girl,English,16.0,31000
Stephen Frears,98,350,Biography|Drama,Steve Coogan,76094,Peter Hermann,2,catholic|convent|gay love|gay relationship|irish adoption board,English,1.85,37000
Mike Binder,118,57,Comedy|Drama,Alicia Witt,19007,Joan Allen,1,anger|baseball|drinking|radio|secretary,English,2.35,549
Franklin J. Schaffner,125,76,Drama|Thriller,Laurence Olivier,20660,Steve Guttenberg,3,1970s|jew|nazi|nazi hunter|paraguay,English,1.85,0
Elizabeth Allen Rosenbaum,104,20,Comedy|Family|Fantasy|Romance,Tammin Sursok,30462,Dichen Lachman,3,beach|love|mermaid|storm|swimming,English,1.85,0
Jake Schreier,109,14,Drama|Mystery|Romance,Nat Wolff,63390,Meg Crosbie,2,based on novel|female neighbor|friendship|travel|trip,English,2.35,0
Cheryl Dunye,86,17,Comedy,Michael Imperioli,3119,Bai Ling,5,animal costume|break up|fatherhood|rapper|talking baby,English,1.85,151
Alexander Payne,115,729,Adventure|Comedy|Drama,Devin Ratray,91082,Will Forte,0,aging|billings montana|lincoln nebraska|nebraska|pickup truck,English,2.35,28000
Ernest R. Dickerson,92,226,Action|Fantasy|Horror|Thriller,CCH Pounder,16646,Gary Farmer,1,blood|blood of christ|demon|key|loud sex,English,1.85,0
Tim Hill,91,25,Comedy|Crime|Family,Noel Fisher,5794,Larry Miller,0,bully|moving|principal|revenge|school,English,1.85,371
Jason Reitman,94,655,Comedy|Drama,Charlize Theron,64682,Collette Wolfe,1,car damage|computer printer|female band|fingernail polish|narcissism,English,1.85,0
Mark Neveldine,93,83,Action|Crime|Thriller,Jason Statham,196422,Jose Pablo Cantillo,1,assassin|cult film|doctor|heart|poison,English,1.78,0
Lionel C. Martin,93,3,Comedy,Bernie Mac,2301,Lark Voorhies,2,breaking the fourth wall|doorman|friend|party|sex,English,1.85,439
Richard LaGravenese,100,98,Comedy|Drama|Romance,Holly Hunter,4052,Jenette Goldstein,1,brooklyn bridge|divorce|female protagonist|female star appears nude|lingerie slip,English,2.35,242
Sanaa Hamri,100,43,Comedy|Romance|Sport,Common,10103,Mehcad Brooks,1,basketball|basketball player|nba|physical therapist|therapist,English,2.35,0
Jonathan Demme,113,438,Drama|Romance,Anne Hathaway,41226,Bill Irwin,1,12 step program|friend|maid of honor|tears|wedding,English,1.85,0
Bob Rafelson,122,30,Crime|Drama|Romance|Thriller,Anjelica Huston,16764,John Colicos,0,adultery|drifter|lunch wagon|murder|neo noir,English,1.85,1000
Peter Webber,100,73,Biography|Drama|Romance,Scarlett Johansson,60171,Tom Wilkinson,0,17th century|girl|maid|painter|painting,English,2.35,0
Wolfgang Petersen,293,249,Adventure|Drama|Thriller|War,Jürgen Prochnow,168203,Herbert Grönemeyer,0,duty|submarine|submarine movie|tension|u boat,German,1.85,11000
John Lee Hancock,137,102,Drama|History|War|Western,Dennis Quaid,16832,Jordi Mollà,0,army|dictator|general|texan|texas,English,2.35,701
Wallace Wolodarsky,93,32,Comedy,Heather Matarazzo,12007,Harland Williams,3,college|cruise|drag|female armpit hair|sorority,English,1.85,507
Richard Curtis,123,628,Drama|Fantasy|Romance,Tom Hughes,202341,Lindsay Duncan,1,boyfriend girlfriend relationship|lingerie slip|time travel|time travel romance|wedding,English,2.35,105000
Yimou Zhang,119,611,Action|Adventure|Drama|Romance,Takeshi Kaneshiro,92295,Zhengyong Zhang,3,flying|flying dagger|government|police|secret,Mandarin,2.35,0
Nicholas Jarecki,107,27,Drama|Thriller,Nate Parker,41574,Reg E. Cathey,1,accidental death|dead woman|dead woman with eyes open|death of mistress|manager,English,1.85,0
Dean Israelite,106,16,Sci-Fi|Thriller,Gary Weeks,57349,Sofia Black-D'Elia,0,found footage|teenager|time machine|time travel|video footage,English,2.35,0
Darnell Martin,109,67,Biography|Drama|Music,Cedric the Entertainer,15412,Tammy Blanchard,3,1950s|jazz|jazz music|sex|title directed by female,English,2.35,0
Scott Alexander,81,25,Comedy|Crime,Sarah Silverman,6965,Sherman Hemsley,0,chauffeur|disorganized crime|dog|ransom|slapstick,English,1.85,262
Stuart Gordon,95,216,Action|Crime|Sci-Fi|Thriller,Christopher Lambert,23383,Clifton Collins Jr.,0,escape|future|population control|prison|prisoner,English,1.85,1000
Christopher Guest,86,378,Comedy,John Michael Higgins,12197,Ed Begley Jr.,0,actor|internet|make up|publicist|purim,English,1.85,650
Woody Allen,113,11000,Comedy|Drama,Melanie Griffith,20576,Greg Mottola,0,celebrity|journalist|lesbian kiss|strong female character|tv producer,English,1.66,652
Ryan Murphy,122,708,Comedy|Drama,Jill Clayburgh,20000,Dagmara Dominczyk,0,alcoholic|fame|therapist|writer|writing,English,2.35,0
Robert Iscove,90,7,Comedy|Musical|Romance,Anika Noni Rose,23606,Brian Dietzen,2,bar|florida|love|spring break|waitress,English,1.85,0
Spike Lee,108,0,Comedy|Drama,Michael Imperioli,4961,Gretchen Mol,3,actress|neighbor|phone sex|queens new york city|sex addiction,English,1.85,251
Jane Campion,113,319,Mystery|Thriller,Jennifer Jason Leigh,18632,Susan Gardner,0,blow job|female rear nudity|female removes her clothes|oral sex|three of spades tattoo,English,1.85,656
James Gray,110,115,Drama|Romance,Isabella Rossellini,29613,Samantha Ivers,0,jewish|love|married man|neighbor|photograph,English,2.35,0
Fred Schepisi,109,40,Drama,Bob Hoskins,5016,JJ Feild,5,ashes|butcher|friend|friendship|memory,English,2.35,305
Joon-ho Bong,110,584,Comedy|Drama|Horror|Sci-Fi,Doona Bae,68883,Ah-sung Ko,0,daughter|han river|monster|river|seoul,Korean,1.85,7000
Roger Spottiswoode,100,55,Adventure|Crime|Thriller,Robert Duvall,763,Paul Gleason,0,escape|jumping from an airplane|money|parachute|ransom,English,1.85,135
Antonia Bird,101,61,Fantasy|Horror|Thriller,Jeremy Davies,29990,David Arquette,0,based on true story|cannibalism|captain|mexican american war|u.s. frontier,English,2.35,0
Jon Poll,97,20,Comedy|Drama|Romance,Robert Downey Jr.,56654,Hope Davis,5,drugs|high school|prescription drugs|private school|student,English,1.85,0
Paolo Sorrentino,172,667,Drama,Toni Servillo,55516,Serena Grandi,2,genitalia|male frontal nudity|male nudity|old age|party,Italian,2.35,29000
Peter Care,104,0,Comedy|Drama,Kieran Culkin,12047,Jake Richardson,4,book|boy|catholic|comic book|friend,English,1.85,677
Chan-wook Park,99,0,Drama|Thriller,Mia Wasikowska,84620,Harmony Korine,4,death|hitchcockian|psychopath|sociopath|vomiting,English,2.35,27000
Kar-Wai Wong,129,0,Drama|Romance|Sci-Fi,Li Gong,41496,Maggie Cheung,0,number in title|train|woman slaps a man|woman slaps man|written by director,Cantonese,2.35,0
Ira Sachs,91,60,Crime|Drama|Romance,David Richmond-Peck,8014,Timothy Webber,4,bachelor|best friend|divorce|poison|widow,English,1.85,314
Carroll Ballard,100,19,Adventure|Drama|Family,Eamonn Walker,6454,Campbell Scott,0,africa|bed|boy|cheetah|south africa,English,1.85,0
Neil Jordan,111,277,Drama|Mystery|Romance,Tony Curran,16863,Alicja Bachleda,2,celtic mythology|cottage|fisherman|irish|selkie,English,1.85,0
Takeshi Kitano,114,0,Crime|Drama|Thriller,Omar Epps,18520,James Shigeta,0,gang|gangster|subjective camera|written and directed by cast member|yakuza,English,1.85,0
Anthony Russo,86,94,Comedy|Crime,Michael Jeter,12559,Andy Davoli,0,boxing knockout|heist|implied sex|keys|prison,English,2.35,423
Sidney Lumet,107,0,Comedy|Drama,Kyra Sedgwick,1427,Albert Brooks,2,half sister|hospital|latex gloves|medicine|nun,English,1.85,88
Vadim Perelman,90,26,Drama|Mystery|Thriller,Eva Amurri Martino,12125,Brett Cullen,2,best friend|nonlinear timeline|school shooting|self sacrifice|shooting,English,2.35,1000
Lawrence Kasdan,103,759,Comedy|Drama|Romance,Dianne Wiest,2551,Sam Shepard,1,dog|marriage|search|wedding|woods,English,2.35,0
Marco Kreuzpaintner,120,7,Crime|Drama|Thriller,Zack Ward,14831,Alicja Bachleda,0,friend|girl|mexico city|new jersey|sex,English,2.35,0
Lajos Koltai,134,45,Drama|Romance|War,Marcell Nagy,5603,Bálint Péntek,0,bus|death|gay slur|hatred|jewish,Hungarian,2.35,607
Alan Rudolph,110,18,Comedy,Bruce Willis,6884,Omar Epps,1,breakfast|manitoba|science fiction writer|suicide|writer,English,1.85,458
Yimou Zhang,95,611,Comedy|Drama,Honglei Sun,2410,Dahong Ni,1,betrayal|husband wife relationship|murder|noodles|salary,Mandarin,2.35,784
Vincenzo Natali,95,165,Mystery|Romance|Sci-Fi|Thriller,David Hewlett,27052,Kari Matchett,2,brainwashing|corporate espionage|spy|suburb|surprise ending,English,1.85,0
Chuan Lu,132,14,Drama|History|War,Ye Liu,8429,Ryu Kohata,0,atrocity|battle|chinese|horseback riding|martial arts,Mandarin,2.35,0
Tim Johnson,94,12,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Jim Parsons,70133,April Winchell,0,alien friendship|alien invasion|australia|flying car|mother daughter relationship,English,1.85,26000
Lijun Sun,89,0,Action|Adventure|Animation|Comedy|Family,Jon Heder,408,Rebecca Black,0,anthropomorphic animal|china|furry|rabbit,Mandarin,,211
Takashi Yamazaki,138,7,Action|Adventure|Drama|Sci-Fi,Takuya Kimura,4899,Hiroyuki Ikeuchi,0,alien|battleship|message|radiation|yamato,Japanese,2.35,0
Renny Harlin,113,212,Action|Drama|War,Richard Coyle,12128,Ana Imnadze,9,cameraman|epic battle|journalist|south ossetia|street shootout,English,2.35,0
Christopher Smith,99,76,Fantasy|Mystery|Thriller,Rachael Carpani,64423,Emma Lung,1,deja vu|lost at sea|ship|time loop|trapped in a time loop,English,2.35,13000
Timothy Hines,111,0,Drama,Christopher Lambert,314,Alexandra Callas,1,,English,1.85,26000
Randall Wallace,99,130,Biography|Drama,Jacob Vargas,21034,Rob Moran,,based on true story|christ|christian|near death experience|pastor,English,2.35,23000
Guy Ritchie,104,0,Comedy|Crime,Jason Statham,600996,Jason Flemyng,6,boxer|boxing|diamond|fight|gypsy,English,1.85,27000
David Winters,89,49,Family|Musical,Gary Daniels,105,Ginger Jensen,6,,English,,634
Mary Lambert,103,52,Fantasy|Horror,Miko Hughes,63855,Denise Crosby,0,cat|cemetery|maine|secret|woods,English,1.85,0
Akira Kurosawa,134,0,Drama,Tatsuo Matsumura,3466,Akira Terao,0,air raid|beer|birthday|japan|professor,Japanese,1.85,355
Jamie Thraves,100,2,Drama|Thriller,Paddy Considine,3737,Charlotte Sullivan,2,isolated house|promotion|river|small town|stalking,English,2.35,443
Mabel Cheung,130,3,Drama,Wei Tang,117,Hailu Qin,1,,Chinese,2.35,4
Joe Dante,106,287,Comedy|Fantasy|Horror,Phoebe Cates,142293,Zach Galligan,0,bright light|midnight|pet|small town|water,English,2.2,14000
George Lucas,125,0,Action|Adventure|Fantasy|Sci-Fi,Harrison Ford,911097,Kenny Baker,1,death star|empire|galactic war|princess|rebellion,English,2.35,33000
Dan Mazer,109,11,Comedy,Robert De Niro,49671,Jason Mantzoukas,1,female removes her clothes|fondling|voyeur|voyeurism|white panties,English,2.35,11000
David Lean,200,767,Drama|Romance|War,Julie Christie,55816,Geraldine Chaplin,2,bolshevik|poet|poetry|russia|russian revolution,English,2.35,7000
Stephen Daldry,114,335,Adventure|Crime|Drama|Mystery|Thriller,Wagner Moura,14437,Daniel Zettel,0,bible|key|poverty|slum|wallet,Portuguese,2.35,0
Kenny Ortega,112,197,Comedy|Drama|Family|Music|Musical|Romance,Lucas Grabeel,43795,Corbin Bleu,1,basketball|curtain call|graduation|high school|high school senior,English,1.85,0
David O. Russell,116,737,Biography|Drama|Sport,Christian Bale,275869,Melissa McMeekin,2,boxer|boxing|boxing match|crack cocaine|lowell massachusetts,English,2.35,36000
Jeff Tremaine,92,79,Action|Comedy|Documentary,Bam Margera,56595,Chris Pontius,0,blindfold|male frontal nudity|male rear nudity|pubic hair|vomiting,English,1.85,641
Jonathan Lynn,120,36,Comedy|Crime,Fred Gwynne,82743,Lane Smith,1,alabama|jail|judicial system|lawyer|trial,English,1.85,7000
R.J. Cutler,107,15,Drama|Fantasy|Music|Romance,Chloë Grace Moretz,83893,Stacy Keach,3,car accident|coma|out of body experience|reference to the exploited|teenage girl,English,2.35,15000
Brian Trenchard-Smith,92,53,Action|Comedy|Crime,Zoe Ventoura,3104,Christopher Sommers,2,,English,,774
David S. Ward,107,42,Comedy|Sport,Corbin Bernsen,49007,Rene Russo,3,cleveland indians|league|manager|owner|team,English,1.85,0
Oliver Parker,100,32,Comedy,Lily Cole,18220,Tamsin Egerton,5,2000s|female protagonist|reward|school|st trinian's,English,1.85,0
Joel Schumacher,81,541,Crime|Thriller,Radha Mitchell,207934,Richard T. Jones,0,phone booth|publicist|single set production|sniper|sniper rifle,English,2.35,0
Adam Shankman,101,163,Drama|Romance,Lauren German,162701,Paz de la Huerta,1,community service|love|punishment|school|student,English,2.35,19000
Tim Robbins,122,0,Crime|Drama,Lois Smith,73193,Robert Prosky,0,death|execution|nun|solitary confinement|visit,English,1.85,0
Roger Kumble,97,16,Drama|Romance,Sarah Michelle Gellar,149222,Eric Mabius,3,bet|revenge|seduction|virgin|wager,English,1.85,0
Kevin Greutert,92,52,Horror|Mystery,Costas Mandylor,76207,George Newbern,0,deception|flash photography|game of death|jigsaw|pig mask,English,1.85,0
Mel Brooks,92,0,Comedy,Madeline Kahn,36559,Dom DeLuise,0,french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor,English,2.35,0
Gina Prince-Bythewood,110,107,Drama,Nate Parker,19440,Jennifer Hudson,5,beekeeping|insect in title|racism|sister|south carolina,English,2.35,0
Rob Pritts,86,5,Comedy|Crime,Vincent Pastore,10966,Peter Berg,1,fbi|mafia|mobster|undercover|veterinarian,English,1.85,365
Brian De Palma,91,0,Crime|Drama|Thriller,Steven Bauer,9903,Gregg Henry,0,hitchcockian|long tracking shot|psychologist|psychology|wig,English,1.85,541
Norman Jewison,145,278,Drama,Sylvester Stallone,5561,Rod Steiger,2,1930s|driving through a gate|funeral|senator|trade union,English,1.85,745
Tobe Hooper,100,365,Horror|Sci-Fi,Louise Fletcher,5187,William Bassett,0,alien|boy|nurse|school|school nurse,English,2.35,902
John Crowley,111,34,Drama|Romance,Julie Walters,73249,Eva Birthistle,1,1950s|immigrant|irish|irish accent|torn between two worlds,English,1.85,36000
Stanley Kubrick,184,0,Adventure|Drama|History|War,Ryan O'Neal,101627,Hardy Krüger,0,18th century|england|rise and fall|rural setting|wealth,English,1.66,0
Brendan Malloy,89,2,Comedy|Sport,Lee Majors,14656,Thomas Lennon,0,alaska|mountain|ski resort|snowboard|snowboarding,English,1.85,0
Reginald Hudlin,84,71,Comedy,Will Ferrell,10777,Tim Meadows,1,black pantyhose|female stockinged legs|pantyhose|radio|tattoo,English,1.85,671
Dustin Hoffman,98,0,Comedy|Drama,Luke Newberry,15684,Pauline Collins,4,divorced couple|opera|reference to giuseppe verdi|retirement|senility,English,2.35,13000
Gregory Poirier,95,5,Comedy,Shannon Elizabeth,15427,David Ogden Stiers,0,box office flop|critically bashed|dominatrix|friend|money,English,1.85,449
Bill Paxton,100,0,Crime|Drama|Thriller,Matthew McConaughey,59982,Matt O'Leary,0,demon|fbi|fbi agent|murder|religious fanatic,English,1.85,5000
Simon Curtis,109,64,Biography|Drama|History,Ryan Reynolds,33856,Elizabeth McGovern,2,art|jewish|justice|nazi|theft,English,2.35,34000
Bill Condon,118,386,Biography|Drama,Liam Neeson,42689,Dylan Baker,0,professor|research|sex|sexuality|student,English,2.35,0
Sam Raimi,88,0,Comedy|Fantasy|Horror,Patricia Tallman,128850,Embeth Davidtz,0,army of the dead|battle|necronomicon|reluctant hero|skeleton soldier,English,1.85,10000
Dewey Nicks,86,4,Comedy|Romance,Jaime King,12437,Jim Rash,4,blackmail|fall|love|nerd|scam,English,1.85,405
Lasse Hallström,118,529,Drama|Romance,Johnny Depp,171882,Kevin Tighe,1,apostrophe in title|face slap|four word title|grocery store|police,English,1.85,14000
Philip Saville,125,10,Biography|Drama|History,Henry Ian Cusick,2164,Scott Handy,1,1st century|based on the bible|miracle|religion|resurrection,English,1.85,0
Mike Leigh,125,608,Crime|Drama,Eddie Marsan,20307,Imelda Staunton,1,1950s|miscarriage|neighbor|pregnancy|tailor,English,1.85,0
Daisy von Scherler Mayer,94,18,Comedy|Music|Romance,Michael McKean,13622,Jimi Mistry,3,bollywood|illegal immigrant|live television|restaurant|waiter,English,1.85,550
Mira Nair,113,300,Comedy|Drama|Romance,Anjelica Huston,1761,Vincent Gallo,2,immigration|love|political prisoner|reference to john wayne|title directed by female,English,1.85,174
Ethan Coen,104,1000,Drama|Music,Justin Timberlake,96233,Alex Karpovsky,1,1960s|car hitting an animal|folk singer|friend|singer,English,1.85,26000
Tim Blake Nelson,95,596,Drama|Romance|Thriller,Mekhi Phifer,17333,John Heard,2,basketball|basketball player|boarding school|love|shakespeare's othello,English,1.85,0
William A. Graham,102,8,Adventure|Drama|Romance,Milla Jovovich,14129,Lisa Pelikan,1,baby|desert island|island|sequel|teenage girl,English,1.85,967
Martin Ritt,124,58,Drama|History,Frank Finlay,2603,Samantha Eggar,0,coal|detective|irish|irish immigrant|pennsylvania,English,2.35,608
John Turturro,105,0,Comedy|Musical|Romance,Kate Winslet,10052,Eddie Izzard,0,anal sex|death|dream|poem|sex,English,2.35,0
Agnieszka Holland,104,238,Biography|Drama|Music,Phyllida Law,11132,Angus Barnett,0,music copyist|music student|musical composition|student|symphony,English,2.35,0
Tobe Hooper,120,365,Fantasy|Horror,Heather O'Rourke,105448,Craig T. Nelson,0,ghost|haunted|haunting|house|paranormal investigator,English,2.35,11000
Rowan Joffe,111,17,Crime|Drama|Thriller,Sam Riley,5013,Geoff Bell,2,brighton|catholic|gang|prayer|waitress,English,2.35,0
David Hackl,95,43,Horror|Mystery,Julie Benz,88529,Scott Patterson,0,blood splatter|jigsaw|nazi|serial killer|swastika tattoo,English,1.85,0
Giuliano Montaldo,96,4,Crime|Drama|Thriller,John Cassavetes,618,Britt Ekland,0,casino|gang violence|robbery|suicide|violence,English,2.35,85
Lisa Azuelos,97,15,Comedy|Drama|Romance,Nora Dunn,45144,Alix Freihage,1,best friend|girl in panties|high school|high school romance|pink panties,English,2.35,18000
Ray Lawrence,118,10,Crime|Drama|Mystery|Thriller,John Howard,5772,Max Cullen,2,camp|fishing|fishing trip|river|town,English,2.35,302
Karan Johar,193,160,Drama,Shah Rukh Khan,13998,Preity Zinta,2,extramarital affair|fashion magazine editor|marriage|new york|teacher,Hindi,2.35,659
Oliver Parker,97,32,Comedy|Romance,Minnie Driver,12980,Jeremy Northam,3,bachelor|blackmail|character says i love you|flirting|social satire,English,1.85,646
Ruairi Robinson,98,7,Horror|Sci-Fi|Thriller,Romola Garai,28570,Tom Cullen,0,alien infection|astronaut|mars|mission|zombie,English,2.35,0
Jaume Balagueró,103,57,Horror,Lena Olin,16747,Francesc Pagès,0,9 year old|blood|gramophone|house|missing children,English,2.35,1000
Stanley Kubrick,161,0,Adventure|Mystery|Sci-Fi,Keir Dullea,427357,Glenn Beck,0,ancient astronaut|famous line|message from outer space|monolith|star child,English,2.2,24000
Steven Spielberg,120,14000,Family|Sci-Fi,Henry Thomas,281842,Peter Coyote,0,bicyclist|boy|doll|star wars reference|voice impersonation,English,1.85,34000
Jon Kasdan,97,21,Comedy|Drama|Romance,Kristen Stewart,27689,Dustin Milligan,0,actress|love|michigan|neighbor|writer,English,2.35,1000
Léa Pool,97,4,Adventure|Drama,William Hurt,1337,Raoul Max Trujillo,1,butterfly|entomologist|morpho butterfly|rain|rain forest,English,1.85,392
Floyd Mutrux,99,11,Comedy|Drama,Ricky Schroder,859,Seymour Cassel,2,high school|love|police|showdown|surfer,English,,119
,24,,Comedy,Antonia Thomas,2651,Hannah Britland,3,blond boy|chlamydia|list|male rear nudity|young couple,English,,0
Sajid Khan,144,0,Comedy,Arjun Rampal,8598,Riteish Deshmukh,5,bad luck|casino|lie|mix up|stutter,Hindi,,250
Christopher Cain,111,58,Drama|History|Romance|Western,Jon Gries,2618,Trent Ford,0,massacre|mormon|settler|utah|wagon train,,1.85,411
Dean Wright,145,0,Drama|History|War,Santiago Cabrera,3665,Catalina Sandino Moreno,1,catholic|hanging|mexico|rebellion|soldier,Spanish,2.35,0
Eric Lartigau,106,7,Comedy|Drama|Music,Karin Viard,15060,François Damiens,4,audition|deaf|family relationships|love|singing,French,1.85,0
Gus Van Sant,126,835,Drama,Robin Williams,604904,Minnie Driver,2,friend|genius|janitor|loss of wife|professor,English,1.85,31000
Shintaro Shimosawa,106,29,Drama|Thriller,Al Pacino,6935,Glen Powell,3,black panties|lust|sexual attraction|voyeur|voyeurism,English,2.35,0
Darren Lynn Bousman,121,163,Horror|Mystery,Costas Mandylor,142115,Leigh Whannell,0,brutality|female full frontal nudity|female nudity|torture|trap,English,1.85,0
Ivan Reitman,117,425,Action|Comedy|War,Bill Murray,48629,Judge Reinhold,1,army|boot camp|breasts|graduation|rescue,English,1.85,0
Peyton Reed,98,235,Comedy|Sport,Kirsten Dunst,70141,Clare Kramer,1,championship|cheerleading|high school|teen comedy|teenage romance,English,1.85,0
James DeMonaco,109,65,Action|Horror|Sci-Fi|Thriller,Frank Grillo,17596,Mykelti Williamson,1,cathedral|minister|presidential election|reference to george washington|ritual sacrifice,English,2.35,0
Robert Iscove,95,7,Comedy|Romance,Paul Walker,67115,Kieran Culkin,2,bet|friend|high school|prom|prom queen,English,1.85,0
Lee Daniels,109,304,Drama,Mo'Nique,86956,Mariah Carey,0,abuse|african american lesbian|lesbian|lesbian couple|school,English,1.85,12000
Darren Lynn Bousman,96,163,Horror|Mystery,Costas Mandylor,111087,Angus Macfadyen,0,detective|fbi|rape|rapist|serial rapist,English,1.85,0
Geoffrey Sax,101,13,Drama|Horror|Mystery|Thriller,Deborah Kara Unger,41763,Mike Dopud,0,architect|grave|obsession|river|voice,English,2.35,0
Tyler Perry,107,0,Comedy|Drama|Romance,Boris Kodjoe,8962,Blair Underwood,4,cross dressing|family reunion|madea series|reflective|sister sister relationship,English,1.85,676
Martin Scorsese,119,17000,Drama|Sport,Tom Cruise,57831,Mary Elizabeth Mastrantonio,1,hustler|losing|pool|pool player|tournament,English,1.85,0
Ken Annakin,178,19,Action|Drama|History|War,Richard Burton,43270,Eddie Albert,3,allies|d day|invasion|normandy|world war two,English,2.35,0
Stephen Herek,100,65,Comedy|Drama|Family|Sport,Lane Smith,44502,Elden Henson,8,coach|hockey team|lawyer|respect|team,English,1.85,0
Takashi Shimizu,98,70,Horror|Mystery|Thriller,Sarah Michelle Gellar,115050,Ted Raimi,0,american|curse|japan|nurse|rage,English,1.85,4000
Dennis Dugan,92,221,Comedy|Sport,Adam Sandler,156143,Frances Bay,1,golf|golf ball|golfer|grandmother's house|tournament,English,1.85,0
Victor Salva,90,108,Horror|Mystery,Eileen Brennan,86890,Jonathan Breck,0,demon|gore|record player|tattoo|wings,English,1.85,0
Stephen Herek,90,65,Adventure|Comedy|Music|Sci-Fi,Keanu Reeves,85362,Al Leong,6,failing student|high school|payphone|teenager|telephone booth,English,2.35,0
Carol Reed,153,82,Drama|Family|Musical,Oliver Reed,25303,Jack Wild,1,abuse|child|orphan|orphanage|pickpocket,English,2.35,0
John Madden,124,108,Comedy|Drama,Tom Wilkinson,75306,Celia Imrie,3,hotel|india|marigold|retiree|retirement,English,2.35,48000
Chuck Sheetz,82,6,Animation|Comedy|Family|Mystery|Sci-Fi,Diedrich Bader,6808,Dabney Coleman,0,friend|principal|summer|summer camp|summer vacation,English,1.85,227
George Miller,107,750,Action|Adventure|Sci-Fi|Thriller,Tina Turner,101840,Angelo Rossitto,2,arena|desert|fight|mad max|post apocalypse,English,2.35,0
Mark L. Lester,75,73,Action|Adventure|Thriller,Bill Duke,111649,Rae Dawn Chong,0,body count|dictator|jumping from an airplane|knife fight|one man army,English,1.85,0
William Brent Bell,97,19,Horror|Mystery|Thriller,Lauren Cohan,35654,Stephanie Lemelin,0,animate doll|doll|england|nanny|surprise ending,English,2.35,20000
John Erick Dowdle,80,66,Horror|Mystery|Thriller,Bojana Novakovic,104089,Geoffrey Arend,0,devil|elevator|hit and run|throat slitting|trapped in an elevator,English,2.35,16000
Marcus Raboy,85,7,Comedy|Drama,John Witherspoon,19284,Katt Williams,0,apartment|christmas|christmas present|rent|security guard,English,1.85,981
Leigh Whannell,97,482,Fantasy|Horror|Thriller,Lin Shaye,54190,Leigh Whannell,0,demon|possession|psychic|supernatural|teenager,English,2.35,29000
Michael Schultz,109,78,Action|Comedy|Drama|Music,Mike Starr,9424,Keshia Knight Pulliam,1,cult film|kung fu|kung fu classic|martial arts|title spoken by character,English,1.85,0
